timestamps,open,high,low,close,volume,amount
2025-01-02,178.66,179.78,177.9006,179.44,4094307.0,734682448.08
2025-01-03,179.66,181.57,178.8,181.22,4380336.0,793804489.92
2025-01-06,180.78,181.98,179.26,180.1,6302081.0,1135004788.1
2025-01-07,179.63,182.1725,178.389,179.53,5905223.0,1060164685.19
2025-01-08,179.2,179.24,176.18,178.5,4488519.0,801200641.5
2025-01-10,176.86,177.54,173.33,175.17,5372441.0,941090489.9699999
2025-01-13,175.16,177.98,174.34,176.74,4734094.0,836703773.5600001
2025-01-14,176.61,176.78,174.09,175.55,4779147.0,838979255.85
2025-01-15,173.515,174.46,168.72,171.35,8048736.0,1379150913.6
2025-01-16,171.45,173.9567,170.52,173.7,5235975.0,909488857.5
2025-01-17,172.88,173.99,171.27,171.56,7852525.0,1347179189.0
2025-01-21,172.16,175.66,171.22,172.61,7548666.0,1302975238.26
2025-01-22,170.3,170.8684,168.06,169.2,9464994.0,1601476984.8
2025-01-23,170.46,170.69,168.48,170.67,7116187.0,1214519635.29
2025-01-24,169.32,171.11,169.25,170.3,5584924.0,951112557.2
2025-01-27,172.66,177.45,172.59,176.9,6985212.0,1235684002.8
2025-01-28,176.8,177.16,173.73,174.81,5604051.0,979644155.3100001
2025-01-29,174.5,176.92,174.3,175.26,3748422.0,656948439.7199999
2025-01-30,176.01,176.12,173.98,175.65,5209206.0,914997033.9
2025-01-31,187.3,191.77,183.67,183.9,11928323.0,2193618599.7000003
2025-02-03,183.18,191.66,182.15,190.14,9829956.0,1869067833.84
2025-02-04,187.63,191.15,187.05,189.95,7377753.0,1401404182.35
2025-02-05,190.52,193.38,189.92,191.75,6449920.0,1236772160.0
2025-02-06,191.9,194.49,190.56,192.97,4586688.0,885093183.36
2025-02-07,193.16,193.86,190.435,190.6,3805940.0,725412164.0
2025-02-10,191.46,191.46,189.09,190.34,3685699.0,701535947.66
2025-02-11,189.8,191.93,188.26,191.83,3977033.0,762914240.3900001
2025-02-12,190.5,194.37,190.39,193.0,4525009.0,873326737.0
2025-02-13,194.28,194.28,191.43,193.45,4108920.0,794870574.0
2025-02-14,193.95,195.18,192.78,192.87,3976903.0,767025281.61
2025-02-18,192.0,197.02,190.6683,196.25,6065546.0,1190363402.5
2025-02-19,196.79,198.11,196.01,197.35,4888865.0,964817507.75
2025-02-20,198.0,201.36,196.83,200.88,5066999.0,1017858759.12
2025-02-21,200.32,203.975,200.015,202.08,5889360.0,1190121868.8000002
2025-02-24,201.83,205.5,201.28,204.08,6304982.0,1286720726.5600002
2025-02-25,205.175,206.01,202.35,204.14,7747037.0,1581480133.1799998
2025-02-26,203.59,203.825,201.43,203.01,4767261.0,967801655.61
2025-02-27,203.06,206.8,202.25,205.02,5696853.0,1167968802.06
2025-02-28,205.12,209.6,204.41,209.03,13136421.0,2745906081.63
2025-03-03,209.98,212.3,208.91,211.48,7016425.0,1483833559.0
2025-03-04,214.47,215.66,207.67,207.76,7553973.0,1569413430.48
2025-03-05,207.07,212.18,206.0,211.54,5753191.0,1217030024.1399999
2025-03-06,211.45,211.98,208.5044,210.75,4345958.0,915910648.5
2025-03-07,211.11,214.99,209.0,214.29,6806116.0,1458482597.6399999
2025-03-10,209.99,218.66,209.2,216.66,8604021.0,1864147189.86
2025-03-11,216.66,216.66,212.41,213.59,7144519.0,1525997813.21
2025-03-12,212.0,213.87,209.31,212.06,6139777.0,1302001110.6200001
2025-03-13,212.0,213.8,210.68,211.55,5559530.0,1176118571.5
2025-03-14,209.78,212.82,208.285,211.77,4511554.0,955411790.58
2025-03-17,212.22,215.5,209.52,214.47,5075817.0,1088610471.99
2025-03-18,214.47,215.18,212.27,213.85,5088300.0,1088132955.0
2025-03-19,214.03,214.5,210.78,212.25,5413299.0,1148972712.75
2025-03-20,213.01,213.42,211.11,211.96,5836059.0,1237011065.64
2025-03-21,211.73,212.88,208.74,210.01,16657723.0,3498288407.23
2025-03-24,209.39,211.02,207.5,209.17,7393756.0,1546551942.52
2025-03-25,209.22,209.26,199.38,201.34,10089066.0,2031332548.44
2025-03-26,203.115,203.115,196.49,201.3,6743496.0,1357465744.8000002
2025-03-27,202.02,203.68,201.3,202.72,4995303.0,1012647824.16
2025-03-28,202.73,206.02,201.59,205.29,6478272.0,1329924458.8799999
2025-03-31,204.43,210.805,204.43,209.52,11093906.0,2324395185.12
2025-04-01,210.52,212.15,205.6,206.27,7853225.0,1619884720.75
2025-04-02,207.22,207.22,200.335,205.19,9262821.0,1900638240.99
2025-04-03,210.3,210.69,201.24,201.64,7593125.0,1531077725.0
2025-04-04,200.0,200.0,186.17,186.96,13505194.0,2524931070.2400002
