timestamps,open,high,low,close,volume,amount
2025-01-02,222.03,225.15,218.19,220.22,33956579.0,7477917827.38
2025-01-03,222.505,225.36,221.62,224.19,27515606.0,6168723709.14
2025-01-06,226.78,228.835,224.84,227.61,31849831.0,7249340033.910001
2025-01-07,227.9,228.381,221.46,222.11,28084164.0,6237773666.04
2025-01-08,223.185,223.52,220.2,222.13,25033292.0,5560645151.96
2025-01-10,221.46,221.71,216.5,218.94,36811525.0,8059515283.5
2025-01-13,218.06,219.4,216.47,218.46,27262655.0,5955799611.3
2025-01-14,220.44,221.82,216.2,217.76,24711650.0,5381208904.0
2025-01-15,222.83,223.57,220.75,223.35,31291257.0,6988902250.95
2025-01-16,224.42,224.65,220.31,220.66,24757276.0,5462940522.16
2025-01-17,225.84,226.51,223.08,225.94,42370123.0,9573105590.62
2025-01-21,228.9,231.78,226.94,230.71,39951456.0,9217200413.76
2025-01-22,232.02,235.44,231.19,235.01,41448217.0,9740745477.17
2025-01-23,234.1,235.52,231.51,235.42,26404364.0,6216115372.88
2025-01-24,234.5,236.4,232.93,234.85,25890738.0,6080439819.3
2025-01-27,226.21,235.61,225.86,235.42,49428332.0,11636417919.439999
2025-01-28,234.29,241.77,233.98,238.15,41587188.0,9903988822.2
2025-01-29,239.015,240.39,236.15,237.07,26091716.0,6185563112.12
2025-01-30,237.14,237.95,232.22,234.64,32020728.0,7513343617.919999
2025-01-31,236.5,240.29,236.41,237.68,36162377.0,8595073765.36
2025-02-03,234.06,239.25,232.9,237.42,37285868.0,8852410780.56
2025-02-04,239.01,242.52,238.03,242.06,29713812.0,7192525332.72
2025-02-05,237.02,238.32,235.2,236.17,38832042.0,9170963359.14
2025-02-06,238.01,239.6599,236.01,238.83,60897095.0,14544053198.85
2025-02-07,232.5,234.81,228.06,229.15,77539276.0,17768125095.4
2025-02-10,230.545,233.92,229.2,233.14,35419926.0,8257801547.639999
2025-02-11,231.92,233.44,230.13,232.76,23713726.0,5519606863.76
2025-02-12,230.46,231.18,228.16,228.93,32285249.0,7391062053.570001
2025-02-13,228.85,230.42,227.52,230.37,31346512.0,7221295969.440001
2025-02-14,229.2,229.89,227.23,228.68,27031084.0,6181468289.12
2025-02-18,228.82,229.3,223.72,226.65,42975133.0,9740313894.45
2025-02-19,225.52,226.83,223.71,226.63,28566709.0,6474073260.67
2025-02-20,224.775,225.13,221.81,222.88,30001665.0,6686771095.2
2025-02-21,223.28,223.31,214.74,216.58,55323850.0,11982039433.0
2025-02-24,217.45,217.715,212.42,212.71,42387585.0,9016263205.35
2025-02-25,211.63,213.34,204.16,212.8,58957977.0,12546257505.6
