timestamps,open,high,low,close,volume,amount
2025-01-02,44.14,44.5868,43.8,44.29,25610575.0,1134292366.75
2025-01-03,44.75,44.85,44.15,44.81,23455711.0,1051050409.9100001
2025-01-06,45.155,46.15,45.0999,45.4,30518458.0,1385537993.2
2025-01-07,46.28,46.65,45.65,46.08,41111204.0,1894404280.32
2025-01-08,45.9,46.26,45.69,46.21,40246008.0,1859768029.68
2025-01-10,46.0,46.05,44.735,45.11,40741349.0,1837842253.3899999
2025-01-13,45.1,45.34,44.69,45.06,34353617.0,1547973982.02
2025-01-14,45.6,45.92,45.23,45.78,36379011.0,1665431123.58
2025-01-15,47.12,47.46,46.84,47.1,57154814.0,2691991739.4
2025-01-16,47.0,47.51,45.82,46.64,56339293.0,2627664625.52
2025-01-17,46.61,46.88,46.08,46.53,44486094.0,2069937953.82
2025-01-21,46.62,47.15,46.54,46.66,52089087.0,2430476799.4199996
2025-01-22,46.6,46.73,45.76,45.79,40296223.0,1845164051.17
2025-01-23,46.05,46.89,46.045,46.39,35324065.0,1638683375.35
2025-01-24,46.23,46.86,46.15,46.52,24655102.0,1146955345.04
2025-01-27,46.55,47.14,46.38,47.09,44260048.0,2084205660.3200002
2025-01-28,47.08,47.4358,46.71,46.84,27156644.0,1272017204.96
2025-01-29,46.75,47.39,46.64,46.75,23681527.0,1107111387.25
2025-01-30,47.11,47.165,46.4,46.72,31199866.0,1457657739.52
2025-01-31,46.7,46.83,46.16,46.3,30392921.0,1407192242.3
2025-02-03,45.42,46.48,45.11,46.21,36497705.0,1686558948.05
2025-02-04,46.35,47.13,46.27,46.71,32893992.0,1536478366.32
2025-02-05,46.98,47.13,46.6448,47.11,27696614.0,1304787485.54
2025-02-06,47.44,47.98,47.17,47.74,39793386.0,1899736247.64
2025-02-07,47.84,47.97,47.38,47.4,26504696.0,1256322590.3999999
2025-02-10,47.48,47.555,46.4,46.67,26725206.0,1247265364.02
2025-02-11,46.55,46.93,46.275,46.79,20314881.0,950533281.99
2025-02-12,46.57,46.58,45.935,46.21,29777070.0,1375998404.7
2025-02-13,46.52,46.57,45.97,46.33,26815396.0,1242357296.68
2025-02-14,46.48,47.09,46.48,46.96,25960495.0,1219104845.2
2025-02-18,46.56,46.65,46.16,46.53,37824104.0,1759955559.1200001
2025-02-19,45.88,46.055,45.4201,46.01,38967823.0,1792909536.23
2025-02-20,45.9,46.19,45.04,45.3,40001086.0,1812049195.8
2025-02-21,45.25,45.51,44.535,44.81,43485874.0,1948602013.94
2025-02-24,45.03,45.39,44.435,44.46,35512204.0,1578872589.84
2025-02-25,44.53,44.835,43.35,43.94,38119007.0,1674949167.58
2025-02-26,44.04,44.5453,43.86,43.94,32251699.0,1417139654.06
2025-02-27,44.09,44.7756,43.935,44.12,28477725.0,1256437227.0
2025-02-28,44.32,46.2,44.199,46.1,62621148.0,2886834922.8
2025-03-03,46.21,46.96,45.22,45.56,46946021.0,2138860716.76
2025-03-04,44.73,44.84,42.03,42.67,78278115.0,3340127167.05
2025-03-05,42.65,42.73,41.705,42.29,52588903.0,2223984707.87
2025-03-06,41.59,41.89,40.9556,41.46,58103505.0,2408971317.3
2025-03-07,41.31,41.73,40.61,41.4,50651434.0,2096969367.6
2025-03-10,40.4,40.62,39.18,39.83,77498436.0,3086762705.8799996
2025-03-11,39.7,40.66,39.27,39.61,50608382.0,2004598011.02
2025-03-12,40.31,40.5,39.2,39.91,42290673.0,1687820759.4299998
2025-03-13,39.97,40.19,39.33,39.67,37766080.0,1498180393.6000001
2025-03-14,40.26,41.015,40.1724,40.89,35979933.0,1471219460.3700001
2025-03-17,40.92,41.77,40.59,41.44,37242797.0,1543341507.6799998
2025-03-18,41.72,41.83,41.29,41.65,37644466.0,1567892008.8999999
2025-03-19,41.72,42.6983,41.3,42.21,42471117.0,1792705848.57
2025-03-20,41.76,42.72,41.65,42.48,41018128.0,1742450077.4399998
2025-03-21,42.16,42.66,41.89,42.47,65010969.0,2761015853.43
2025-03-24,42.93,43.15,42.75,43.07,30646143.0,1319929379.01
2025-03-25,43.35,43.53,43.04,43.28,25445348.0,1101274661.44
2025-03-26,43.46,43.72,42.73,42.82,30064465.0,1287360391.3
2025-03-27,42.82,43.09,42.515,42.56,25619235.0,1090354641.6000001
2025-03-28,42.44,42.62,40.985,41.25,34252982.0,1412935507.5
2025-03-31,40.78,41.895,40.605,41.73,36389953.0,1518552738.6899998
2025-04-01,41.32,41.7,40.965,41.49,25578539.0,1061253583.11
2025-04-02,40.88,41.97,40.815,41.85,28216129.0,1180844998.65
2025-04-03,38.63,38.84,37.015,37.22,115497878.0,4298831019.16
2025-04-04,35.29,35.79,33.67,34.39,107761162.0,3705906361.18
2025-04-07,34.97,36.63,33.54,35.58,137329068.0,4886168239.44
2025-04-08,36.86,37.325,34.33,35.03,79116309.0,2771444304.27
2025-04-09,34.05,37.855,33.065,37.15,161173535.0,5987596825.25
2025-04-10,36.32,36.4,34.63,35.85,90451847.0,3242698714.9500003
2025-04-11,35.2,36.225,34.81,35.95,63671938.0,2289006171.1000004
2025-04-14,36.49,36.99,36.27,36.67,46830587.0,1717277625.29
2025-04-15,37.8,38.75,37.795,37.99,84677796.0,3216909470.04
2025-04-16,37.86,38.155,36.97,37.33,52872668.0,1973736696.4399998
2025-04-17,37.505,37.8699,37.24,37.41,47144445.0,1763673687.4499998
2025-04-21,37.07,37.2798,36.495,36.92,34928346.0,1289554534.3200002
2025-04-22,37.57,38.49,37.4,38.32,42288918.0,1620511337.76
2025-04-23,39.405,40.13,38.67,38.75,54428408.0,2109100810.0
2025-04-24,38.66,39.7,38.595,39.58,42457109.0,1680452374.22
2025-04-25,39.54,39.79,39.315,39.69,32694154.0,1297630972.26
2025-04-28,39.8,40.08,39.46,39.78,37428007.0,1488886118.46
2025-04-29,39.63,40.14,39.48,39.99,33792544.0,1351363834.5600002
2025-04-30,39.36,40.0,38.815,39.88,40994596.0,1634864488.48
2025-05-01,39.82,40.44,39.58,40.17,33569144.0,1348472514.48
2025-05-02,40.91,41.23,40.7001,41.07,41613021.0,1709046772.47
2025-05-05,40.85,41.49,40.62,41.12,32829236.0,1349938184.32
2025-05-06,40.65,41.27,40.555,40.84,29541838.0,1206488663.92
2025-05-07,41.04,41.34,40.86,40.93,30928612.0,1265908089.16
2025-05-08,41.285,42.1498,41.25,41.6,41861747.0,1741448675.2
2025-05-09,41.73,41.98,41.69,41.79,27222761.0,1137639182.19
2025-05-12,43.32,43.955,42.94,43.36,44875064.0,1945782775.04
2025-05-13,43.42,44.485,43.42,44.28,43232541.0,1914336915.48
2025-05-14,44.19,44.92,44.13,44.74,42419547.0,1897850532.78
2025-05-15,44.6,44.98,44.01,44.38,47379372.0,2102696529.3600001
2025-05-16,44.34,44.79,43.655,44.69,49488135.0,2211624753.15
2025-05-19,44.11,45.14,44.11,44.77,37915717.0,1697486650.0900002
2025-05-20,44.59,44.91,44.41,44.69,33424251.0,1493729777.1899998
2025-05-21,44.37,44.49,43.145,43.25,55594058.0,2404443008.5
2025-05-22,43.175,43.57,42.96,43.31,29026187.0,1257124158.97
2025-05-23,42.48,43.43,42.35,43.2,34875060.0,1506602592.0
2025-05-27,43.79,44.22,43.295,44.22,36322007.0,1606159149.54
