timestamps,open,high,low,close,volume,amount
2025-01-02,915.0,925.77,902.0,909.81,1767658.0,1608232924.98
2025-01-03,914.33,924.21,911.0001,916.58,1614211.0,1479553518.38
2025-01-06,917.98,927.4099,913.27,922.71,1970405.0,1818112397.5500002
2025-01-07,923.84,931.305,916.43,921.37,1887982.0,1739529975.34
2025-01-08,922.975,930.4999,915.415,927.37,1774763.0,1645861963.31
2025-01-10,933.36,944.28,923.5,936.94,2765797.0,2591385841.1800003
2025-01-13,934.0,934.99,921.0,924.7,1693763.0,1566222646.1000001
2025-01-14,924.3,927.7616,909.918,917.23,1683757.0,1544392433.1100001
2025-01-15,927.26,932.87,918.3001,923.5,1839386.0,1698672971.0
2025-01-16,924.73,927.4,917.82,919.75,1352957.0,1244382200.75
2025-01-17,930.0,943.8,924.565,943.19,2375012.0,2240087568.28
2025-01-21,945.25,956.55,943.5,947.73,2042443.0,1935684504.39
2025-01-22,951.225,951.94,939.24,944.7,2154991.0,2035819997.7
2025-01-23,941.69,943.39,936.485,942.16,1352440.0,1274214870.3999999
2025-01-24,942.16,946.0404,933.555,939.68,1562422.0,1468176704.96
2025-01-27,930.0,966.99,927.1801,965.25,3044682.0,2938879300.5
2025-01-28,961.83,965.71,954.0657,958.67,2166375.0,2076838721.25
2025-01-29,957.8,968.257,955.0,964.02,1713749.0,1652088310.98
2025-01-30,970.3,986.75,970.0975,979.01,1788180.0,1750646101.8
2025-01-31,976.24,991.0,975.78,979.88,1875713.0,1837973654.44
2025-02-03,972.385,1009.6105,968.94,1005.83,2751018.0,2767056434.94
2025-02-04,1005.4,1024.35,999.65,1021.86,2001641.0,2045396872.26
2025-02-05,1020.0,1043.09,1020.0,1042.88,2050058.0,2137964487.0400002
2025-02-06,1050.0,1063.0,1044.2,1050.99,2218045.0,2331143114.55
2025-02-07,1047.0,1056.71,1035.51,1043.81,1632854.0,1704389333.74
2025-02-10,1052.0,1063.0,1046.0,1061.92,2036894.0,2163018476.48
2025-02-11,1059.91,1065.9999,1049.04,1058.34,1748505.0,1850512781.6999998
2025-02-12,1054.15,1067.0,1051.0002,1065.12,1662315.0,1770564952.7999997
2025-02-13,1067.01,1078.235,1064.65,1076.86,1623281.0,1748046377.6599998
2025-02-14,1076.48,1077.49,1068.01,1071.85,1410728.0,1512088806.8
2025-02-18,1069.21,1071.0,1045.24,1056.03,2090589.0,2207724701.67
2025-02-19,1056.06,1063.18,1053.0,1062.54,1349634.0,1434040110.36
2025-02-20,1053.64,1053.64,1033.85,1034.83,2000545.0,2070223982.35
2025-02-21,1034.605,1036.2099,1024.6801,1035.03,1816308.0,1879933269.24
2025-02-24,1028.54,1038.185,1025.22,1035.6,1759749.0,1822396064.3999999
2025-02-25,1040.73,1057.02,1037.4583,1055.66,2083802.0,2199786419.32
2025-02-26,1050.14,1058.89,1030.18,1031.97,1555684.0,1605419217.48
2025-02-27,1034.0,1042.5299,1018.8272,1021.71,1629074.0,1664441196.54
2025-02-28,1030.61,1049.38,1023.99,1048.61,3307117.0,3467875957.37
2025-03-03,1051.74,1066.0,1041.14,1046.85,2422451.0,2535942829.35
2025-03-04,1045.73,1047.93,1028.73,1036.87,2536792.0,2630323521.0399995
2025-03-05,1033.08,1050.98,1028.5,1047.75,1898604.0,1989262341.0
2025-03-06,1032.95,1045.89,1019.0544,1026.62,2594563.0,2663630267.06
2025-03-07,995.15,1002.42,942.78,964.31,5510718.0,5314040474.58
2025-03-10,955.47,959.66,924.03,934.41,4459854.0,4167332176.14
2025-03-11,931.0,938.0,921.2,930.49,3204869.0,2982098555.81
2025-03-12,938.0,944.38,923.25,927.08,2331610.0,2161588998.8
2025-03-13,922.0,923.5,887.47,890.62,3447210.0,3070154170.2
2025-03-14,891.81,906.95,881.56,903.92,3186406.0,2880256111.52
2025-03-17,901.63,923.3899,898.0001,916.61,2256059.0,2067926239.99
2025-03-18,913.0,917.56,896.835,898.05,2182005.0,1959549590.25
2025-03-19,902.86,910.16,896.0,904.05,1908521.0,1725398410.05
2025-03-20,901.5,907.48,894.1,895.4,1891797.0,1693915033.8
2025-03-21,888.75,909.77,883.96,909.26,3447576.0,3134742953.7599998
2025-03-24,920.0,928.65,920.0,926.04,2208062.0,2044753734.48
2025-03-25,926.63,932.29,922.49,930.26,1622981.0,1509794305.06
2025-03-26,934.33,939.4151,923.45,929.75,1646854.0,1531162506.5
2025-03-27,929.56,942.9037,928.0,938.75,1546989.0,1452235923.75
2025-03-28,937.5,938.75,926.0,929.66,2100487.0,1952738744.4199998
2025-03-31,922.36,995.0,922.0432,945.78,3101963.0,2933774566.14
2025-04-01,942.42,957.7236,938.75,954.4,2041507.0,1948414280.8
2025-04-02,950.84,970.89,950.0001,965.08,1719896.0,1659837231.68
2025-04-03,931.08,981.352,928.0,967.08,3096918.0,2994967459.44
2025-04-04,955.0,964.52,914.14,916.48,5166988.0,4735441162.24
2025-04-07,887.75,937.82,871.705,908.13,4626591.0,4201546084.83
2025-04-08,932.05,942.985,899.57,908.75,3545403.0,3221884976.25
2025-04-09,908.0,967.46,897.67,965.19,5084527.0,4907534615.13
2025-04-10,966.5,993.4105,942.8947,964.31,4209053.0,4058831898.43
2025-04-11,963.96,970.2075,943.16,963.41,2721811.0,2622219935.5099998
2025-04-14,970.0,987.13,965.0,979.32,2219943.0,2174034578.76
2025-04-15,985.35,994.0,974.25,976.92,1788151.0,1746880474.9199998
2025-04-16,972.13,978.65,959.24,967.75,2531715.0,2450067191.25
2025-04-17,973.275,999.9183,971.99,994.5,2711124.0,2696212818.0
2025-04-21,993.0,996.99,942.97,957.77,2841310.0,2721321478.7
2025-04-22,969.75,987.45,966.78,979.23,2230645.0,2184314503.35
2025-04-23,994.52,995.75,969.0,975.84,2109653.0,2058683783.52
2025-04-24,973.6,978.0,960.71,975.48,2468463.0,2407936287.2400002
2025-04-25,973.97,978.32,962.88,977.16,1780887.0,1740211540.9199998
2025-04-28,978.5,985.3,968.7752,978.54,1616155.0,1581472313.7
2025-04-29,978.0,993.21,971.06,991.7,1523146.0,1510503888.2
2025-04-30,990.0,997.76,976.55,994.5,2212362.0,2200194009.0
2025-05-01,990.1,1006.3799,985.0,999.04,1829874.0,1828117320.96
2025-05-02,1007.83,1018.0,1004.605,1008.3,1547710.0,1560555993.0
2025-05-05,1007.505,1017.78,1002.5,1014.89,1952580.0,1981653916.2
2025-05-06,1008.45,1016.23,1003.51,1010.5,1381248.0,1395751104.0
2025-05-07,1011.18,1014.1,1001.4701,1007.15,1316596.0,1326009661.3999999
2025-05-08,1013.5,1017.0,991.4,1007.71,1882643.0,1897158177.53
2025-05-09,1004.61,1010.71,998.05,1008.09,1176656.0,1186175147.04
2025-05-12,1009.79,1016.91,992.24,1016.15,2069049.0,2102464141.35
2025-05-13,1013.715,1023.83,987.6,999.03,2917044.0,2914214467.3199997
2025-05-14,998.755,999.86,990.52,991.54,2214978.0,2196239286.12
2025-05-15,992.65,1014.0,983.0,1010.47,2470690.0,2496558124.3
2025-05-16,1012.49,1028.262,1009.0,1025.83,2033744.0,2086275607.5199997
2025-05-19,1018.6,1034.99,1012.89,1034.34,1879788.0,1944339919.9199998
2025-05-20,1030.01,1037.9999,1030.01,1036.82,2271232.0,2354858762.24
2025-05-21,1030.94,1039.4699,1023.8,1025.3,1438885.0,1475288790.5
2025-05-22,1027.725,1028.775,1014.12,1018.13,1660909.0,1691021280.17
2025-05-23,1012.0,1015.11,1007.0,1008.5,1413916.0,1425934286.0
2025-05-27,1015.0,1018.95,1010.93,1017.79,1868169.0,1901403726.51
2025-05-28,1017.05,1024.62,1012.96,1013.14,1674743.0,1696749123.02
2025-05-29,1016.01,1017.535,1003.6,1008.74,2023815.0,2041503143.1
2025-05-30,1002.3,1052.49,1002.0,1040.18,5403837.0,5620963170.660001
2025-06-02,1034.27,1060.5,1034.27,1056.85,2148004.0,2270118027.3999996
2025-06-03,1054.15,1067.08,1043.2552,1055.59,1992850.0,2103632531.4999998
2025-06-04,1055.0,1057.8299,1049.37,1051.69,1422086.0,1495593625.3400002
2025-06-05,1050.0,1051.0499,1006.01,1010.81,3297524.0,3333170234.44
2025-06-06,1020.63,1020.63,1008.61,1014.94,1855428.0,1883148094.3200002
2025-06-09,1012.42,1013.35,996.9663,1006.18,1696711.0,1707196673.98
2025-06-10,1006.93,1011.51,997.7211,1007.27,2255019.0,2271412988.13
2025-06-11,1002.44,1005.44,993.375,996.78,2459835.0,2451914331.2999997
2025-06-12,999.0,1003.25,995.3603,1002.71,1720138.0,1724799573.98
2025-06-13,999.08,1003.5929,988.6738,990.21,1785964.0,1768479412.44
2025-06-16,992.33,1001.85,981.4362,984.36,2109338.0,2076347953.68
2025-06-17,983.0,986.1,976.2,977.72,1668225.0,1631056947.0
2025-06-18,980.0,982.65,974.07,974.9,1509613.0,1471721713.7
2025-06-20,983.99,988.66,973.9,980.29,3255699.0,3191529172.71
2025-06-23,983.15,1004.87,981.26,1004.48,2082928.0,2092259517.44
2025-06-24,1005.835,1005.835,992.065,1001.92,2385103.0,2389682397.7599998
2025-06-25,1003.0,1004.9799,986.0,986.54,1827694.0,1803093238.76
2025-06-26,987.725,987.725,976.5,982.91,2262786.0,2224114987.2599998
2025-06-27,982.24,993.1394,980.3,985.14,2129190.0,2097550236.6
2025-06-30,985.16,991.74,979.7501,989.94,2127591.0,2106187434.5400002
2025-07-01,990.0,996.839,974.5,985.96,2200576.0,2169679912.96
2025-07-02,983.87,985.6999,976.865,982.36,1606122.0,1577790007.92
2025-07-03,982.41,987.67,977.325,987.02,1101351.0,1087055464.02
2025-07-07,985.0,992.8931,976.2,992.18,1832591.0,1818260138.3799999
2025-07-08,989.5,995.87,983.925,985.84,1716151.0,1691850301.8400002
2025-07-09,988.39,988.39,972.28,982.09,2922574.0,2870230699.6600003
2025-07-10,987.0,988.0,969.07,970.17,2903765.0,2817145690.0499997
2025-07-11,973.29,978.98,965.7,970.33,1941995.0,1884376008.3500001
2025-07-14,971.1,981.49,969.62,980.91,1679303.0,1647245105.73
2025-07-15,979.25,980.25,966.66,967.68,1878003.0,1817305943.04
2025-07-16,967.99,969.589,950.13,951.37,2950277.0,2806805029.4900002
2025-07-17,950.36,954.75,947.51,953.91,2280638.0,2175523394.58
2025-07-18,959.95,960.26,949.65,950.95,2115538.0,2011770861.1000001
2025-07-21,951.51,955.76,946.6,947.56,1742426.0,1651053180.56
2025-07-22,948.8,957.7,941.25,941.61,1799905.0,1694808547.05
2025-07-23,942.375,948.5,936.0,941.19,2401619.0,2260379786.61
2025-07-24,941.33,942.8999,933.49,933.8,2057072.0,1920893833.6
2025-07-25,936.3,941.29,934.35,935.48,1827655.0,1709734699.4
2025-07-28,935.5,940.241,930.89,933.99,2006292.0,1873856665.08
2025-07-29,933.99,941.785,927.38,934.57,2065880.0,1930709471.6000001
2025-07-30,935.0,937.7499,925.135,927.51,1699609.0,1576404343.59
2025-07-31,925.36,945.95,925.0,939.64,2564353.0,2409568652.92
2025-08-01,939.5,956.72,939.5,952.52,2934464.0,2795135649.2799997
2025-08-04,952.6,960.18,948.66,955.37,2389907.0,2283245450.59
2025-08-05,951.325,951.5,935.68,943.63,2462286.0,2323486938.18
2025-08-06,943.63,970.55,942.6601,968.56,2752994.0,2666439868.64
2025-08-07,974.68,982.0,970.96,977.45,1893275.0,1850581648.75
2025-08-08,977.15,988.2,977.0,980.98,2189701.0,2148052886.98
2025-08-11,983.16,989.58,976.32,988.74,2290125.0,2264338192.5
2025-08-12,988.5,991.75,980.05,991.25,1589455.0,1575547268.75
2025-08-13,983.96,986.4,970.1,978.85,2352567.0,2302810207.9500003
2025-08-14,980.6,988.2925,975.18,975.39,1808742.0,1764228859.3799999
2025-08-15,979.14,979.9999,967.215,972.04,1638281.0,1592474663.24
2025-08-18,973.3,981.28,970.0,979.35,2078489.0,2035568202.15
2025-08-19,978.62,988.5299,976.79,980.85,1673394.0,1641348504.9
2025-08-20,979.0,999.3,979.0,994.57,2229573.0,2217466418.61
2025-08-21,988.9,989.32,967.52,969.68,2145629.0,2080573528.7199998
2025-08-22,971.54,973.5,953.11,958.54,3135979.0,3005961310.66
2025-08-25,954.96,958.3047,940.56,941.58,2284250.0,2150804115.0
2025-08-26,941.34,944.05,933.245,941.34,4341253.0,4086595099.02
2025-08-27,940.49,952.0,937.215,949.52,1893587.0,1797998728.24
2025-08-28,950.285,950.9999,944.1301,944.96,2067919.0,1954100738.24
2025-08-29,945.0,948.61,940.46,943.32,1608954.0,1517758487.28
2025-09-02,938.66,944.5126,936.58,938.82,1793947.0,1684193322.5400002
2025-09-03,939.0,950.09,936.5,949.78,1670458.0,1586567599.24
2025-09-04,953.4,959.5,951.11,955.9,1471872.0,1406962444.8
2025-09-05,958.71,969.55,956.2226,963.48,1928459.0,1858031677.32
2025-09-08,963.73,972.34,958.5863,971.85,1737032.0,1688134549.2
2025-09-09,970.0,979.87,963.11,979.25,1496835.0,1465775673.75
2025-09-10,976.39,981.0,953.96,956.29,2277534.0,2177982988.86
2025-09-11,957.8,965.16,954.28,964.32,1532027.0,1477364276.64
2025-09-12,960.29,969.57,960.0,967.9,1461618.0,1414700062.2
2025-09-15,967.82,969.74,959.706,960.1,2199423.0,2111666022.3
2025-09-16,959.1,959.5768,950.8,952.07,2012649.0,1916182733.43
2025-09-17,953.49,963.98,953.49,963.03,1556773.0,1499219102.19
