timestamps,open,high,low,close,volume,amount
2025-01-02,336.31,338.92,327.81,330.66,4807138.0,1589528251.0800002
2025-01-03,332.1,333.44,329.27,332.9,4102503.0,1365723248.6999998
2025-01-06,334.02,336.6,327.28,330.53,5785333.0,1912226116.4899998
2025-01-07,330.5,331.5,322.91,324.93,4643133.0,1508693205.69
2025-01-08,327.74,328.8,323.11,326.9,3788206.0,1238364541.3999999
2025-01-10,322.765,322.765,316.02,317.85,6539973.0,2078730418.0500002
2025-01-13,314.6,320.55,313.8,319.07,4583023.0,1462305148.61
2025-01-14,325.0,329.935,321.5,323.54,5935221.0,1920281402.3400002
2025-01-15,329.88,331.53,320.78,321.16,6042674.0,1940665181.8400002
2025-01-16,322.94,327.72,319.55,320.0,5051487.0,1616475840.0
2025-01-17,328.72,329.5699,323.07,324.56,6303558.0,2045882784.48
2025-01-21,329.4,329.52,322.45,326.84,6397166.0,2090849735.4399998
2025-01-22,331.25,335.2288,327.28,332.62,7259285.0,2414583376.7
2025-01-23,332.33,335.46,329.6,334.66,4355877.0,1457737796.8200002
2025-01-24,336.3,338.65,331.785,333.88,3299074.0,1101494827.12
2025-01-27,332.36,353.15,330.5,347.1,15661109.0,5435970933.900001
2025-01-28,354.77,367.09,350.455,359.95,12099293.0,4355140515.349999
2025-01-29,358.76,360.18,351.5,354.0,6266724.0,2218420296.0
2025-01-30,340.9,348.0,340.0,343.57,7591129.0,2608084190.5299997
2025-01-31,348.0,349.5,340.1,341.7,5781541.0,1975552559.7
2025-02-03,335.97,341.46,331.2601,339.24,4549415.0,1543343544.6000001
2025-02-04,345.62,346.93,338.6722,344.14,4965602.0,1708862272.28
2025-02-05,345.72,348.04,338.8725,347.93,4521009.0,1572994661.3700001
2025-02-06,337.475,337.475,329.1,330.81,13240635.0,4380134464.35
2025-02-07,332.0,333.82,323.72,325.83,7626090.0,2484808904.7
2025-02-10,327.92,331.75,326.65,327.2,5981915.0,1957282588.0
2025-02-11,324.02,326.44,321.26,324.4,5455939.0,1769906611.6
2025-02-12,319.55,327.0,316.97,326.12,5643373.0,1840416802.76
2025-02-13,326.2,330.3473,323.22,329.85,4312066.0,1422334970.1000001
2025-02-14,328.03,328.5,322.62,326.54,5879716.0,1919962462.64
