timestamps,open,high,low,close,volume,amount
2025-01-02,9.91,9.955,9.635,9.65,67156220.0,648057523.0
2025-01-03,9.69,9.95,9.53,9.88,77245879.0,763189284.5200001
2025-01-06,10.0601,10.19,9.9,9.92,63840827.0,633301003.84
2025-01-07,9.95,10.01,9.72,9.76,62404019.0,609063225.4399999
2025-01-08,9.74,9.75,9.58,9.74,61678835.0,600751852.9
2025-01-10,9.67,9.84,9.59,9.65,73373449.0,708053782.85
2025-01-13,9.6599,9.72,9.57,9.71,66023040.0,641083718.4000001
2025-01-14,9.775,9.82,9.68,9.78,45419942.0,444207032.76
2025-01-15,9.97,10.06,9.89,9.95,68674379.0,683310071.05
2025-01-16,9.91,10.06,9.89,10.01,45770032.0,458158020.32
2025-01-17,10.08,10.21,10.04,10.18,60802749.0,618971984.8199999
2025-01-21,10.3,10.45,10.24,10.43,65670776.0,684946193.68
2025-01-22,10.25,10.25,10.02,10.03,64949161.0,651440084.8299999
2025-01-23,10.05,10.17,9.97,10.16,56241104.0,571409616.64
2025-01-24,10.16,10.31,10.09,10.12,42909105.0,434240142.59999996
2025-01-27,10.11,10.42,10.1,10.38,73082579.0,758597170.0200001
2025-01-28,10.23,10.23,9.92,10.08,92177598.0,929150187.84
2025-01-29,10.1,10.29,10.03,10.21,69986892.0,714566167.32
2025-01-30,10.26,10.39,10.06,10.16,69663121.0,707777309.36
2025-01-31,10.17,10.35,9.99,10.08,103726234.0,1045560438.72
2025-02-03,9.72,10.06,9.6,9.89,131430275.0,1299845419.75
2025-02-04,9.94,10.16,9.905,10.16,68716480.0,698159436.8
2025-02-05,10.16,10.315,9.96,10.01,124187814.0,1243120018.1399999
2025-02-06,9.49,9.64,9.26,9.26,222758349.0,2062742311.74
2025-02-07,9.33,9.35,9.18,9.24,140852731.0,1301479234.44
2025-02-10,9.25,9.3,9.12,9.24,72168013.0,666832440.12
2025-02-11,9.21,9.26,9.17,9.21,54844582.0,505118600.22
2025-02-12,9.17,9.29,9.1,9.23,67339559.0,621544129.57
2025-02-13,9.29,9.41,9.24,9.35,72059816.0,673759279.6
2025-02-14,9.43,9.51,9.39,9.48,53778335.0,509818615.8
2025-02-18,9.32,9.35,9.23,9.29,62175764.0,577612847.56
2025-02-19,9.27,9.39,9.21,9.34,50191726.0,468790720.84
2025-02-20,9.33,9.395,9.28,9.39,39787792.0,373607366.88
2025-02-21,9.38,9.41,9.23,9.28,58437662.0,542301503.36
2025-02-24,9.305,9.4,9.21,9.35,72562637.0,678460655.9499999
2025-02-25,9.365,9.49,9.31,9.42,88876827.0,837219710.34
2025-02-26,9.46,9.62,9.44,9.47,87948083.0,832868346.0100001
2025-02-27,9.44,9.53,9.29,9.29,70518755.0,655119233.9499999
2025-02-28,9.315,9.69,9.31,9.55,137992574.0,1317829081.7
2025-03-03,9.71,9.82,9.32,9.39,154435905.0,1450153147.95
2025-03-04,9.23,9.27,9.06,9.12,167499954.0,1527599580.4799998
2025-03-05,9.26,9.67,9.2,9.65,157774904.0,1522527823.6000001
2025-03-06,9.515,9.72,9.42,9.61,136680746.0,1313501969.06
2025-03-07,9.54,9.96,9.51,9.9,150644884.0,1491384351.6000001
2025-03-10,9.77,10.14,9.77,9.96,167183809.0,1665150737.64
2025-03-11,9.92,9.96,9.49,9.69,210126974.0,2036130378.06
2025-03-12,9.7,9.71,9.46,9.59,129994592.0,1246648137.28
2025-03-13,9.57,9.95,9.5,9.53,137747632.0,1312734932.9599998
2025-03-14,9.66,9.79,9.64,9.73,91313759.0,888482875.07
2025-03-17,9.74,9.98,9.74,9.92,98583068.0,977944034.56
2025-03-18,9.95,10.04,9.88,9.95,102730930.0,1022172753.4999999
2025-03-19,9.96,10.28,9.945,10.17,124697379.0,1268172344.43
2025-03-20,10.07,10.15,9.99,10.01,109103733.0,1092128367.33
2025-03-21,9.915,10.12,9.83,10.0,240638631.0,2406386310.0
2025-03-24,10.04,10.25,10.01,10.25,102847191.0,1054183707.75
2025-03-25,10.3,10.35,10.17,10.29,83674856.0,861014268.2399999
