timestamps,open,high,low,close,volume,amount
2025-01-02,38.39,38.78,37.811,37.88,8791475.0,333021073.0
2025-01-03,38.0,38.19,37.185,37.71,10155209.0,382952931.39
2025-01-06,38.83,39.76,38.51,38.57,18974389.0,731842183.73
2025-01-07,38.83,39.1688,38.4058,38.74,15304645.0,592901947.3000001
2025-01-08,38.76,39.825,38.31,39.74,15588975.0,619505866.5
2025-01-10,40.5,40.64,38.73,38.98,11971121.0,466634296.58
2025-01-13,38.65,39.6,38.62,39.41,10418057.0,410575626.36999995
2025-01-14,39.71,39.835,39.04,39.5,9801890.0,387174655.0
2025-01-15,40.445,40.45,39.52,40.03,10618044.0,425040301.32
2025-01-16,40.19,40.41,39.575,40.03,11793991.0,472113459.73
2025-01-17,40.09,40.81,39.87,40.22,12045611.0,484474474.41999996
2025-01-21,40.76,40.94,39.86,40.3,16558028.0,667288528.4
2025-01-22,40.44,40.5,39.02,39.09,15882676.0,620853804.84
2025-01-23,38.11,38.7,36.46,38.5,30475404.0,1173303054.0
2025-01-24,38.73,38.88,37.455,37.81,19076373.0,721277663.13
2025-01-27,37.215,37.215,36.58,36.67,18550521.0,680247605.07
2025-01-28,36.88,37.0,35.46,35.84,16842913.0,603650001.9200001
2025-01-29,35.98,36.84,35.94,36.28,12599851.0,457122594.28000003
2025-01-30,36.67,36.815,36.07,36.64,11821922.0,433155222.08
2025-01-31,36.36,36.64,35.685,35.85,13387259.0,479933235.15000004
2025-02-03,35.365,36.135,34.8901,35.86,15940389.0,571622349.54
2025-02-04,36.0301,36.995,36.0301,36.48,14490622.0,528617890.55999994
2025-02-05,36.27,37.01,35.97,36.68,14888320.0,546103577.6
2025-02-06,37.54,37.94,36.775,37.15,13748219.0,510746335.84999996
2025-02-07,38.49,39.19,37.87,38.22,21531973.0,822952008.06
2025-02-10,38.88,38.91,38.4,38.46,16243406.0,624721394.76
2025-02-11,37.705,38.22,37.45,37.59,13957929.0,524678551.1100001
2025-02-12,37.67,38.44,37.46,37.96,10946485.0,415528570.6
2025-02-13,38.69,40.35,38.48,40.22,21444676.0,862504868.72
2025-02-14,40.53,40.8,39.28,39.47,17559189.0,693061189.8299999
2025-02-18,39.48,39.52,38.605,39.3,12261346.0,481870897.79999995
2025-02-19,38.95,38.96,38.19,38.57,12101232.0,466744518.24
2025-02-20,38.94,39.63,38.59,38.96,11471980.0,446948340.8
2025-02-21,38.95,38.95,36.835,36.98,16151103.0,597267788.9399999
2025-02-24,37.19,37.44,36.94,37.11,8418379.0,312406044.69
2025-02-25,37.19,37.23,36.02,36.76,10618881.0,390350065.56
2025-02-26,38.54,38.72,37.82,37.95,16632704.0,631211116.8000001
2025-02-27,38.79,38.855,37.285,37.42,13147009.0,491961076.78000003
