timestamps,open,high,low,close,volume,amount
2025-01-02,53.32,53.47,51.024,51.37,10170423.0,522454629.51
2025-01-03,51.5,51.955,50.455,51.77,8949929.0,463337824.33000004
2025-01-06,52.76,54.395,52.25,53.53,9728239.0,520752633.67
2025-01-07,53.7,53.7,51.92,51.98,9093274.0,472668382.52
2025-01-08,51.75,51.75,50.305,51.0,7243663.0,369426813.0
2025-01-10,50.78,50.84,49.76,49.85,7847704.0,391208044.40000004
2025-01-13,49.035,50.1,49.02,49.93,7950908.0,396988836.44
2025-01-14,50.43,51.415,50.2,50.94,7170066.0,365243162.03999996
2025-01-15,52.2,52.945,51.62,51.7,7518934.0,388728887.8
2025-01-16,51.66,52.02,51.16,51.84,6415449.0,332576876.16
2025-01-17,51.93,52.1892,50.73,50.97,9619992.0,490330992.24
2025-01-21,51.785,54.06,51.29,53.89,12962111.0,698528161.79
2025-01-22,53.33,53.45,52.43,52.76,7778056.0,410370234.56
2025-01-23,53.04,54.35,52.738,54.22,7452914.0,404096997.08
2025-01-24,54.19,54.6,53.705,53.91,6619598.0,356862528.18
2025-01-27,54.26,55.06,54.075,54.92,12075424.0,663182286.08
2025-01-28,50.98,50.98,48.72,50.04,33776651.0,1690183616.04
2025-01-29,50.28,50.61,49.12,49.78,15122973.0,752821595.94
2025-01-30,50.45,50.985,47.76,49.5,16443173.0,813937063.5
2025-01-31,49.67,51.73,49.18,49.46,20578687.0,1017821859.02
2025-02-03,46.5,49.23,46.37,47.9,28555886.0,1367826939.3999999
2025-02-04,47.17,48.935,47.11,48.57,9746674.0,473395956.18
2025-02-05,48.71,48.79,47.74,47.81,10719377.0,512493414.37
2025-02-06,47.99,48.39,47.44,47.93,9218439.0,441839781.27
2025-02-07,47.69,48.32,47.21,47.39,9608542.0,455348805.38
2025-02-10,47.4,47.6,46.44,46.57,9017178.0,419929979.46
2025-02-11,46.36,46.84,46.26,46.7,7058475.0,329630782.5
2025-02-12,46.42,47.99,46.26,47.69,10572397.0,504197612.92999995
2025-02-13,48.14,48.63,47.35,47.89,7748283.0,371065272.87
2025-02-14,48.39,48.68,47.92,48.37,5630048.0,272325421.76
