timestamps,open,high,low,close,volume,amount
2025-01-02,190.65,192.0,187.5,189.43,20370828.0,3858845948.04
2025-01-03,191.37,193.21,189.975,191.79,18596159.0,3566557334.6099997
2025-01-06,193.98,198.2222,193.85,196.87,29563638.0,5820193413.06
2025-01-07,197.11,201.0,194.6,195.49,26487244.0,5177991329.56
2025-01-08,192.57,196.29,192.38,193.95,24864766.0,4822521365.7
2025-01-10,194.295,196.52,190.31,192.04,26665206.0,5120786160.24
2025-01-13,190.07,191.18,187.36,191.01,21823699.0,4168544745.99
2025-01-14,191.24,191.98,188.3082,189.66,17174854.0,3257382809.64
2025-01-15,193.09,196.36,191.86,195.55,21775969.0,4258290737.9500003
2025-01-16,194.14,195.48,192.81,192.91,17815432.0,3436774987.12
2025-01-17,196.53,197.23,193.75,196.0,27735089.0,5436077444.0
2025-01-21,199.07,202.29,197.87,198.05,29971292.0,5935814380.6
2025-01-22,199.06,200.48,197.53,198.37,26200617.0,5197416394.29
2025-01-23,198.14,200.3,195.2,197.98,26951357.0,5335829658.86
2025-01-24,198.1,200.9,198.0,200.21,23877521.0,4780518479.41
2025-01-27,192.41,196.88,190.73,191.81,41728893.0,8004018966.33
2025-01-28,192.745,195.48,190.68,195.3,24157929.0,4718043533.7
2025-01-29,195.555,196.785,193.43,195.41,18218256.0,3560029404.96
2025-01-30,198.0,201.4,197.67,200.87,24354684.0,4892125375.08
2025-01-31,202.0,205.48,201.8,204.02,32041952.0,6537199047.04
2025-02-03,200.69,203.75,200.1,201.23,27838348.0,5601910768.04
2025-02-04,203.39,207.05,202.81,206.38,43856425.0,9051088991.5
2025-02-05,191.07,192.75,188.03,191.33,70461770.0,13481450454.1
2025-02-06,189.5,192.1,188.72,191.6,29297442.0,5613389887.2
2025-02-07,191.05,191.18,183.24,185.34,49314961.0,9140034871.74
2025-02-10,187.35,188.2,185.86,186.47,23105649.0,4308510369.03
2025-02-11,185.03,186.94,184.28,185.32,21239519.0,3936107661.08
2025-02-12,183.22,185.11,181.83,183.61,22072559.0,4052742557.9900002
2025-02-13,184.32,186.28,183.14,186.14,21402523.0,3983865631.22
2025-02-14,185.055,186.4,184.32,185.23,20448437.0,3787663985.5099998
2025-02-18,185.6,185.96,181.7401,183.77,29916675.0,5497787364.75
2025-02-19,184.07,185.46,183.59,185.27,19549396.0,3621916596.92
2025-02-20,184.8,185.31,182.72,184.56,20441462.0,3772676226.7200003
2025-02-21,185.15,185.34,179.08,179.66,35199239.0,6323895278.74
2025-02-24,181.99,183.12,178.885,179.25,29854206.0,5351366425.5
2025-02-25,178.04,178.74,174.6939,175.42,41913411.0,7352450557.62
2025-02-26,175.07,176.08,171.5807,172.73,35431268.0,6120042921.639999
2025-02-27,173.99,174.56,167.94,168.5,39991015.0,6738486027.5
2025-02-28,168.68,170.61,166.77,170.28,48130565.0,8195672608.2
2025-03-03,171.925,173.37,165.93,167.01,40770451.0,6809073021.509999
2025-03-04,166.24,173.2946,165.8,170.92,45387996.0,7757716276.32
2025-03-05,170.52,173.78,169.06,173.02,30954922.0,5355820604.440001
2025-03-06,170.53,174.81,170.5,172.35,28301953.0,4877841599.55
2025-03-07,171.26,174.97,170.27,173.86,27385813.0,4761297448.18
2025-03-10,168.26,168.46,163.69,165.87,43604027.0,7232599958.49
2025-03-11,164.91,166.75,161.37,164.04,39587414.0,6493919392.559999
2025-03-12,166.58,167.6399,163.53,167.11,28372396.0,4741311095.56
2025-03-13,166.035,166.13,162.11,162.76,31756214.0,5168641390.639999
2025-03-14,163.27,166.49,162.45,165.49,31995894.0,5295000498.06
2025-03-17,165.03,166.3,163.67,164.29,31184335.0,5123274397.15
2025-03-18,163.675,164.25,156.72,160.67,42074751.0,6760150243.169999
2025-03-19,161.76,165.87,161.0,163.89,34275582.0,5617425133.98
2025-03-20,161.57,164.89,160.96,162.8,28138464.0,4580941939.200001
2025-03-21,161.205,164.24,160.8901,163.99,36625764.0,6006259038.360001
2025-03-24,167.065,168.32,165.14,167.68,30879129.0,5177812350.72
2025-03-25,168.98,170.63,168.315,170.56,24174373.0,4123181058.88
2025-03-26,169.0,169.61,164.84,165.06,28939326.0,4776725149.56
2025-03-27,164.63,165.42,162.0,162.24,24508273.0,3976222211.5200005
2025-03-28,160.49,161.82,153.63,154.33,48669335.0,7511138470.55
2025-03-31,153.11,155.54,150.662,154.64,54603464.0,8443879672.959999
2025-04-01,153.62,158.1,153.62,157.07,30672899.0,4817792245.929999
2025-04-02,155.15,158.4052,154.7,157.04,25041730.0,3932553279.2
2025-04-03,151.11,152.7799,150.39,150.72,46883371.0,7066261677.12
2025-04-04,148.01,151.07,145.38,145.6,62259539.0,9064988878.4
2025-04-07,141.55,152.85,140.53,146.75,76794136.0,11269539458.0
2025-04-08,151.22,152.24,143.03,144.7,52200208.0,7553370097.599999
2025-04-09,144.415,159.55,143.905,158.71,70406232.0,11174173080.720001
2025-04-10,156.54,157.72,149.93,152.82,48021972.0,7338717761.04
2025-04-11,152.9,157.67,152.82,157.14,33636239.0,5285598596.459999
2025-04-14,159.995,161.72,157.56,159.07,30332957.0,4825063469.99
2025-04-15,159.125,159.65,155.21,156.31,27551534.0,4306580279.54
2025-04-16,153.1,155.89,151.51,153.33,28187421.0,4321977261.93
2025-04-17,154.29,154.68,148.5,151.16,33046576.0,4995320428.16
2025-04-21,148.88,148.945,146.1,147.67,26049115.0,3846672812.0499997
2025-04-22,148.89,152.19,148.54,151.47,26971774.0,4085414607.7799997
2025-04-23,155.61,157.525,153.81,155.35,31128833.0,4835864206.55
2025-04-24,156.15,159.59,155.79,159.28,45893951.0,7309988515.28
2025-04-25,165.07,166.1,161.04,161.96,56033995.0,9075265830.2
2025-04-28,162.425,163.15,158.6,160.61,29745782.0,4777470047.02
2025-04-29,160.325,160.74,157.52,160.16,26808958.0,4293722713.2799997
2025-04-30,157.975,159.27,155.4,158.8,34981059.0,5554992169.200001
2025-05-01,160.45,161.95,158.91,161.3,30203248.0,4871783902.400001
2025-05-02,163.405,164.97,161.87,164.03,25715005.0,4218032270.15
2025-05-05,163.0,165.39,162.72,164.21,21341814.0,3504539276.94
2025-05-06,162.17,164.8,161.19,163.23,21277210.0,3473078988.2999997
2025-05-07,164.08,165.0,147.84,151.38,127747554.0,19338424724.52
2025-05-08,155.0,155.93,152.9,154.28,57498692.0,8870898201.76
2025-05-09,154.17,155.05,152.2,152.75,32435281.0,4954489172.75
2025-05-12,157.485,159.1,156.25,158.46,44138818.0,6994237100.280001
2025-05-13,158.79,160.57,156.16,159.53,42382126.0,6761220560.78
2025-05-14,159.96,167.0,159.61,165.37,48755869.0,8062758056.530001
2025-05-15,165.84,166.205,162.3732,163.96,33146669.0,5434727849.240001
2025-05-16,167.725,169.35,165.62,166.19,42846925.0,7120730465.75
2025-05-19,164.51,166.64,164.22,166.54,30426097.0,5067162194.38
2025-05-20,166.43,168.5,162.9,163.98,46607656.0,7642723430.879999
2025-05-21,163.69,173.14,163.56,168.56,73415956.0,12374993543.36
2025-05-22,171.85,176.77,170.71,170.87,74864418.0,12792083103.66
2025-05-23,169.055,169.96,167.89,168.47,35211439.0,5932071128.33
2025-05-27,170.16,173.17,170.0,172.9,37995670.0,6569451343.0
2025-05-28,173.16,175.265,171.9107,172.36,34783997.0,5995369722.92
