timestamps,open,high,low,close,volume,amount
2025-01-02,392.13,392.67,386.38,388.46,2418343.0,939429521.78
2025-01-03,389.82,391.01,385.81,389.18,2232389.0,868801151.02
2025-01-06,390.5,393.99,388.03,389.37,3274669.0,1275057868.53
2025-01-07,390.9,391.9,383.1,384.23,2274312.0,873858899.76
2025-01-08,383.0,387.69,380.1,387.2,2848462.0,1102924486.3999999
2025-01-10,388.91,392.91,384.615,389.89,5323431.0,2075552512.59
2025-01-13,389.99,395.86,387.7,389.18,3512936.0,1367164432.48
2025-01-14,390.59,394.2,389.63,392.78,3405174.0,1337484243.7199998
2025-01-15,406.65,408.0,401.76,406.09,4584769.0,1861828843.2099998
2025-01-16,406.27,410.105,403.916,409.33,2305938.0,943889601.54
2025-01-17,413.49,414.45,408.53,409.38,3228960.0,1321871644.8
2025-01-21,413.0,420.22,413.0,418.43,3568089.0,1492995480.27
2025-01-22,417.55,417.55,409.33,410.1,3581351.0,1468712045.1000001
2025-01-23,411.57,414.69,408.75,414.39,3840275.0,1591371557.25
2025-01-24,414.09,415.01,410.755,414.5,2370116.0,982413082.0
2025-01-27,414.9,426.1859,414.0,424.87,3699202.0,1571679953.74
2025-01-28,423.24,423.24,416.7,418.83,2818648.0,1180534341.84
2025-01-29,420.22,421.37,411.79,413.42,2385201.0,986089797.4200001
2025-01-30,416.41,417.3236,411.5192,414.5,3081304.0,1277200508.0
2025-01-31,413.17,416.38,410.32,411.98,2761798.0,1137805540.04
2025-02-03,406.12,411.9,401.01,408.76,2896444.0,1183950449.44
2025-02-04,409.51,412.58,406.085,411.49,2150773.0,885021581.77
2025-02-05,415.15,415.15,408.14,413.82,2212115.0,915417429.3
2025-02-06,414.91,417.79,413.0,414.16,2023667.0,838121924.72
2025-02-07,413.2,414.2899,406.5,407.37,2530505.0,1030851821.85
2025-02-10,410.64,414.95,408.7902,413.99,2617582.0,1083652772.18
2025-02-11,414.0,416.57,412.74,416.36,1442188.0,600469395.6800001
2025-02-12,408.58,409.65,402.12,407.14,3387401.0,1379146443.1399999
2025-02-13,408.71,412.98,407.49,412.43,3067859.0,1265277087.3700001
2025-02-14,415.0,417.9999,408.5551,409.5,3004396.0,1230300162.0
2025-02-18,408.31,408.87,400.22,403.31,3994025.0,1610830222.75
2025-02-19,397.22,398.64,392.935,395.43,3780014.0,1494730936.02
2025-02-20,393.0,394.76,391.1,394.64,2703526.0,1066919500.64
2025-02-21,396.4,397.815,383.9,385.3,5286976.0,2037071852.8
2025-02-24,386.09,386.55,378.2,382.42,5722039.0,2188222154.38
2025-02-25,385.0,401.01,384.19,393.29,6823898.0,2683770844.42
2025-02-26,395.24,398.87,388.56,390.48,3871549.0,1511762453.52
2025-02-27,389.91,395.47,388.325,390.27,2825142.0,1102568168.34
2025-02-28,394.42,396.87,390.2819,396.6,4263916.0,1691069085.6000001
2025-03-03,396.95,397.07,386.47,389.69,3397551.0,1323991649.19
2025-03-04,386.15,387.96,378.9,381.68,4384823.0,1673599242.64
2025-03-05,379.0,387.12,378.01,386.35,2780317.0,1074175472.95
2025-03-06,383.5,387.76,380.73,381.73,4221975.0,1611654516.75
2025-03-07,379.5,380.6502,368.9,376.8,4574277.0,1723587573.6000001
2025-03-10,377.44,383.12,372.61,374.65,3710542.0,1390154560.3
2025-03-11,374.22,374.93,365.7276,368.16,4013320.0,1477543891.2
2025-03-12,371.97,372.0,361.75,364.73,3368038.0,1228424499.74
2025-03-13,361.91,362.0,345.26,347.25,7062396.0,2452417011.0
2025-03-14,350.65,351.39,345.42,351.31,5510696.0,1935962611.76
2025-03-17,351.76,355.55,350.96,354.13,3681459.0,1303715075.67
2025-03-18,353.53,353.89,347.59,349.57,3008238.0,1051589757.66
2025-03-19,352.0,354.4263,348.985,353.42,2990191.0,1056793303.22
2025-03-20,354.69,361.7665,352.2,355.52,3391223.0,1205647600.96
2025-03-21,352.09,353.39,346.275,351.15,8205413.0,2881330774.95
2025-03-24,354.62,364.43,354.28,363.77,4023527.0,1463638416.79
2025-03-25,361.53,363.65,358.54,360.99,2799657.0,1010648180.4300001
2025-03-26,360.39,364.73,360.12,362.13,3141372.0,1137585042.36
2025-03-27,361.9,365.21,361.15,362.73,3036580.0,1101458663.4
2025-03-28,363.16,363.2,356.17,358.15,2980206.0,1067360778.9
2025-03-31,353.495,368.74,352.65,366.49,4498842.0,1648780604.58
2025-04-01,364.14,367.29,361.92,365.52,2801979.0,1024179364.0799999
2025-04-02,362.56,372.3099,362.26,370.89,3189508.0,1182956622.12
2025-04-03,355.78,360.04,351.7147,355.91,5407124.0,1924449502.8400002
2025-04-04,350.71,365.44,349.04,353.9,7531133.0,2665267968.7
2025-04-07,344.3,354.22,333.5,341.51,6950486.0,2373660473.86
2025-04-08,350.38,354.0,329.74,335.24,4868020.0,1631955024.8
2025-04-09,328.6,356.04,326.31,355.39,6792988.0,2414160005.3199997
2025-04-10,352.85,355.29,339.66,353.62,5574797.0,1971359715.14
2025-04-11,350.31,354.47,344.2,353.86,3576408.0,1265547734.88
2025-04-14,357.8,359.02,353.6,357.2,2842090.0,1015194548.0
2025-04-15,356.56,361.4446,353.3201,354.11,2883120.0,1020941623.2
2025-04-16,351.84,353.8,344.32,345.99,2637577.0,912575266.23
2025-04-17,348.55,357.5,348.37,355.06,3232397.0,1147694878.82
2025-04-21,354.29,354.355,341.8,346.9,4015242.0,1392887449.8
2025-04-22,351.16,356.215,350.42,354.43,2802374.0,993245416.82
2025-04-23,361.92,364.84,354.85,356.42,3283290.0,1170230221.8
2025-04-24,356.5,360.4,354.61,359.64,2749485.0,988824785.4
2025-04-25,357.7,359.0,354.74,357.58,2811278.0,1005256787.24
2025-04-28,357.99,360.1,354.51,356.92,2412991.0,861244747.72
2025-04-29,355.89,360.58,354.73,359.0,2837019.0,1018489821.0
2025-04-30,356.5,361.27,352.38,360.49,3741474.0,1348763962.26
2025-05-01,360.31,362.88,357.72,358.3,3210084.0,1150173097.2
2025-05-02,362.08,366.2299,361.16,364.52,2283261.0,832294299.7199999
2025-05-05,362.13,364.2599,359.73,361.73,2563500.0,927294855.0
2025-05-06,358.68,362.27,357.13,359.38,2299714.0,826471217.3199999
2025-05-07,360.48,363.78,359.76,362.75,2657494.0,964005948.5
2025-05-08,364.01,369.31,362.26,364.86,3035784.0,1107636150.24
2025-05-09,362.13,365.57,361.5,362.71,1970880.0,714857884.8
2025-05-12,375.0,378.72,373.48,376.59,3831670.0,1442968605.3
2025-05-13,381.0,381.0,372.95,373.6,2726798.0,1018731732.8000001
2025-05-14,371.9,375.785,370.8255,372.81,2587687.0,964715590.47
2025-05-15,372.1,379.33,371.515,378.63,2830697.0,1071786805.11
2025-05-16,380.23,381.17,378.1497,380.78,3129062.0,1191484228.36
2025-05-19,374.19,381.16,374.16,379.38,4428247.0,1679988346.86
2025-05-20,386.37,389.75,374.0501,377.05,6287395.0,2370662284.75
2025-05-21,377.98,378.325,368.595,370.84,3966046.0,1470768498.6399999
2025-05-22,368.0,369.23,364.57,366.13,2957341.0,1082771260.33
2025-05-23,362.38,364.7179,361.15,362.71,3115209.0,1129917456.3899999
2025-05-27,365.89,370.55,365.16,370.4,3998471.0,1481033658.3999999
2025-05-28,368.82,371.15,367.4332,368.06,2986141.0,1099079056.46
