timestamps,open,high,low,close,volume,amount
2025-01-02,145.23,145.77,143.78,144.02,6051330.0,871512546.6
2025-01-03,144.07,144.575,143.62,144.19,5879816.0,847810669.04
2025-01-06,143.51,144.815,142.93,143.66,7910493.0,1136421424.3799999
2025-01-07,143.755,147.18,143.59,146.23,8422010.0,1231550522.3
2025-01-08,145.49,145.59,141.44,142.27,11175552.0,1589945783.0400002
2025-01-10,141.0,143.67,140.68,142.06,8821541.0,1253188114.46
2025-01-13,142.98,145.07,142.31,144.47,10376377.0,1499075185.19
2025-01-14,144.5,144.81,142.86,144.75,8681741.0,1256682009.75
2025-01-15,145.31,146.05,144.26,144.97,7434562.0,1077788453.14
2025-01-16,144.32,148.07,144.06,147.77,8964016.0,1324612644.3200002
2025-01-17,147.44,148.38,146.61,147.03,10773054.0,1583962129.6200001
2025-01-21,147.56,148.86,147.05,148.15,11111747.0,1646205318.05
2025-01-22,144.0,145.47,142.11,145.27,16834747.0,2445583696.69
2025-01-23,145.44,147.91,144.8144,146.64,10506361.0,1540652777.04
2025-01-24,146.805,147.631,146.383,146.82,9887682.0,1451709471.24
2025-01-27,148.45,153.45,148.0,152.89,15152314.0,2316637287.4599996
2025-01-28,152.66,152.97,150.3,150.38,10320613.0,1552013782.94
2025-01-29,150.5,151.88,150.0,151.15,7156421.0,1081693034.15
2025-01-30,151.91,154.14,151.36,152.87,8910983.0,1362221971.21
2025-01-31,152.62,153.18,152.055,152.15,8458715.0,1286993487.25
2025-02-03,152.0,152.465,150.78,151.87,6687487.0,1015628650.69
2025-02-04,151.36,154.18,150.945,153.49,9645289.0,1480455408.6100001
2025-02-05,153.82,154.73,153.31,154.69,8946957.0,1384004778.33
2025-02-06,154.79,154.8402,153.38,153.51,7418468.0,1138809022.6799998
2025-02-07,153.53,154.49,152.8,153.12,6204916.0,950096737.9200001
2025-02-10,153.61,154.37,152.29,154.24,6936561.0,1069895168.6400001
2025-02-11,154.11,156.39,153.94,156.13,7554811.0,1179532641.43
2025-02-12,155.27,155.6599,154.27,155.26,7746014.0,1202646133.6399999
2025-02-13,155.26,158.13,154.79,157.25,10705077.0,1683373358.25
2025-02-14,157.29,157.47,156.06,156.15,6411840.0,1001208816.0
