timestamps,open,high,low,close,volume,amount
2025-01-02,240.92,243.276,239.45,240.0,9220914.0,2213019360.0
2025-01-03,243.89,244.88,240.26,243.28,9491053.0,2308983373.84
2025-01-06,243.695,245.69,240.58,240.85,9917836.0,2388710800.6
2025-01-07,242.14,245.26,240.9,243.17,8753357.0,2128553821.6899998
2025-01-08,242.75,244.25,240.5,243.13,8675284.0,2109221798.92
2025-01-10,243.09,243.81,238.74,239.87,10256829.0,2460305572.23
2025-01-13,239.67,244.54,239.0,244.21,10005315.0,2443397976.15
2025-01-14,242.66,247.72,242.19,247.47,12407386.0,3070455813.42
2025-01-15,250.4,253.6699,243.68,252.35,18448520.0,4655484022.0
2025-01-16,254.0,257.035,252.33,254.27,15292348.0,3888385325.96
2025-01-17,254.14,260.62,252.14,259.16,17678101.0,4581456655.160001
2025-01-21,260.07,264.25,259.5037,263.03,13712114.0,3606697345.4199996
2025-01-22,262.9,263.38,260.25,262.84,9021914.0,2371319875.7599998
2025-01-23,264.69,266.8599,263.81,265.95,10749681.0,2858877661.95
2025-01-24,263.69,267.1,263.01,264.84,7666261.0,2030332563.2399998
2025-01-27,264.17,265.97,262.26,265.85,7522258.0,1999792289.3000002
2025-01-28,265.85,267.33,264.8301,267.14,7375391.0,1970261951.74
2025-01-29,267.21,270.68,265.61,266.58,7684870.0,2048632644.6
2025-01-30,268.63,269.7,266.6201,268.23,8753466.0,2347942185.1800003
2025-01-31,269.23,270.82,266.96,267.3,7196268.0,1923562436.4
2025-02-03,261.83,268.165,261.7009,266.81,8381361.0,2236230928.41
2025-02-04,269.84,269.84,266.83,267.94,5625972.0,1507422937.68
2025-02-05,268.91,270.64,268.33,270.43,5704431.0,1542649275.33
2025-02-06,272.45,276.98,271.19,276.9,7264371.0,2011504329.8999999
2025-02-07,277.27,278.55,274.715,275.8,6857875.0,1891401925.0
2025-02-10,276.15,276.18,269.59,271.04,8627352.0,2338357486.0800004
2025-02-11,270.26,276.22,269.66,274.99,7196376.0,1978931436.24
2025-02-12,274.08,276.45,273.25,275.45,6683894.0,1841078602.3
2025-02-13,275.5,276.97,273.81,276.32,8398667.0,2320719665.44
2025-02-14,277.37,279.2334,276.45,276.59,5688627.0,1573417341.9299998
2025-02-18,276.76,279.97,276.02,279.95,7919798.0,2217147450.1
2025-02-19,278.38,280.25,277.22,279.25,7007248.0,1956774004.0
2025-02-20,278.675,278.74,265.735,266.8,13846671.0,3694291822.8
2025-02-21,268.32,269.1955,262.84,264.24,12835566.0,3391669959.84
2025-02-24,265.49,267.0,258.61,261.34,10372751.0,2710814746.3399997
2025-02-25,262.23,263.0,253.35,257.4,9608439.0,2473212198.6
2025-02-26,257.16,260.9115,256.93,258.79,5943585.0,1538140362.15
2025-02-27,260.18,263.64,257.86,259.05,8204447.0,2125361995.3500001
2025-02-28,260.73,264.81,257.89,264.65,10467126.0,2770124895.8999996
2025-03-03,264.0,266.32,257.82,260.62,9058307.0,2360775970.34
2025-03-04,255.28,257.23,245.95,250.25,13465630.0,3369773907.5
2025-03-05,251.25,253.05,247.83,251.53,7861424.0,1977383978.72
2025-03-06,248.11,249.36,243.85,246.54,9983235.0,2461266756.9
2025-03-07,245.23,246.72,239.42,242.28,20498734.0,4966433273.52
2025-03-10,236.21,237.51,228.695,232.22,18887186.0,4385982332.92
2025-03-11,231.745,233.32,226.69,229.14,18142995.0,4157285874.2999997
2025-03-12,234.0,234.32,227.26,227.9,16054015.0,3658710018.5
2025-03-13,229.3,229.5,224.23,225.19,16467851.0,3708395366.69
2025-03-14,228.12,233.143,227.58,232.44,11962108.0,2780472383.52
