timestamps,open,high,low,close,volume,amount
2025-01-02,780.59,787.0,771.77,778.07,1941191.0,1510382481.3700001
2025-01-03,778.17,785.84,775.53,781.98,1799992.0,1407557744.16
2025-01-06,783.715,784.765,763.35,765.1,3991077.0,3053573012.7000003
2025-01-07,764.9,783.96,761.6202,773.29,3576092.0,2765356182.68
2025-01-08,773.83,792.56,770.665,787.22,3478440.0,2738297536.8
2025-01-10,791.93,800.0,784.86,799.9,3973129.0,3178105887.1
2025-01-13,794.4,805.34,783.61,797.48,3683849.0,2937795900.52
2025-01-14,784.225,784.225,729.0,744.91,10372975.0,7726932807.25
2025-01-15,749.0,754.6,735.265,746.74,5736908.0,4283978679.92
2025-01-16,747.5,765.51,746.4,757.6,3070254.0,2326024430.4
2025-01-17,747.83,755.2799,725.01,725.72,5560101.0,4035076497.7200003
2025-01-21,731.27,743.28,726.53,742.35,5122833.0,3802935077.55
2025-01-22,745.575,760.37,739.05,753.98,3737751.0,2818189498.98
2025-01-23,747.66,766.6,744.25,766.6,3127173.0,2397290821.8
2025-01-24,761.95,789.29,760.49,785.41,4170616.0,3275643512.56
2025-01-27,778.71,809.25,778.71,808.17,3915247.0,3164185167.99
2025-01-28,807.24,816.15,800.11,804.99,2808766.0,2261028542.34
2025-01-29,806.99,809.1199,799.0,804.08,1827645.0,1469572791.6000001
2025-01-30,808.41,824.62,805.0,823.23,2642984.0,2175783718.32
2025-01-31,823.0,827.35,811.03,811.08,2562617.0,2078487396.3600001
2025-02-03,804.27,817.96,801.75,810.43,2808849.0,2276375495.0699997
2025-02-04,811.05,829.04,805.935,826.07,4299729.0,3551877135.03
2025-02-05,835.15,846.9,831.0558,842.18,4578885.0,3856245369.2999997
2025-02-06,839.52,887.7368,835.61,870.37,7138547.0,6213177152.39
2025-02-07,876.53,889.36,869.6186,878.31,4426107.0,3887494039.1699996
2025-02-10,877.725,880.0,859.37,868.88,3065624.0,2663659381.12
2025-02-11,867.03,874.19,860.5,865.0,1944467.0,1681963955.0
2025-02-12,856.93,877.78,856.11,872.97,2533391.0,2211574341.27
2025-02-13,877.07,883.4999,867.8,871.86,2472948.0,2156064443.28
2025-02-14,869.1,873.4999,841.49,844.27,3222324.0,2720511483.48
2025-02-18,856.42,862.73,851.36,857.2,4289381.0,3676857393.2000003
2025-02-19,857.175,881.3268,857.175,867.05,3205482.0,2779313168.1
2025-02-20,866.84,880.32,864.0,873.12,2990281.0,2610874146.72
2025-02-21,880.62,894.4,873.43,873.68,3940432.0,3442676629.7599998
2025-02-24,879.29,893.11,870.0175,881.4,3017053.0,2659230514.2
2025-02-25,890.74,911.9999,890.74,901.8,5111285.0,4609356813.0
2025-02-26,898.365,922.4299,896.6,915.01,3032835.0,2775074353.35
2025-02-27,915.72,925.5,904.06,905.16,3085359.0,2792743552.44
2025-02-28,901.84,921.22,892.6129,920.63,4071129.0,3748003491.27
2025-03-03,912.8,935.625,910.0,929.72,3979760.0,3700062467.2000003
2025-03-04,922.235,929.16,902.7901,911.06,3343495.0,3046124554.7
2025-03-05,904.8,930.49,901.64,929.72,3109456.0,2890923432.32
2025-03-06,920.42,931.38,898.28,912.76,3273078.0,2987534675.2799997
2025-03-07,905.39,908.0,861.39,869.58,4818093.0,4189717310.94
2025-03-10,853.91,863.19,825.78,829.76,5962920.0,4947792499.2
2025-03-11,827.2,832.35,811.64,824.06,3796512.0,3128553678.72
2025-03-12,814.95,834.65,813.26,821.86,3014828.0,2477766540.08
2025-03-13,818.24,821.1059,795.38,801.65,3566282.0,2858909965.2999997
2025-03-14,803.11,815.21,800.0,813.48,3102321.0,2523676087.08
2025-03-17,816.95,828.9999,814.57,824.76,2546593.0,2100328042.68
2025-03-18,833.42,836.29,812.615,822.51,2355028.0,1937034080.28
2025-03-19,821.72,842.13,819.5,837.01,3790546.0,3172724907.46
2025-03-20,839.03,854.3899,832.4647,842.57,4402727.0,3709605688.3900003
2025-03-21,837.8,850.425,825.32,837.57,5963841.0,4995134306.37
2025-03-24,845.32,866.87,837.76,864.9,3102378.0,2683246732.2
2025-03-25,869.55,874.92,847.92,852.35,2670595.0,2276281648.25
2025-03-26,845.69,851.41,826.4,826.76,2564074.0,2119873820.24
2025-03-27,822.815,826.77,815.29,821.67,2128215.0,1748690419.05
2025-03-28,820.0,829.78,817.43,822.51,2125058.0,1747881455.58
2025-03-31,808.98,828.01,789.4,825.91,3737328.0,3086696568.48
2025-04-01,818.6,820.66,797.0,805.23,2987721.0,2405802580.83
2025-04-02,795.04,819.85,795.04,818.22,2683841.0,2195972383.02
2025-04-03,810.51,818.79,787.06,789.09,2675092.0,2110888346.28
2025-04-04,762.11,768.27,734.6975,738.21,5299446.0,3912104031.6600003
2025-04-07,697.93,748.0,677.0912,723.73,6274432.0,4540994671.36
2025-04-08,754.98,763.504,713.2837,726.24,4115191.0,2988616311.84
2025-04-09,704.4,754.83,689.0,753.71,6618978.0,4988789908.38
2025-04-10,738.9,741.95,691.765,720.91,4182699.0,3015349536.0899997
2025-04-11,722.89,735.8394,711.975,732.41,3603402.0,2639167658.8199997
2025-04-14,750.45,759.56,734.5201,754.35,3461155.0,2610922274.25
2025-04-15,755.57,765.31,751.49,757.18,2458145.0,1861258231.1
2025-04-16,755.64,756.3,730.34,734.9,3302584.0,2427068981.6
2025-04-17,840.8,858.0,821.84,839.96,10853385.0,9116409264.6
2025-04-21,841.51,843.91,807.0,818.02,3326647.0,2721263778.94
2025-04-22,821.88,832.0,814.0,827.54,3086504.0,2554205520.16
2025-04-23,836.96,846.01,818.64,829.42,2714595.0,2251539384.9
2025-04-24,836.0,862.25,829.21,859.73,2939516.0,2527190090.68
2025-04-25,859.66,885.58,851.0688,884.54,3398884.0,3006448853.3599997
2025-04-28,870.44,882.25,864.4101,877.29,3457569.0,3033290708.0099998
2025-04-29,877.7,892.47,874.03,885.2,2454441.0,2172671173.2000003
2025-04-30,888.2,902.4999,882.12,898.95,4374094.0,3932091801.3
2025-05-01,844.0,850.93,792.07,794.1,12601092.0,10006527157.2
2025-05-02,825.115,831.53,807.585,823.62,6059361.0,4990610906.82
2025-05-05,817.0,829.64,812.025,821.46,2889574.0,2373669458.04
2025-05-06,816.89,818.42,770.35,775.12,5981971.0,4636745361.52
2025-05-07,780.5,784.34,772.26,776.72,3818272.0,2965728227.84
2025-05-08,765.0,769.979,739.08,751.45,6162033.0,4630459697.85
2025-05-09,752.01,762.01,733.0,734.57,4072561.0,2991581133.77
2025-05-12,727.87,765.3299,722.18,755.57,9176065.0,6933159432.05
2025-05-13,755.55,759.4999,740.8501,746.06,4523911.0,3375109040.66
2025-05-14,749.24,759.5,714.03,715.56,7558516.0,5408571708.96
2025-05-15,725.7,738.68,712.21,733.29,5212870.0,3822545442.2999997
2025-05-16,740.0,758.87,738.0,757.39,4645121.0,3518168194.19
2025-05-19,753.0,758.72,747.56,755.11,4062745.0,3067819376.9500003
2025-05-20,756.0,763.495,743.0001,747.01,3873473.0,2893523065.73
2025-05-21,747.05,750.52,723.97,724.95,4059969.0,2943274526.55
2025-05-22,717.1,722.1883,711.55,715.2,4249900.0,3039528480.0
2025-05-23,710.0,719.64,709.0,713.71,2635706.0,1881129729.26
2025-05-27,717.03,731.31,714.33,725.22,3792652.0,2750507083.44
2025-05-28,725.22,729.99,714.74,719.39,2948772.0,2121317089.08
2025-05-29,719.23,727.327,716.955,722.57,2786929.0,2013751287.5300002
2025-05-30,725.0,745.9,717.11,737.67,6106236.0,4504387110.12
2025-06-02,732.5,747.37,730.695,747.12,2946864.0,2201661031.68
2025-06-03,746.25,757.0,741.46,750.78,3056488.0,2294750060.64
2025-06-04,756.39,772.62,756.0,765.84,3135930.0,2401620631.2000003
2025-06-05,769.5,770.0,753.05,765.68,3638629.0,2786025452.72
2025-06-06,768.48,772.6,765.2,769.88,2069864.0,1593546896.32
2025-06-09,771.95,779.29,767.5929,773.71,2262158.0,1750254266.18
2025-06-10,777.09,808.63,777.0,807.19,4744424.0,3829651608.5600004
2025-06-11,809.65,820.7178,805.0272,808.61,3125380.0,2527213521.8
2025-06-12,810.33,818.555,806.35,812.03,2271087.0,1844190776.61
2025-06-13,810.335,825.0,808.1001,819.36,2754603.0,2257011514.08
2025-06-16,821.68,825.0,805.7575,807.58,2821770.0,2278805016.6
2025-06-17,805.16,805.16,788.935,791.24,2875634.0,2275316646.16
2025-06-18,789.95,790.625,779.44,785.03,2442938.0,1917779618.1399999
2025-06-20,786.0,786.0,755.56,762.73,6210647.0,4737046786.31
2025-06-23,770.53,793.21,763.83,770.64,3951536.0,3045211703.04
2025-06-24,772.89,784.44,763.02,778.08,2788473.0,2169655071.84
2025-06-25,779.0,798.95,773.595,792.3,3023134.0,2395229068.2
2025-06-26,793.95,798.8,788.25,795.12,3118189.0,2479334437.68
2025-06-27,795.8,802.5,774.64,775.45,4115147.0,3191090741.15
2025-06-30,778.54,785.0,774.0,779.53,3041492.0,2370934258.7599998
2025-07-01,779.53,790.0,773.0,775.9,2733978.0,2121293530.2
2025-07-02,776.5,779.84,768.0,779.28,1978285.0,1541637934.8
2025-07-03,780.46,783.55,773.0,780.67,1450772.0,1132574177.24
2025-07-07,780.68,781.1481,762.03,772.87,2576881.0,1991594018.47
2025-07-08,774.85,792.69,768.8001,777.66,3301776.0,2567659124.16
2025-07-09,783.8,794.0,781.99,786.92,2703085.0,2127111648.1999998
2025-07-10,789.67,799.4922,786.43,790.65,3131256.0,2475727556.4
2025-07-11,786.35,795.73,777.2,793.01,2852544.0,2262095917.44
2025-07-14,790.0,800.88,787.36,799.34,2401422.0,1919552661.48
2025-07-15,801.67,805.42,764.38,771.75,4174059.0,3221330033.25
2025-07-16,773.5,796.0354,772.16,789.8,3255436.0,2571143352.7999997
2025-07-17,786.79,790.0,760.0201,761.5,4107259.0,3127677728.5
2025-07-18,763.86,775.96,760.5,771.71,3357745.0,2591205393.9500003
2025-07-21,768.17,772.0,760.5,762.18,3058007.0,2330751775.2599998
2025-07-22,763.34,778.29,762.5,776.44,2496628.0,1938481844.3200002
2025-07-23,780.0,800.09,777.08,798.89,2683557.0,2143866851.73
2025-07-24,801.36,810.14,797.65,805.43,2786773.0,2244550577.39
2025-07-25,809.0,815.19,802.37,812.69,2976879.0,2419279794.51
