timestamps,open,high,low,close,volume,amount
2025-01-02,529.19,530.56,517.66,522.4,2818795.0,1472538508.0
2025-01-03,522.53,524.46,517.68,521.36,1627726.0,848631227.36
2025-01-06,520.97,521.36,511.01,511.93,2920787.0,1495238488.91
2025-01-07,513.68,516.33,511.075,511.4,2211877.0,1131153897.8
2025-01-08,512.04,517.45,511.5325,516.4,2456715.0,1268647626.0
2025-01-10,512.12,513.76,503.36,504.67,2815624.0,1420960964.0800002
2025-01-13,501.0,506.15,499.92,504.91,2885549.0,1456942545.5900002
2025-01-14,507.07,509.39,504.21,509.02,2704795.0,1376794750.8999999
2025-01-15,515.57,523.77,513.73,522.35,3025066.0,1580143225.1000001
2025-01-16,523.62,527.12,520.72,523.14,3275700.0,1713649698.0
2025-01-17,524.58,528.13,521.01,524.7,2374798.0,1246056510.6000001
2025-01-21,527.66,529.98,526.91,528.06,2706947.0,1429430432.82
2025-01-22,528.0,530.3,525.67,527.18,2037643.0,1074204636.74
2025-01-23,529.05,534.35,528.68,534.22,2196457.0,1173391258.54
2025-01-24,532.99,536.06,532.15,533.49,2473012.0,1319327171.88
2025-01-27,533.58,547.99,531.655,547.64,3074807.0,1683887305.48
2025-01-28,546.54,551.5519,542.66,547.36,2727798.0,1493087513.28
2025-01-29,547.0,550.61,546.5,548.8,2549001.0,1398891748.8
2025-01-30,555.0,576.94,554.53,566.01,6005206.0,3399006648.06
2025-01-31,563.82,565.54,554.64,555.43,4505520.0,2502500973.6
2025-02-03,552.64,565.0,551.07,563.95,3195610.0,1802164259.5000002
2025-02-04,570.88,572.0,557.58,559.11,2639060.0,1475524836.6000001
2025-02-05,561.35,566.87,559.8,566.29,2404997.0,1361925751.1299999
2025-02-06,566.13,569.75,564.54,567.16,1738474.0,985992913.8399999
2025-02-07,568.06,570.05,561.78,562.75,2008409.0,1130232164.75
2025-02-10,565.25,567.27,561.0,565.49,2357752.0,1333285178.48
2025-02-11,564.99,566.4299,559.2201,564.7,1847808.0,1043457177.6000001
2025-02-12,562.01,564.75,559.44,564.6,1722312.0,972417355.2
2025-02-13,565.6,567.39,561.47,566.31,1709499.0,968106378.6899999
2025-02-14,566.01,569.24,564.13,564.76,1927797.0,1088742633.72
2025-02-18,564.9,568.63,561.515,568.61,2064246.0,1173750918.06
2025-02-19,567.49,570.7,566.645,568.5,2459132.0,1398016542.0
2025-02-20,568.15,568.5,559.04,563.28,2181938.0,1229042036.6399999
2025-02-21,561.43,564.8,556.58,557.51,2256340.0,1257932113.4
2025-02-24,558.43,561.46,556.793,559.0,1752627.0,979718493.0
2025-02-25,562.44,566.045,552.69,564.03,3609836.0,2036055799.08
2025-02-26,562.59,566.68,559.6025,561.27,2027993.0,1138251631.11
2025-02-27,565.57,574.6999,564.0,564.82,2436724.0,1376310449.68
2025-02-28,567.3,576.43,564.0,576.31,3205380.0,1847292547.7999997
2025-03-03,577.33,582.23,570.0,574.92,3092583.0,1777987818.36
2025-03-04,570.46,573.2,552.01,555.07,3318100.0,1841777767.0000002
2025-03-05,552.58,560.9899,551.3201,558.3,2795399.0,1560671261.6999998
2025-03-06,548.5,555.68,544.694,549.82,3133333.0,1722769150.0600002
2025-03-07,547.07,550.375,536.28,546.77,3161510.0,1728618822.7
2025-03-10,538.15,548.56,532.02,537.12,3893378.0,2091211191.3600001
2025-03-11,537.2,538.05,522.25,525.8,4583034.0,2409759277.2
2025-03-12,530.51,532.71,519.26,524.64,2810986.0,1474755695.04
2025-03-13,524.5,528.53,517.71,519.83,2376085.0,1235160265.5500002
2025-03-14,522.6,528.41,520.95,527.64,2369655.0,1250324764.2
2025-03-17,523.25,533.48,521.48,531.99,2544872.0,1353846455.28
2025-03-18,532.34,532.59,525.51,530.19,2363387.0,1253044153.5300002
2025-03-19,531.565,537.615,529.58,536.09,2804277.0,1503344856.93
2025-03-20,533.6,540.485,532.55,536.38,2598700.0,1393890706.0
2025-03-21,535.44,538.05,530.755,535.69,5973495.0,3199941536.55
2025-03-24,539.35,545.46,538.235,543.67,2758837.0,1499896911.79
2025-03-25,545.95,547.18,542.0,545.16,2138267.0,1165697637.72
2025-03-26,547.14,551.03,545.1187,549.07,2681705.0,1472443764.3500001
2025-03-27,549.07,561.83,547.8,557.57,2901339.0,1617699586.2300003
2025-03-28,554.225,558.59,540.09,540.61,2656767.0,1436274807.8700001
2025-03-31,532.16,551.43,531.02,548.12,4741966.0,2599166403.92
2025-04-01,546.8,551.1536,544.0,548.51,2714883.0,1489140474.33
2025-04-02,542.86,549.525,541.65,547.38,2994565.0,1639164989.7
2025-04-03,528.42,539.99,527.0,530.55,3443480.0,1826938313.9999998
2025-04-04,519.62,520.88,488.29,489.77,6125102.0,2999891206.54
2025-04-07,478.5,502.2,465.59,485.52,6009467.0,2917716417.8399997
2025-04-08,501.0,505.57,471.66,479.92,3555406.0,1706310447.52
2025-04-09,470.11,518.51,470.0,515.43,4698444.0,2421718990.9199996
2025-04-10,506.83,508.63,484.1301,499.34,4105573.0,2050076821.82
2025-04-11,498.26,515.91,495.91,509.75,3736473.0,1904667111.75
2025-04-14,515.87,523.42,508.5,512.46,3005487.0,1540191868.0200002
2025-04-15,513.4,521.2873,513.38,517.38,2211036.0,1143945805.68
2025-04-16,516.05,521.72,509.865,513.43,2501114.0,1284146961.02
2025-04-17,510.95,523.98,509.13,517.33,3329846.0,1722629231.18
2025-04-21,517.0,517.65,503.5404,509.32,3345566.0,1703963675.12
2025-04-22,515.62,528.8,512.75,527.33,2384004.0,1257156829.3200002
2025-04-23,537.74,543.94,527.62,530.01,3051763.0,1617464907.6299999
2025-04-24,528.69,536.04,525.27,535.46,2209317.0,1183000880.8200002
2025-04-25,535.46,536.92,529.875,533.48,2006197.0,1070265975.5600001
2025-04-28,536.03,537.76,530.5,534.49,1735531.0,927623964.19
