timestamps,open,high,low,close,volume,amount
2025-01-02,100.28,100.35,98.83,99.17,6153261.0,610218893.37
2025-01-03,99.34,99.75,98.69,99.14,6072551.0,602032706.14
2025-01-06,98.77,100.33,98.42,99.72,10111144.0,1008283279.68
2025-01-07,100.13,102.97,100.05,101.02,10890890.0,1100197707.8
2025-01-08,100.7,100.77,98.05,99.85,8654722.0,864173991.6999999
2025-01-10,99.21,100.405,98.81,99.25,11328770.0,1124380422.5
2025-01-13,99.46,101.159,98.99,100.98,8168081.0,824812819.38
2025-01-14,101.26,101.49,99.01,99.65,10927440.0,1088919396.0
2025-01-15,100.095,100.82,99.61,100.09,9170335.0,917858830.15
2025-01-16,100.44,100.895,99.95,100.7,7749642.0,780388949.4
2025-01-17,100.47,100.47,97.92,97.92,16181960.0,1584537523.2
2025-01-21,98.08,98.27,95.76,96.24,17756056.0,1708842829.4399998
2025-01-22,95.955,97.0,95.15,95.68,13070881.0,1250621894.0800002
2025-01-23,96.11,97.155,95.22,96.63,11522811.0,1113449226.93
2025-01-24,96.79,97.1,95.405,95.55,12244790.0,1169989684.5
2025-01-27,96.63,98.62,95.98,97.94,15093381.0,1478245735.1399999
2025-01-28,97.35,98.88,96.59,97.45,12840948.0,1251350382.6000001
2025-01-29,97.42,99.15,97.39,98.28,10225477.0,1004959879.5600001
2025-01-30,99.41,99.41,98.23,98.95,10164720.0,1005799044.0
2025-01-31,99.1,100.0599,98.58,98.82,11421621.0,1128684587.22
2025-02-03,98.13,100.15,98.0,99.79,13363888.0,1333582383.52
2025-02-04,89.0,91.23,87.33,90.74,50837558.0,4613000012.92
2025-02-05,90.39,90.74,87.995,89.67,21670599.0,1943202612.33
2025-02-06,89.41,89.5713,87.84,88.05,19509701.0,1717829173.05
2025-02-07,87.52,88.6,87.12,87.28,15814967.0,1380330319.76
2025-02-10,87.2,87.98,86.27,86.4,21212053.0,1832721379.2
2025-02-11,86.06,86.99,85.73,86.54,20922343.0,1810619563.22
2025-02-12,86.07,86.67,85.61,85.67,14785256.0,1266652881.52
2025-02-13,85.585,85.7,84.31,84.42,20415058.0,1723439196.3600001
2025-02-14,84.415,84.78,82.0939,83.01,26778993.0,2222924208.9300003
2025-02-18,81.13,83.59,81.04,83.29,25897772.0,2157025429.88
2025-02-19,83.24,85.63,82.85,85.6,17435060.0,1492441136.0
2025-02-20,85.9,87.7,85.9,87.68,14851549.0,1302183816.3200002
2025-02-21,88.0,89.53,87.01,89.5,15678892.0,1403260834.0
2025-02-24,89.71,91.85,88.93,91.27,19452296.0,1775411055.9199998
2025-02-25,91.75,93.055,90.44,91.43,18417272.0,1683891178.96
2025-02-26,91.3,91.37,88.86,89.38,13534225.0,1209689030.5
2025-02-27,89.35,90.97,89.25,90.58,10717472.0,970788613.76
2025-02-28,90.705,92.35,90.705,92.25,15482079.0,1428221787.75
2025-03-03,91.775,93.21,91.775,93.15,13636057.0,1270198709.5500002
2025-03-04,93.57,95.36,92.32,92.56,15072992.0,1395156139.52
2025-03-05,91.08,93.45,90.5,93.19,13117129.0,1222385251.51
2025-03-06,93.13,94.05,91.78,94.0,11300177.0,1062216638.0
2025-03-07,94.26,97.37,93.85,94.65,24100865.0,2281146872.25
2025-03-10,94.685,97.0,94.685,95.23,20897609.0,1990079305.0700002
2025-03-11,94.98,95.38,93.58,94.73,21734793.0,2058936940.89
2025-03-12,94.07,94.4,92.8575,93.35,11896007.0,1110492253.45
2025-03-13,93.4,96.34,93.4,94.71,16570142.0,1569358148.82
2025-03-14,94.28,94.875,93.45,94.57,12681125.0,1199253991.25
2025-03-17,93.645,95.2956,93.08,94.79,12237906.0,1160031109.74
2025-03-18,95.225,95.41,93.84,94.72,8670307.0,821251479.04
2025-03-19,95.25,95.43,93.64,94.02,11355880.0,1067679837.5999999
2025-03-20,93.995,95.16,93.68,94.73,12970165.0,1228663730.45
2025-03-21,94.58,94.68,93.07,93.11,68435789.0,6372056313.79
2025-03-24,92.9,93.11,91.56,92.31,16950115.0,1564665115.65
2025-03-25,92.31,92.31,87.08,87.87,20640186.0,1813653143.8200002
2025-03-26,88.24,89.32,87.31,88.11,13810072.0,1216805443.92
2025-03-27,88.5,88.555,87.38,87.6,12931936.0,1132837593.6
2025-03-28,88.2,90.14,87.6701,89.23,12393480.0,1105870220.4
2025-03-31,89.25,90.265,88.37,89.76,15002990.0,1346668382.4
2025-04-01,89.75,89.75,86.61,87.12,13922105.0,1212893787.6000001
2025-04-02,86.88,87.07,85.32,86.6,10590843.0,917167003.8
2025-04-03,88.73,88.9,86.26,86.39,12684130.0,1095781990.7
2025-04-04,86.12,86.27,81.08,81.47,22965747.0,1871019408.09
2025-04-07,81.01,83.21,79.3,81.18,26581980.0,2157925136.4
2025-04-08,83.21,83.27,77.54,78.95,20571573.0,1624125688.3500001
2025-04-09,76.76,81.99,76.0,81.91,22928259.0,1878053694.6899998
2025-04-10,80.61,81.12,75.96,77.55,19466863.0,1509655225.6499999
2025-04-11,77.87,79.44,76.35,79.18,16194426.0,1282274650.68
2025-04-14,80.02,80.02,78.36,79.17,15796686.0,1250623630.6200001
2025-04-15,79.55,79.96,77.72,78.39,16042488.0,1257570634.32
2025-04-16,78.47,78.69,75.93,76.46,16551293.0,1265511862.78
2025-04-17,76.89,78.75,76.88,78.0,21416485.0,1670485830.0
2025-04-21,78.08,78.19,76.99,77.85,11009959.0,857125308.15
2025-04-22,78.025,79.04,77.66,78.97,12918169.0,1020147805.93
2025-04-23,78.5,80.2,78.0,78.74,17935744.0,1412260482.56
2025-04-24,78.28,79.97,76.03,79.84,18471542.0,1474767913.28
2025-04-25,80.17,83.28,78.06,82.74,28377956.0,2347992079.44
2025-04-28,83.0,83.68,82.4,83.19,14240982.0,1184707292.58
2025-04-29,83.78,85.69,82.75,84.71,18802899.0,1592793574.29
2025-04-30,85.27,85.83,83.79,85.2,13825117.0,1177899968.4
2025-05-01,84.505,84.575,83.17,83.26,10036427.0,835632912.0200001
2025-05-02,84.19,84.71,82.95,83.18,11755592.0,977830142.5600001
2025-05-05,83.23,83.58,81.91,82.84,8688011.0,719714831.24
2025-05-06,82.47,82.48,78.2901,79.04,16991068.0,1342974014.72
2025-05-07,79.62,79.9,78.76,79.12,12227179.0,967414402.48
2025-05-08,78.5,78.8,76.93,77.65,15059051.0,1169335310.15
2025-05-09,77.96,78.45,75.82,75.97,15614536.0,1186236299.92
2025-05-12,75.92,81.27,75.83,80.43,21761068.0,1750242699.2400002
2025-05-13,76.95,78.55,76.56,76.63,23353178.0,1789554030.1399999
2025-05-14,77.46,77.46,73.32,73.47,23721801.0,1742840719.47
2025-05-15,73.77,74.81,73.31,74.8,15274781.0,1142553618.8
2025-05-16,74.985,76.165,74.3675,76.06,15021784.0,1142556891.04
2025-05-19,75.96,77.25,75.69,77.23,11682618.0,902248588.1400001
2025-05-20,77.545,79.18,77.4216,77.97,13262433.0,1034071901.01
2025-05-21,77.765,78.1,76.87,76.98,11879467.0,914481369.6600001
2025-05-22,76.72,78.36,76.68,77.84,11799978.0,918510287.52
2025-05-23,77.545,77.9,77.08,77.58,10902223.0,845794460.34
2025-05-27,78.015,78.2,77.05,77.59,11884517.0,922119674.0300001
2025-05-28,77.43,77.725,75.59,76.17,12293150.0,936369235.5
2025-05-29,75.69,77.0,75.69,76.4,10787284.0,824148497.6
2025-05-30,76.94,77.56,75.59,76.84,20641472.0,1586090708.48
2025-06-02,77.02,77.02,75.4,76.25,11271832.0,859477190.0
2025-06-03,75.995,77.185,75.435,77.14,18139184.0,1399256653.76
2025-06-04,77.474,79.135,77.33,78.27,13009326.0,1018239946.02
2025-06-05,78.41,78.545,77.25,77.62,13996570.0,1086413763.4
2025-06-06,78.3,79.49,78.21,78.97,9863134.0,778891691.98
2025-06-09,79.61,80.405,78.67,79.33,18305764.0,1452196258.12
2025-06-10,79.34,81.88,79.33,81.35,13254093.0,1078220465.55
2025-06-11,81.35,81.68,79.98,80.32,11803341.0,948044349.1199999
2025-06-12,80.19,82.11,80.07,81.82,13169179.0,1077502225.78
2025-06-13,81.65,82.44,81.45,81.71,14550530.0,1188923806.3
2025-06-16,80.88,81.35,79.71,80.96,12569440.0,1017621862.4
2025-06-17,80.28,80.7,78.185,78.28,14040588.0,1099097228.64
2025-06-18,78.05,80.31,77.1,79.29,23803430.0,1887373964.7
2025-06-20,79.245,79.915,78.6,79.06,34052298.0,2692174679.88
2025-06-23,79.24,80.22,78.99,80.16,18553809.0,1487273329.4399998
2025-06-24,80.37,81.46,79.09,80.32,15906441.0,1277605341.12
2025-06-25,79.64,80.1158,79.16,79.67,12753181.0,1016045930.27
2025-06-26,79.84,80.25,78.37,78.83,13760098.0,1084708525.34
2025-06-27,79.06,79.54,78.135,79.1,60202470.0,4762015377.0
2025-06-30,79.25,79.39,78.38,79.16,13895183.0,1099942686.28
2025-07-01,78.96,83.07,78.6,81.81,21800790.0,1783522629.9
2025-07-02,82.06,82.81,81.8935,82.39,16052701.0,1322582035.39
2025-07-03,82.55,82.6048,80.7,80.93,7734538.0,625956160.34
2025-07-07,80.95,81.54,80.15,80.9,15777353.0,1276387857.7
2025-07-08,80.94,82.38,80.34,81.37,12752907.0,1037704042.59
2025-07-09,82.38,84.48,81.89,83.71,18394620.0,1539813640.1999998
2025-07-10,83.64,85.0,83.17,84.02,14728600.0,1237496972.0
2025-07-11,84.02,84.13,82.26,83.36,9717398.0,810042297.28
2025-07-14,83.425,84.3,83.11,83.67,10368747.0,867553061.49
2025-07-15,83.78,84.36,81.301,81.52,10826957.0,882613534.64
2025-07-16,81.455,82.635,81.455,82.43,11517792.0,949411594.5600001
2025-07-17,81.98,82.66,81.3355,81.52,8984797.0,732440651.4399999
2025-07-18,81.7,81.9206,79.855,79.96,11823603.0,945415295.8799999
2025-07-21,80.155,80.31,78.95,79.31,11620844.0,921649137.64
2025-07-22,79.87,81.765,79.87,81.61,10570988.0,862698330.68
2025-07-23,82.62,84.14,82.41,83.98,11542091.0,969304802.1800001
2025-07-24,84.2,84.51,83.52,84.11,8016947.0,674305412.17
2025-07-25,84.16,85.22,83.84,84.71,10058807.0,852081540.9699999
