timestamps,open,high,low,close,volume,amount
2025-01-02,425.53,426.07,414.85,418.58,16896469.0,7072523994.0199995
2025-01-03,421.08,424.03,419.54,423.35,16662943.0,7054256919.05
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0,8802435296.800001
2025-01-07,429.0,430.65,420.8,422.37,18139065.0,7661396884.05
2025-01-08,423.46,426.97,421.54,424.56,15054575.0,6391570362.0
2025-01-10,424.63,424.71,415.02,418.95,20201132.0,8463264251.4
2025-01-13,415.235,418.5,412.29,417.19,17604780.0,7344538168.2
2025-01-14,417.81,419.74,410.72,415.67,16935856.0,7039727263.52
2025-01-15,419.13,428.15,418.265,426.31,19637838.0,8371806717.78
2025-01-16,428.695,429.49,424.39,424.58,15300023.0,6496083765.34
2025-01-17,434.085,434.48,428.17,429.03,26197507.0,11239516428.21
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0,11177723735.5
2025-01-22,437.56,447.27,436.0,446.2,27803811.0,12406060468.199999
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0,8214670801.7
2025-01-24,445.16,446.65,441.4,444.06,15549453.0,6904890099.18
2025-01-27,424.01,435.2,423.5,434.56,35647805.0,15491110140.8
2025-01-28,434.6,448.38,431.38,447.2,23491703.0,10505489581.6
2025-01-29,446.69,446.88,440.4,442.33,23581370.0,10430747392.1
2025-01-30,418.77,422.86,413.16,414.99,54586260.0,22652752037.4
2025-01-31,418.98,420.69,414.91,415.06,34223388.0,14204759423.28
2025-02-03,411.6,415.41,408.66,410.92,25679149.0,10552075907.08
2025-02-04,412.685,413.9199,409.74,412.37,20532096.0,8466820427.52
2025-02-05,412.35,413.827,410.4,413.29,16336188.0,6751583138.52
2025-02-06,414.0,418.2,414.0,415.82,16309755.0,6781922324.099999
2025-02-07,416.48,418.65,408.1,409.75,22886844.0,9377884329.0
2025-02-10,413.71,415.4624,410.92,412.22,20817919.0,8581562570.18
2025-02-11,409.64,412.49,409.3,411.44,18140592.0,7463765172.48
2025-02-12,407.21,410.75,404.3673,409.04,19121734.0,7821554075.360001
2025-02-13,407.0,411.0,406.36,410.54,23891731.0,9808511244.74
2025-02-14,407.79,408.91,405.88,408.43,22758464.0,9295239451.52
2025-02-18,408.0,410.597,406.5,409.64,21423051.0,8775738611.64
2025-02-19,407.88,415.49,407.65,414.77,24114197.0,10001845489.689999
2025-02-20,415.29,419.31,412.54,416.13,23508728.0,9782686982.64
2025-02-21,417.335,418.048,407.89,408.21,27524799.0,11235898199.789999
