timestamps,open,high,low,close,volume,amount
2025-01-02,168.085,168.7052,165.91,165.98,5401712.0,896576157.76
2025-01-03,166.25,166.5,164.25,165.13,5256807.0,868056539.91
2025-01-06,162.81,163.5,160.44,160.6,8731671.0,1402306362.6
2025-01-07,161.46,162.61,160.74,161.3,8447744.0,1362621107.2
2025-01-08,160.99,162.4,160.565,162.1,4974783.0,806412324.3
2025-01-10,160.15,161.21,157.47,158.56,8501525.0,1348001804.0
2025-01-13,159.35,160.09,158.41,158.84,6772198.0,1075695930.32
2025-01-14,158.85,160.07,158.31,159.74,5982254.0,955605253.96
2025-01-15,160.59,161.15,159.335,159.65,8059231.0,1286656229.15
2025-01-16,159.62,160.58,159.135,160.5,5774429.0,926795854.5
2025-01-17,159.74,161.75,159.6,161.13,7262739.0,1170245135.07
2025-01-21,160.96,162.35,160.96,161.72,13914694.0,2250284313.68
2025-01-22,167.1,168.14,164.44,164.74,14356691.0,2365121275.34
2025-01-23,163.88,166.48,163.32,166.15,7614308.0,1265117274.2
2025-01-24,165.91,165.91,163.2,164.12,6199939.0,1017533988.6800001
2025-01-27,166.72,169.94,166.11,169.66,9170829.0,1555922848.1399999
2025-01-28,168.91,169.59,166.11,166.19,6716387.0,1116196355.53
2025-01-29,166.72,167.29,165.8805,166.23,4850295.0,806264537.8499999
2025-01-30,167.48,167.6,165.93,167.41,4136546.0,692499165.86
2025-01-31,166.0,166.62,165.21,165.99,5464903.0,907119248.97
2025-02-03,165.47,169.38,165.23,168.76,8668729.0,1462934706.04
2025-02-04,169.29,169.29,166.28,168.13,6410938.0,1077871005.94
2025-02-05,168.09,169.14,166.61,169.01,7537232.0,1273867580.32
2025-02-06,169.37,169.93,168.03,168.88,4957889.0,837288294.3199999
2025-02-07,169.09,169.12,167.87,167.97,4535617.0,761847587.49
2025-02-10,167.69,168.48,166.4,167.53,7063167.0,1183292367.51
2025-02-11,167.69,169.57,166.5,169.43,5438081.0,921374063.83
2025-02-12,168.35,170.08,167.97,169.58,6037671.0,1023868248.1800001
2025-02-13,169.63,171.38,169.14,171.02,6328365.0,1082276982.3
2025-02-14,169.79,170.0,162.3,162.89,13179478.0,2146805171.4199998
2025-02-18,163.35,165.76,162.2,165.43,7075681.0,1170529907.8300002
2025-02-19,166.1,166.87,165.24,166.49,7910823.0,1317072921.27
2025-02-20,163.15,167.78,162.8,167.21,6162601.0,1030448513.21
2025-02-21,167.44,170.5491,165.92,170.23,9813720.0,1670589555.6
2025-02-24,170.22,172.98,169.79,170.54,8564057.0,1460514280.78
2025-02-25,171.28,173.95,170.8,172.65,7314856.0,1262909888.4
2025-02-26,172.28,172.65,170.65,171.3,5519041.0,945411723.3000001
