timestamps,open,high,low,close,volume,amount
2025-01-02,192.81,194.4,189.58,191.39,1750516.0,335031257.23999995
2025-01-03,192.15,195.69,190.5,195.63,1358144.0,265693710.72
2025-01-06,197.7,199.23,194.46,195.59,2634138.0,515211051.42
2025-01-07,195.92,197.37,193.56,194.77,2727094.0,531156098.38000005
2025-01-08,194.66,195.41,191.25,194.68,1659710.0,323112342.8
2025-01-10,192.88,193.51,188.61,189.02,2253610.0,425977362.20000005
2025-01-13,189.32,192.71,189.3016,192.43,1855673.0,357087155.39
2025-01-14,194.18,196.475,192.8351,195.71,1733404.0,339244496.84000003
2025-01-15,199.39,200.62,197.75,200.44,3431199.0,687749527.56
2025-01-16,185.5,196.99,183.44,196.54,5065767.0,995625846.18
2025-01-17,198.0,202.2,196.79,198.54,4465719.0,886623850.26
2025-01-21,199.38,200.63,197.2,198.56,3111215.0,617762850.4
2025-01-22,197.47,197.785,195.37,196.3,2879941.0,565332418.3000001
2025-01-23,195.71,198.68,194.07,197.65,2716372.0,536890925.8000001
2025-01-24,196.17,201.39,196.17,199.53,2083088.0,415638548.64
2025-01-27,200.22,202.93,199.93,202.89,1842006.0,373724597.34
2025-01-28,202.65,203.5799,199.2563,201.72,1922384.0,387783300.48
2025-01-29,201.72,205.46,201.63,202.18,2096673.0,423905347.14
2025-01-30,204.22,204.74,200.38,202.07,1705356.0,344601286.92
2025-01-31,202.11,203.06,199.41,200.95,2739780.0,550558791.0
2025-02-03,197.19,198.76,194.3,197.64,1474583.0,291436584.12
2025-02-04,198.06,200.2788,197.797,198.98,1536321.0,305697152.58
2025-02-05,200.18,200.57,197.485,198.89,2057758.0,409267488.61999995
2025-02-06,201.4,202.51,199.11,202.43,1593745.0,322621800.35
2025-02-07,202.61,202.75,199.94,200.72,1270968.0,255108696.96
2025-02-10,200.72,200.95,196.56,197.28,1453240.0,286695187.2
2025-02-11,196.91,199.51,195.82,199.22,1422253.0,283341242.66
2025-02-12,197.29,197.64,194.51,195.59,1774516.0,347077584.44
2025-02-13,195.72,196.4287,194.12,195.43,1883567.0,368105498.81
2025-02-14,196.14,198.09,193.5,193.91,2362069.0,458028799.79
2025-02-18,194.0,196.86,193.1404,196.52,2261702.0,444469677.04
2025-02-19,194.4,195.37,192.66,194.21,1615626.0,313770725.46000004
2025-02-20,194.38,195.03,190.53,191.89,1770591.0,339758706.98999995
2025-02-21,192.45,192.53,187.48,188.05,1991923.0,374581120.15000004
2025-02-24,188.82,189.2,186.2,186.96,2738804.0,512046795.84000003
2025-02-25,188.32,189.3167,185.1,186.47,1720611.0,320842333.17
2025-02-26,187.11,188.885,186.41,187.02,1325028.0,247806736.56
2025-02-27,187.78,190.84,187.49,188.56,1337905.0,252275366.8
2025-02-28,190.18,192.23,188.68,191.92,2357990.0,452545440.79999995
2025-03-03,192.35,194.27,187.89,189.49,1338050.0,253547094.5
2025-03-04,187.05,187.91,178.81,180.45,2833310.0,511270789.49999994
2025-03-05,180.79,182.11,178.3029,180.47,2320442.0,418770167.74
2025-03-06,178.27,179.96,176.48,178.98,2016600.0,360931068.0
2025-03-07,178.83,180.61,175.67,179.77,1853508.0,333205133.16
2025-03-10,176.0,177.99,172.2614,174.61,2931701.0,511904311.61
2025-03-11,173.94,176.23,169.83,170.06,2453503.0,417242720.18
2025-03-12,172.08,173.0792,169.1,171.01,2389148.0,408568199.47999996
