timestamps,open,high,low,close,volume,amount
2025-01-02,38.86,39.43,38.25,38.4,11559356.0,443879270.4
2025-01-03,38.68,38.745,38.035,38.59,10313694.0,398005451.46000004
2025-01-06,38.9,39.53,38.615,38.76,8366562.0,324287943.12
2025-01-07,39.19,39.69,38.76,39.37,9350070.0,368112255.9
2025-01-08,38.72,39.125,38.41,38.81,11319653.0,439315732.93
2025-01-10,39.57,39.69,38.505,38.62,15273648.0,589868285.76
2025-01-13,38.81,40.035,38.78,39.85,15963997.0,636165280.45
2025-01-14,39.58,40.135,39.22,39.87,12119720.0,483213236.4
2025-01-15,40.0,40.91,40.0,40.64,11877357.0,482695788.48
2025-01-16,40.45,41.22,40.33,41.09,16148813.0,663554726.1700001
2025-01-17,42.15,44.495,41.61,43.58,30731332.0,1339271448.56
2025-01-21,43.95,44.66,43.345,43.74,22986855.0,1005445037.7
2025-01-22,43.38,43.45,41.455,41.63,23719208.0,987430629.0400001
2025-01-23,42.13,42.17,41.585,42.03,19071455.0,801573253.65
2025-01-24,42.2,42.615,41.72,42.25,19431069.0,820962665.25
2025-01-27,42.19,42.78,42.0,42.54,15306162.0,651124131.48
2025-01-28,42.55,42.78,40.935,41.32,16077531.0,664323580.92
2025-01-29,41.32,41.795,40.67,40.94,12734801.0,521362752.94
2025-01-30,41.02,41.38,40.685,41.02,10171120.0,417219342.40000004
2025-01-31,41.18,41.29,39.85,40.28,13110779.0,528102178.12
2025-02-03,40.13,40.92,39.555,40.16,12507614.0,502305778.23999995
2025-02-04,39.74,41.5,39.6261,41.22,12752012.0,525637934.64
2025-02-05,40.86,41.13,40.2,40.81,15186140.0,619746373.4
2025-02-06,41.09,41.27,39.715,40.05,13112679.0,525162793.95
2025-02-07,40.19,40.675,39.985,40.16,11776393.0,472939942.87999994
2025-02-10,40.6,41.37,40.6,41.21,9388096.0,386883436.16
2025-02-11,41.28,42.19,41.05,41.78,11266706.0,470722976.68
2025-02-12,41.53,41.72,41.155,41.45,14649395.0,607217422.75
2025-02-13,41.5,42.26,41.44,42.08,12098967.0,509124531.35999995
2025-02-14,42.255,42.61,41.7,41.75,12225052.0,510395921.0
2025-02-18,42.03,43.06,41.55,42.65,14315745.0,610566524.25
2025-02-19,42.45,42.82,42.05,42.18,12752504.0,537900618.72
2025-02-20,42.11,42.915,41.98,42.6,9999057.0,425959828.2
2025-02-21,42.3,42.47,41.6,41.74,13671578.0,570651665.72
2025-02-24,41.94,42.0,41.475,41.53,12990249.0,539485040.97
2025-02-25,41.44,41.95,40.625,41.01,14474061.0,593581241.61
2025-02-26,41.17,41.24,40.235,40.6,11607347.0,471258288.2
2025-02-27,40.86,41.64,40.485,40.91,15135941.0,619211346.31
2025-02-28,40.82,41.71,40.3,41.66,17747826.0,739374431.16
2025-03-03,41.98,42.155,39.48,39.82,18379034.0,731853133.88
2025-03-04,39.2,39.73,38.17,39.08,18236168.0,712669445.4399999
2025-03-05,38.7,39.6,38.28,39.43,13651450.0,538276673.5
2025-03-06,39.02,39.965,39.01,39.76,12348553.0,490978467.28
2025-03-07,39.94,41.87,39.86,41.37,19615791.0,811505273.67
2025-03-10,41.22,42.17,40.88,41.14,18761539.0,771849714.46
2025-03-11,41.39,41.46,40.02,40.08,16397374.0,657206749.92
2025-03-12,40.21,40.63,39.73,40.05,10562177.0,423015188.84999996
2025-03-13,40.08,40.63,39.6212,39.93,13912845.0,555539900.85
2025-03-14,40.4,41.43,40.3,41.1,13049426.0,536331408.6
2025-03-17,41.1,41.695,41.03,41.43,11825555.0,489932743.65
2025-03-18,41.6,41.76,40.8,41.13,14406363.0,592533710.19
2025-03-19,41.37,41.67,40.9423,41.08,19553862.0,803272650.9599999
2025-03-20,40.76,41.78,40.6,41.28,12753109.0,526448339.52000004
2025-03-21,40.98,41.54,40.76,40.99,73470363.0,3011550179.3700004
2025-03-24,41.32,41.8,41.125,41.7,10438915.0,435302755.5
2025-03-25,42.0,42.39,41.91,42.28,12757827.0,539400925.5600001
2025-03-26,42.74,43.35,42.325,42.42,11753128.0,498567689.76
2025-03-27,42.38,42.83,41.93,42.1,23868456.0,1004861997.6
2025-03-28,42.15,42.55,41.49,41.88,12888622.0,539775489.36
2025-03-31,41.36,42.18,41.27,41.8,13596472.0,568332529.5999999
2025-04-01,41.78,42.45,41.425,42.2,13547384.0,571699604.8000001
2025-04-02,41.62,42.43,41.2,42.19,16509291.0,696526987.29
2025-04-03,39.91,40.3,39.04,39.21,40728763.0,1596974797.23
2025-04-04,37.41,37.77,34.0437,34.78,49175034.0,1710307682.52
2025-04-07,33.04,35.12,31.86,33.14,36020370.0,1193715061.8
2025-04-08,34.43,34.64,31.52,31.95,31415997.0,1003741104.15
2025-04-09,31.29,36.48,31.11,35.98,45400857.0,1633522834.86
2025-04-10,34.78,34.85,31.88,32.54,37839006.0,1231281255.24
2025-04-11,32.53,34.01,32.1,33.96,20884416.0,709234767.36
2025-04-14,34.7,34.7,33.45,33.92,15477083.0,524982655.36
2025-04-15,33.84,34.37,33.61,33.76,11618864.0,392252848.64
2025-04-16,34.0,34.705,33.79,34.15,13094248.0,447168569.2
2025-04-17,34.55,35.46,34.13,35.11,15923026.0,559057442.86
2025-04-21,34.72,34.72,34.0,34.62,10698698.0,370388924.76
2025-04-22,34.83,34.965,33.825,34.61,18894097.0,653924697.17
2025-04-23,35.13,35.59,33.8,34.03,17255860.0,587216915.8000001
2025-04-24,34.315,35.09,34.05,34.93,15197190.0,530837846.7
2025-04-25,34.29,35.53,33.625,34.52,23936451.0,826286288.5200001
2025-04-28,34.49,34.66,33.71,34.1,13252839.0,451921809.90000004
2025-04-29,33.79,34.2875,33.25,34.11,14629830.0,499023501.3
2025-04-30,33.44,33.62,32.63,33.25,21855736.0,726703222.0
2025-05-01,33.2,34.245,33.11,33.74,18079864.0,610014611.36
2025-05-02,34.21,34.76,33.81,34.73,13305027.0,462083587.71
2025-05-05,33.905,34.31,33.72,33.76,17270680.0,583058156.8
2025-05-06,34.1,34.315,33.43,33.58,17481523.0,587029542.3399999
2025-05-07,33.56,33.74,33.23,33.5,12126086.0,406223881.0
2025-05-08,34.0,34.985,33.91,34.32,14025416.0,481352277.12
2025-05-09,34.76,34.98,34.355,34.55,7407363.0,255924391.64999998
2025-05-12,35.955,36.87,35.655,35.85,12104265.0,433937900.25
2025-05-13,36.06,36.44,35.755,36.11,9218242.0,332870718.62
2025-05-14,35.7,36.335,35.65,36.01,10519499.0,378807158.98999995
2025-05-15,35.47,35.75,34.99,35.72,11998591.0,428589670.52
2025-05-16,35.67,35.81,35.155,35.77,12627015.0,451668326.55
2025-05-19,35.38,35.47,34.78,35.11,10077256.0,353812458.15999997
2025-05-20,35.07,35.07,34.395,34.57,13192072.0,456049929.04
2025-05-21,34.33,34.62,33.85,33.87,12564523.0,425560394.01
2025-05-22,33.58,33.955,33.18,33.75,11507748.0,388386495.0
2025-05-23,33.12,33.76,33.1,33.66,10467825.0,352346989.49999994
2025-05-27,33.97,34.105,33.48,33.93,17574809.0,596313269.37
2025-05-28,34.32,34.36,33.47,33.58,11031951.0,370452914.58
2025-05-29,33.82,33.88,33.33,33.68,9902909.0,333529975.12
2025-05-30,33.4,33.5,32.84,33.05,20668670.0,683099543.5
2025-06-02,33.74,33.83,32.91,33.34,12681496.0,422801076.64000005
2025-06-03,33.4,34.37,32.83,34.11,16172259.0,551635754.49
2025-06-04,33.88,34.21,33.13,33.24,13545058.0,450237727.92
