timestamps,open,high,low,close,volume,amount
2025-01-02,508.0,512.11,503.2901,504.51,4237395.0,2137808151.45
2025-01-03,506.35,516.29,505.38,513.0,3020428.0,1549479564.0
2025-01-06,513.0,520.3,509.8225,513.67,4444836.0,2283178908.12
2025-01-07,518.85,519.5,511.22,514.25,3914545.0,2013054766.25
2025-01-08,514.495,524.67,509.5123,524.52,4141728.0,2172419170.56
2025-01-10,526.64,535.45,518.47,520.69,5467532.0,2846889237.0800004
2025-01-13,535.045,547.4,533.14,541.14,6472465.0,3502509710.1
2025-01-14,539.645,544.55,536.55,543.74,3978259.0,2163138548.66
2025-01-15,537.095,546.29,534.33,543.42,4103865.0,2230122318.2999997
2025-01-16,530.35,539.84,510.0,510.59,9059887.0,4625887703.33
2025-01-17,505.62,521.82,502.8,509.76,7495719.0,3821017717.44
2025-01-21,514.05,525.0,512.82,524.99,5682082.0,2983036229.18
2025-01-22,521.66,524.44,516.0,519.72,3756139.0,1952140561.0800002
2025-01-23,527.87,531.48,519.32,529.77,4580802.0,2426771475.54
2025-01-24,528.11,534.63,524.51,532.51,3671163.0,1954931009.1299999
2025-01-27,539.98,551.905,539.98,543.52,4262959.0,2317003475.68
2025-01-28,543.01,546.5,537.8362,542.48,3162659.0,1715679254.3200002
2025-01-29,541.73,543.4752,534.01,538.1,2737638.0,1473123007.8
2025-01-30,539.47,547.11,535.0,545.57,2924741.0,1595650947.3700001
2025-01-31,543.24,549.16,541.41,542.49,4120661.0,2235417385.89
2025-02-03,542.0,553.91,541.07,548.18,4083572.0,2238532498.9599996
2025-02-04,545.2,548.8075,541.51,545.45,2869935.0,1565406045.7500002
2025-02-05,530.73,540.7,521.91,539.81,4621558.0,2494763223.9799995
2025-02-06,537.89,539.1,525.27,530.04,3926829.0,2081376443.1599998
2025-02-07,529.2,532.3918,525.39,527.03,3349299.0,1765181051.9699998
2025-02-10,527.67,534.16,523.38,533.37,3143143.0,1676458181.91
2025-02-11,535.0,547.54,528.265,533.92,2632107.0,1405334569.4399998
2025-02-12,539.85,542.35,525.51,527.4,3859241.0,2035363703.3999999
2025-02-13,530.9,534.33,527.1,531.18,2835051.0,1505922390.1799998
2025-02-14,529.0,533.2,522.91,523.51,3705326.0,1939775214.26
2025-02-18,510.94,516.0,497.0,500.73,8759280.0,4386034274.400001
