timestamps,open,high,low,close,volume,amount
2025-01-02,317.78,319.68,312.41,314.4,5373059.0,1689289749.6
2025-01-03,314.18,315.92,312.01,314.91,4271845.0,1345246708.95
2025-01-06,315.01,315.39,312.07,313.04,6567336.0,2055838861.44
2025-01-07,312.89,315.19,311.32,311.67,4958641.0,1545459640.47
2025-01-08,311.0,314.04,310.2146,312.6,5161601.0,1613516472.6000001
2025-01-10,311.2,311.85,305.99,307.71,6660255.0,2049427066.05
2025-01-13,305.0,306.92,303.84,306.92,9568727.0,2936833690.84
2025-01-14,308.75,310.16,307.52,309.09,5107901.0,1578801120.09
2025-01-15,313.68,317.1876,313.13,316.28,5222278.0,1651702085.84
2025-01-16,315.75,319.18,315.75,317.25,4606670.0,1461466057.5
2025-01-17,317.5,320.59,316.71,319.62,5805810.0,1855652992.2
2025-01-21,320.31,324.58,320.0,323.63,5653341.0,1829590747.83
2025-01-22,324.77,325.74,322.38,323.56,5026478.0,1626367221.68
2025-01-23,323.76,328.51,323.57,328.21,5297085.0,1738556267.85
2025-01-24,328.02,331.085,327.805,330.2,4327755.0,1429024701.0
2025-01-27,330.0,335.49,328.05,334.54,6636541.0,2220188426.1400003
2025-01-28,334.67,337.83,332.89,334.48,5999623.0,2006753901.0400002
2025-01-29,334.5,337.11,334.5,335.88,5087286.0,1708717621.68
2025-01-30,339.51,344.44,339.0,343.05,8081262.0,2772276929.1
2025-01-31,346.47,351.2499,341.71,341.8,8628071.0,2949074667.8
2025-02-03,340.0,346.0,339.24,345.82,8004548.0,2768132789.36
2025-02-04,344.6,346.01,342.54,345.15,5532573.0,1909567570.9499998
2025-02-05,346.0,349.4768,345.25,349.44,4939090.0,1725915609.6
2025-02-06,349.78,350.65,346.6001,347.48,4294541.0,1492267106.68
2025-02-07,348.0,350.7485,347.21,348.02,4261612.0,1483126208.24
2025-02-10,348.7,351.9,347.7,351.23,6067002.0,2130913112.46
2025-02-11,348.3,352.12,346.25,350.72,5154783.0,1807885493.7600002
2025-02-12,349.16,351.83,347.49,351.49,6760066.0,2376095598.34
2025-02-13,353.12,356.08,350.73,355.63,4279581.0,1521947391.03
2025-02-14,354.43,355.4299,353.22,353.81,5720285.0,2023894035.85
2025-02-18,353.69,356.74,352.4,356.73,5822034.0,2076894188.8200002
2025-02-19,356.015,357.15,354.18,355.23,4152269.0,1475010516.8700001
2025-02-20,355.23,356.13,349.06,350.49,5697023.0,1996749591.27
2025-02-21,350.49,353.32,347.48,348.53,6924127.0,2413265983.31
2025-02-24,348.755,350.8,347.355,349.86,5055927.0,1768866620.22
2025-02-25,351.37,352.5867,346.0,352.09,6191949.0,2180123323.41
2025-02-26,350.0,351.83,348.99,350.63,5960603.0,2089966229.8899999
2025-02-27,351.9,360.31,351.675,355.74,7298114.0,2596231074.36
2025-02-28,354.71,364.0,353.7109,362.71,15857344.0,5751617242.24
2025-03-03,363.0,366.54,359.5401,361.82,9099607.0,3292419804.74
2025-03-04,360.11,360.27,350.4,352.23,8955804.0,3154502842.92
2025-03-05,350.83,354.1065,348.935,352.68,8244242.0,2907579268.56
2025-03-06,345.96,348.87,340.3878,344.16,8611119.0,2963602715.0400004
2025-03-07,340.87,346.39,339.14,345.32,6358901.0,2195855693.32
2025-03-10,339.94,345.01,337.6411,341.48,8204296.0,2801602998.08
2025-03-11,338.41,339.61,329.575,332.14,9776072.0,3247024554.08
2025-03-12,335.97,336.16,329.11,332.84,6295394.0,2095358938.9599998
2025-03-13,330.99,336.2,327.7,328.55,7915323.0,2600579371.65
2025-03-14,327.21,332.7657,326.3808,331.8,7810970.0,2591679846.0
2025-03-17,330.03,336.11,329.76,334.55,6149652.0,2057366076.6000001
2025-03-18,335.29,335.8,332.3,334.77,7778631.0,2604052299.87
2025-03-19,336.8,341.0313,334.5,339.87,5615204.0,1908439383.48
2025-03-20,339.0,342.24,337.66,339.5,5432675.0,1844393162.5
2025-03-21,337.37,339.43,335.52,335.66,17279673.0,5800095039.18
2025-03-24,338.65,345.22,337.6509,343.87,5675111.0,1951500419.57
2025-03-25,344.56,345.53,340.67,344.62,3931161.0,1354756703.82
2025-03-26,345.99,347.38,343.0,344.18,6187574.0,2129639219.32
2025-03-27,344.0,350.84,343.32,349.86,7254807.0,2538166777.02
2025-03-28,349.19,351.615,341.605,342.85,5687616.0,1949999145.6000001
2025-03-31,339.35,351.86,334.49,350.46,9950762.0,3487344050.52
2025-04-01,350.44,350.45,342.57,346.35,7473329.0,2588387499.15
2025-04-02,343.44,348.2,343.05,346.33,5682521.0,1968027497.9299998
2025-04-03,333.9,344.735,331.0,339.39,8792873.0,2984213167.47
2025-04-04,330.0,334.65,312.12,313.13,13201735.0,4133859280.5499997
2025-04-07,302.07,322.18,299.0,312.32,12163443.0,3798886517.7599998
2025-04-08,322.24,326.28,303.93,308.27,9569298.0,2949927494.46
2025-04-09,305.635,334.03,305.635,332.43,11361801.0,3777003506.4300003
2025-04-10,328.02,330.16,313.27,324.61,8709762.0,2827275842.82
2025-04-11,324.43,336.98,322.54,333.4,6804507.0,2268622633.7999997
2025-04-14,336.41,339.6099,333.14,335.18,5011779.0,1679848085.22
2025-04-15,336.72,339.39,335.0,335.81,4386214.0,1472934523.34
2025-04-16,335.0,337.2243,328.86,331.33,5850819.0,1938551859.27
2025-04-17,331.07,334.3199,328.44,329.61,5655943.0,1864255372.23
2025-04-21,329.0,329.15,316.6542,320.1,6362425.0,2036612242.5000002
2025-04-22,323.855,332.56,322.39,331.4,5435531.0,1801334973.3999999
2025-04-23,337.24,341.25,333.2,334.37,8906235.0,2977977796.95
2025-04-24,333.28,336.77,331.25,335.71,8055174.0,2704202463.54
2025-04-25,334.76,336.365,332.17,335.17,4452757.0,1492430563.69
2025-04-28,336.775,339.335,335.02,337.51,5422903.0,1830283991.53
2025-04-29,338.5,342.27,336.46,341.52,5519533.0,1885030910.1599998
2025-04-30,334.44,346.52,333.24,345.5,9526712.0,3291478996.0
2025-05-01,345.58,345.72,340.12,342.45,5849940.0,2003311953.0
2025-05-02,347.22,350.09,346.12,347.6,6113683.0,2125116210.8000002
2025-05-05,347.0,351.05,346.1208,348.64,3865342.0,1347612834.8799999
2025-05-06,346.4,349.65,345.7579,347.7,3438464.0,1195553932.8
2025-05-07,348.7,351.15,347.21,349.85,5454135.0,1908129129.7500002
2025-05-08,352.0,355.33,350.945,351.27,4156386.0,1460013710.22
2025-05-09,351.83,353.8,350.67,352.54,3086734.0,1088197204.3600001
2025-05-12,359.14,361.89,351.13,355.85,7985428.0,2841614553.8
2025-05-13,355.52,358.87,354.58,356.14,5406243.0,1925379382.02
2025-05-14,356.67,358.41,355.2128,356.46,6208010.0,2212907244.6
2025-05-15,356.89,363.73,356.675,362.3,5826126.0,2110805449.8
2025-05-16,362.95,366.19,360.89,365.12,5838075.0,2131597944.0
2025-05-19,363.02,369.1499,362.321,367.9,5081519.0,1869490840.1
2025-05-20,367.78,368.25,364.69,366.84,5281778.0,1937567441.52
2025-05-21,363.72,365.989,358.08,358.3,6125536.0,2194779548.8
2025-05-22,357.755,360.0,356.56,357.97,4936568.0,1767143246.96
2025-05-23,353.745,356.0,352.22,353.54,5346050.0,1890042517.0
2025-05-27,355.41,360.0,354.48,359.3,6316301.0,2269446949.3
2025-05-28,359.34,360.91,358.04,359.73,3299041.0,1186764018.93
2025-05-29,360.35,363.04,358.72,362.4,4590972.0,1663768252.8
2025-05-30,361.35,367.04,361.35,365.19,8726858.0,3186961273.02
2025-06-02,362.77,365.46,359.96,365.32,3845997.0,1405019624.04
2025-06-03,364.58,366.88,361.5,365.86,5221424.0,1910310184.64
2025-06-04,366.71,369.66,366.31,368.0,4202306.0,1546448608.0
2025-06-05,370.0,371.0,365.93,366.77,6884638.0,2525078679.2599998
2025-06-06,369.01,371.0,367.55,370.22,5008493.0,1854244278.46
2025-06-09,369.79,369.79,362.05,366.66,5000275.0,1833400831.5000002
2025-06-10,367.0,371.44,366.68,370.7,4109266.0,1523304906.2
2025-06-11,370.0,375.51,369.38,373.31,5562874.0,2076676492.94
2025-06-12,372.23,374.17,369.545,371.4,4874007.0,1810206199.8
2025-06-13,361.505,363.01,345.0,352.85,14181686.0,5004007905.1
2025-06-16,356.49,360.22,354.33,355.48,7234665.0,2571778714.2000003
2025-06-17,353.49,359.6024,353.32,357.84,5559643.0,1989462651.12
2025-06-18,357.85,358.475,338.04,340.38,15008618.0,5108633394.84
2025-06-20,338.95,340.0,334.92,338.57,19332082.0,6545263002.74
2025-06-23,337.5,344.3,335.63,343.75,7553346.0,2596462687.5
2025-06-24,351.52,354.56,347.92,351.63,10171951.0,3576763130.13
2025-06-25,350.45,351.2899,345.26,345.26,6836286.0,2360296104.36
2025-06-26,343.775,346.9099,342.03,346.03,8829456.0,3055256659.68
2025-06-27,346.59,352.01,345.66,348.61,6601921.0,2301495679.81
2025-06-30,349.35,355.61,349.06,355.05,7080119.0,2513796250.9500003
2025-07-01,353.82,357.0,351.42,355.47,6653409.0,2365087297.23
2025-07-02,354.6,356.36,350.0,354.22,5131422.0,1817652300.8400002
2025-07-03,354.59,359.0,353.61,358.86,3702810.0,1328790396.6000001
2025-07-07,358.92,359.66,354.49,356.64,5138011.0,1832420243.04
2025-07-08,356.68,358.275,353.25,354.55,6966793.0,2470076458.15
2025-07-09,355.07,357.76,353.75,357.76,7297087.0,2610605845.12
2025-07-10,356.83,357.62,353.45,355.88,6121637.0,2178568175.56
2025-07-11,352.51,353.81,344.3925,347.93,7580157.0,2637364025.01
2025-07-14,347.39,351.97,345.01,350.5,5599263.0,1962541681.5
2025-07-15,348.12,350.21,346.76,347.02,4891719.0,1697524327.3799999
2025-07-16,347.29,350.67,345.8,349.9,5544214.0,1939920478.6
2025-07-17,350.0,351.37,348.48,349.81,4747460.0,1660708982.6
2025-07-18,349.5,349.5,347.16,349.05,4927644.0,1719994138.2
2025-07-21,349.06,353.65,348.4,350.94,5216269.0,1830597442.86
2025-07-22,351.1,354.48,350.2,351.86,4614217.0,1623558393.6200001
2025-07-23,353.0,355.78,351.21,355.29,4385600.0,1558159824.0
2025-07-24,354.82,357.18,353.86,353.97,5887647.0,2084050408.5900002
2025-07-25,354.0,357.65,353.01,357.04,3915781.0,1398090448.24
2025-07-28,356.38,358.32,354.73,355.47,3920959.0,1393783295.73
2025-07-29,356.29,358.32,350.8095,351.29,7402324.0,2600362397.96
2025-07-30,351.7,356.62,347.23,350.91,12129680.0,4256426008.8
2025-07-31,348.93,352.82,345.0901,345.47,8641733.0,2985459499.51
2025-08-01,344.1,346.17,338.1,339.35,8658670.0,2938319664.5
2025-08-04,341.695,344.38,340.0,342.15,7335286.0,2509768104.8999996
2025-08-05,342.15,342.46,335.55,337.43,7295564.0,2461742160.52
2025-08-06,338.295,341.4286,335.43,339.74,5944108.0,2019451251.92
2025-08-07,341.43,342.15,328.7,332.09,8797064.0,2921416983.7599998
2025-08-08,333.68,337.3774,332.73,336.78,6073868.0,2045557265.0399997
2025-08-11,336.73,337.86,334.51,335.9,5715795.0,1919935540.4999998
2025-08-12,335.2,338.65,334.81,336.74,5684596.0,1914230857.04
2025-08-13,336.98,343.48,336.78,342.55,5693362.0,1950261153.1000001
2025-08-14,342.94,346.08,341.67,345.49,6224008.0,2150332523.92
2025-08-15,346.245,348.36,342.86,344.47,4946616.0,1703960813.5200002
2025-08-18,343.84,345.7275,340.95,342.74,3999572.0,1370813307.28
2025-08-19,342.56,346.34,341.89,342.45,4457201.0,1526368482.45
2025-08-20,343.4,347.44,342.8518,343.93,5834366.0,2006613498.38
2025-08-21,342.89,344.52,339.72,343.69,6073857.0,2087523912.33
2025-08-22,345.22,351.2,345.22,350.04,4973223.0,1740826978.92
2025-08-25,349.61,350.72,347.5024,348.82,8020043.0,2797551399.2599998
2025-08-26,348.69,353.4,347.445,351.18,5876224.0,2063612344.32
2025-08-27,350.71,353.425,349.84,350.35,5531127.0,1937830344.45
2025-08-28,350.6,351.04,348.6,349.86,4987541.0,1744941094.26
2025-08-29,350.46,352.63,349.0,351.78,3671901.0,1291701333.78
2025-09-02,349.31,350.1675,346.08,350.07,4940539.0,1729534487.73
2025-09-03,349.34,350.89,347.26,350.87,4176415.0,1465378731.05
2025-09-04,350.73,352.63,349.15,350.99,4323973.0,1517671283.27
2025-09-05,351.375,352.6213,340.2,343.22,5448341.0,1869979598.0200002
2025-09-08,342.34,344.382,341.0,342.3,4711571.0,1612770753.3
2025-09-09,341.69,346.32,341.29,343.99,4646187.0,1598241866.13
2025-09-10,342.61,342.61,336.44,338.12,6557868.0,2217346328.16
2025-09-11,338.73,343.53,337.87,343.49,5157593.0,1771581619.57
2025-09-12,341.22,343.19,339.17,339.43,3518310.0,1194219963.3
2025-09-15,340.61,342.71,338.39,339.05,4367547.0,1480816810.3500001
2025-09-16,336.24,340.54,333.47,340.03,5527730.0,1879594031.8999999
2025-09-17,339.94,346.2,339.52,346.2,5763537.0,1995336509.3999999
2025-09-18,344.73,345.27,338.18,338.18,7526597.0,2545344573.46
2025-09-19,340.45,342.69,338.25,341.61,13674340.0,4671291287.400001
2025-09-22,339.01,344.86,338.66,344.36,5621798.0,1935922359.28
2025-09-23,344.59,345.255,337.63,338.7,10142656.0,3435317587.2
2025-09-24,339.13,339.9,337.92,338.68,5207430.0,1763652392.4
2025-09-25,338.35,340.2,334.51,334.93,5398713.0,1808190945.0900002
2025-09-26,337.23,339.5,336.23,337.37,9619547.0,3245346571.39
2025-09-29,337.38,340.64,335.55,340.16,7218209.0,2455345973.44
2025-09-30,339.82,345.61,338.51,341.38,8164773.0,2787290206.74
2025-10-01,340.31,349.36,340.31,347.83,8380965.0,2915151055.95
2025-10-02,346.215,347.18,343.5565,345.95,5198236.0,1798329744.2
2025-10-03,346.11,353.1599,346.0,349.84,5199681.0,1819056401.04
2025-10-06,350.01,351.12,344.35,349.28,4735635.0,1654062592.8
2025-10-07,350.06,354.44,350.06,352.42,5044597.0,1777816874.74
2025-10-08,353.78,355.0,351.1,351.36,3927524.0,1379974832.64
2025-10-09,351.47,352.87,345.582,347.04,4434799.0,1539052644.96
2025-10-10,347.63,350.4,343.25,343.65,6296169.0,2163678476.85
2025-10-13,343.72,347.66,340.73,343.3,4030682.0,1383733130.6000001
2025-10-14,341.0,350.01,340.22,348.38,5731348.0,1996687016.24
2025-10-15,348.38,350.075,344.0,345.69,3778198.0,1306085266.62
2025-10-16,345.0,345.69,334.17,335.4,6241506.0,2093401112.3999999
2025-10-17,337.77,343.45,337.0,341.89,6267130.0,2142669075.6999998
2025-10-20,341.9,344.96,338.94,344.41,4665032.0,1606683671.1200001
