timestamps,open,high,low,close,volume,amount
2025-01-02,89.98,90.6,89.52,90.0,14820438.0,1333839420.0
2025-01-03,90.15,91.3,90.14,90.78,10834630.0,983567711.4
2025-01-06,90.83,92.47,90.67,91.43,14519858.0,1327550616.94
2025-01-07,91.7,91.94,90.45,90.81,11238044.0,1020526775.64
2025-01-08,91.11,91.845,90.82,91.8,13453627.0,1235042958.6
2025-01-10,92.49,93.575,92.2,93.0,18140864.0,1687100352.0
2025-01-13,92.12,92.43,91.1,91.53,18617077.0,1704021057.81
2025-01-14,91.86,91.98,90.565,90.79,13549159.0,1230128145.6100001
2025-01-15,91.065,91.725,90.81,91.34,17348174.0,1584582213.16
2025-01-16,91.5,91.72,90.12,91.3,13267723.0,1211343109.8999999
2025-01-17,92.07,92.26,91.05,91.94,15868213.0,1458923503.22
2025-01-21,92.48,94.24,92.31,93.08,23247451.0,2163872739.08
2025-01-22,93.77,94.0,92.52,93.23,15567057.0,1451316724.1100001
2025-01-23,92.96,93.81,92.32,93.81,14198438.0,1331955468.78
2025-01-24,93.54,95.01,93.455,94.76,14973773.0,1418914729.48
2025-01-27,95.9,97.46,94.82,97.4,18880614.0,1838971803.6000001
2025-01-28,97.23,97.84,96.7251,97.29,14641621.0,1424483307.0900002
2025-01-29,97.425,98.17,97.22,97.5,11261444.0,1097990790.0
2025-01-30,97.69,98.93,97.42,98.65,11012220.0,1086355503.0
2025-01-31,99.0,99.0,97.7,98.16,16413893.0,1611187736.8799999
2025-02-03,96.77,99.79,96.47,99.54,20484152.0,2038992490.0800002
2025-02-04,99.97,100.95,99.69,100.77,15201194.0,1531824319.3799999
2025-02-05,100.65,102.58,100.54,102.46,15926717.0,1631851423.82
2025-02-06,102.53,103.02,101.94,102.85,13088467.0,1346148830.9499998
2025-02-07,103.0,103.11,101.11,101.15,12451072.0,1259425932.8
2025-02-10,101.95,102.93,101.25,102.92,15274644.0,1572066360.48
2025-02-11,102.62,102.85,101.85,102.47,11953632.0,1224888671.04
2025-02-12,102.12,103.9,102.04,103.61,15162125.0,1570947771.25
2025-02-13,104.0,105.24,103.53,105.05,12604413.0,1324093585.6499999
2025-02-14,105.3,105.3,103.6,104.04,14109460.0,1467948218.4
2025-02-18,103.72,103.99,102.51,103.78,18247314.0,1893706246.92
2025-02-19,103.85,104.2,102.55,104.0,18507981.0,1924830024.0
2025-02-20,98.78,100.12,96.6808,97.21,55450924.0,5390384322.04
2025-02-21,96.53,96.85,94.115,94.78,35014806.0,3318703312.68
2025-02-24,94.18,94.64,92.12,93.67,29755875.0,2787232811.25
2025-02-25,94.35,97.91,94.24,97.69,29331188.0,2865363755.72
2025-02-26,97.7,98.725,96.07,96.2,19069721.0,1834507160.2
2025-02-27,95.9,98.0399,95.8092,96.79,16431469.0,1590401884.51
2025-02-28,97.79,98.86,97.17,98.61,25451260.0,2509748748.6
2025-03-03,97.98,99.49,96.825,97.59,18372193.0,1792942314.8700001
2025-03-04,95.76,97.05,94.46,94.97,25227673.0,2395872104.81
2025-03-05,94.97,96.39,94.75,95.98,17638956.0,1692986996.88
2025-03-06,94.8,96.19,94.1833,94.64,19957804.0,1888806570.56
2025-03-07,93.94,93.95,90.76,91.72,35913156.0,3293954668.32
2025-03-10,89.76,90.23,86.61,87.82,35148837.0,3086770865.3399997
2025-03-11,87.29,89.345,87.14,87.44,28687586.0,2508442519.84
2025-03-12,87.88,89.1,84.88,85.2,33301609.0,2837297086.8
2025-03-13,84.94,85.45,83.87,84.5,31507753.0,2662405128.5
2025-03-14,84.96,85.37,84.06,85.35,35500647.0,3029980221.45
2025-03-17,85.13,87.985,84.98,87.46,26297768.0,2300002789.2799997
2025-03-18,87.44,87.675,85.5,85.59,17850930.0,1527861098.7
2025-03-19,85.95,86.785,85.62,86.33,24555857.0,2119907134.81
2025-03-20,85.81,87.08,85.515,85.81,18185506.0,1560498269.8600001
2025-03-21,85.28,86.23,84.78,85.98,26797178.0,2304021364.44
2025-03-24,86.47,87.65,86.35,87.49,17900732.0,1566135042.6799998
2025-03-25,86.76,87.305,84.62,84.76,27908573.0,2365530647.48
2025-03-26,85.19,85.56,84.57,85.21,27241495.0,2321247788.95
2025-03-27,84.775,86.11,84.775,85.63,16782807.0,1437111763.4099998
2025-03-28,85.43,85.83,84.7,85.15,14790567.0,1259416780.0500002
2025-03-31,84.76,88.2,84.37,87.79,30269313.0,2657342988.27
2025-04-01,87.535,89.11,87.37,88.83,22080252.0,1961388785.1599998
2025-04-02,88.2,90.145,88.1175,89.76,19384137.0,1739920137.1200001
2025-04-03,86.28,89.88,86.28,87.26,33012927.0,2880708010.02
2025-04-04,85.64,87.39,82.65,83.19,36209015.0,3012227957.85
2025-04-07,80.24,86.26,79.81,83.83,36884944.0,3092064855.52
2025-04-08,85.85,86.965,81.03,81.79,34351744.0,2809629141.76
2025-04-09,83.325,90.8,83.02,89.6,46632755.0,4178294847.9999995
2025-04-10,88.73,91.87,88.1634,90.61,34735323.0,3147367617.03
2025-04-11,90.68,93.35,90.01,92.8,25508136.0,2367155020.7999997
2025-04-14,93.27,95.44,92.9,94.73,27742915.0,2628086337.9500003
2025-04-15,94.82,96.03,93.87,93.97,21871213.0,2055237885.61
2025-04-16,94.0,94.3,90.61,91.19,22229105.0,2027072084.95
2025-04-17,91.83,93.87,91.62,93.22,21393917.0,1994340942.74
2025-04-21,93.02,94.08,91.34,92.41,18361208.0,1696759231.28
2025-04-22,92.88,95.29,92.88,94.85,15407774.0,1461427363.8999999
2025-04-23,95.0164,96.6,94.1619,94.96,18046886.0,1713732294.56
2025-04-24,94.71,96.215,93.6601,95.84,13444528.0,1288523563.52
2025-04-25,95.8,96.47,94.36,95.09,15317220.0,1456514449.8
2025-04-28,95.1,96.0,94.34,95.22,12950000.0,1233099000.0
2025-04-29,94.84,96.18,94.42,96.04,12679025.0,1217693561.0
2025-04-30,95.94,97.78,94.93,97.25,21639860.0,2104476385.0
2025-05-01,97.015,97.9,96.59,97.41,13171784.0,1283063479.44
2025-05-02,97.95,99.22,97.85,98.75,16031373.0,1583098083.75
2025-05-05,98.94,99.74,98.53,99.33,12439132.0,1235578981.56
2025-05-06,98.74,99.47,98.41,98.55,10625999.0,1047192201.4499999
2025-05-07,98.55,99.2308,98.31,98.83,11310191.0,1117786176.53
2025-05-08,98.75,99.33,97.355,97.43,14461119.0,1408946824.17
