timestamps,open,high,low,close,volume,amount
2025-01-02,108.275,109.0,106.88,107.31,12685447.0,1361275317.57
2025-01-03,108.0,108.49,107.46,107.86,14237885.0,1535698276.1
2025-01-06,108.24,109.78,107.52,107.74,15623677.0,1683294959.98
2025-01-07,108.94,110.06,108.28,108.75,12625890.0,1373065537.5
2025-01-08,107.31,107.71,106.01,106.93,17858110.0,1909567702.3000002
2025-01-10,108.7,110.1,105.78,106.54,19304499.0,2056701323.46
2025-01-13,107.125,109.63,107.125,109.29,17073395.0,1865951339.5500002
2025-01-14,108.79,109.76,107.83,109.72,11191175.0,1227895721.0
2025-01-15,110.05,111.73,109.47,111.51,14521095.0,1619247303.45
2025-01-16,111.19,111.69,110.55,111.32,10366585.0,1154008242.2
2025-01-17,111.03,112.8651,110.82,112.32,19298504.0,2167607969.2799997
2025-01-21,112.05,112.175,111.1305,111.47,20416286.0,2275803400.42
2025-01-22,111.2,111.57,109.4,109.53,15718012.0,1721593854.3600001
2025-01-23,110.31,111.1425,109.61,110.15,13726784.0,1512005257.6000001
2025-01-24,110.24,110.71,108.41,108.66,14235885.0,1546871264.1
2025-01-27,109.01,110.4506,108.39,110.17,15926670.0,1754641233.9
2025-01-28,110.41,110.87,107.79,108.04,15862029.0,1713733613.16
2025-01-29,107.71,108.78,107.47,108.67,12345523.0,1341587984.41
2025-01-30,109.24,109.85,108.7,109.57,14346335.0,1571927925.9499998
2025-01-31,110.55,110.55,106.095,106.83,20381446.0,2177349876.18
2025-02-03,106.64,107.3,105.3225,107.09,14623197.0,1565998166.73
2025-02-04,106.705,110.28,106.53,109.96,14835692.0,1631332692.32
2025-02-05,109.74,110.01,109.1,109.88,13364387.0,1468478843.56
2025-02-06,110.77,111.05,107.985,108.43,13411401.0,1454198210.43
2025-02-07,108.78,109.7304,108.32,108.89,10051626.0,1094521555.14
2025-02-10,110.005,111.03,109.875,110.97,12142197.0,1347419601.09
2025-02-11,111.6,112.51,110.82,111.67,12713127.0,1419674892.09
2025-02-12,110.05,110.2269,107.18,107.35,18244122.0,1958506496.6999998
2025-02-13,107.15,108.41,106.52,108.13,15459952.0,1671684609.76
2025-02-14,108.52,110.23,108.1,108.24,15733529.0,1702997178.96
2025-02-18,108.63,110.99,108.32,110.14,20060298.0,2209441221.72
2025-02-19,110.755,112.13,110.055,110.3,10964698.0,1209406189.3999999
2025-02-20,110.57,112.42,109.95,112.0,16325803.0,1828489936.0
2025-02-21,111.32,111.85,110.56,110.69,14709985.0,1628248239.6499999
2025-02-24,110.925,111.86,110.32,111.27,13153471.0,1463586718.1699998
2025-02-25,111.3,112.13,108.8902,109.73,14496964.0,1590751859.72
2025-02-26,109.74,109.87,108.52,109.46,10446405.0,1143463491.3
2025-02-27,110.01,111.29,109.28,110.15,15293173.0,1684543005.95
2025-02-28,110.11,111.58,109.34,111.33,18821665.0,2095415964.45
2025-03-03,111.7,112.1563,106.51,107.76,18706879.0,2015853281.0400002
2025-03-04,106.36,108.96,105.94,107.54,19394905.0,2085728083.7
2025-03-05,105.84,106.33,103.67,105.44,24822245.0,2617257512.7999997
2025-03-06,105.43,108.11,104.36,107.62,17150233.0,1845708075.46
2025-03-07,108.41,110.4,108.3,109.02,19624965.0,2139513684.3
2025-03-10,109.275,112.565,109.08,111.8,22749073.0,2543346361.4
2025-03-11,111.92,112.1,108.785,109.16,19904735.0,2172800872.6
