ticker,status,rows,start,end
MU,ok,1254,2021-05-28,2026-05-27
SPY_S&P500,ok,1254,2021-05-28,2026-05-27
NVDA,ok,1254,2021-05-28,2026-05-27
QQQ,ok,1254,2021-05-28,2026-05-27
TSLA,ok,1254,2021-05-28,2026-05-27
SNDK,ok,316,2025-02-24,2026-05-27
AMD,ok,1254,2021-05-28,2026-05-27
INTC,ok,1254,2021-05-28,2026-05-27
AAPL,ok,1254,2021-05-28,2026-05-27
MSFT,ok,1254,2021-05-28,2026-05-27
GOOGL,ok,1254,2021-05-28,2026-05-27
AMZN,ok,1254,2021-05-28,2026-05-27
META,ok,1142,2021-06-30,2026-05-27
SOXL,ok,1254,2021-05-28,2026-05-27
AVGO,ok,1254,2021-05-28,2026-05-27
GOOG,ok,1254,2021-05-28,2026-05-27
IWM,ok,1254,2021-05-28,2026-05-27
QCOM,ok,1254,2021-05-28,2026-05-27
LITE,ok,1254,2021-05-28,2026-05-27
PLTR,ok,1254,2021-05-28,2026-05-27
SMH,ok,1254,2021-05-28,2026-05-27
TSM,ok,1254,2021-05-28,2026-05-27
TQQQ,ok,1254,2021-05-28,2026-05-27
MRVL,ok,1254,2021-05-28,2026-05-27
SOXX,ok,1254,2021-05-28,2026-05-27
VOO,ok,1254,2021-05-28,2026-05-27
WDC,ok,1254,2021-05-28,2026-05-27
IVV,ok,1254,2021-05-28,2026-05-27
ORCL,ok,1254,2021-05-28,2026-05-27
NBIS,ok,400,2024-10-21,2026-05-27
STX,ok,1254,2021-05-28,2026-05-27
LLY,ok,1254,2021-05-28,2026-05-27
RKLB,ok,1193,2021-08-25,2026-05-27
CRWV,ok,292,2025-03-28,2026-05-27
AMAT,ok,1254,2021-05-28,2026-05-27
EWY,ok,1254,2021-05-28,2026-05-27
LQD,ok,1254,2021-05-28,2026-05-27
IREN,ok,1134,2021-11-17,2026-05-27
CSCO,ok,1254,2021-05-28,2026-05-27
NFLX,ok,1254,2021-05-28,2026-05-27
HYG,ok,1254,2021-05-28,2026-05-27
BE,ok,1254,2021-05-28,2026-05-27
ARM,ok,677,2023-09-14,2026-05-27
SOXS,ok,1254,2021-05-28,2026-05-27
GLW,ok,1254,2021-05-28,2026-05-27
XOM,ok,1254,2021-05-28,2026-05-27
MSTR,ok,1254,2021-05-28,2026-05-27
NOW,ok,1254,2021-05-28,2026-05-27
SQQQ,ok,1254,2021-05-28,2026-05-27
LRCX,ok,1254,2021-05-28,2026-05-27
ASML,ok,1254,2021-05-28,2026-05-27
WMT,ok,1254,2021-05-28,2026-05-27
APP,ok,1254,2021-05-28,2026-05-27
V,ok,1254,2021-05-28,2026-05-27
GLD,ok,1254,2021-05-28,2026-05-27
UNH,ok,1254,2021-05-28,2026-05-27
JPM,ok,1254,2021-05-28,2026-05-27
CAT,ok,1254,2021-05-28,2026-05-27
COHR,ok,1207,2021-05-28,2026-05-27
BRK.B,ok,1254,2021-05-28,2026-05-27
GEV,ok,540,2024-04-02,2026-05-27
DIA,ok,1254,2021-05-28,2026-05-27
TLT,ok,1254,2021-05-28,2026-05-27
CRCL,ok,245,2025-06-05,2026-05-27
CRM,ok,1254,2021-05-28,2026-05-27
TXN,ok,1254,2021-05-28,2026-05-27
AAOI,ok,1254,2021-05-28,2026-05-27
XLE,ok,1254,2021-05-28,2026-05-27
COST,ok,1254,2021-05-28,2026-05-27
SGOV,ok,1254,2021-05-28,2026-05-27
ANET,ok,1254,2021-05-28,2026-05-27
XLK,ok,1254,2021-05-28,2026-05-27
RSP,ok,1254,2021-05-28,2026-05-27
ASTS,ok,1254,2021-05-28,2026-05-27
COIN,ok,1254,2021-05-28,2026-05-27
KLAC,ok,1254,2021-05-28,2026-05-27
VRT,ok,1254,2021-05-28,2026-05-27
IBM,ok,1254,2021-05-28,2026-05-27
IONQ,ok,1167,2021-10-01,2026-05-27
CVX,ok,1254,2021-05-28,2026-05-27
IGV,ok,1254,2021-05-28,2026-05-27
MA,ok,1254,2021-05-28,2026-05-27
EEM,ok,1254,2021-05-28,2026-05-27
GDX,ok,1254,2021-05-28,2026-05-27
GS,ok,1254,2021-05-28,2026-05-27
DRAM,ok,38,2026-04-02,2026-05-27
PANW,ok,1254,2021-05-28,2026-05-27
IBIT,ok,757,2022-09-08,2026-05-27
BABA,ok,1254,2021-05-28,2026-05-27
DELL,ok,1254,2021-05-28,2026-05-27
HOOD,ok,1212,2021-07-29,2026-05-27
XLF,ok,1254,2021-05-28,2026-05-27
CRWD,ok,1254,2021-05-28,2026-05-27
NOK,ok,1254,2021-05-28,2026-05-27
SLV,ok,1254,2021-05-28,2026-05-27
JNJ,ok,1254,2021-05-28,2026-05-27
HD,ok,1254,2021-05-28,2026-05-27
BAC,ok,1254,2021-05-28,2026-05-27
INTU,ok,1254,2021-05-28,2026-05-27
ADI,ok,1254,2021-05-28,2026-05-27
SHOP,ok,1254,2021-05-28,2026-05-27
APH,ok,1254,2021-05-28,2026-05-27
BA,ok,1254,2021-05-28,2026-05-27
GE,ok,1254,2021-05-28,2026-05-27
SNXX,ok,84,2026-01-27,2026-05-27
ON,ok,1254,2021-05-28,2026-05-27
ALAB,ok,548,2024-03-20,2026-05-27
EFA,ok,1254,2021-05-28,2026-05-27
UBER,ok,1254,2021-05-28,2026-05-27
MUU,ok,407,2024-10-10,2026-05-27
C,ok,1254,2021-05-28,2026-05-27
TSLL,ok,953,2022-08-09,2026-05-27
DDOG,ok,1254,2021-05-28,2026-05-27
TER,ok,1254,2021-05-28,2026-05-27
XLV,ok,1254,2021-05-28,2026-05-27
BITO,ok,1155,2021-10-19,2026-05-27
XLI,ok,1254,2021-05-28,2026-05-27
SMCI,ok,1254,2021-05-28,2026-05-27
USO,ok,1254,2021-05-28,2026-05-27
WFC,ok,1254,2021-05-28,2026-05-27
SNOW,ok,1254,2021-05-28,2026-05-27
ETN,ok,1254,2021-05-28,2026-05-27
MELI,ok,1254,2021-05-28,2026-05-27
AXTI,ok,1254,2021-05-28,2026-05-27
MCD,ok,1254,2021-05-28,2026-05-27
SPOT,ok,1254,2021-05-28,2026-05-27
CRDO,ok,1086,2022-01-27,2026-05-27
BKNG,ok,1254,2021-05-28,2026-05-27
ABBV,ok,1254,2021-05-28,2026-05-27
NXPI,ok,1254,2021-05-28,2026-05-27
FXI,ok,1254,2021-05-28,2026-05-27
VTI,ok,1254,2021-05-28,2026-05-27
QQQM,ok,1254,2021-05-28,2026-05-27
MCK,ok,1254,2021-05-28,2026-05-27
ADBE,ok,1254,2021-05-28,2026-05-27
NEE,ok,1254,2021-05-28,2026-05-27
PG,ok,1254,2021-05-28,2026-05-27
XBI,ok,1254,2021-05-28,2026-05-27
ABT,ok,1254,2021-05-28,2026-05-27
NET,ok,1254,2021-05-28,2026-05-27
MCHP,ok,1254,2021-05-28,2026-05-27
EWZ,ok,1254,2021-05-28,2026-05-27
RGTI,ok,1063,2022-03-02,2026-05-27
NVDL,ok,865,2022-12-13,2026-05-27
F,ok,1254,2021-05-28,2026-05-27
CIEN,ok,1254,2021-05-28,2026-05-27
TMO,ok,1254,2021-05-28,2026-05-27
MPWR,ok,1254,2021-05-28,2026-05-27
KO,ok,1254,2021-05-28,2026-05-27
LIN,ok,1254,2021-05-28,2026-05-27
ACN,ok,1254,2021-05-28,2026-05-27
KWEB,ok,1254,2021-05-28,2026-05-27
SOFI,ok,1253,2021-06-01,2026-05-27
MRK,ok,1254,2021-05-28,2026-05-27
AZO,ok,1254,2021-05-28,2026-05-27
DIS,ok,1254,2021-05-28,2026-05-27
AKAM,ok,1254,2021-05-28,2026-05-27
CEG,ok,1082,2022-02-02,2026-05-27
QBTS,ok,954,2022-08-08,2026-05-27
MS,ok,1254,2021-05-28,2026-05-27
PEP,ok,1254,2021-05-28,2026-05-27
PWR,ok,1254,2021-05-28,2026-05-27
RTX,ok,1254,2021-05-28,2026-05-27
VZ,ok,1254,2021-05-28,2026-05-27
APLD,ok,1104,2021-12-31,2026-05-27
ISRG,ok,1254,2021-05-28,2026-05-27
BSX,ok,1254,2021-05-28,2026-05-27
AXP,ok,1254,2021-05-28,2026-05-27
XLP,ok,1254,2021-05-28,2026-05-27
XLY,ok,1254,2021-05-28,2026-05-27
PFE,ok,1254,2021-05-28,2026-05-27
RDDT,ok,547,2024-03-21,2026-05-27
XLU,ok,1254,2021-05-28,2026-05-27
SYK,ok,1254,2021-05-28,2026-05-27
KRE,ok,1254,2021-05-28,2026-05-27
FLEX,ok,1254,2021-05-28,2026-05-27
OKLO,ok,512,2024-05-10,2026-05-27
HON,ok,1254,2021-05-28,2026-05-27
TJX,ok,1254,2021-05-28,2026-05-27
VST,ok,1254,2021-05-28,2026-05-27
COP,ok,1254,2021-05-28,2026-05-27
DASH,ok,1254,2021-05-28,2026-05-27
AMGN,ok,1254,2021-05-28,2026-05-27
IEFA,ok,1254,2021-05-28,2026-05-27
T,ok,1254,2021-05-28,2026-05-27
NKE,ok,1254,2021-05-28,2026-05-27
CVNA,ok,1254,2021-05-28,2026-05-27
TMUS,ok,1254,2021-05-28,2026-05-27
SCHW,ok,1254,2021-05-28,2026-05-27
FCX,ok,1254,2021-05-28,2026-05-27
BIL,ok,1254,2021-05-28,2026-05-27
IEMG,ok,1254,2021-05-28,2026-05-27
POET,ok,1055,2022-03-14,2026-05-27
SPGI,ok,1254,2021-05-28,2026-05-27
VEEV,ok,1254,2021-05-28,2026-05-27
PM,ok,1254,2021-05-28,2026-05-27
GILD,ok,1254,2021-05-28,2026-05-27
CCL,ok,1254,2021-05-28,2026-05-27
DHR,ok,1254,2021-05-28,2026-05-27
CLS,ok,1254,2021-05-28,2026-05-27
CMCSA,ok,1254,2021-05-28,2026-05-27
COF,ok,1254,2021-05-28,2026-05-27
AAL,ok,1254,2021-05-28,2026-05-27
VEA,ok,1254,2021-05-28,2026-05-27
NVTS,ok,1154,2021-10-20,2026-05-27
CVS,ok,1254,2021-05-28,2026-05-27
AGG,ok,1254,2021-05-28,2026-05-27
EBAY,ok,1254,2021-05-28,2026-05-27
TEAM,ok,1254,2021-05-28,2026-05-27
RCL,ok,1254,2021-05-28,2026-05-27
ZTS,ok,1254,2021-05-28,2026-05-27
SBUX,ok,1254,2021-05-28,2026-05-27
MDT,ok,1254,2021-05-28,2026-05-27
SNPS,ok,1254,2021-05-28,2026-05-27
VLO,ok,1254,2021-05-28,2026-05-27
PH,ok,1254,2021-05-28,2026-05-27
FIX,ok,1254,2021-05-28,2026-05-27
DVN,ok,1254,2021-05-28,2026-05-27
RBLX,ok,1254,2021-05-28,2026-05-27
NEM,ok,1254,2021-05-28,2026-05-27
NVO,ok,1254,2021-05-28,2026-05-27
FTNT,ok,1254,2021-05-28,2026-05-27
CDNS,ok,1254,2021-05-28,2026-05-27
FUTU,ok,1254,2021-05-28,2026-05-27
SATS,ok,1254,2021-05-28,2026-05-27
OXY,ok,1254,2021-05-28,2026-05-27
NU,ok,1119,2021-12-09,2026-05-27
BMNR,ok,806,2022-03-03,2026-05-27
WELL,ok,1254,2021-05-28,2026-05-27
VCIT,ok,1254,2021-05-28,2026-05-27
