timestamps,open,high,low,close,volume,amount
2021-05-28,24.39,24.82,24.13,24.24,30594395.0,741608134.8
2021-06-01,24.68,25.09,24.51,24.67,36502425.0,900514824.7500001
2021-06-02,24.76,26.04,24.65,25.82,57686212.0,1489457993.84
2021-06-03,25.42,25.58,24.9,24.93,38254874.0,953694008.82
2021-06-04,25.13,25.18,24.255,24.3,28977318.0,704148827.4
2021-06-07,24.49,24.7712,24.18,24.25,21173236.0,513450973.0
2021-06-08,24.42,24.49,23.86,24.22,26105566.0,632276808.52
2021-06-09,24.37,24.41,23.84,23.85,20289048.0,483893794.8
2021-06-10,24.14,24.24,23.26,23.46,28968336.0,679597162.5600001
2021-06-11,23.43,23.74,23.4,23.53,24368023.0,573379581.19
2021-06-14,23.49,23.74,22.93,22.99,22613101.0,519875191.9899999
2021-06-15,22.97,23.13,22.55,22.79,18975209.0,432445013.1099999
2021-06-16,22.74,23.0,22.515,22.83,20241422.0,462111664.26
2021-06-17,22.83,23.13,21.825,22.23,32857849.0,730429983.27
2021-06-18,22.065,22.53,21.91,22.29,27987883.0,623849912.0699999
2021-06-21,22.3178,22.545,21.91,22.45,26666155.0,598655179.75
2021-06-22,22.35,22.38,21.845,22.11,22745014.0,502892259.54
2021-06-23,22.17,22.335,22.08,22.2,17394670.0,386161674.0
2021-06-24,22.21,22.5,21.95,22.35,22667548.0,506619697.8
2021-06-25,22.33,22.48,22.07,22.22,18738629.0,416372336.38
2021-06-28,22.09,22.09,21.14,21.39,48437841.0,1036085418.99
2021-06-29,21.32,21.4,21.015,21.08,29157405.0,614638097.4
2021-06-30,21.0918,21.48,20.94,21.21,26231781.0,556376075.01
2021-07-01,21.4736,21.79,21.33,21.51,22070144.0,474728797.44000006
2021-07-02,21.615,21.65,21.11,21.48,20867943.0,448243415.64
2021-07-06,21.5,21.79,20.86,21.01,24176473.0,507947697.73
2021-07-07,20.79,21.05,20.17,20.31,30857027.0,626706218.37
2021-07-08,19.88,20.64,19.655,20.35,28486490.0,579700071.5
