timestamps,open,high,low,close,volume,amount
2021-05-28,8.3,8.58,8.21,8.23,415896.0,3422824.08
2021-06-01,8.29,8.56,8.13,8.54,580595.0,4958281.3
2021-06-02,8.56,8.7438,8.56,8.64,761040.0,6575385.600000001
2021-06-03,8.62,8.69,8.37,8.39,509546.0,4275090.94
2021-06-04,8.39,8.549,8.38,8.44,413113.0,3486673.7199999997
2021-06-07,8.42,8.74,8.42,8.68,510162.0,4428206.16
2021-06-08,8.73,9.03,8.73,8.85,583323.0,5162408.55
2021-06-09,8.85,8.98,8.652,8.69,368087.0,3198676.03
2021-06-10,8.7,8.8,8.53,8.63,387952.0,3348025.76
2021-06-11,8.845,8.845,8.6547,8.79,279624.0,2457894.96
2021-06-14,8.78,9.03,8.76,8.79,446002.0,3920357.58
2021-06-15,8.755,8.8799,8.64,8.69,358216.0,3112897.04
2021-06-16,8.64,8.85,8.51,8.78,355985.0,3125548.3
2021-06-17,8.8,8.9,8.62,8.62,384192.0,3311735.0399999996
2021-06-18,8.65,8.65,8.11,8.24,836466.0,6892479.84
2021-06-21,8.3,8.47,8.16,8.34,497403.0,4148341.02
2021-06-22,8.33,8.53,8.2913,8.47,531478.0,4501618.66
2021-06-23,8.45,8.64,8.33,8.36,334918.0,2799914.48
2021-06-24,8.43,8.54,8.37,8.4,475615.0,3995166.0
2021-06-25,8.47,8.84,8.4611,8.82,3761316.0,33174807.12
2021-06-28,8.87,9.25,8.84,8.86,762100.0,6752206.0
2021-06-29,8.85,9.19,8.56,8.67,550656.0,4774187.52
2021-06-30,8.63,8.73,8.42,8.47,483499.0,4095236.53
2021-07-01,8.58,8.6,8.34,8.4,387550.0,3255420.0
2021-07-02,8.47,8.5,8.29,8.39,326162.0,2736499.18
2021-07-06,8.43,8.43,8.0232,8.16,561013.0,4577866.08
2021-07-07,8.14,8.265,7.76,7.8,526187.0,4104258.6
2021-07-08,7.66,7.8615,7.56,7.76,561817.0,4359699.92
2021-07-09,7.78,8.09,7.77,8.02,415209.0,3329976.1799999997
2021-07-12,8.05,8.1,7.92,7.955,358269.0,2850029.895
2021-07-13,7.94,7.99,7.82,7.83,248696.0,1947289.68
2021-07-14,7.87,7.96,7.62,7.62,425876.0,3245175.12
2021-07-15,7.63,7.69,7.39,7.52,489706.0,3682589.12
2021-07-16,7.56,7.66,7.3,7.31,405970.0,2967640.6999999997
