timestamps,open,high,low,close,volume,amount
2021-05-28,113.33,114.48,112.86,113.2,7251379.0,820856102.8000001
2021-06-01,113.7,113.99,112.04,112.21,6992910.0,784674431.0999999
2021-06-02,112.41,112.66,110.85,111.4,8175410.0,910740674.0
2021-06-03,111.12,112.41,110.65,112.21,6376519.0,715509196.99
2021-06-04,112.4,113.11,112.16,112.36,4323034.0,485736100.24
2021-06-07,112.71,114.106,112.33,113.01,5644742.0,637912293.4200001
2021-06-08,112.68,113.09,111.82,112.34,4203448.0,472215348.32
2021-06-09,112.88,114.42,112.7384,114.0,4967630.0,566309820.0
2021-06-10,114.36,116.99,114.15,116.24,6340652.0,737037388.48
2021-06-11,116.24,116.36,114.87,115.42,4525379.0,522319244.18
2021-06-14,115.07,115.48,114.1853,115.4,4509374.0,520381759.6
2021-06-15,115.36,115.94,114.52,115.83,3653497.0,423184557.51
2021-06-16,116.22,116.525,115.17,115.53,6746188.0,779387099.64
2021-06-17,114.98,115.89,114.03,114.9,4230621.0,486098352.9
2021-06-18,113.64,114.2,113.05,113.12,8330970.0,942399326.4
2021-06-21,113.69,115.25,112.77,114.73,4752578.0,545263273.94
2021-06-22,114.49,115.2837,113.88,114.7,4447736.0,510155319.2
2021-06-23,114.55,115.025,113.95,114.0,3902863.0,444926382.0
2021-06-24,114.42,116.19,114.26,114.74,7773922.0,891979810.28
2021-06-25,112.9,113.59,112.14,112.98,11885425.0,1342815316.5
2021-06-28,113.26,114.11,112.84,113.0,5214422.0,589229686.0
2021-06-29,112.65,112.75,111.61,112.3,5902180.0,662814814.0
2021-06-30,112.21,112.92,111.63,112.64,5122890.0,577042329.6
2021-07-01,112.95,114.55,112.89,114.26,5334525.0,609522826.5
2021-07-02,114.52,115.49,113.89,115.17,5797098.0,667651776.66
2021-07-06,115.17,115.9,114.77,115.73,7303394.0,845221787.62
2021-07-07,115.91,116.97,115.31,116.75,6769113.0,790293942.75
2021-07-08,115.76,116.8099,115.6801,116.35,4044133.0,470534874.5499999
2021-07-09,116.3,117.325,116.11,116.58,4891655.0,570269139.9
2021-07-12,116.8,118.35,116.62,117.63,8250222.0,970473613.86
2021-07-13,117.59,118.09,116.69,117.91,6628760.0,781597091.6
2021-07-14,116.87,117.55,116.39,117.36,6624833.0,777490400.88
2021-07-15,116.81,117.49,115.75,117.18,4613197.0,540574424.46
2021-07-16,117.91,118.33,116.92,117.5,7027692.0,825753810.0
2021-07-19,116.67,117.0,113.74,115.42,6888359.0,795054395.78
2021-07-20,115.55,117.734,115.46,116.05,5690539.0,660387050.9499999
2021-07-21,116.64,117.07,115.79,116.99,4214056.0,493002411.44
2021-07-22,116.64,117.9126,116.3901,117.54,6328493.0,743851067.22
2021-07-23,117.98,118.67,117.57,118.19,4475250.0,528929797.5
2021-07-26,118.13,118.47,117.2692,117.79,3818212.0,449747191.48
2021-07-27,117.79,118.3,116.76,117.96,3864549.0,455862200.04
2021-07-28,117.63,118.93,117.3,118.55,5714197.0,677418054.35
2021-07-29,119.03,119.13,118.145,118.87,4632158.0,550624621.46
2021-07-30,119.0,119.15,116.12,116.3,9017218.0,1048702453.4
2021-08-02,116.89,117.24,115.41,115.45,9245504.0,1067393436.8
2021-08-03,115.67,116.31,114.8894,116.25,5902736.0,686193060.0
2021-08-04,115.78,116.52,114.91,115.08,4601960.0,529593556.8
2021-08-05,115.13,115.56,114.45,115.12,5132446.0,590847183.52
2021-08-06,115.26,115.55,114.43,114.45,5340425.0,611211641.25
2021-08-09,114.58,115.19,113.74,114.06,5277890.0,601996133.4
2021-08-10,114.2,115.03,112.92,114.82,5120793.0,587969452.26
2021-08-11,115.16,115.34,113.545,113.72,6840435.0,777894268.2
2021-08-12,113.96,115.73,113.91,115.64,4864650.0,562548126.0
2021-08-13,115.82,116.76,115.7,116.48,4416398.0,514422039.04
2021-08-16,117.0,118.62,116.71,118.41,8182154.0,968848855.14
2021-08-17,118.08,119.74,118.0,119.66,6551727.0,783979652.8199999
2021-08-18,119.17,119.9167,117.18,117.29,5586858.0,655282574.82
2021-08-19,116.21,118.96,116.21,117.93,6145211.0,724704733.23
2021-08-20,118.1,119.47,117.65,118.82,4101440.0,487333100.7999999
2021-08-23,119.8,120.45,119.22,119.36,4748420.0,566771411.2
2021-08-24,119.72,119.72,118.4201,119.68,3831466.0,458549850.88000005
2021-08-25,119.86,121.4,118.87,120.4,5141061.0,618983744.4
2021-08-26,120.86,121.25,120.15,120.4,5035404.0,606262641.6
2021-08-27,120.34,120.64,119.42,119.58,4279857.0,511785300.06
2021-08-30,119.84,120.9,119.54,120.57,3218427.0,388045743.39
2021-08-31,120.83,121.17,120.025,120.78,6021815.0,727314815.7
2021-09-01,121.0,121.53,106.1,112.27,50943167.0,5719389359.09
2021-09-02,113.55,113.74,110.82,112.02,14726266.0,1649636317.32
2021-09-03,111.18,112.07,111.02,111.62,5366517.0,599010627.5400001
2021-09-07,110.45,111.57,108.32,109.03,12951068.0,1412054944.04
2021-09-08,108.06,110.9,107.72,110.36,10823166.0,1194444599.76
2021-09-09,109.44,109.74,107.2,107.27,10337081.0,1108858678.87
2021-09-10,107.48,108.32,106.36,106.68,7620148.0,812917388.6400001
2021-09-13,107.39,108.77,106.806,107.48,7506244.0,806771105.12
2021-09-14,107.99,108.07,106.25,106.48,6191613.0,659282952.24
2021-09-15,106.59,108.8,106.03,107.77,7536939.0,812255916.03
2021-09-16,108.24,108.75,106.53,108.08,5821818.0,629222089.4399999
2021-09-17,107.5,108.25,107.1032,107.73,14165421.0,1526040804.3300002
2021-09-20,106.1,107.49,105.56,106.4,7103375.0,755799100.0
2021-09-21,106.25,107.41,106.2,107.15,6400369.0,685799538.35
2021-09-22,107.01,107.58,105.93,106.41,6319140.0,672419687.4
2021-09-23,106.99,108.27,106.65,107.36,5847755.0,627814976.8
2021-09-24,106.87,108.05,106.44,107.07,5836091.0,624870263.37
2021-09-27,107.13,108.64,107.02,107.72,4969647.0,535330374.84
2021-09-28,107.62,108.62,107.04,107.34,6445607.0,691871455.38
2021-09-29,107.85,109.58,107.475,108.84,6270080.0,682435507.2
2021-09-30,109.2,110.42,107.78,107.87,7970127.0,859737599.49
2021-10-01,108.25,109.69,106.87,109.09,8602109.0,938404070.81
2021-10-04,108.84,110.2,107.69,108.73,9779169.0,1063289045.37
2021-10-05,109.39,110.58,109.1,109.51,7146929.0,782660194.7900001
2021-10-06,109.3,109.67,108.15,109.32,5710312.0,624251307.8399999
2021-10-07,109.78,111.79,109.56,110.87,7842638.0,869513275.0600001
2021-10-08,111.05,111.75,110.64,111.18,5091313.0,566052179.34
2021-10-11,111.14,111.4,110.28,110.34,4613800.0,509086692.0
2021-10-12,110.12,110.26,108.16,108.57,6305802.0,684620923.14
2021-10-13,108.59,109.035,108.0,108.53,5474818.0,594181997.54
2021-10-14,107.96,108.99,107.8,108.91,7170453.0,780934036.23
2021-10-15,109.15,109.9616,109.08,109.33,4634513.0,506691306.29
2021-10-18,108.99,108.99,107.09,107.43,7949357.0,853999422.5100001
2021-10-19,107.75,108.0675,106.86,107.45,4614876.0,495868426.2
2021-10-20,107.5,109.11,107.5,108.41,5627071.0,610030767.11
2021-10-21,108.41,108.945,107.15,108.76,4811807.0,523332129.32000005
2021-10-22,108.67,109.22,108.31,109.14,4614352.0,503610377.28
2021-10-25,109.08,109.14,107.75,108.5,5697404.0,618168334.0
2021-10-26,108.81,109.575,108.2,109.49,5047395.0,552639278.55
2021-10-27,109.58,109.72,108.17,108.4,4875368.0,528489891.2000001
2021-10-28,108.39,109.898,108.2,109.67,5193298.0,569548991.66
2021-10-29,112.09,114.92,111.4201,114.67,16544959.0,1897210448.53
2021-11-01,115.25,115.72,113.57,114.81,7096794.0,814782919.14
2021-11-02,115.25,117.69,115.16,116.53,10357771.0,1206991054.63
2021-11-03,116.53,117.61,116.24,117.57,6186916.0,727395714.12
2021-11-04,117.57,117.72,116.33,117.06,4912211.0,575023419.66
2021-11-05,116.73,117.3199,115.5,117.18,4635806.0,543223747.08
2021-11-08,117.2,117.45,115.78,116.06,7015002.0,814161132.12
2021-11-09,116.24,116.59,115.41,115.61,3146761.0,363797039.21
2021-11-10,115.4,117.1,115.39,116.75,4981119.0,581545643.25
2021-11-11,116.94,117.49,116.29,116.63,3087049.0,360042524.87
2021-11-12,117.4,117.4,116.43,116.97,2740610.0,320569151.7
2021-11-15,116.95,117.8,116.22,116.84,3940964.0,460462233.76
2021-11-16,116.61,117.47,116.34,116.42,3476401.0,404722604.42
2021-11-17,116.6,117.62,116.25,117.35,4361522.0,511824606.7
2021-11-18,117.41,118.37,116.64,117.07,3161016.0,370060143.12
2021-11-19,117.63,117.8,115.86,116.24,5885750.0,684159580.0
2021-11-22,115.95,117.34,115.01,115.65,3976104.0,459836427.6
2021-11-23,116.56,119.33,116.15,118.88,8948671.0,1063818008.48
2021-11-24,118.68,119.24,118.08,118.66,5792843.0,687378750.38
2021-11-26,117.61,118.11,115.83,116.51,5016660.0,584491056.6
2021-11-29,116.83,117.92,116.58,116.89,4372526.0,511104564.14
2021-11-30,116.68,116.79,115.1,115.28,8172099.0,942079572.72
2021-12-01,115.78,118.98,115.61,115.91,6293338.0,729460807.5799999
2021-12-02,116.245,117.6,115.6,116.87,4919819.0,574979246.53
2021-12-03,117.74,119.0,117.0,118.85,6428107.0,763980516.9499999
2021-12-06,119.63,122.45,119.21,121.35,8939945.0,1084862325.75
2021-12-07,121.98,122.14,121.0,121.51,6123509.0,744067578.59
2021-12-08,121.96,122.44,120.75,121.87,5275713.0,642951143.3100001
2021-12-09,122.21,124.4591,122.1,124.15,8082307.0,1003418414.05
2021-12-10,123.715,126.01,123.715,125.47,7059504.0,885755966.88
2021-12-13,125.2,127.74,125.2,126.51,7834198.0,991104388.98
2021-12-14,125.7,127.85,125.38,127.29,6381439.0,812293370.3100001
2021-12-15,128.25,130.78,127.6,130.23,9585631.0,1248336725.13
2021-12-16,130.1,133.28,129.9079,131.78,9568975.0,1260999525.5
2021-12-17,130.84,131.02,129.37,129.53,12631089.0,1636104958.17
2021-12-20,128.51,131.39,128.23,130.86,7119219.0,931620998.3400002
2021-12-21,131.23,131.35,129.145,129.95,6085915.0,790864654.2499999
2021-12-22,129.91,132.58,129.78,132.05,7070941.0,933717759.05
2021-12-23,132.33,133.77,132.17,133.09,5702267.0,758914715.03
2021-12-27,133.19,134.48,133.16,134.41,4437416.0,596433084.56
2021-12-28,134.55,135.26,133.74,134.39,4237747.0,569510819.3299999
2021-12-29,134.61,135.87,134.08,135.36,5594263.0,757239439.6800001
2021-12-30,135.75,136.83,135.63,135.93,6354294.0,863739183.4200001
2021-12-31,136.04,136.2093,135.3,135.4,3963406.0,536645172.4
2022-01-03,135.41,135.7,133.51,135.42,6842342.0,926589953.64
2022-01-04,135.33,136.22,134.3805,135.16,6298281.0,851275659.9599999
2022-01-05,135.0,138.15,135.0,135.87,7724946.0,1049588413.02
2022-01-06,136.4,136.66,135.16,135.23,4667036.0,631123278.28
2022-01-07,135.25,135.835,134.13,134.88,8630341.0,1164060394.08
2022-01-10,135.08,136.895,134.57,136.39,9794424.0,1335861489.36
2022-01-11,135.85,137.09,134.8,136.97,7159363.0,980617950.11
2022-01-12,136.52,137.3882,136.03,137.29,6289301.0,863458134.29
2022-01-13,135.0,135.12,132.9,133.52,8386373.0,1119748522.96
2022-01-14,133.35,136.05,132.2906,135.87,10484541.0,1424534585.67
2022-01-18,135.51,137.98,135.28,136.78,12342764.0,1688243259.92
2022-01-19,136.41,137.5,134.84,135.21,6196740.0,837861215.4000001
2022-01-20,134.5,134.8,132.75,133.03,6612799.0,879700650.97
2022-01-21,133.06,134.25,131.67,131.98,7583037.0,1000809223.26
2022-01-24,132.82,133.25,128.26,132.16,13735586.0,1815295045.76
2022-01-25,131.49,134.32,130.79,133.09,10296517.0,1370363447.53
2022-01-26,133.29,135.48,132.83,134.23,8040271.0,1079245576.33
2022-01-27,135.5,138.3,135.36,135.97,8871192.0,1206215976.24
2022-01-28,135.99,137.98,134.6041,137.92,8014359.0,1105340393.28
2022-01-31,136.82,137.17,135.62,136.89,10299974.0,1409963440.86
2022-02-01,137.37,137.84,136.04,137.0,7413881.0,1015701697.0
2022-02-02,135.41,139.41,133.05,138.62,11363053.0,1575146406.86
