timestamps,open,high,low,close,volume,amount
2021-05-28,116.47,117.82,116.29,116.65,4939778.0,576225103.7
2021-06-01,110.15,111.3,105.6913,105.79,25492995.0,2696903941.05
2021-06-02,105.79,107.93,105.36,106.9,19579592.0,2093058384.8
2021-06-03,107.0,109.67,106.55,109.2,12377821.0,1351658053.2
2021-06-04,109.3,109.9102,108.41,109.29,7343351.0,802554830.7900001
2021-06-07,109.98,110.88,109.72,110.0,8107049.0,891775390.0
2021-06-08,110.5,110.5,107.825,107.9,8317812.0,897491914.8000001
2021-06-09,107.81,109.53,107.6,109.05,13908470.0,1516718653.5
2021-06-10,109.05,110.25,108.99,110.15,8113613.0,893714471.95
2021-06-11,110.33,110.33,109.51,109.91,6586683.0,723942328.53
2021-06-14,110.08,110.56,109.63,110.48,4949723.0,546845397.04
2021-06-15,110.94,111.4,110.1042,110.41,5488223.0,605954701.43
2021-06-16,110.19,111.11,109.8025,110.06,7135489.0,785331919.34
2021-06-17,109.75,111.99,109.73,111.63,6027472.0,672846699.36
2021-06-18,110.0,111.35,110.0,110.33,9938064.0,1096466601.12
2021-06-21,110.25,112.17,109.7304,111.44,4825337.0,537735555.28
2021-06-22,111.66,111.92,110.5,110.96,6569118.0,728909333.28
2021-06-23,110.6,111.26,110.6,110.84,4466337.0,495048793.08
2021-06-24,111.5,113.485,111.41,111.7,9798472.0,1094489322.4
2021-06-25,111.88,113.26,111.51,112.72,8884754.0,1001489470.88
2021-06-28,112.99,116.36,112.74,115.7,9655038.0,1117087896.6
2021-06-29,115.74,118.84,115.46,117.21,8264390.0,968669151.9
2021-06-30,117.0,117.18,115.25,115.93,5938672.0,688470244.96
2021-07-01,115.61,117.29,115.48,117.16,4802735.0,562688432.6
2021-07-02,116.92,118.25,116.65,118.04,4875354.0,575486786.1600001
2021-07-06,118.0,119.065,117.76,118.82,5131589.0,609735404.98
2021-07-07,119.08,119.98,118.75,119.87,4130492.0,495122076.04
2021-07-08,118.86,119.43,117.9646,119.26,3980710.0,474739474.6
2021-07-09,119.65,120.24,119.24,119.74,4411084.0,528183198.16
2021-07-12,118.81,119.69,118.44,118.81,3997513.0,474944519.53
2021-07-13,118.57,119.26,118.11,118.65,3939741.0,467450269.65
2021-07-14,118.12,118.3,116.86,117.17,4729768.0,554186916.5600001
2021-07-15,116.7,117.16,116.27,116.66,5836293.0,680861941.38
2021-07-16,117.04,117.81,116.43,117.51,4123509.0,484553542.59
2021-07-19,116.98,119.33,116.925,118.79,6807945.0,808715786.5500001
2021-07-20,118.54,120.0,118.1,118.73,4775784.0,567028834.32
2021-07-21,119.22,119.29,117.23,118.98,4342294.0,516646140.12
2021-07-22,118.0,118.75,115.86,118.25,7046193.0,833212322.25
2021-07-23,119.63,121.1,119.27,120.8,4853271.0,586275136.8
2021-07-26,120.24,120.485,118.38,119.52,5037366.0,602065984.3199999
2021-07-27,119.6,121.23,119.6,119.81,5720396.0,685360644.76
2021-07-28,119.81,121.07,119.28,120.52,3862154.0,465466800.08
2021-07-29,121.08,121.4,120.415,121.09,3925556.0,475345576.04
2021-07-30,121.0,121.42,120.4,120.98,4688845.0,567256468.1
2021-08-02,121.5,121.78,120.175,120.92,3646088.0,440884960.96
2021-08-03,121.38,122.55,121.07,122.12,3696418.0,451406566.16
2021-08-04,121.38,122.65,121.01,121.57,3513439.0,427128779.23
2021-08-05,122.36,122.36,120.83,122.21,3258074.0,398169223.54
2021-08-06,122.0,122.21,121.22,122.17,3550297.0,433739784.49
2021-08-09,122.39,123.26,122.03,123.16,4263266.0,525063840.56
2021-08-10,123.35,123.56,122.1,122.7,4357052.0,534610280.4
2021-08-11,122.84,123.4,121.35,121.46,3683124.0,447352241.04
2021-08-12,121.18,123.25,121.0,122.81,3023662.0,371335930.22
2021-08-13,122.72,123.226,122.34,123.06,3476593.0,427829534.58
2021-08-16,123.69,124.7,123.33,124.66,4602632.0,573764105.12
2021-08-17,124.64,126.38,124.37,125.69,4609726.0,579396460.9399999
2021-08-18,125.81,126.08,123.86,123.93,3585154.0,444308135.22
2021-08-19,123.72,126.39,123.575,125.72,4283826.0,538562604.72
2021-08-20,125.91,126.98,125.12,126.32,5485778.0,692963476.9599999
2021-08-23,126.67,127.3,125.79,125.84,3906929.0,491647945.36
2021-08-24,125.6,125.91,124.84,125.5,3945970.0,495219235.0
2021-08-25,125.84,125.91,124.17,124.74,4379038.0,546241200.12
2021-08-26,124.69,126.2725,124.65,125.47,3991872.0,500860179.84
2021-08-27,125.68,126.26,124.3,124.59,4094475.0,510130640.25
2021-08-30,124.53,126.19,124.36,125.94,3151842.0,396942981.48
2021-08-31,126.4,127.21,125.91,126.37,6190397.0,782280468.89
2021-09-01,125.72,127.46,125.46,127.4,3484461.0,443920331.4
2021-09-02,127.5,128.85,127.34,128.49,3403549.0,437322011.0100001
2021-09-03,129.0,129.3988,128.15,128.94,2463390.0,317629506.6
2021-09-07,128.12,128.485,127.05,128.39,2869616.0,368429998.2399999
2021-09-08,128.56,129.52,127.995,129.06,3121341.0,402840269.46
2021-09-09,129.15,129.15,127.329,127.98,4546915.0,581914181.7
2021-09-10,128.0,129.44,128.0,128.8,4127392.0,531608089.6
2021-09-13,129.67,129.6992,124.81,126.62,5867365.0,742925756.3000001
2021-09-14,127.35,127.99,126.71,127.05,4257482.0,540913088.1
2021-09-15,126.88,128.18,126.28,127.49,4854614.0,618914738.86
2021-09-16,127.87,127.97,126.3,127.44,3317341.0,422761937.04
2021-09-17,126.78,127.8,126.46,126.79,10046204.0,1273758205.16
2021-09-20,125.6,126.57,123.81,124.87,5262178.0,657088166.86
2021-09-21,125.57,126.78,125.1,125.13,4918788.0,615487942.4399999
2021-09-22,125.5,125.74,124.18,124.65,6553396.0,816880811.4000001
2021-09-23,125.42,125.895,124.81,125.3,4161505.0,521436576.5
2021-09-24,124.81,125.48,124.27,124.37,3045957.0,378825672.09
2021-09-27,123.33,123.5,120.45,120.58,6481151.0,781497187.58
2021-09-28,119.6,119.76,117.97,118.74,5855199.0,695246329.26
2021-09-29,118.92,120.06,118.77,119.46,4511387.0,538930291.02
2021-09-30,119.86,120.669,118.1,118.13,4831779.0,570778053.27
2021-10-01,118.2,118.43,115.1,117.21,8173204.0,957981240.84
2021-10-04,116.61,117.57,114.86,115.53,5903559.0,682038171.27
2021-10-05,116.11,116.95,115.53,115.88,4238369.0,491142199.72
2021-10-06,115.75,116.565,114.4,116.49,5498859.0,640562084.91
2021-10-07,117.55,118.71,117.45,117.91,4505817.0,531280882.47
2021-10-08,118.09,119.33,117.82,118.39,7254240.0,858829473.6
2021-10-11,118.15,118.94,116.845,116.88,3873246.0,452704992.48
2021-10-12,117.9,118.31,116.41,117.32,4599520.0,539615686.4
2021-10-13,117.5,118.23,116.44,117.0,3935418.0,460443906.0
2021-10-14,116.66,117.68,116.64,117.57,4977898.0,585251467.86
2021-10-15,118.08,118.33,117.13,117.49,6012639.0,706424956.11
2021-10-18,117.29,117.49,116.3035,116.82,5275825.0,616321876.5
2021-10-19,117.06,120.18,117.06,119.34,5879958.0,701714187.72
2021-10-20,123.53,124.8,122.19,123.31,8401863.0,1036033726.53
2021-10-21,123.51,125.6,123.09,125.05,4984294.0,623285964.6999999
2021-10-22,125.51,126.84,124.88,126.72,5742356.0,727671352.32
2021-10-25,126.49,126.85,125.395,126.58,4427034.0,560373963.72
2021-10-26,127.0,128.775,126.785,128.13,3994004.0,511751732.52
2021-10-27,129.0,129.4026,127.365,127.71,4128838.0,527293900.98
2021-10-28,128.03,128.94,127.04,127.71,3645516.0,465568848.3599999
