timestamps,open,high,low,close,volume,amount
2021-05-28,282.55,284.92,282.1,282.16,2049709.0,578345891.44
2021-06-01,285.58,285.58,280.61,280.88,1726440.0,484922467.2
2021-06-02,281.05,283.12,281.05,281.8,2111768.0,595096222.4
2021-06-03,280.0,280.79,277.38,279.63,1563175.0,437110625.25
2021-06-04,281.32,283.442,281.181,283.17,1167325.0,330551420.25
2021-06-07,283.17,284.25,281.06,282.19,1427011.0,402688234.09
2021-06-08,282.0,283.48,280.9175,281.45,1371925.0,386128291.25
2021-06-09,283.1,283.27,281.54,282.11,1190763.0,335926149.93
2021-06-10,283.53,284.71,282.78,284.22,2025458.0,575675672.7600001
2021-06-11,285.0,285.57,283.94,285.28,1499127.0,427670950.55999994
2021-06-14,285.74,285.84,283.18,285.71,1695829.0,484515303.59
2021-06-15,286.85,287.95,285.37,286.19,1439016.0,411831989.04
2021-06-16,287.48,287.48,283.03,283.94,2383150.0,676671611.0
2021-06-17,282.5,285.43,282.5,284.77,1888520.0,537793840.4
2021-06-18,282.84,284.0,280.8,281.25,3428197.0,964180406.25
2021-06-21,283.96,287.495,282.01,285.56,2000570.0,571282769.2
2021-06-22,285.76,286.615,283.71,285.66,2044270.0,583966168.2
2021-06-23,287.75,288.4,285.5901,285.7,2214543.0,632694935.1
2021-06-24,297.23,297.8,289.55,291.56,3075891.0,896806779.96
2021-06-25,292.33,295.22,290.42,294.66,4288052.0,1263517402.3200002
2021-06-28,294.44,295.87,292.5,293.9,1728675.0,508057582.49999994
2021-06-29,294.79,297.655,294.6,296.43,2095006.0,621022628.58
2021-06-30,295.99,296.99,293.79,294.79,1631183.0,480856436.57000005
2021-07-01,295.48,300.06,295.0,300.0,3139832.0,941949600.0
2021-07-02,300.0,305.17,300.0,304.84,2324811.0,708695385.2399999
2021-07-06,304.86,306.85,301.69,305.4,1934495.0,590794773.0
2021-07-07,305.82,309.79,305.2,309.61,1919876.0,594412808.36
2021-07-08,305.03,309.24,302.66,309.15,1914987.0,592018231.05
2021-07-09,310.6,316.22,310.18,312.62,2090501.0,653532422.62
2021-07-12,311.84,312.18,310.73,311.57,1536118.0,478608285.26
2021-07-13,311.21,313.91,310.05,312.63,1596381.0,499076592.03
2021-07-14,313.05,315.52,312.53,314.39,1784875.0,561146851.25
2021-07-15,313.88,315.49,313.3,314.94,1962031.0,617922043.14
2021-07-16,317.12,317.12,311.3,311.91,2740519.0,854795281.2900001
2021-07-19,308.0,309.785,306.26,309.18,1882410.0,582003523.8000001
2021-07-20,310.0,314.17,308.99,312.06,1473891.0,459942425.46
2021-07-21,312.61,314.05,311.95,313.77,1200027.0,376532471.79
2021-07-22,314.77,315.0,312.7712,314.26,1294507.0,406811769.82
2021-07-23,316.0,318.8,315.54,318.65,1258350.0,400973227.5
2021-07-26,318.8,319.7444,316.85,318.98,1386607.0,442299900.86
2021-07-27,317.88,320.1,315.81,319.89,1666026.0,532945057.14
2021-07-28,320.85,321.0,316.12,316.31,2040403.0,645399872.93
2021-07-29,317.82,319.14,316.13,318.35,1863808.0,593343276.8000001
2021-07-30,317.71,319.18,316.9,317.68,2305415.0,732384237.2
2021-08-02,319.27,319.49,315.5,316.08,1507184.0,476390718.72
2021-08-03,317.77,319.6,315.5017,318.52,1979647.0,630557162.4399999
2021-08-04,318.02,319.19,315.85,316.77,1448293.0,458775773.6099999
2021-08-05,317.91,320.56,317.04,320.31,1952359.0,625360111.29
2021-08-06,321.0,322.365,318.5,321.83,1392597.0,448179492.51
2021-08-09,322.01,322.26,319.38,319.52,1225133.0,391454496.16
2021-08-10,319.97,322.06,319.06,320.18,918957.0,294231652.26
2021-08-11,320.62,320.86,317.08,319.79,1841851.0,589005531.2900001
2021-08-12,319.7,321.83,318.64,321.76,910870.0,293081531.2
2021-08-13,322.19,324.04,321.58,323.45,970306.0,313845475.7
2021-08-16,324.0,328.5,323.14,328.25,1781709.0,584845979.25
2021-08-17,327.6,329.95,326.77,329.3,1531684.0,504383541.2
2021-08-18,327.37,329.18,324.38,324.55,1636931.0,531265956.05
2021-08-19,322.81,329.0,322.4501,328.25,1294224.0,424829028.0
2021-08-20,329.81,333.55,328.33,332.65,1727098.0,574519149.6999999
2021-08-23,334.24,334.88,332.73,332.92,2017876.0,671791277.9200001
2021-08-24,333.14,334.0,330.75,330.91,1451317.0,480255308.47
2021-08-25,331.94,334.59,331.13,333.44,1613857.0,538124478.08
2021-08-26,334.47,334.47,331.2443,333.23,1702327.0,567266426.21
2021-08-27,334.09,335.91,333.3543,335.66,1126200.0,378020292.0
2021-08-30,335.0,338.65,332.9196,337.0,973810.0,328173970.0
2021-08-31,337.2,337.41,335.095,336.56,1641335.0,552407707.6
2021-09-01,337.45,339.03,336.66,337.9,1621136.0,547781854.4
2021-09-02,338.46,342.05,338.25,341.0,1600529.0,545780389.0
2021-09-03,341.0,344.08,340.11,343.33,1566085.0,537683963.05
2021-09-07,343.33,344.43,340.21,341.49,1418862.0,484527184.38
2021-09-08,340.84,342.27,339.72,340.32,1392851.0,474015052.32
2021-09-09,341.46,342.55,339.9,341.1,1668221.0,569030183.1
2021-09-10,343.5,345.5199,341.5,341.92,1725414.0,589953554.88
2021-09-13,345.0,345.47,335.87,339.44,1879540.0,637991057.6
2021-09-14,341.06,343.26,340.0,340.72,1780124.0,606523849.2800001
2021-09-15,340.24,345.5,339.83,344.43,1679723.0,578546992.89
2021-09-16,344.64,345.0,340.22,342.23,2252682.0,770935360.86
2021-09-17,340.03,341.515,334.57,335.4,4455591.0,1494405221.4
2021-09-20,331.1,334.92,328.23,332.29,2650268.0,880657553.72
2021-09-21,333.79,335.46,330.865,331.15,2820305.0,933944000.75
2021-09-22,335.45,336.81,333.14,334.66,2441069.0,816928151.5400001
2021-09-23,337.62,344.74,337.13,343.0,4543452.0,1558404036.0
2021-09-24,340.68,342.88,337.72,339.23,2035894.0,690636321.62
2021-09-27,337.52,337.72,333.08,334.51,2025350.0,677499828.5
2021-09-28,331.56,332.02,323.86,324.21,2300504.0,745846401.8399999
2021-09-29,326.3,326.41,323.065,323.53,1741309.0,563365700.77
2021-09-30,324.49,325.89,318.3,319.92,2436105.0,779358711.6
2021-10-01,323.37,326.89,319.59,324.86,1802326.0,585503624.36
2021-10-04,323.4,324.32,316.01,319.49,1774504.0,566936282.96
2021-10-05,320.96,327.33,320.81,325.12,1628835.0,529566835.2
2021-10-06,323.11,325.34,320.51,325.19,2166411.0,704495193.09
2021-10-07,328.0,329.53,325.8,326.25,1188408.0,387718110.0
2021-10-08,326.74,327.63,324.54,325.19,1250252.0,406569447.88
2021-10-11,324.73,328.73,324.51,326.5,1475983.0,481908449.5
2021-10-12,328.11,329.4,327.19,327.69,2054577.0,673264337.13
2021-10-13,328.25,331.55,325.855,330.18,1768743.0,584003563.74
2021-10-14,333.14,339.27,332.02,339.04,1628398.0,552092057.9200001
2021-10-15,341.18,341.91,339.2,341.82,2074904.0,709243685.28
2021-10-18,341.6,344.24,340.65,343.18,1636829.0,561726976.22
2021-10-19,345.0,350.76,344.485,349.74,2177841.0,761678111.34
2021-10-20,350.0,350.44,345.57,345.8,1740200.0,601761160.0
2021-10-21,345.8,347.5,344.72,347.12,1520226.0,527700849.12
2021-10-22,348.25,355.345,348.25,353.79,1459455.0,516340584.4500001
2021-10-25,353.27,357.155,351.48,356.44,1523866.0,543166797.04
2021-10-26,356.99,359.31,356.27,356.34,1547667.0,551495658.78
2021-10-27,355.02,356.92,353.79,354.05,1567799.0,555079235.95
2021-10-28,355.44,358.42,354.74,356.32,1500838.0,534778596.16
2021-10-29,354.58,359.62,354.1,358.79,1936436.0,694773872.44
2021-11-01,358.83,359.88,352.1,355.32,1587695.0,564139787.4
2021-11-02,357.04,363.24,356.59,361.5,2204341.0,796869271.5
2021-11-03,360.94,362.5,354.39,362.1,1727554.0,625547303.4000001
2021-11-04,362.94,366.92,361.47,366.8,1979260.0,725992568.0
2021-11-05,368.85,372.115,366.96,368.46,2110579.0,777663938.3399999
2021-11-08,370.0,370.66,366.12,366.93,1731557.0,635360210.01
2021-11-09,366.63,367.78,364.77,367.47,1865685.0,685583266.95
2021-11-10,364.97,367.32,362.68,364.74,1352463.0,493297354.62
2021-11-11,365.58,367.16,364.25,366.21,1184312.0,433706897.52
2021-11-12,368.0,371.61,366.37,371.23,1802087.0,668988757.01
2021-11-15,371.77,372.12,368.06,368.45,1957364.0,721190765.8
2021-11-16,367.3,373.11,367.02,371.16,2041595.0,757758400.2
2021-11-17,371.55,374.92,369.57,372.78,2254592.0,840466805.76
2021-11-18,371.32,372.75,369.28,370.78,2555923.0,947685129.94
2021-11-19,371.95,374.7,369.67,369.79,2563897.0,948103471.63
2021-11-22,371.42,372.7,363.08,363.3,2098421.0,762356349.3000001
2021-11-23,362.45,363.57,357.25,360.7,1999477.0,721211353.9
2021-11-24,359.23,362.93,358.7,362.37,2191461.0,794119722.57
2021-11-26,361.17,361.84,352.7,353.6,2649354.0,936811574.4
2021-11-29,359.14,369.525,359.14,365.82,2857131.0,1045195662.42
2021-11-30,361.67,365.05,357.29,357.4,4761227.0,1701662529.8
2021-12-01,365.27,369.58,359.95,360.14,2876805.0,1036052552.7
2021-12-02,359.71,368.89,359.71,365.3,3183137.0,1162799946.1
2021-12-03,369.41,370.76,357.34,361.42,2331948.0,842812646.1600001
2021-12-06,361.99,365.4,358.09,362.23,2100218.0,760761966.14
2021-12-07,370.0,373.14,365.975,371.34,1943846.0,721827773.64
2021-12-08,371.94,374.86,369.65,374.53,2270970.0,850546394.0999999
2021-12-09,372.8,373.88,370.58,371.45,1841412.0,683992487.4
2021-12-10,374.22,379.93,373.0,379.44,1983999.0,752808580.56
2021-12-13,379.44,381.15,377.26,377.72,2843916.0,1074203951.52
2021-12-14,374.38,375.78,366.505,369.73,2475241.0,915170854.93
2021-12-15,370.21,375.88,367.29,375.3,2804930.0,1052690229.0
2021-12-16,413.07,413.65,399.02,400.6,6298493.0,2523176295.8
2021-12-17,396.36,404.61,391.32,396.24,4929171.0,1953134717.04
2021-12-20,390.88,391.43,383.52,385.78,2690878.0,1038086914.84
2021-12-21,388.0,393.15,384.85,392.89,2222377.0,873149699.53
2021-12-22,393.24,403.75,393.21,403.69,2282493.0,921419599.17
2021-12-23,402.3,406.845,400.96,403.31,1374100.0,554188271.0
2021-12-27,406.76,415.95,406.34,415.33,1906324.0,791753546.92
2021-12-28,415.0,417.15,413.68,415.27,1362596.0,565845240.92
2021-12-29,414.82,417.37,412.7,415.42,1041751.0,432764200.42
2021-12-30,416.26,416.66,411.88,413.83,1278044.0,528892948.52
2021-12-31,412.7,416.95,412.1096,414.55,1163448.0,482307368.4
2022-01-03,414.66,415.53,405.04,407.21,2129954.0,867338568.3399999
2022-01-04,408.81,411.37,403.2,404.3,2516360.0,1017364348.0
2022-01-05,403.93,403.97,397.1,397.18,2471434.0,981604156.12
2022-01-06,384.69,392.195,375.76,378.0,4386812.0,1658214936.0
2022-01-07,379.09,379.99,370.14,370.75,3468954.0,1286114695.5
2022-01-10,363.42,373.37,360.22,373.0,2952595.0,1101317935.0
2022-01-11,369.51,375.78,363.86,375.11,2407022.0,902898022.42
2022-01-12,377.85,383.44,376.615,377.19,3143376.0,1185649993.44
2022-01-13,378.22,379.28,360.755,361.37,2944219.0,1063952420.03
2022-01-14,357.04,359.375,349.72,353.36,3949756.0,1395685780.16
2022-01-18,348.61,351.02,344.97,348.28,3425637.0,1193080854.36
2022-01-19,351.0,356.07,343.5,343.74,3374754.0,1160037939.96
2022-01-20,345.45,355.94,342.04,342.69,2817368.0,965483839.92
2022-01-21,341.39,344.08,335.25,335.63,2830665.0,950056093.95
2022-01-24,328.3,339.58,319.1,339.0,4544635.0,1540631265.0
2022-01-25,331.91,339.685,327.21,334.95,3625359.0,1214313997.05
2022-01-26,341.42,343.96,328.045,329.89,4422198.0,1458838898.22
2022-01-27,337.53,341.73,331.01,333.36,2778242.0,926154753.12
2022-01-28,333.9,343.06,327.17,342.85,2457439.0,842532961.1500001
2022-01-31,345.0,353.7,343.535,353.58,3159319.0,1117072012.02
2022-02-01,354.22,356.7,348.88,353.42,2087227.0,737667766.34
2022-02-02,354.4,360.1,353.51,359.47,2603191.0,935769068.77
2022-02-03,345.275,351.93,343.9754,345.55,2706285.0,935156781.75
2022-02-04,344.89,350.54,340.85,347.5,2142780.0,744616050.0
2022-02-07,346.18,348.27,343.01,343.96,1265190.0,435174752.4
2022-02-08,339.98,345.93,339.86,345.07,2197696.0,758358958.72
2022-02-09,351.63,356.53,351.515,355.53,2430466.0,864103576.9799999
2022-02-10,346.09,351.58,339.99,342.39,2457672.0,841482316.0799999
2022-02-11,343.94,344.98,327.29,329.18,3091555.0,1017678074.9
2022-02-14,323.08,327.87,321.465,326.13,2689862.0,877244694.06
2022-02-15,332.72,333.33,327.35,329.41,2395619.0,789140854.7900001
2022-02-16,325.87,335.44,325.11,333.72,2867517.0,956947773.24
2022-02-17,332.92,332.92,322.246,322.91,2148023.0,693618106.9300001
2022-02-18,322.41,326.49,320.095,321.18,2421930.0,777875477.4
2022-02-22,320.01,327.975,317.79,321.11,2794291.0,897274783.01
2022-02-23,322.77,324.82,312.59,313.16,2192190.0,686506220.4000001
2022-02-24,302.35,316.58,300.71,316.17,3785939.0,1197000333.63
2022-02-25,317.33,323.17,316.39,322.51,2552653.0,823256119.03
2022-02-28,318.69,319.45,311.91,316.02,3419370.0,1080589307.4
2022-03-01,317.0,317.38,309.76,311.35,2525416.0,786288271.6
2022-03-02,315.42,320.26,312.55,318.33,2220801.0,706947582.3299999
2022-03-03,322.84,323.69,315.6,318.95,2120865.0,676449891.75
2022-03-04,314.55,316.315,310.0,314.16,1917250.0,602323260.0
2022-03-07,313.18,314.0,304.6,305.02,2908214.0,887063434.28
2022-03-08,303.71,309.01,297.36,301.62,2902566.0,875471956.92
2022-03-09,311.03,312.69,307.75,309.42,2825956.0,874407305.5200001
2022-03-10,305.0,310.1562,304.02,309.52,2048963.0,634195027.76
2022-03-11,314.41,318.72,311.21,311.58,3811927.0,1187720214.6599998
