timestamps,open,high,low,close,volume,amount
2021-05-28,506.08,511.37,504.19,504.58,1924999.0,971315995.42
2021-06-01,504.54,506.0,492.31,495.91,2189020.0,1085556908.2
2021-06-02,495.18,501.8237,493.09,495.77,1761478.0,873287948.06
2021-06-03,492.4,496.755,487.34,493.14,1539103.0,758993253.42
2021-06-04,498.73,506.5,497.72,504.5,1644301.0,829549854.5
2021-06-07,504.99,509.78,502.0,509.47,1768754.0,901127100.38
2021-06-08,511.15,516.29,508.0701,509.2,1747779.0,889969066.8
2021-06-09,513.99,518.318,512.48,514.68,1702714.0,876352841.5199999
2021-06-10,513.99,536.41,513.01,535.52,3152379.0,1688162002.08
2021-06-11,529.75,541.85,529.75,541.26,2871289.0,1554113884.14
2021-06-14,545.04,561.36,543.25,556.95,3502621.0,1950784765.95
2021-06-15,554.99,555.0,547.2304,548.46,2424774.0,1329891548.0400002
2021-06-16,548.46,553.99,535.72,543.33,2831696.0,1538545387.68
2021-06-17,539.99,552.72,538.75,551.36,3566351.0,1966343287.36
2021-06-18,569.9612,570.0,556.39,565.59,6762031.0,3824537113.29
2021-06-21,565.99,570.19,560.3501,567.35,2625919.0,1489815144.65
2021-06-22,568.505,576.31,567.0,575.74,2370737.0,1364928120.38
2021-06-23,577.99,579.8,570.705,574.23,1616933.0,928491436.59
2021-06-24,575.9,580.966,574.96,578.26,1835008.0,1061111726.08
2021-06-25,578.64,582.0,577.0552,579.66,2133465.0,1236684321.9
2021-06-28,582.71,589.41,581.0,588.8,1713970.0,1009185536.0
2021-06-29,586.78,591.34,583.9,590.75,1204806.0,711739144.5
2021-06-30,590.75,592.2402,585.0,585.64,1704224.0,998061743.36
2021-07-01,583.33,587.7799,581.35,584.73,1646412.0,962706488.76
2021-07-02,588.67,594.08,587.96,593.07,1744955.0,1034880461.85
2021-07-06,595.87,600.66,592.48,596.9,1657567.0,989401742.3
2021-07-07,600.0,607.665,597.4,605.77,2022482.0,1225158921.14
2021-07-08,595.64,607.2989,593.33,605.95,1845317.0,1118169836.15
2021-07-09,601.43,605.95,597.44,604.5,2145199.0,1296772795.5
2021-07-12,606.0,607.4229,596.48,600.2,1696279.0,1018106655.8
2021-07-13,600.56,609.33,598.42,605.01,1435602.0,868553566.02
2021-07-14,608.14,611.305,604.01,608.83,1377018.0,838369868.94
2021-07-15,608.4,609.95,602.6501,606.17,1618283.0,980954606.11
2021-07-16,608.71,611.62,603.66,606.1,1249738.0,757466201.8000001
2021-07-19,602.75,610.69,598.14,602.05,2046575.0,1232140478.75
2021-07-20,605.39,612.75,598.48,608.72,1675926.0,1020169674.72
