timestamps,open,high,low,close,volume,amount
2021-05-28,163.73,165.6201,163.08,164.6,2750191.0,452681438.6
2021-06-01,163.76,166.32,162.17,163.69,2981969.0,488118505.61
2021-06-02,163.86,165.32,163.36,164.5,2071817.0,340813896.5
2021-06-03,161.635,163.73,161.02,162.07,2503781.0,405787786.67
2021-06-04,162.39,166.15,162.39,165.58,2443209.0,404546546.22
2021-06-07,164.66,165.57,164.01,164.48,1999197.0,328827922.56
2021-06-08,166.51,166.51,163.24,164.91,2437121.0,401905624.11
2021-06-09,165.42,166.91,164.94,166.37,3245417.0,539940026.29
2021-06-10,167.19,167.87,164.69,167.34,2905837.0,486262763.58
2021-06-11,167.69,167.74,166.44,167.6,2383314.0,399443426.4
2021-06-14,167.77,168.44,165.78,168.44,2755523.0,464140294.12
2021-06-15,168.43,168.925,167.09,167.62,2377983.0,398597510.46
2021-06-16,168.06,168.63,164.4498,166.02,2361118.0,391992810.36
2021-06-17,166.0222,168.22,165.09,166.22,2391617.0,397534577.74
2021-06-18,165.34,165.34,161.47,162.19,3936524.0,638464827.56
2021-06-21,162.57,164.31,162.18,164.15,2973158.0,488043885.7
2021-06-22,163.545,164.2,162.431,163.67,2983838.0,488364765.46
2021-06-23,163.63,164.93,163.0,163.63,2256995.0,369312091.85
2021-06-24,166.2,167.27,165.24,167.04,2059924.0,344089704.96
2021-06-25,167.526,169.47,167.07,167.66,2959516.0,496192452.56
2021-06-28,168.94,171.16,168.44,170.57,2265927.0,386499168.39
2021-06-29,170.28,171.84,169.9,171.4,2121396.0,363607274.4
2021-06-30,171.15,172.45,170.2,172.16,2933397.0,505013627.52
2021-07-01,172.03,172.09,168.89,169.17,2865052.0,484680846.84
2021-07-02,170.29,171.229,169.63,170.67,1563454.0,266834694.18
2021-07-06,171.53,171.53,166.75,168.32,2293457.0,386034682.24
2021-07-07,169.27,169.43,164.64,165.43,4204667.0,695578061.8100001
2021-07-08,162.31,164.3,160.18,163.91,3152523.0,516730044.93
2021-07-09,163.96,166.61,162.74,166.27,2346298.0,390118968.46
2021-07-12,166.52,167.62,165.67,167.55,2073979.0,347495181.45000005
2021-07-13,167.02,168.36,165.975,167.26,2127156.0,355788112.56
2021-07-14,168.67,170.0,165.87,166.16,2012798.0,334446515.68
2021-07-15,165.91,165.91,162.32,163.66,3505929.0,573780340.14
2021-07-16,163.99,164.75,160.26,160.44,2284134.0,366466458.96
2021-07-19,158.72,159.61,156.55,158.98,2772010.0,440694149.7999999
2021-07-20,159.34,161.81,157.92,160.91,2831099.0,455552140.09
2021-07-21,161.29,164.84,160.78,164.84,2076338.0,342263555.92
2021-07-22,162.26,163.03,160.83,162.02,3251020.0,526730260.4
2021-07-23,163.23,163.84,161.67,163.55,2178752.0,356334889.6
