timestamps,open,high,low,close,volume,amount
2021-05-28,197.62,197.98,195.63,196.02,1285136.0,251912358.72
2021-06-01,197.75,198.2,195.59,196.71,1302781.0,256270050.51
2021-06-02,196.89,199.525,196.63,198.44,1282131.0,254426075.64
2021-06-03,196.43,197.63,195.21,196.99,1449789.0,285593935.11
2021-06-04,198.76,198.76,197.09,197.72,1353059.0,267526825.48
2021-06-07,198.04,198.22,196.12,196.72,1270703.0,249972694.16
2021-06-08,197.13,199.19,196.52,198.88,1098929.0,218554999.52
2021-06-09,199.95,200.51,198.09,198.19,1622465.0,321556338.35
2021-06-10,198.18,200.12,197.28,200.06,1415039.0,283092702.34
2021-06-11,200.33,200.36,198.99,199.65,1360036.0,271531187.40000004
2021-06-14,198.57,199.63,197.2,199.17,1436076.0,286023256.91999996
2021-06-15,199.17,199.61,197.87,199.03,1030155.0,205031749.65
2021-06-16,198.49,199.55,196.01,197.23,1865345.0,367901994.35
2021-06-17,196.9,198.575,196.5043,197.5,1402333.0,276960767.5
2021-06-18,195.93,196.18,192.18,192.9,2926563.0,564534002.7
2021-06-21,193.78,196.92,193.65,196.47,1174174.0,230689965.78
2021-06-22,195.82,196.95,195.06,196.79,979631.0,192781584.49
2021-06-23,196.23,196.23,194.76,195.23,873470.0,170527548.1
2021-06-24,196.1,196.7,195.21,196.08,1055416.0,206945969.28
2021-06-25,195.97,198.06,195.51,197.36,1798905.0,355031890.8
2021-06-28,197.56,198.2,195.69,196.63,1279420.0,251572354.6
2021-06-29,196.96,198.59,196.17,197.62,912168.0,180262640.16
2021-06-30,197.58,199.18,197.39,198.62,1433184.0,284659006.08
2021-07-01,198.62,199.98,198.41,199.81,1130356.0,225856432.36
2021-07-02,201.9,201.94,200.06,201.48,1012103.0,203918512.44
2021-07-06,202.32,202.5,199.32,201.11,1032442.0,207634410.62
2021-07-07,201.44,203.55,200.88,203.34,1091608.0,221967570.72
2021-07-08,201.94,203.09,200.75,201.86,1262764.0,254901541.04
2021-07-09,202.0,203.97,201.8313,203.72,1746829.0,355864003.88
2021-07-12,201.9,203.94,200.91,203.75,1325210.0,270011537.5
2021-07-13,203.9,204.835,203.31,203.91,1025112.0,209030587.92
2021-07-14,204.79,205.41,203.92,204.5,1558949.0,318805070.5
2021-07-15,204.29,207.35,204.0,207.03,1518255.0,314324332.65
2021-07-16,207.1,208.58,205.34,205.6,1652093.0,339670320.8
2021-07-19,204.24,205.37,200.5027,201.68,1841632.0,371420341.76
2021-07-20,202.78,205.76,202.16,203.14,2097186.0,426022364.04
2021-07-21,203.14,204.6,202.73,204.47,1408681.0,288033004.07
2021-07-22,204.56,205.12,202.72,203.29,1075703.0,218679662.87
2021-07-23,204.29,206.54,203.47,206.08,1105304.0,227781048.32
2021-07-26,205.74,206.48,204.35,206.27,1118802.0,230775288.54
2021-07-27,206.41,208.59,205.7,207.89,2075006.0,431372997.34
2021-07-28,207.27,207.5,203.22,206.88,2065532.0,427317260.16
2021-07-29,208.0,209.87,207.075,208.83,1236920.0,258306003.6
2021-07-30,208.41,210.315,208.41,209.63,1533800.0,321530494.0
2021-08-02,210.54,211.265,209.23,209.45,1458979.0,305583151.55
2021-08-03,209.6,213.72,208.72,213.44,1412236.0,301427651.84
2021-08-04,213.04,213.65,211.92,212.0,1634572.0,346529264.0
2021-08-05,213.1,213.575,212.09,213.29,1010934.0,215622112.86
2021-08-06,213.42,213.94,212.53,213.0,1342900.0,286037700.0
2021-08-09,213.43,213.96,212.285,213.7,1321962.0,282503279.4
2021-08-10,214.06,217.15,213.43,216.72,2575019.0,558058117.68
2021-08-11,214.82,217.04,214.82,216.25,1883624.0,407333690.0
2021-08-12,216.68,216.69,214.6,214.9,1449344.0,311464025.6
2021-08-13,215.17,216.0174,214.71,215.17,1003525.0,215928474.25
2021-08-16,213.93,216.67,213.66,216.56,1217998.0,263769646.88
2021-08-17,215.38,216.395,213.75,214.8,1248827.0,268248039.6
2021-08-18,213.97,213.97,208.26,208.47,3061074.0,638142096.78
2021-08-19,207.76,211.765,207.5,211.12,1582442.0,334085155.04
2021-08-20,211.8,212.0,209.89,211.58,1777726.0,376131267.08
2021-08-23,212.2,212.63,210.39,211.73,1139154.0,241193076.42
2021-08-24,210.79,211.63,208.03,208.19,1663103.0,346241413.57
2021-08-25,208.8,209.17,206.89,208.19,1202752.0,250400938.88
2021-08-26,207.77,208.39,206.2001,207.08,1207067.0,249959434.36
2021-08-27,207.61,209.61,207.19,208.96,1369972.0,286269349.12
2021-08-30,209.09,210.83,208.99,209.07,885567.0,185145492.69
2021-08-31,209.88,209.88,207.08,209.04,2237071.0,467637321.84
2021-09-01,207.5,207.5,205.74,206.86,1397832.0,289155527.52000004
2021-09-02,205.49,207.35,205.49,206.53,1174361.0,242540777.33
2021-09-03,204.5,207.78,204.371,207.38,1115879.0,231410987.02
2021-09-07,206.86,207.33,201.84,202.23,1369739.0,277002317.96999997
2021-09-08,202.67,205.27,202.35,205.13,1259194.0,258298465.22
2021-09-09,204.76,206.49,203.05,203.16,1295695.0,263233396.2
2021-09-10,204.4,204.4285,200.65,200.83,1843853.0,370300997.99
2021-09-13,202.49,204.26,199.1,200.0,1911446.0,382289200.0
2021-09-14,201.39,201.48,199.21,199.74,1932029.0,385903472.46
2021-09-15,199.32,200.89,198.94,200.52,1676025.0,336076533.0
2021-09-16,200.68,201.525,198.2,198.4,1430584.0,283827865.6
2021-09-17,198.37,199.78,197.42,198.67,3083860.0,612670466.1999999
2021-09-20,196.88,199.53,196.1,198.81,1915940.0,380908031.4
2021-09-21,199.25,199.39,196.35,197.05,985595.0,194211494.75
2021-09-22,198.14,199.0,196.79,198.31,968474.0,192058078.94
2021-09-23,198.85,202.46,198.52,201.39,1041248.0,209696934.72
2021-09-24,200.95,202.89,200.72,202.22,884144.0,178791599.68
2021-09-27,201.39,203.17,201.13,201.72,1357464.0,273827638.08
2021-09-28,199.79,200.51,196.78,197.28,1245904.0,245791941.12
2021-09-29,198.01,200.7,197.88,199.58,1001598.0,199898928.84
2021-09-30,200.47,204.34,199.71,199.92,1764293.0,352717456.56
2021-10-01,200.51,203.22,197.012,202.0,1379052.0,278568504.0
2021-10-04,200.39,202.67,199.21,199.97,1453522.0,290660794.34
2021-10-05,200.07,204.71,199.3296,203.76,1038992.0,211705009.92
2021-10-06,202.33,205.21,202.14,204.99,1486064.0,304628259.36
2021-10-07,206.52,208.81,206.03,207.57,1439607.0,298819224.99
2021-10-08,207.92,208.22,205.94,206.16,1014696.0,209189727.36
2021-10-11,205.56,205.76,203.63,203.75,816929.0,166449283.75
2021-10-12,204.07,204.64,203.01,203.84,1132797.0,230909340.48
2021-10-13,205.17,205.76,202.2511,205.19,1129830.0,231829817.7
2021-10-14,206.36,208.95,206.21,208.52,1361924.0,283988392.48
2021-10-15,210.0,213.05,209.14,212.98,1747165.0,372111201.7
2021-10-18,211.57,213.65,210.5,212.57,1310679.0,278611035.03
2021-10-19,213.25,214.08,211.73,213.98,834273.0,178517736.54
