timestamps,open,high,low,close,volume,amount
2021-05-28,86.0,86.42,85.81,86.0,2299147.0,197726642.0
2021-06-01,86.17,86.26,84.98,85.1,2137178.0,181873847.8
2021-06-02,85.25,85.95,84.92,85.65,1817704.0,155686347.60000002
2021-06-03,85.12,86.41,84.97,85.96,5428017.0,466592341.32
2021-06-04,85.97,86.29,85.62,86.03,1984849.0,170756559.47
2021-06-07,86.3,86.3,85.5,85.67,2206297.0,189013463.99
2021-06-08,85.81,85.81,81.94,82.97,6889950.0,571659151.5
2021-06-09,83.4,84.74,83.08,84.45,3277126.0,276753290.7
2021-06-10,84.84,85.045,84.24,84.73,2386596.0,202216279.08
2021-06-11,84.64,85.13,84.4,84.76,3335140.0,282686466.40000004
2021-06-14,84.73,85.19,84.66,85.13,1933706.0,164616391.78
2021-06-15,85.4,85.565,84.875,85.24,2239171.0,190866936.04
2021-06-16,85.67,85.97,84.25,84.4,2668311.0,225205448.4
2021-06-17,84.33,85.19,83.981,84.39,2559895.0,216029539.05
2021-06-18,84.18,84.28,82.18,82.35,4480827.0,368996103.45
2021-06-21,82.53,83.4642,82.12,83.19,2431369.0,202265587.11
2021-06-22,83.5117,83.91,83.18,83.26,2659406.0,221422143.56
2021-06-23,83.13,83.48,82.37,82.65,2674068.0,221011720.2
2021-06-24,82.5,83.2,82.14,82.85,2694366.0,223228223.1
2021-06-25,82.85,84.96,82.6,84.77,3458720.0,293195694.4
2021-06-28,84.84,85.5404,84.59,84.9,2674406.0,227057069.4
2021-06-29,84.7875,85.46,83.65,83.93,2753708.0,231118712.44000003
2021-06-30,84.01,84.73,83.82,84.59,2687538.0,227338839.42
2021-07-01,84.73,85.62,84.46,85.26,2217387.0,189054415.62
2021-07-02,85.58,85.58,84.84,85.2,2487130.0,211903476.0
2021-07-06,85.17,85.375,84.015,85.24,1863362.0,158832976.88
2021-07-07,85.35,85.68,84.84,85.62,2147126.0,183836928.12
2021-07-08,85.71,86.11,85.1,85.31,2495266.0,212871142.46
2021-07-09,85.09,85.51,84.45,85.39,2122872.0,181272040.08
2021-07-12,85.34,85.465,84.78,85.41,1651715.0,141072978.15
2021-07-13,85.31,85.72,84.81,85.24,2066962.0,176187840.88
2021-07-14,85.6,86.55,84.82,86.18,2156786.0,185871817.48
2021-07-15,85.94,87.26,85.52,87.18,2662385.0,232106724.3
2021-07-16,87.01,88.125,86.85,87.49,2199205.0,192408445.45
2021-07-19,87.5911,88.06,85.0,85.77,3906259.0,335039834.43
2021-07-20,86.28,86.82,85.66,85.74,3070202.0,263239119.48
2021-07-21,85.61,86.05,84.61,84.72,2973540.0,251918308.8
2021-07-22,84.61,87.17,84.61,84.88,2972377.0,252295359.76
2021-07-23,84.77,86.095,84.68,85.98,3368499.0,289623544.02000004
2021-07-26,85.71,87.82,85.4,87.68,4389580.0,384878374.4
2021-07-27,87.54,89.766,87.32,89.39,3547054.0,317071157.06
2021-07-28,89.558,89.81,88.26,88.99,2936783.0,261344319.17
2021-07-29,88.94,89.5107,88.83,89.14,1950598.0,173876305.72
2021-07-30,89.17,89.93,87.89,88.12,3601680.0,317380041.6
2021-08-02,88.25,88.88,87.66,88.34,2309309.0,204004357.06
