timestamps,open,high,low,close,volume,amount
2021-05-28,114.55,114.68,114.5,114.55,6809385.0,780015051.75
2021-06-01,114.36,114.4,114.164,114.33,6300267.0,720309526.11
2021-06-02,114.45,114.51,114.3,114.48,6139128.0,702807373.44
2021-06-03,114.31,114.46,114.21,114.21,3512341.0,401144465.6099999
2021-06-04,114.39,114.68,114.22,114.68,4572807.0,524409506.7600001
2021-06-07,113.97,114.64,113.97,114.6,3792533.0,434624281.7999999
2021-06-08,114.84,114.87,114.78,114.81,4442271.0,510017133.51
2021-06-09,115.43,115.43,114.97,115.04,3750103.0,431411849.12
2021-06-10,115.3,115.31,114.8605,115.28,4071457.0,469357562.96
2021-06-11,115.31,115.32,115.16,115.23,3834966.0,441903132.18
2021-06-14,115.18,115.18,114.935,114.94,3335330.0,383362830.2
2021-06-15,114.9,115.02,114.87,114.99,8280885.0,952218966.15
2021-06-16,115.07,115.1285,114.51,114.62,8685326.0,995512066.12
2021-06-17,114.792,115.25,114.785,114.98,7698371.0,885158697.58
2021-06-18,115.05,115.39,114.91,115.29,5722067.0,659697104.4300001
2021-06-21,115.06,115.12,114.921,114.99,6933313.0,797261661.87
2021-06-22,114.83,115.14,114.83,115.11,6532135.0,751914059.85
2021-06-23,115.06,115.138,114.99,115.05,5115021.0,588483166.05
2021-06-24,115.1,115.17,115.045,115.09,8435168.0,970803485.12
2021-06-25,115.11,115.13,114.7516,114.86,6533981.0,750493057.66
2021-06-28,115.04,115.23,115.04,115.19,5802381.0,668376267.39
2021-06-29,115.06,115.25,115.045,115.25,5136973.0,592036138.25
2021-06-30,115.36,115.45,115.3,115.33,6704379.0,773216030.0699999
2021-07-01,115.15,115.19,115.01,115.11,4780714.0,550307988.54
2021-07-02,115.23,115.37,115.17,115.36,4437027.0,511855434.72
2021-07-06,115.51,115.83,115.51,115.73,7463388.0,863737893.24
2021-07-07,115.83,116.015,115.75,115.93,7858020.0,910980258.6
2021-07-08,116.04,116.18,115.96,116.06,6597146.0,765664764.76
2021-07-09,115.735,115.76,115.68,115.68,4792942.0,554447530.5600001
2021-07-12,115.8,115.805,115.6,115.61,4348744.0,502758293.84
2021-07-13,115.65,115.76,115.3022,115.36,5213954.0,601481733.4399999
2021-07-14,115.59,115.76,115.569,115.75,5046098.0,584085843.5
2021-07-15,115.94,116.02,115.7222,116.0,4567331.0,529810396.0
2021-07-16,115.77,115.96,115.76,115.9,3915592.0,453817112.8
2021-07-19,116.39,116.6085,116.35,116.51,6768028.0,788542942.2800001
2021-07-20,116.78,116.82,116.32,116.4,8528840.0,992756976.0
2021-07-21,116.075,116.15,115.92,116.02,9720303.0,1127749554.06
2021-07-22,116.03,116.35,116.03,116.29,8254407.0,959904990.03
2021-07-23,116.03,116.22,116.03,116.21,4481215.0,520761995.15
2021-07-26,116.3,116.33,116.085,116.11,7215889.0,837836871.79
2021-07-27,116.35,116.4,116.2727,116.38,5503180.0,640460088.4
2021-07-28,116.24,116.49,116.14,116.49,5510194.0,641882499.06
2021-07-29,116.29,116.36,116.225,116.3,6629507.0,771011664.1
2021-07-30,116.36,116.485,116.3532,116.46,5552109.0,646598614.14
2021-08-02,116.36,116.68,116.305,116.54,5753765.0,670543773.1
2021-08-03,116.56,116.69,116.5306,116.58,3715333.0,433133521.14
2021-08-04,116.77,116.83,116.3,116.57,4654252.0,542546155.64
2021-08-05,116.46,116.48,116.28,116.31,3283363.0,381887950.53
2021-08-06,115.93,116.02,115.78,115.79,3811953.0,441386037.87
2021-08-09,115.89,115.96,115.58,115.58,5298656.0,612418660.48
2021-08-10,115.65,115.65,115.43,115.43,7332093.0,846343494.99
2021-08-11,115.46,115.7,115.34,115.54,6674630.0,771186750.2
2021-08-12,115.49,115.5799,115.4,115.55,5017250.0,579743237.5
2021-08-13,115.65,115.97,115.6401,115.97,4599811.0,533440081.67
2021-08-16,116.14,116.27,116.03,116.03,3693626.0,428571424.78
2021-08-17,115.98,116.09,115.93,115.94,5469248.0,634104613.12
2021-08-18,115.94,116.03,115.8,115.95,3981911.0,461702580.45
2021-08-19,116.12,116.155,116.02,116.15,4581313.0,532119504.9500001
2021-08-20,116.18,116.21,116.08,116.16,2897840.0,336613094.4
2021-08-23,116.09,116.18,116.04,116.16,6585417.0,764962038.72
2021-08-24,116.08,116.14,115.96,115.99,5875388.0,681486254.12
2021-08-25,115.99,116.011,115.681,115.77,5452000.0,631178040.0
2021-08-26,115.76,115.79,115.6444,115.78,4879211.0,564915049.58
2021-08-27,115.81,116.1,115.7146,116.1,5545551.0,643838471.1
2021-08-30,116.015,116.23,116.0,116.23,3706042.0,430753261.66
2021-08-31,116.18,116.285,116.02,116.06,6763941.0,785022992.46
2021-09-01,116.02,116.02,115.81,115.93,4153988.0,481571828.84
2021-09-02,116.02,116.06,115.92,116.05,5427270.0,629834683.5
2021-09-03,115.84,115.89,115.7707,115.85,5274341.0,611032404.85
2021-09-07,115.64,115.6457,115.4737,115.54,3634237.0,419899742.98
2021-09-08,115.7,115.82,115.62,115.73,3417489.0,395506001.97
2021-09-09,115.84,116.147,115.755,116.1,3332649.0,386920548.9
2021-09-10,115.99,116.01,115.7801,115.87,3957348.0,458537912.76
2021-09-13,116.0,116.075,115.96,116.02,4010247.0,465268856.94
2021-09-14,116.07,116.38,116.07,116.28,4261641.0,495543615.48
2021-09-15,116.29,116.2929,116.09,116.17,3520926.0,409025973.42
2021-09-16,115.95,116.11,115.905,115.97,3915519.0,454082738.43
2021-09-17,115.8,115.875,115.7428,115.87,5742502.0,665383706.74
2021-09-20,116.02,116.17,115.975,116.09,5464713.0,634398532.1700001
2021-09-21,116.13,116.17,116.045,116.14,5225248.0,606860302.72
2021-09-22,116.11,116.25,116.005,116.18,7139913.0,829515092.34
2021-09-23,115.93,115.94,115.57,115.61,8265009.0,955517690.49
2021-09-24,115.5,115.5055,115.319,115.41,4461937.0,514952149.17
2021-09-27,115.21,115.375,115.185,115.25,5630622.0,648929185.5
2021-09-28,114.9,114.9999,114.695,114.77,7017089.0,805351304.53
2021-09-29,114.97,115.06,114.715,114.85,6161321.0,707627716.85
2021-09-30,114.77,114.86,114.69,114.83,5381172.0,617919980.76
2021-10-01,114.82,115.06,114.79,115.0,7064531.0,812421065.0
2021-10-04,114.92,115.03,114.795,114.92,4179963.0,480361347.96
2021-10-05,114.82,114.867,114.61,114.65,7422000.0,850932300.0
2021-10-06,114.68,114.73,114.59,114.7,4893390.0,561271833.0
2021-10-07,114.46,114.5,114.34,114.38,4456194.0,509699469.72
2021-10-08,114.31,114.35,114.07,114.13,4623554.0,527686218.02
2021-10-11,114.01,114.065,113.94,113.95,2178356.0,248223666.2
2021-10-12,114.17,114.38,114.11,114.37,3688376.0,421839563.12
2021-10-13,114.43,114.64,114.415,114.63,5522671.0,633063776.73
2021-10-14,114.7,114.85,114.63,114.85,4094516.0,470255162.6
2021-10-15,114.61,114.63,114.51,114.57,4644812.0,532156110.84
2021-10-18,114.33,114.56,114.25,114.49,5575055.0,638288046.9499999
2021-10-19,114.37,114.37,114.16,114.16,5041044.0,575485583.04
2021-10-20,114.17,114.29,114.06,114.08,6183697.0,705436153.76
2021-10-21,114.01,114.04,113.84,113.84,5228294.0,595188988.96
2021-10-22,113.97,114.1399,113.895,114.06,3528834.0,402498806.04
2021-10-25,114.06,114.27,114.06,114.17,8569649.0,978396826.33
2021-10-26,114.25,114.38,114.11,114.38,5429821.0,621062925.98
2021-10-27,114.66,114.915,114.425,114.76,8048651.0,923663188.76
2021-10-28,114.71,114.825,114.57,114.67,5916055.0,678394026.85
2021-10-29,114.35,114.78,114.35,114.64,10047906.0,1151891943.84
2021-11-01,114.16,114.42,114.14,114.39,6198199.0,709011983.61
2021-11-02,114.43,114.69,114.43,114.62,5317021.0,609436947.02
2021-11-03,114.65,114.69,114.2501,114.39,6383890.0,730253177.1
2021-11-04,114.51,114.84,114.48,114.77,6618091.0,759558304.0699999
2021-11-05,114.99,115.3199,114.9001,115.22,7283108.0,839159703.76
2021-11-08,115.14,115.15,114.95,115.01,4922756.0,566166167.5600001
2021-11-09,115.38,115.5,115.29,115.33,8960485.0,1033412735.05
2021-11-10,115.11,115.14,114.395,114.55,11620260.0,1331100783.0
2021-11-11,114.51,114.57,114.3,114.34,3937147.0,450173387.98
2021-11-12,114.5,114.585,114.26,114.32,4554672.0,520690103.04
2021-11-15,114.3,114.31,113.9,113.9,6385530.0,727311867.0
2021-11-16,113.92,114.11,113.84,113.86,7484034.0,852132111.24
2021-11-17,113.79,114.13,113.77,114.13,7173096.0,818665446.48
2021-11-18,114.05,114.28,114.03,114.23,4230789.0,483283027.47
2021-11-19,114.49,114.59,114.415,114.45,5688583.0,651058324.35
2021-11-22,114.14,114.23,113.82,113.9,6995331.0,796768200.9000001
2021-11-23,113.71,113.77,113.45,113.45,6275143.0,711914973.35
2021-11-24,113.47,113.725,113.3905,113.71,8472445.0,963401720.95
2021-11-26,114.33,114.5769,114.2,114.52,3258891.0,373208197.32
2021-11-29,114.15,114.6,114.13,114.58,8982838.0,1029253578.04
2021-11-30,114.87,115.1074,114.5,114.77,13108996.0,1504519470.9199998
2021-12-01,114.27,114.64,114.21,114.63,12772743.0,1464139530.09
2021-12-02,114.67,114.79,114.4001,114.61,7759699.0,889339102.39
2021-12-03,114.5,115.24,114.46,115.07,7600888.0,874634182.16
2021-12-06,114.98,115.0391,114.6196,114.67,9416707.0,1079813791.69
2021-12-07,114.52,114.71,114.45,114.49,6787061.0,777050613.89
2021-12-08,114.37,114.37,114.05,114.19,8050116.0,919242746.04
2021-12-09,114.28,114.386,114.12,114.2,8646766.0,987460677.2
2021-12-10,114.37,114.51,114.22,114.23,6501338.0,742647839.74
2021-12-13,114.51,114.705,114.46,114.63,8659260.0,992610973.8
2021-12-14,114.46,114.54,114.26,114.41,7503635.0,858490880.35
2021-12-15,114.23,114.445,114.11,114.32,7459084.0,852722482.88
2021-12-16,114.26,114.48,114.26,114.36,7566579.0,865313974.4399999
2021-12-17,114.55,114.68,114.47,114.5,7428096.0,850516992.0
2021-12-20,114.57,114.61,114.32,114.33,7382619.0,844054830.27
2021-12-21,114.07,114.32,113.97,114.24,12970210.0,1481716790.4
2021-12-22,114.33,114.35,114.17,114.34,6171714.0,705673778.76
2021-12-23,114.29,114.31,114.07,114.2,5506661.0,628860686.2
2021-12-27,114.15,114.3,114.13,114.26,5436840.0,621213338.4
2021-12-28,114.43,114.45,114.17,114.21,5253786.0,600034899.06
2021-12-29,113.99,114.05,113.81,113.87,5933775.0,675678959.25
2021-12-30,113.99,114.13,113.83,114.12,5455434.0,622574128.08
2021-12-31,114.15,114.31,114.06,114.08,7989476.0,911439422.08
2022-01-03,113.67,113.6753,113.3,113.3,9399276.0,1064937970.8
2022-01-04,113.22,113.3,113.075,113.29,7772171.0,880509252.59
2022-01-05,113.34,113.36,112.9,112.94,8530902.0,963480071.88
2022-01-06,112.75,112.84,112.66,112.82,8866493.0,1000317740.26
2022-01-07,112.69,112.705,112.34,112.49,9018905.0,1014536623.45
2022-01-10,112.23,112.42,112.1427,112.39,8074434.0,907485637.26
2022-01-11,112.33,112.63,112.265,112.6,6728575.0,757637545.0
2022-01-12,112.72,112.785,112.58,112.6,6713197.0,755905982.1999999
2022-01-13,112.6,112.8,112.51,112.8,8454265.0,953641092.0
2022-01-14,112.53,112.545,112.15,112.17,9113399.0,1022249965.83
2022-01-18,111.81,111.86,111.47,111.49,7925799.0,883647330.51
2022-01-19,111.7,111.89,111.65,111.73,8320991.0,929704324.43
