timestamps,open,high,low,close,volume,amount
2021-05-28,114.96,115.53,114.04,114.21,1044488.0,119290974.48
2021-06-01,114.08,114.47,113.21,113.85,791371.0,90097588.35
2021-06-02,113.67,115.185,113.57,114.91,937003.0,107671014.73
2021-06-03,114.51,115.21,113.51,114.56,829358.0,95011252.48
2021-06-04,114.9,116.63,114.828,116.13,894275.0,103852155.75
2021-06-07,116.27,116.405,115.21,115.95,903939.0,104811727.05
2021-06-08,117.29,117.59,116.66,117.3,1125980.0,132077454.0
2021-06-09,117.75,118.49,117.5,117.79,732885.0,86326524.15
2021-06-10,117.7,119.18,117.4,119.08,1054843.0,125610704.44
2021-06-11,119.3,119.3,117.76,118.45,574177.0,68011265.65
2021-06-14,118.07,118.07,117.02,118.0,925063.0,109157434.0
2021-06-15,118.65,118.71,117.57,118.18,920418.0,108774999.24
2021-06-16,117.955,118.7,115.98,116.69,1224539.0,142891455.91
2021-06-17,116.82,117.04,115.72,116.78,976265.0,114008226.7
2021-06-18,116.48,116.565,114.48,114.63,2875712.0,329642866.56
2021-06-21,115.33,116.07,114.62,115.82,1329049.0,153930455.17999998
2021-06-22,116.13,116.34,115.25,115.98,865586.0,100390664.28
2021-06-23,116.2,116.23,114.95,115.96,636837.0,73847618.52
2021-06-24,116.81,116.89,115.685,115.83,784230.0,90837360.9
2021-06-25,115.71,118.22,115.24,116.95,4032621.0,471615025.95
2021-06-28,117.44,117.68,116.47,116.97,759035.0,88784323.95
2021-06-29,117.05,118.0,116.39,117.43,820968.0,96406272.24
2021-06-30,117.65,117.81,116.355,116.6,957728.0,111671084.8
2021-07-01,116.82,117.56,116.63,117.08,839337.0,98269575.96
2021-07-02,117.58,118.235,117.56,118.04,640247.0,75574755.88000001
2021-07-06,117.97,118.62,116.53,117.19,1087065.0,127393147.35
2021-07-07,117.68,118.17,115.25,117.95,1578887.0,186229721.65
2021-07-08,116.82,118.23,116.16,117.72,1016288.0,119637423.36
2021-07-09,117.92,118.1,116.72,117.9,1000625.0,117973687.5
2021-07-12,117.775,118.255,115.29,115.55,1127828.0,130320525.4
2021-07-13,115.31,116.69,115.02,115.14,936234.0,107797982.76
2021-07-14,115.64,116.83,115.3,116.01,703099.0,81566514.99000001
2021-07-15,116.01,116.79,115.45,116.45,862221.0,100405635.45
2021-07-16,116.87,117.84,116.4,117.03,718977.0,84141878.31
2021-07-19,116.39,117.715,116.17,117.27,784426.0,91989637.02
2021-07-20,117.98,118.58,117.48,117.54,1394272.0,163882730.88
2021-07-21,117.51,117.94,116.14,117.62,600934.0,70681857.08
2021-07-22,117.87,119.56,116.72,116.96,1780156.0,208207045.76
2021-07-23,117.42,120.665,116.56,119.54,1108867.0,132553961.18
2021-07-26,119.54,120.0,118.34,119.22,563398.0,67168309.56
2021-07-27,119.49,120.49,118.745,119.85,969744.0,116223818.4
2021-07-28,119.85,120.625,118.73,119.14,678028.0,80780255.92
2021-07-29,118.73,119.88,118.56,119.38,986140.0,117725393.2
2021-07-30,118.54,120.675,118.43,119.92,850951.0,102046043.92
2021-08-02,119.86,120.0,117.23,118.9,1097716.0,130518432.4
2021-08-03,118.9,120.28,118.56,119.82,1127201.0,135061223.82
2021-08-04,113.55,113.97,110.2703,112.41,3859159.0,433808063.19
2021-08-05,112.39,114.3,111.2801,113.38,1970620.0,223428895.6
2021-08-06,113.97,115.075,113.45,114.57,1482093.0,169803395.01
2021-08-09,114.55,115.32,114.33,115.09,987074.0,113602346.66
2021-08-10,115.73,116.12,115.113,115.6,695572.0,80408123.2
2021-08-11,116.07,116.82,115.41,116.36,703780.0,81891840.8
2021-08-12,116.64,117.77,115.95,117.28,823843.0,96620307.04
2021-08-13,117.75,117.81,115.96,116.29,1001742.0,116492577.18
2021-08-16,116.29,116.29,114.65,115.26,881799.0,101636152.74
2021-08-17,115.08,115.15,114.21,114.93,679886.0,78139297.98
2021-08-18,114.56,114.9,112.15,112.22,1093336.0,122694165.92
2021-08-19,112.0,113.95,111.9365,113.02,1027938.0,116177552.76
2021-08-20,113.27,114.7,112.75,114.49,854186.0,97795755.14
2021-08-23,114.1801,114.87,114.16,114.38,645414.0,73822453.32
2021-08-24,114.7,114.8,113.285,113.75,720901.0,82002488.75
2021-08-25,113.98,114.08,112.76,113.23,775241.0,87780538.43
2021-08-26,113.14,113.75,112.18,113.315,758375.0,85935263.125
2021-08-27,113.04,113.08,111.16,112.2,1879838.0,210917823.6
2021-08-30,112.75,113.595,112.19,113.02,1160758.0,131188869.16
