timestamps,open,high,low,close,volume,amount
2024-03-20,52.56,63.5,50.61,62.03,16843327.0,1044791573.81
2024-03-21,66.0,80.0,63.45,64.15,11454349.0,734796488.35
2024-03-22,65.5,72.0,65.21,70.0,4387368.0,307115760.0
2024-03-25,73.39,86.95,70.0,85.0,7353881.0,625079885.0
2024-03-26,88.9,95.21,77.5,83.38,10591536.0,883122271.68
2024-03-27,81.21,82.0,75.0,79.92,3574729.0,285692341.68
2024-03-28,79.57,81.58,73.35,74.19,2388108.0,177173732.51999998
2024-04-01,72.62,73.4,66.76,71.12,4316939.0,307020701.68
2024-04-02,69.7,74.6279,68.0,72.21,2024116.0,146161416.35999998
2024-04-03,72.06,74.72,69.01,69.28,1700572.0,117815628.16
2024-04-04,69.71,73.2,67.75,69.77,1695470.0,118292941.9
2024-04-05,69.04,75.0,67.6262,71.34,1475301.0,105247973.34
2024-04-08,73.0,74.4999,69.1624,69.92,1250131.0,87409159.52
2024-04-09,69.92,70.9899,66.0,68.37,1146855.0,78410476.35000001
2024-04-10,66.32,71.67,65.89,71.31,1520923.0,108457019.13
2024-04-11,71.46,77.5,70.76,75.59,2467544.0,186521650.96
2024-04-12,74.65,75.3599,70.5303,72.73,1197222.0,87073956.06
2024-04-15,74.83,79.47,70.89,71.3,2510839.0,179022820.7
2024-04-16,71.9,75.75,69.2001,74.52,1493774.0,111316038.48
2024-04-17,75.0,75.54,71.1598,73.21,1399631.0,102466985.51
2024-04-18,72.99,72.99,68.55,70.92,1393330.0,98814963.6
2024-04-19,69.08,69.7,60.21,64.49,4006154.0,258356871.46
2024-04-22,65.0,68.73,64.562,65.79,1330346.0,87523463.34
2024-04-23,67.55,73.52,66.81,71.72,1514813.0,108642388.36
2024-04-24,73.2,75.5,69.13,70.99,1470674.0,104403147.26
2024-04-25,68.42,73.1938,67.29,71.59,1281248.0,91724544.32
2024-04-26,70.97,85.27,70.2,85.0,3013699.0,256164415.0
2024-04-29,81.28,88.59,80.24,85.7,3601211.0,308623782.7
2024-04-30,83.97,87.2,81.68,84.76,1983931.0,168157991.56
2024-05-01,80.52,80.62,74.43,74.83,3959123.0,296261174.09
2024-05-02,76.91,79.58,71.68,79.06,2647417.0,209304788.02
2024-05-03,81.07,81.25,76.51,76.96,2141981.0,164846857.76
2024-05-06,77.3,81.04,76.705,78.11,1935766.0,151202682.26
2024-05-07,75.86,78.94,75.01,76.19,2392100.0,182254099.0
2024-05-08,71.06,74.2,66.1,69.26,5411724.0,374816004.24
2024-05-09,72.02,72.15,68.01,70.06,3297449.0,231019276.94
2024-05-10,71.14,74.19,68.89,70.08,1828618.0,128149549.44
2024-05-13,71.18,74.035,69.92,70.26,1929976.0,135600113.76000002
2024-05-14,71.0,72.88,68.81,72.32,1611246.0,116525310.71999998
2024-05-15,73.8,77.42,71.4584,77.42,2755346.0,213318887.32
2024-05-16,77.52,77.57,72.15,73.0,2175198.0,158789454.0
2024-05-17,73.63,74.46,70.92,72.5,1204166.0,87302035.0
2024-05-20,71.11,73.13,70.15,72.51,1332300.0,96605073.0
2024-05-21,72.3,75.38,71.71,73.34,1101838.0,80808798.92
2024-05-22,74.0,75.14,72.75,73.14,1272149.0,93044977.86
2024-05-23,76.0,76.65,69.5,70.07,2212113.0,155002757.91
2024-05-24,71.1,72.816,70.68,71.99,857851.0,61756693.489999995
2024-05-28,72.83,72.83,68.14,68.89,2246164.0,154738237.96
2024-05-29,67.99,68.88,66.415,67.45,1352420.0,91220729.0
2024-05-30,67.35,67.39,61.58,65.44,2787512.0,182414785.28
2024-05-31,66.0,66.01,61.72,64.54,1517085.0,97912665.9
2024-06-03,65.13,66.48,62.4032,63.62,1622073.0,103196284.26
2024-06-04,63.16,63.47,60.73,61.21,1800791.0,110226417.11
2024-06-05,62.04,63.59,60.03,62.21,2002304.0,124563331.84
2024-06-06,62.5,64.27,60.7909,63.01,1461916.0,92115327.16
2024-06-07,62.09,64.04,61.27,61.94,1163930.0,72093824.2
2024-06-10,62.11,67.22,62.0,66.7,1918337.0,127953077.9
2024-06-11,66.0,66.9,64.41,65.13,1162454.0,75710629.02
