timestamps,open,high,low,close,volume,amount
2021-05-28,139.17,139.46,137.82,138.13,7189587.0,993097652.31
2021-06-01,139.0,142.12,137.26,138.21,8839275.0,1221676197.75
2021-06-02,138.05,140.36,136.92,139.01,6401194.0,889829977.9399999
2021-06-03,137.4,138.03,135.09,136.38,8191949.0,1117218004.62
2021-06-04,137.73,140.85,137.62,139.85,6662783.0,931790202.55
2021-06-07,139.455,139.69,138.19,138.97,5943050.0,825905658.5
2021-06-08,140.34,140.75,135.24,135.86,8129234.0,1104437731.24
2021-06-09,136.85,137.47,134.57,134.65,6887760.0,927436884.0
2021-06-10,135.87,138.17,135.3,137.16,6162992.0,845315982.72
2021-06-11,136.925,137.15,135.23,136.82,6077741.0,831556523.62
2021-06-14,136.8,139.55,135.75,139.03,6062856.0,842918869.68
2021-06-15,139.13,140.61,138.2,138.64,6059348.0,840068006.7199999
2021-06-16,139.51,140.29,136.04,136.98,8030448.0,1100010767.04
2021-06-17,136.5452,138.65,135.05,137.32,7690332.0,1056036390.24
2021-06-18,135.25,136.26,130.63,131.23,13258407.0,1739900750.61
2021-06-21,131.19,133.58,130.3171,133.05,5984021.0,796173994.0500001
2021-06-22,132.815,134.44,131.6,133.44,5680872.0,758055559.68
2021-06-23,134.3,136.21,134.3,135.5,6327397.0,857362293.5
2021-06-24,137.0,138.47,136.71,138.26,6374064.0,881278088.64
2021-06-25,138.71,139.2098,135.38,136.19,7276730.0,991017858.7
2021-06-28,138.78,141.42,137.93,140.99,6984420.0,984733375.8
2021-06-29,140.45,142.79,140.39,141.92,5340517.0,757926172.64
2021-06-30,141.99,142.64,140.07,142.4,5963392.0,849187020.8000001
2021-07-01,141.7,142.19,137.59,137.95,7693501.0,1061318462.95
2021-07-02,139.93,140.52,137.52,138.16,5299709.0,732207795.4399999
2021-07-06,139.28,141.1099,134.82,136.78,7432643.0,1016636909.54
2021-07-07,138.51,138.7398,134.02,134.87,5956786.0,803391727.82
2021-07-08,131.64,134.39,129.7201,132.53,7770901.0,1029877509.53
2021-07-09,133.415,135.38,132.085,134.9,5762884.0,777413051.6
2021-07-12,135.99,137.03,134.67,136.8,5448591.0,745367248.8000001
2021-07-13,136.0,136.97,134.7506,136.29,4950627.0,674720953.8299999
2021-07-14,138.19,139.88,135.41,135.65,5982313.0,811500758.45
2021-07-15,134.975,135.93,131.6,133.2,7057928.0,940116009.6
2021-07-16,134.0,134.59,127.92,128.18,8190558.0,1049865724.44
2021-07-19,125.19,128.72,123.88,128.62,8933965.0,1149086578.3
2021-07-20,129.1954,133.1164,127.8,131.97,7417625.0,978903971.25
2021-07-21,132.825,138.27,132.53,138.0,6434062.0,887900556.0
2021-07-22,137.0,138.75,136.37,137.18,5563982.0,763267050.76
2021-07-23,137.9489,139.0,136.53,138.43,4345643.0,601567360.49
2021-07-26,138.23,139.88,137.44,138.48,4638462.0,642334217.76
2021-07-27,137.63,137.63,131.58,134.9,6344109.0,855820304.1
2021-07-28,135.625,137.88,135.0,137.21,5041918.0,691801568.7800001
2021-07-29,135.41,137.86,133.51,137.5,5382571.0,740103512.5
2021-07-30,136.5,141.4,136.47,139.93,8540854.0,1195121700.22
2021-08-02,141.04,145.25,140.89,142.01,10230557.0,1452841399.57
2021-08-03,142.54,143.3599,140.24,142.16,5589581.0,794614834.96
2021-08-04,143.0,144.7,141.81,142.76,5434554.0,775836929.04
2021-08-05,143.43,143.88,141.16,142.27,4282236.0,609233715.72
2021-08-06,141.715,143.16,141.5903,142.65,3843579.0,548286544.35
2021-08-09,143.488,143.69,141.451,142.0,4026620.0,571780040.0
2021-08-10,142.905,143.0,135.3,138.06,6403937.0,884127542.22
2021-08-11,138.51,138.59,132.6,134.82,9630550.0,1298390751.0
2021-08-12,132.0,132.02,127.69,129.22,12966755.0,1675564081.1
2021-08-13,129.13,130.44,128.58,129.9,8812389.0,1144729331.1
2021-08-16,129.425,132.05,129.1,131.69,10413764.0,1371388581.16
2021-08-17,130.05,130.839,126.71,128.8,8208439.0,1057246943.2
2021-08-18,128.81,131.64,127.18,127.37,6768795.0,862141419.15
2021-08-19,126.2225,129.99,125.28,129.2,9020165.0,1165405318.0
2021-08-20,130.38,131.99,125.25,127.2,13707595.0,1743606084.0
2021-08-23,128.31,131.5,127.8,131.49,7691483.0,1011353099.67
2021-08-24,131.8,133.38,130.62,131.44,6320467.0,830762182.48
2021-08-25,131.54,134.2,131.44,132.82,6735147.0,894562224.54
2021-08-26,132.78,133.83,131.59,132.49,3958702.0,524488427.98
2021-08-27,133.01,137.15,132.86,136.55,8413906.0,1148918864.3000002
2021-08-30,137.5743,137.89,135.38,136.05,4617683.0,628235772.1500001
2021-08-31,136.45,136.6,133.55,135.13,5586023.0,754839287.99
2021-09-01,135.68,136.04,133.24,133.46,6260260.0,835494299.6
2021-09-02,134.73,135.95,133.88,134.45,5146558.0,691954723.0999999
2021-09-03,133.8422,136.43,133.345,135.83,4838166.0,657168087.7800001
2021-09-07,136.6465,137.17,133.75,136.49,5601916.0,764605514.84
2021-09-08,135.695,135.94,131.75,133.56,7440648.0,993772946.88
2021-09-09,133.03,135.85,132.915,135.0,6808623.0,919164105.0
2021-09-10,138.28,140.8,136.61,136.84,9054701.0,1239045284.84
2021-09-13,138.72,141.3,137.56,139.44,8621391.0,1202166761.04
2021-09-14,138.1144,141.8,137.91,140.14,8177398.0,1145980555.7199998
2021-09-15,139.99,141.34,137.44,141.23,6180565.0,872881194.9499999
2021-09-16,140.36,144.63,139.17,144.09,8467332.0,1220057867.88
2021-09-17,143.0,143.0,139.38,140.8,10884350.0,1532516480.0000002
2021-09-20,136.56,136.69,133.55,135.53,8822525.0,1195716813.25
2021-09-21,137.13,137.24,133.45,135.18,5782242.0,781643473.5600001
2021-09-22,136.19,138.8,135.55,138.1,6344254.0,876141477.4
2021-09-23,139.33,142.15,138.71,141.11,5545713.0,782555561.4300001
2021-09-24,139.41,142.37,139.16,141.92,3729874.0,529343718.0799999
2021-09-27,139.6,143.27,139.54,142.74,5248647.0,749191872.7800001
2021-09-28,137.61,139.58,132.5339,132.89,12873859.0,1710807122.5099998
2021-09-29,132.8,134.04,128.04,128.27,10730145.0,1376355699.15
2021-09-30,129.38,130.85,128.51,128.73,7432335.0,956764484.55
2021-10-01,129.26,129.6,126.42,129.13,6459247.0,834082565.11
2021-10-04,127.66,127.82,123.17,125.2,9549504.0,1195597900.8
2021-10-05,127.475,129.2,125.4,128.07,7330385.0,938802406.95
2021-10-06,126.3,128.18,125.72,126.52,7388749.0,934824523.48
2021-10-07,128.65,129.95,127.46,127.88,5761349.0,736761310.12
2021-10-08,128.3,128.785,125.87,126.22,6377727.0,804996701.9399999
2021-10-11,125.7,129.2,125.655,127.5,5471984.0,697677960.0
2021-10-12,128.7579,128.83,124.9365,126.76,7637895.0,968179570.2
2021-10-13,128.784,129.4799,127.5,128.21,4955229.0,635309910.09
2021-10-14,131.62,132.25,129.65,132.07,7952328.0,1050263958.96
2021-10-15,132.26,132.91,131.245,131.59,4826621.0,635135057.39
2021-10-18,130.36,133.4,129.8444,133.28,4208459.0,560903415.52
2021-10-19,133.33,135.34,132.61,134.6,3637662.0,489629305.2
2021-10-20,133.97,135.2,133.35,133.98,4618970.0,618849600.5999999
2021-10-21,131.66,133.51,130.51,133.34,5611026.0,748174206.84
2021-10-22,135.2135,141.56,134.51,135.93,10744920.0,1460556975.6
2021-10-25,136.25,137.92,135.3,135.76,4005556.0,543794282.56
2021-10-26,137.28,137.4,131.68,132.0,7864617.0,1038129444.0
2021-10-27,133.28,134.28,131.41,132.16,7837614.0,1035819066.24
2021-10-28,134.57,137.85,134.52,136.02,6391690.0,869397673.8000001
2021-10-29,134.79,137.26,134.55,136.65,5699324.0,778812624.6
2021-11-01,136.98,139.67,136.4183,139.51,5328974.0,743445162.74
2021-11-02,139.5,141.47,138.89,141.21,4823140.0,681075599.4000001
2021-11-03,141.44,143.35,139.88,142.75,4117529.0,587777264.75
2021-11-04,143.27,150.49,142.495,150.13,9272779.0,1392122311.27
2021-11-05,150.27,153.73,148.79,153.29,7706838.0,1181381197.02
2021-11-08,154.86,154.89,151.23,152.96,5878508.0,899176583.6800001
2021-11-09,152.98,156.68,151.42,156.29,7274584.0,1136944733.36
2021-11-10,153.25,155.0,150.27,150.4,7149511.0,1075286454.4
2021-11-11,152.23,154.18,151.3,153.9,5060974.0,778883898.6
2021-11-12,154.67,157.41,154.1055,156.82,5778616.0,906202561.12
2021-11-15,156.9628,158.14,155.2,156.27,7304258.0,1141436397.66
2021-11-16,155.38,159.0,153.55,157.86,6200679.0,978839186.94
2021-11-17,157.91,158.51,155.89,155.98,5759230.0,898324695.4
2021-11-18,158.5,158.98,154.735,158.74,9929525.0,1576212798.5
2021-11-19,150.9741,156.45,149.74,150.03,16035796.0,2405850473.88
2021-11-22,151.0,152.98,147.36,147.55,9032808.0,1332790820.4
2021-11-23,148.71,149.95,145.1,148.92,7256353.0,1080616088.76
2021-11-24,148.39,149.13,145.81,149.01,6185926.0,921764833.26
2021-11-26,145.61,147.18,142.22,143.29,7334135.0,1050908204.15
2021-11-29,146.77,151.56,145.5,151.22,9932305.0,1501963162.1
2021-11-30,151.11,151.98,146.46,147.19,13505830.0,1987923117.7
2021-12-01,151.25,156.58,149.84,151.67,14374515.0,2180182690.0499997
2021-12-02,148.0,149.9,143.74,146.49,9573216.0,1402380411.8400002
2021-12-03,148.515,150.74,143.33,145.83,7767972.0,1132803356.76
2021-12-06,145.7815,148.3614,141.02,147.38,8579707.0,1264477217.6599998
2021-12-07,151.0,157.9967,150.129,156.89,10514907.0,1649683759.2299998
2021-12-08,156.86,157.86,155.15,157.29,6582440.0,1035351987.6
2021-12-09,155.84,158.3425,152.38,152.65,5420003.0,827363457.95
2021-12-10,156.11,156.89,150.6455,152.73,5271917.0,805179883.41
2021-12-13,154.09,154.47,146.72,147.1,6202464.0,912382454.4
2021-12-14,144.98,148.2,144.53,147.73,5691461.0,840799533.53
2021-12-15,147.95,153.89,145.1601,153.66,6882971.0,1057637323.86
2021-12-16,154.4,155.35,146.26,146.7,7155857.0,1049764221.9
2021-12-17,145.29,148.98,144.22,146.15,9357198.0,1367554487.7
2021-12-20,143.8,146.78,143.25,145.01,4653367.0,674784748.67
2021-12-21,149.36,151.52,147.02,151.42,5986903.0,906536852.26
2021-12-22,149.9737,152.44,148.92,152.32,4293732.0,654021258.24
2021-12-23,153.07,156.54,153.0,155.49,4625522.0,719222415.7800001
2021-12-27,156.185,162.81,156.185,162.72,6421440.0,1044896716.8
2021-12-28,162.85,162.9917,158.75,159.64,5836693.0,931769670.52
2021-12-29,159.9,163.02,159.55,160.98,4640009.0,746948648.8199999
2021-12-30,160.68,160.92,157.63,157.98,4171379.0,658994454.42
2021-12-31,158.14,159.67,157.04,157.36,3594279.0,565595743.44
2022-01-03,157.74,160.7781,156.7,159.93,5368311.0,858553978.23
2022-01-04,159.99,161.84,154.51,158.36,6946961.0,1100120743.96
2022-01-05,158.04,158.89,153.5,153.74,6840088.0,1051595129.12
2022-01-06,153.28,157.4,151.84,156.34,6576027.0,1028096061.18
2022-01-07,155.1001,157.38,150.64,150.81,6334715.0,955338369.15
2022-01-10,147.72,149.9,143.27,149.59,9683912.0,1448616396.08
2022-01-11,148.38,152.66,146.2727,152.45,6824370.0,1040375206.5
2022-01-12,154.73,159.75,154.62,159.55,10379777.0,1656093420.35
2022-01-13,164.0,166.53,156.5,157.18,12553623.0,1973178463.14
2022-01-14,155.78,167.06,155.6,167.0,11437325.0,1910033275.0
2022-01-18,165.36,165.89,151.52,152.36,12428763.0,1893646330.68
2022-01-19,154.4253,155.82,142.92,143.07,12928993.0,1849751028.51
2022-01-20,145.69,147.315,138.56,139.15,10573814.0,1471346218.1
2022-01-21,137.522,141.9,134.65,135.06,12408153.0,1675845144.18
2022-01-24,131.51,139.44,129.69,139.29,13211321.0,1840204902.09
2022-01-25,134.8,136.41,131.37,132.99,11719977.0,1558639741.23
2022-01-26,137.71,141.58,132.84,135.58,11852588.0,1606973881.0400002
2022-01-27,134.24,135.45,129.3,130.15,13544868.0,1762864570.2
2022-01-28,129.605,132.5,123.851,132.45,13292904.0,1760645134.8
2022-01-31,132.92,138.37,131.63,138.18,8588889.0,1186812682.02
2022-02-01,138.23,139.28,133.37,138.61,8151371.0,1129861534.3100002
2022-02-02,140.695,141.398,137.21,140.76,8101517.0,1140369532.9199998
2022-02-03,138.19,141.22,135.1,136.51,10040639.0,1370647629.89
2022-02-04,134.34,136.745,131.941,135.57,8514352.0,1154290700.64
2022-02-07,135.76,138.29,135.2,136.13,7242186.0,985878780.18
2022-02-08,134.84,139.2,133.5,138.75,6644120.0,921871650.0
2022-02-09,141.66,144.98,139.49,144.2,7652648.0,1103511841.6
2022-02-10,139.79,145.16,139.01,139.77,8525688.0,1191635411.76
2022-02-11,139.5536,140.56,131.2809,132.49,9473100.0,1255091019.0
2022-02-14,132.37,134.4,129.69,131.86,9507372.0,1253642071.92
2022-02-15,134.6878,140.38,134.29,139.84,9069484.0,1268276642.56
2022-02-16,138.48,141.71,136.9,140.96,7990701.0,1126369212.96
2022-02-17,142.83,143.79,134.75,136.47,11879796.0,1621235760.12
2022-02-18,136.99,137.03,130.93,133.35,8151340.0,1086981189.0
2022-02-22,129.94,135.16,128.495,130.26,7667715.0,998796555.9
2022-02-23,131.96,134.2199,127.62,127.86,8413757.0,1075782970.02
2022-02-24,123.08,133.63,122.68,133.42,8500945.0,1134196081.9
2022-02-25,133.36,136.1399,131.74,135.72,7784465.0,1056507589.8
2022-02-28,133.82,137.0595,132.03,134.2,7423248.0,996199881.6
2022-03-01,133.735,135.06,128.09,129.61,9212451.0,1194025774.11
2022-03-02,130.0,134.47,129.65,133.18,7008727.0,933422261.86
2022-03-03,135.117,135.117,129.57,130.64,5449674.0,711945411.3599999
2022-03-04,128.38,129.555,124.12,125.74,7098065.0,892510693.0999999
2022-03-07,127.56,128.05,119.11,119.22,9207137.0,1097674873.14
2022-03-08,119.79,127.87,118.17,124.15,10525001.0,1306678874.15
2022-03-09,127.7,129.84,126.2,128.62,7623175.0,980492768.5
2022-03-10,125.72,126.0,122.68,124.97,5604387.0,700380243.39
2022-03-11,130.0,130.0,123.37,123.64,6015969.0,743814407.16
2022-03-14,123.74,124.72,119.1,120.13,6733185.0,808857514.05
2022-03-15,121.72,124.95,119.86,124.41,6875317.0,855358187.97
2022-03-16,127.32,130.74,125.09,130.48,9668855.0,1261592200.4
2022-03-17,129.315,132.26,128.31,131.99,6781116.0,895039500.84
2022-03-18,130.6,135.75,129.75,135.14,11516548.0,1556346296.7199998
2022-03-21,134.105,135.3822,131.92,134.2,6206593.0,832924780.5999999
2022-03-22,134.0,137.34,133.85,135.48,4987842.0,675752834.16
2022-03-23,133.61,135.1,131.2,131.42,5457871.0,717273406.8199999
2022-03-24,133.01,138.65,131.3301,138.59,7617816.0,1055753119.44
2022-03-25,138.63,138.99,134.8,137.06,6076376.0,832828094.5600001
2022-03-28,135.09,137.75,133.7,137.66,5209555.0,717147341.3
2022-03-29,140.08,142.01,138.905,141.44,6162641.0,871643943.04
2022-03-30,140.69,141.3,135.08,135.8,6387460.0,867417068.0000001
2022-03-31,136.095,137.35,131.65,131.8,8474769.0,1116974554.2
2022-04-01,132.875,133.04,125.57,127.41,10138140.0,1291700417.4
2022-04-04,127.17,129.7,126.9,129.44,8348638.0,1080647702.72
2022-04-05,128.78,128.98,121.35,121.71,11653660.0,1418366958.6
2022-04-06,119.01,121.22,117.07,119.33,11601955.0,1384461290.15
2022-04-07,119.08,123.9,118.59,122.4,11817187.0,1446423688.8
2022-04-08,121.26,122.3899,119.46,119.96,6408147.0,768721314.12
2022-04-11,118.2,119.05,116.14,116.24,7785053.0,904934560.72
2022-04-12,118.1,119.26,114.17,114.56,9883791.0,1132287096.96
2022-04-13,115.24,118.12,114.49,116.86,9341883.0,1091692447.38
2022-04-14,117.41,117.5291,113.25,113.36,7711159.0,874136984.24
2022-04-18,112.5,115.98,112.34,114.87,6822714.0,783725157.1800001
2022-04-19,114.13,117.24,113.54,117.06,6086635.0,712501493.1
2022-04-20,120.52,122.37,117.52,117.89,8856067.0,1044041738.63
2022-04-21,119.21,121.075,115.34,115.69,7849411.0,908098358.59
2022-04-22,115.23,116.1859,112.63,112.8,8489399.0,957604207.2
2022-04-25,111.41,114.72,111.2,114.47,8518305.0,975090373.35
2022-04-26,112.84,113.2,108.83,108.92,9461777.0,1030576750.84
2022-04-27,108.37,112.37,107.9,108.81,6891622.0,749877389.82
2022-04-28,111.41,115.99,109.59,114.63,7379070.0,845862794.1
2022-04-29,113.03,116.16,110.16,110.35,7998881.0,882676518.3499999
2022-05-02,111.1,113.2,108.18,112.97,9425103.0,1064753885.91
2022-05-03,112.18,114.73,111.43,113.8,5463679.0,621766670.1999999
2022-05-04,114.17,119.12,112.0352,118.81,6352081.0,754690743.61
2022-05-05,116.07,116.9,111.85,113.47,8172534.0,927337432.98
2022-05-06,111.88,115.05,109.8935,112.5,6247012.0,702788850.0
2022-05-09,107.94,110.79,105.38,105.75,10088432.0,1066851684.0
2022-05-10,109.215,109.57,105.18,107.18,8881030.0,951868795.4
2022-05-11,106.66,109.125,103.61,103.92,8311657.0,863747395.44
2022-05-12,103.0279,106.88,102.99,106.76,9287061.0,991486632.36
2022-05-13,108.19,112.6319,108.03,111.86,8321070.0,930794890.2
2022-05-16,109.61,112.31,108.615,110.48,7218166.0,797462979.6800001
2022-05-17,114.54,117.32,113.33,116.84,6646480.0,776574723.2
2022-05-18,113.99,117.05,110.79,111.34,8522762.0,948924321.08
2022-05-19,111.41,113.48,110.2,110.74,10115754.0,1120218597.96
2022-05-20,112.0,112.74,101.33,106.46,16285504.0,1733754755.84
2022-05-23,107.09,111.35,106.98,109.93,7669072.0,843061084.96
2022-05-24,107.88,108.73,105.71,106.59,6785403.0,723256105.77
2022-05-25,105.07,109.42,105.07,108.53,7378173.0,800753115.69
2022-05-26,106.96,115.71,106.82,115.07,9173135.0,1055552644.45
2022-05-27,116.62,119.7,116.4,119.48,8525529.0,1018630204.92
2022-05-31,117.55,118.68,115.56,117.29,9751329.0,1143733378.41
2022-06-01,117.96,118.5,112.8,114.46,6852208.0,784303727.68
2022-06-02,114.69,117.41,113.55,117.33,6408456.0,751904142.48
2022-06-03,114.885,116.34,114.14,114.96,5080650.0,584071524.0
2022-06-06,117.135,117.88,114.37,115.0,3824616.0,439830840.0
2022-06-07,113.199,115.99,112.4004,115.67,4725499.0,546598469.33
2022-06-08,115.27,115.67,111.19,112.46,5138323.0,577855804.5799999
2022-06-09,111.1,111.97,107.15,107.24,5947853.0,637847755.72
2022-06-10,105.45,106.31,101.81,101.88,8392543.0,855032280.8399999
2022-06-13,98.26,98.85,95.65,96.32,10484166.0,1009834869.12
2022-06-14,97.4,97.96,95.39,96.62,7058409.0,681983477.58
2022-06-15,97.85,99.3,95.59,97.42,9377192.0,913526044.64
2022-06-16,94.79,95.11,88.75,89.59,13359331.0,1196862464.29
2022-06-17,88.21,90.94,87.62,89.83,14451432.0,1298172136.56
2022-06-21,91.7,95.675,91.16,95.17,12207425.0,1161780637.25
2022-06-22,93.09,95.93,92.85,93.94,7652006.0,718829443.64
2022-06-23,94.63,95.32,92.11,93.28,8286278.0,772944011.84
2022-06-24,95.32,98.28,94.67,97.36,10582948.0,1030355817.28
2022-06-27,97.97,98.865,96.54,97.61,4950181.0,483187167.41
2022-06-28,98.11,98.91,94.74,95.02,6495010.0,617155850.1999999
2022-06-29,93.97,94.2,91.41,91.94,7570184.0,696002716.96
2022-06-30,90.25,93.52,89.2749,90.98,8183616.0,744545383.6800001
2022-07-01,88.72,88.72,84.46,86.27,13121569.0,1131997757.63
2022-07-05,83.24,86.23,82.67,86.0,9550946.0,821381356.0
2022-07-06,86.25,87.48,84.95,86.56,5732416.0,496197928.96
2022-07-07,88.69,91.16,88.67,90.75,7469589.0,677865201.75
2022-07-08,89.64,91.65,89.3,91.19,4890828.0,445994605.32
2022-07-11,89.5,90.07,87.82,88.62,5326575.0,472041076.5
2022-07-12,89.24,90.02,88.09,88.73,5492279.0,487329915.67
2022-07-13,86.53,90.12,86.48,89.08,5786887.0,515495893.96
2022-07-14,88.48,92.08,86.41,91.67,8686504.0,796291821.6800001
2022-07-15,92.36,94.59,90.21,94.47,8051247.0,760601304.09
2022-07-18,95.76,96.4,92.55,93.14,5683385.0,529350478.9
2022-07-19,94.68,98.64,94.37,98.23,8203162.0,805796603.26
2022-07-20,97.585,102.86,97.51,102.23,8314020.0,849942264.6
2022-07-21,103.54,103.968,101.02,103.84,5463760.0,567356838.4
2022-07-22,103.71,103.96,100.94,101.67,5100432.0,518560921.44
2022-07-25,100.51,101.2668,99.461,101.0,4367046.0,441071646.0
2022-07-26,100.58,100.98,98.57,98.91,5073857.0,501855195.87
2022-07-27,100.57,104.5,100.0601,103.46,7274974.0,752668810.04
2022-07-28,103.37,105.29,100.75,105.16,6090516.0,640478662.56
2022-07-29,103.5,106.5499,103.04,105.98,5817668.0,616556454.64
2022-08-01,104.49,107.34,103.67,106.4,4737621.0,504082874.4
2022-08-02,104.71,106.5399,103.66,104.99,4137933.0,434441585.67
2022-08-03,105.74,110.6,105.68,109.01,6088039.0,663657131.39
2022-08-04,109.42,111.19,109.03,111.06,5279567.0,586348711.02
2022-08-05,109.06,111.22,107.44,109.62,4784018.0,524424053.16
2022-08-08,109.2,110.36,105.94,107.83,6041462.0,651450847.46
