timestamps,open,high,low,close,volume,amount
2021-05-28,78.66,81.09,78.66,80.08,40952663.0,3279489253.04
2021-06-01,81.01,82.91,80.66,80.81,43433042.0,3509824124.02
2021-06-02,81.0,82.6,80.66,81.97,35186724.0,2884255766.2799997
2021-06-03,81.13,81.89,80.26,80.28,29800869.0,2392413763.32
2021-06-04,80.92,82.19,80.81,81.58,26387799.0,2152716642.42
2021-06-07,81.4,81.68,80.38,81.35,28993282.0,2358603490.7
2021-06-08,81.87,82.645,80.45,80.89,26956625.0,2180521396.25
2021-06-09,81.09,81.677,79.8,79.96,28454646.0,2275233494.16
2021-06-10,80.02,81.71,79.7,81.56,28606356.0,2333134395.36
2021-06-11,81.61,82.33,80.7,81.31,24310894.0,1976718791.14
2021-06-14,81.51,81.55,80.2,81.55,27830243.0,2269556316.65
2021-06-15,81.59,81.68,80.225,80.47,26194342.0,2107858700.74
2021-06-16,80.75,81.45,78.96,80.11,29598309.0,2371120533.99
2021-06-17,80.77,85.37,80.57,84.56,77791323.0,6578034272.88
2021-06-18,84.28,85.77,83.48,84.65,58536805.0,4955140543.25
2021-06-21,83.49,84.19,82.21,82.59,44417112.0,3668409280.08
2021-06-22,82.9,84.04,82.48,83.58,32107700.0,2683561566.0
2021-06-23,83.83,84.485,83.1603,83.82,24484435.0,2052285341.7
2021-06-24,84.39,87.1399,84.365,86.1,42217665.0,3634940956.499999
2021-06-25,86.34,86.36,85.1,85.62,27804535.0,2380624286.7000003
2021-06-28,86.38,88.0,86.15,87.08,30262042.0,2635218617.36
2021-06-29,87.41,90.3,86.66,89.52,45811930.0,4101083973.6
2021-06-30,90.82,94.335,90.6,93.93,70697525.0,6640618523.250001
2021-07-01,94.04,94.175,91.7,93.31,58059019.0,5417487062.89
2021-07-02,93.28,95.27,92.205,94.7,51342975.0,4862179732.5
2021-07-06,94.875,95.41,93.32,94.47,44930119.0,4244548341.93
2021-07-07,95.02,95.44,90.31,90.54,51498481.0,4662672469.740001
2021-07-08,87.86,90.3399,87.45,89.74,45660654.0,4097587089.96
2021-07-09,90.04,91.26,88.53,90.9,35246321.0,3203890578.9
2021-07-12,91.22,91.9,89.65,90.81,28526559.0,2590496822.79
2021-07-13,90.48,91.41,89.8299,90.26,30367595.0,2740979124.7000003
2021-07-14,90.76,91.395,88.94,89.05,28108505.0,2503062370.25
2021-07-15,89.78,89.78,86.1801,86.93,38944741.0,3385466335.13
2021-07-16,87.32,88.03,85.68,85.89,35851920.0,3079321408.8
2021-07-19,84.99,87.2294,84.24,86.58,39244796.0,3397814437.68
2021-07-20,87.09,87.77,85.165,87.11,27900956.0,2430452277.16
2021-07-21,87.25,89.49,86.9,89.41,29468164.0,2634748543.24
2021-07-22,89.4,91.36,89.08,91.21,32730078.0,2985310414.3799996
2021-07-23,91.3484,92.37,90.19,92.15,31695777.0,2920765850.55
2021-07-26,92.01,92.75,91.12,91.82,27668459.0,2540517905.3799996
2021-07-27,92.94,94.1,89.1,91.03,68893021.0,6271331701.63
2021-07-28,93.44,98.71,89.65,97.93,140498268.0,13758995385.240002
2021-07-29,96.58,105.74,96.58,102.95,163939113.0,16877531683.35
2021-07-30,101.6,106.97,101.38,106.19,125632018.0,13340863991.42
2021-08-02,105.93,110.33,103.83,108.63,115581854.0,12555656800.02
2021-08-03,108.15,114.85,107.66,112.56,157723142.0,17753316863.52
2021-08-04,114.36,122.49,114.16,118.77,225368699.0,26767040380.23
2021-08-05,116.63,117.68,111.59,112.35,137860865.0,15488668182.75
2021-08-06,110.55,116.2599,109.7,110.11,143899026.0,15844721752.86
2021-08-09,111.31,112.33,107.06,107.58,115738243.0,12451120181.94
2021-08-10,107.895,109.17,104.36,106.48,113012297.0,12033549384.56
2021-08-11,107.6,109.79,105.62,107.68,91783349.0,9883231020.32
