timestamps,open,high,low,close,volume,amount
2024-03-18,25.51,25.62,25.51,25.51,567.0,14464.17
2024-03-19,24.8,24.8,22.25,22.54,41817.0,942555.18
2024-03-20,23.0,23.07,20.9,22.16,45381.0,1005642.96
2024-03-21,24.0,24.0,21.54,21.8022,97541.0,2126608.3902
2024-03-22,21.42,22.2999,20.884,22.023,62644.0,1379608.812
2024-03-25,20.32,22.77,20.101,21.75,102214.0,2223154.5
2024-03-26,22.15,22.65,21.12,21.61,87967.0,1900966.87
2024-03-27,22.2,22.35,21.0,21.9,57516.0,1259600.4
2024-03-28,21.98,22.8,21.85,22.15,86553.0,1917148.95
2024-04-01,22.08,23.7476,22.05,22.89,245522.0,5619998.58
2024-04-02,21.88,21.88,20.7066,21.76,150279.0,3270071.04
2024-04-03,21.28,22.4283,21.26,22.14,60347.0,1336082.58
2024-04-04,22.71,22.71,18.5501,18.58,716547.0,13313443.259999998
2024-04-05,19.1981,20.0074,18.5,19.58,234884.0,4599028.72
2024-04-08,19.03,19.73,18.68,19.42,103433.0,2008668.86
2024-04-09,19.23,19.7,18.7852,19.4913,510089.0,9942297.7257
2024-04-10,19.03,19.2,18.1,18.7397,190869.0,3576827.7992999996
2024-04-11,18.79,19.58,18.5483,19.48,81260.0,1582944.8
2024-04-12,18.19,18.3494,17.52,17.84,574383.0,10246992.72
2024-04-15,17.94,17.95,16.811,17.19,416741.0,7163777.790000001
2024-04-16,17.38,18.0723,17.38,17.86,481815.0,8605215.9
2024-04-17,17.87,17.96,15.79,15.7992,342369.0,5409156.3048
2024-04-18,15.87,16.3302,15.48,15.99,435148.0,6958016.5200000005
2024-04-19,15.29,15.72,13.9204,14.23,1078762.0,15350783.26
2024-04-22,14.44,14.811,14.09,14.56,210491.0,3064748.96
2024-04-23,15.22,15.5315,14.99,15.33,234920.0,3601323.6
2024-04-24,16.18,16.335,14.98,15.2,239495.0,3640324.0
2024-04-25,14.6,15.83,14.18,15.6,768800.0,11993280.0
2024-04-26,15.68,16.5499,15.51,16.28,224483.0,3654583.24
2024-04-29,16.72,17.0,16.07,16.9,861153.0,14553485.7
2024-04-30,16.97,17.3,16.5,16.6,796525.0,13222315.000000002
2024-05-01,14.33,15.0,13.1,13.53,868070.0,11744987.1
2024-05-02,13.69,14.1193,12.92,13.85,351462.0,4867748.7
2024-05-03,14.3,14.719,14.085,14.68,512113.0,7517818.84
2024-05-06,15.18,15.83,14.7933,15.71,369278.0,5801357.38
2024-05-07,15.73,16.0,15.25,15.4,221554.0,3411931.6
2024-05-08,15.2,15.55,15.02,15.27,145496.0,2221723.92
2024-05-09,15.16,15.3,14.6203,14.99,129343.0,1938851.57
2024-05-10,15.42,15.7482,14.7506,14.89,193997.0,2888615.33
2024-05-13,14.82,15.13,14.565,14.6,207546.0,3030171.6
2024-05-14,14.52,15.1962,14.265,15.09,524887.0,7920544.83
2024-05-15,15.6,16.38,15.43,16.36,525294.0,8593809.84
2024-05-16,16.64,18.1,16.48,17.01,1524027.0,25923699.270000003
2024-05-17,18.24,18.4481,16.9025,17.38,902317.0,15682269.46
2024-05-20,17.61,18.18,17.36,17.76,660483.0,11730178.080000002
2024-05-21,17.29,17.629,17.01,17.39,447805.0,7787328.95
2024-05-22,17.93,18.4,17.2001,17.5,707579.0,12382632.5
2024-05-23,18.58,19.1,15.99,16.45,1469681.0,24176252.45
2024-05-24,16.62,17.9,16.44,17.66,730607.0,12902519.62
2024-05-28,18.27,19.38,17.36,18.73,1404908.0,26313926.84
2024-05-29,17.83,17.99,16.9,17.34,1283637.0,22258265.58
2024-05-30,17.85,18.0899,17.07,17.62,762029.0,13426950.98
2024-05-31,17.69,18.2233,16.27,17.73,1156713.0,20508521.49
2024-06-03,18.45,18.57,16.42,16.97,1423333.0,24153961.01
2024-06-04,16.9,17.2289,16.02,16.23,1037857.0,16844419.11
2024-06-05,16.65,17.6699,16.53,17.5,1504973.0,26337027.5
2024-06-06,17.34,18.18,17.02,17.62,1067853.0,18815569.86
2024-06-07,17.51,18.14,17.45,17.8,750485.0,13358633.0
2024-06-10,16.7,17.33,16.09,16.25,1581226.0,25694922.5
2024-06-11,16.25,16.45,15.5301,15.95,624343.0,9958270.85
2024-06-12,16.21,16.56,15.88,16.19,894019.0,14474167.61
2024-06-13,16.19,16.65,15.6,16.11,861661.0,13881358.71
2024-06-14,15.81,16.37,15.63,16.0,567655.0,9082480.0
2024-06-17,15.73,15.95,14.9513,15.79,1263857.0,19956302.029999997
2024-06-18,15.51,15.549,14.7987,15.02,1132062.0,17003571.24
2024-06-20,15.25,17.38,15.23,16.4,3484598.0,57147407.2
2024-06-21,16.4,16.65,15.64,16.31,1375657.0,22436965.67
2024-06-24,16.0,16.7,15.6722,16.09,1210297.0,19473678.73
2024-06-25,16.16,16.21,15.3108,16.07,951944.0,15297740.08
2024-06-26,16.16,16.16,15.235,15.52,827467.0,12842287.84
2024-06-27,15.38,16.1298,15.38,15.92,860470.0,13698682.4
2024-06-28,16.06,17.28,15.92,16.44,1333861.0,21928674.84
2024-07-01,16.22,16.22,14.7,15.53,2711045.0,42102528.85
2024-07-02,15.39,16.86,15.3613,16.8,2004048.0,33668006.4
2024-07-03,16.74,17.0,16.4,16.69,1646969.0,27487912.610000003
2024-07-05,17.15,18.7699,17.0601,18.32,2983497.0,54657665.04
2024-07-08,18.98,19.84,18.62,19.8,3963107.0,78469518.60000001
2024-07-09,19.63,20.15,18.9,19.39,3636811.0,70517765.29
2024-07-10,20.02,21.64,19.5999,20.93,5449662.0,114061425.66
2024-07-11,21.0,21.62,19.39,20.47,5153939.0,105501131.33
2024-07-12,20.41,21.57,19.95,20.35,2759961.0,56165206.35
2024-07-15,20.96,21.2095,19.66,19.94,2406620.0,47988002.8
2024-07-16,19.88,19.94,18.791,19.43,2208262.0,42906530.66
2024-07-17,17.75,17.75,15.51,15.52,3961037.0,61475294.239999995
2024-07-18,16.28,16.28,14.29,14.76,3396231.0,50128369.56
2024-07-19,14.57,14.75,13.79,13.98,2052390.0,28692412.2
2024-07-22,14.46,14.88,14.145,14.76,3050304.0,45022487.04
2024-07-23,14.6,14.9592,14.37,14.41,1007244.0,14514386.04
2024-07-24,14.17,14.33,12.61,12.63,1869362.0,23610042.06
2024-07-25,12.52,12.65,11.25,11.52,2697812.0,31078794.24
