timestamps,open,high,low,close,volume,amount
2021-05-28,236.21,240.87,236.13,237.94,3240387.0,771017682.78
2021-06-01,242.2,242.28,232.94,233.58,3799573.0,887504261.34
2021-06-02,234.9,236.69,233.89,235.16,2266903.0,533084909.48
2021-06-03,233.67,236.58,233.36,235.74,2010621.0,473983794.54
2021-06-04,236.74,239.28,235.75,236.85,1875699.0,444259308.15
2021-06-07,236.92,240.5669,235.2,237.19,2153799.0,510859584.81
2021-06-08,238.93,239.12,235.25,236.82,1638030.0,387918264.6
2021-06-09,237.92,241.31,236.725,239.52,3047686.0,729981750.72
2021-06-10,239.57,245.33,239.22,244.64,2656244.0,649823532.16
2021-06-11,244.88,245.5,241.98,242.77,2002318.0,486102740.86
2021-06-14,242.56,242.72,239.29,241.19,2083431.0,502502722.89
2021-06-15,241.74,241.98,239.05,239.85,2508831.0,601743115.35
2021-06-16,240.87,244.505,238.0,239.58,3185551.0,763194308.58
2021-06-17,239.54,242.43,238.34,240.76,2142783.0,515896435.08
2021-06-18,239.58,241.0,236.47,238.68,5560411.0,1327158897.48
2021-06-21,239.64,240.9079,237.65,240.24,2149019.0,516280324.56
2021-06-22,239.71,240.75,238.29,239.91,1780379.0,427130725.89
2021-06-23,239.65,239.75,236.93,238.71,1654342.0,394907978.82
2021-06-24,240.41,243.03,239.29,240.95,1942952.0,468154284.4
2021-06-25,241.635,243.65,240.11,242.68,4309911.0,1045929201.48
2021-06-28,244.03,245.51,242.66,242.84,1680689.0,408138516.76
2021-06-29,243.2222,243.94,242.06,242.46,1337258.0,324231574.68
2021-06-30,242.72,244.27,242.06,243.75,2325186.0,566764087.5
2021-07-01,243.74,247.1,243.55,246.9,2091646.0,516427397.4
2021-07-02,247.33,249.895,246.2518,248.7,1943599.0,483373071.2999999
2021-07-06,247.26,248.12,243.17,243.65,2792547.0,680404076.5500001
2021-07-07,244.07,244.28,241.34,243.22,2362807.0,574681918.54
2021-07-08,244.235,246.7,242.445,244.28,1994352.0,487180306.56
2021-07-09,243.09,245.93,241.7064,245.2,1609921.0,394752629.2
2021-07-12,244.49,247.9037,243.54,244.37,2149359.0,525238858.83
2021-07-13,245.3883,246.75,242.975,244.83,1618267.0,396200309.61
2021-07-14,244.22,245.33,241.49,244.7,2185185.0,534714769.5
2021-07-15,244.33,247.57,242.14,246.63,2106705.0,519576654.15
2021-07-16,248.08,249.529,246.54,247.96,3141506.0,778967827.76
2021-07-19,247.8,249.95,244.85,246.73,2529988.0,624223939.24
2021-07-20,247.27,250.39,245.71,246.89,3035168.0,749352627.52
2021-07-21,246.91,246.96,242.69,244.85,1901962.0,465695395.7
2021-07-22,243.98,246.22,243.1294,244.74,1379824.0,337698125.76
2021-07-23,246.27,248.56,244.87,247.72,1747301.0,432841403.72
2021-07-26,247.72,248.39,244.81,245.08,1518535.0,372162557.8
2021-07-27,244.12,245.61,243.38,244.68,2166652.0,530136411.36
2021-07-28,244.55,247.695,243.515,244.25,1649082.0,402788278.5
2021-07-29,244.46,245.16,242.21,242.46,1498915.0,363426930.9
2021-07-30,242.62,243.095,240.63,241.54,2284415.0,551777599.1
2021-08-02,242.12,242.48,238.37,239.79,1849506.0,443493043.74
