timestamps,open,high,low,close,volume,amount
2021-05-28,162.1,162.3995,160.985,161.1535,46630180.0,7514616712.63
2021-06-01,162.1748,162.549,160.453,160.9325,48600900.0,7821464339.25
2021-06-02,161.155,161.75,160.4,161.6995,40290480.0,6514950470.76
2021-06-03,160.2115,160.7218,159.2015,159.3505,47941360.0,7639479686.68
2021-06-04,160.6,161.05,159.9405,160.311,44994980.0,7213190238.780001
2021-06-07,159.8665,160.4,158.61,159.9005,44315120.0,7086009845.559999
2021-06-08,161.1305,163.9766,160.9005,163.2055,68334600.0,11152582560.3
2021-06-09,163.6435,164.879,163.535,164.0575,49110600.0,8056962259.5
2021-06-10,164.1005,167.55,164.0575,167.4825,69452600.0,11632095079.5
2021-06-11,167.4825,168.329,166.6725,167.3415,54347040.0,9094515194.16
2021-06-14,167.3415,169.25,166.775,169.1935,51093100.0,8644620414.85
2021-06-15,169.2,169.8493,168.1555,169.1565,48524000.0,8208150006.0
2021-06-16,169.6,171.3175,168.0265,170.7625,84055640.0,14353551225.499998
2021-06-17,170.159,174.86,170.05,174.462,102646620.0,17907934618.44
2021-06-18,173.9995,175.35,173.6855,174.345,104954740.0,18298334145.3
2021-06-21,173.821,174.1,171.7,172.698,65417800.0,11297523224.4
2021-06-22,172.903,176.189,172.8045,175.272,66901640.0,11725984246.08
2021-06-23,175.25,176.05,174.16,175.191,54266820.0,9507058462.62
2021-06-24,175.382,176.243,171.5425,172.454,76639980.0,13216871110.92
2021-06-25,173.2,173.241,169.709,170.073,78717340.0,13387694165.82
2021-06-28,170.8,172.4,170.6755,172.1945,44755860.0,7706712934.77
2021-06-29,171.941,172.8015,171.1515,172.407,41968780.0,7235711453.46
2021-06-30,172.053,173.5801,171.75,172.008,48019840.0,8259796638.72
2021-07-01,171.7305,172.85,170.471,171.6485,40741060.0,6993141837.410001
2021-07-02,172.582,175.586,171.846,175.549,63511140.0,11149317115.86
2021-07-06,176.5055,184.274,176.45,183.787,134865360.0,24786499918.32
2021-07-07,185.8689,186.71,183.9455,184.829,105461240.0,19492295527.96
2021-07-08,182.178,187.9993,181.056,186.5705,103576260.0,19324274616.33
2021-07-09,186.126,187.4,184.6698,185.967,74861740.0,13921813202.580002
2021-07-12,187.2,187.8645,184.8396,185.9275,51432700.0,9562753329.25
2021-07-13,185.105,188.6539,183.566,183.868,76918340.0,14142821339.12
2021-07-14,185.4425,185.883,183.0413,184.084,65131360.0,11989641274.24
2021-07-15,184.71,184.77,181.046,181.56,63659840.0,11558080550.4
2021-07-16,181.6655,182.303,178.5228,178.6815,80820120.0,14441060271.78
2021-07-19,176.629,177.5105,174.958,177.4795,75691900.0,13433760566.05
2021-07-20,178.366,179.6,175.9,178.6595,64813600.0,11579565369.2
2021-07-21,178.8188,179.3225,177.1821,179.26,46053780.0,8255600602.799999
2021-07-22,179.3615,182.001,179.1135,181.9015,65307040.0,11879448536.56
2021-07-23,182.0,183.3055,181.102,182.832,48525840.0,8872076378.88
2021-07-26,183.6585,185.604,182.3625,184.991,57301360.0,10600235887.76
2021-07-27,184.925,184.925,179.3075,181.3195,82637800.0,14983844577.1
2021-07-28,181.689,182.921,180.05,181.516,59987560.0,10888701940.96
2021-07-29,181.3875,181.8975,179.0005,179.996,110399040.0,19871385603.84
2021-07-30,167.3975,168.407,165.349,166.3795,199281260.0,33156316398.17
2021-08-02,167.655,167.946,165.85,166.574,66886300.0,11141518536.2
2021-08-03,167.036,169.55,164.9885,168.312,82546860.0,13893627100.320002
2021-08-04,168.9675,169.444,167.278,167.736,43678900.0,7326523970.4
2021-08-05,167.811,169.45,167.046,168.7995,47070060.0,7945402592.969999
2021-08-06,168.75,168.75,166.4519,167.247,52752880.0,8822760921.36
2021-08-09,167.1805,167.744,166.426,167.0935,42869400.0,7163198088.900001
2021-08-10,167.2505,167.9,165.75,166.034,47801020.0,7936594554.679999
2021-08-11,166.5723,166.885,163.8895,164.6055,58944980.0,9702667905.39
2021-08-12,164.5,165.7255,163.4835,165.175,46426460.0,7668490530.500001
2021-08-13,165.2835,165.3033,164.15,164.6985,41133980.0,6774704805.03
2021-08-16,164.15,165.0,160.5565,164.9495,66569880.0,10980668421.06
2021-08-17,163.875,164.0245,161.284,162.098,67758440.0,10983507607.12
2021-08-18,162.0995,162.7049,160.0,160.061,54386220.0,8705112759.42
2021-08-19,159.701,161.65,159.1232,159.3875,74457240.0,11867553340.5
2021-08-20,160.1936,160.3905,158.788,159.9975,66298560.0,10607603853.6
2021-08-23,160.595,164.045,160.5003,163.2935,65362620.0,10673290988.97
2021-08-24,164.0,165.7747,163.729,165.289,51036820.0,8435824940.98
2021-08-25,165.4935,166.05,164.3075,164.959,33606120.0,5543631949.08
2021-08-26,164.95,166.6,164.8,165.8,41375220.0,6860011476.0
2021-08-27,166.6615,167.616,165.6875,167.4815,48047380.0,8047047273.47
2021-08-30,167.8713,172.25,167.761,171.0785,63807080.0,10916019535.78
2021-08-31,171.24,173.629,169.7795,173.5395,87032680.0,15103607770.86
2021-09-01,174.8198,176.35,173.762,173.95,72598220.0,12628460369.0
2021-09-02,174.738,175.598,172.75,173.156,58511880.0,10131683093.28
2021-09-03,172.6,174.1335,171.822,173.9025,51566480.0,8967539788.2
2021-09-07,173.9,176.4045,173.847,175.4645,55517880.0,9741417055.259998
2021-09-08,175.5825,177.2815,174.7835,176.275,61015280.0,10755468482.0
2021-09-09,176.301,177.4995,174.0185,174.208,54384820.0,9474270722.56
2021-09-10,175.0915,175.4225,173.1453,173.4575,47945380.0,8316485751.35
2021-09-13,174.14,174.898,171.9,172.8585,52148940.0,9014387544.99
2021-09-14,173.7775,174.3403,171.8855,172.5,39968560.0,6894576600.0
2021-09-15,172.126,174.271,170.1005,173.7895,60278980.0,10475853794.71
2021-09-16,172.998,174.6275,172.3072,174.412,51671960.0,9012209887.52
2021-09-17,174.4207,174.8705,172.6065,173.126,92331120.0,15984917481.12
2021-09-20,169.8,170.95,165.2505,167.7865,93143900.0,15628288977.349998
2021-09-21,168.75,168.985,166.6195,167.1815,55617560.0,9298227107.14
2021-09-22,167.55,169.45,167.0525,169.0025,48228060.0,8150662710.15
2021-09-23,169.0025,171.448,169.0025,170.8,47588280.0,8128078224.000001
2021-09-24,170.1005,171.463,169.67,171.276,42324820.0,7249225870.320001
2021-09-27,168.575,170.7785,166.9805,170.29,72661000.0,12373441690.0
2021-09-28,167.8855,168.4595,164.505,165.798,88579580.0,14686317204.84
2021-09-29,166.1055,167.565,164.8935,165.056,51245360.0,8458354140.160001
2021-09-30,165.8,166.3925,163.6995,164.252,57912940.0,9512316220.88
2021-10-01,164.4505,165.4587,162.797,164.163,56712340.0,9310067871.42
2021-10-04,163.9695,163.9995,158.8125,159.489,90461140.0,14427556757.46
2021-10-05,160.225,163.0365,160.1232,161.05,65382160.0,10529796868.0
2021-10-06,160.6765,163.217,159.931,163.1005,50659540.0,8262596303.77
2021-10-07,164.577,166.2873,164.153,165.1215,48181500.0,7955801552.25
2021-10-08,165.85,166.0715,164.41,164.431,40646660.0,6683570950.46
2021-10-11,163.75,164.6295,161.905,162.315,40684060.0,6603633198.9
2021-10-12,162.85,163.3764,161.814,162.3665,36391420.0,5908747495.43
2021-10-13,163.4855,164.419,163.0544,164.214,48501720.0,7964661448.08
2021-10-14,165.1227,165.63,164.539,164.993,42222400.0,6966400443.2
2021-10-15,165.571,170.521,165.2,170.451,101074820.0,17228304143.82
2021-10-18,169.4179,172.4585,169.255,172.337,63230300.0,10896920211.099998
2021-10-19,171.7145,172.7345,171.1,172.2075,47721580.0,8218013987.85
2021-10-20,172.633,173.143,170.0185,170.753,42389540.0,7238141123.619999
2021-10-21,170.7125,172.014,170.15,171.7505,37627700.0,6462576288.849999
2021-10-22,171.05,171.492,166.565,166.7775,62581060.0,10437112734.15
2021-10-25,166.75,167.39,164.885,166.0185,44519120.0,7390997523.719999
2021-10-26,167.4755,170.806,167.199,168.8035,53366840.0,9008509375.94
2021-10-27,169.4,171.85,168.5727,169.6245,54044480.0,9167267897.76
2021-10-28,170.1048,173.95,169.3,172.3285,114174660.0,19675547895.81
2021-10-29,165.001,168.741,163.666,168.6215,129721540.0,21873840657.11
2021-11-01,168.09,168.793,164.601,165.9055,72177580.0,11974657498.69
2021-11-02,165.7505,166.5558,164.1775,165.6375,52551800.0,8704548772.5
2021-11-03,165.45,169.746,164.876,169.2,67943780.0,11496087576.0
2021-11-04,168.5,174.9313,168.25,173.85,107050400.0,18610712040.0
2021-11-05,173.85,178.3125,173.849,175.9495,99839020.0,17566625649.49
2021-11-08,176.162,178.95,174.393,174.449,61479840.0,10725096608.16
