timestamps,open,high,low,close,volume,amount
2021-05-28,33.77,33.85,33.5,33.63,4004530.0,134672343.9
2021-06-01,33.9,34.115,33.77,33.795,4196282.0,141813350.19
2021-06-02,33.845,34.12,33.6525,33.88,4907934.0,166280803.92000002
2021-06-03,33.665,34.12,33.465,34.02,4396742.0,149577162.84
2021-06-04,34.245,34.6025,34.12,34.58,3450902.0,119332191.16
2021-06-07,34.58,34.665,33.95,34.095,3404870.0,116089042.65
2021-06-08,34.27,34.32,33.96,34.085,2540286.0,86585648.31
2021-06-09,34.195,34.2,33.955,34.07,3405190.0,116014823.3
2021-06-10,34.265,34.365,33.92,34.135,3704690.0,126459593.15
2021-06-11,34.25,34.345,33.995,34.225,6863174.0,234892130.15
2021-06-14,34.17,34.22,33.845,34.155,3376830.0,115335628.65
2021-06-15,34.105,34.325,34.095,34.215,3641676.0,124599944.34000002
2021-06-16,34.23,34.4425,33.92,34.11,5432690.0,185309055.9
2021-06-17,34.07,34.185,33.43,33.695,5655548.0,190563689.86
2021-06-18,33.335,33.43,32.92,33.14,9389230.0,311159082.2
2021-06-21,33.25,33.62,33.12,33.515,4737238.0,158768531.57
2021-06-22,33.48,33.87,33.33,33.765,6198950.0,209307546.75
2021-06-23,33.805,33.99,33.63,33.715,4663158.0,157218371.97000003
2021-06-24,33.965,34.105,33.7575,34.02,3549444.0,120752084.88
2021-06-25,34.13,34.215,33.92,33.965,7253824.0,246376132.16000003
2021-06-28,34.14,34.2325,33.835,34.2,4170518.0,142631715.60000002
2021-06-29,34.325,34.52,34.2225,34.25,4357536.0,149245608.0
2021-06-30,34.18,34.39,34.04,34.205,5501986.0,188195431.13
2021-07-01,34.235,34.485,34.075,34.48,4837836.0,166808585.27999997
2021-07-02,34.715,35.155,34.695,34.975,6217314.0,217450557.15
2021-07-06,35.0,35.05,34.2838,34.655,4714220.0,163371294.1
2021-07-07,34.705,34.95,34.385,34.92,3872148.0,135215408.16
2021-07-08,34.4,34.635,34.075,34.55,4011698.0,138604165.89999998
2021-07-09,34.85,35.195,34.595,35.155,4753662.0,167114987.61
2021-07-12,35.225,35.3875,35.025,35.185,5962122.0,209777262.57
2021-07-13,34.985,35.295,34.93,34.965,5639644.0,197190152.46
2021-07-14,35.295,35.525,34.805,34.925,5681492.0,198426108.1
2021-07-15,34.73,34.865,34.3738,34.545,6864424.0,237131527.08
2021-07-16,34.685,34.835,33.945,34.015,13042854.0,443652678.81
2021-07-19,33.455,33.855,33.375,33.695,7391668.0,249062253.26
2021-07-20,33.895,34.465,33.745,34.305,4543418.0,155861954.49
2021-07-21,34.455,35.105,34.45,35.075,7003872.0,245660810.4
2021-07-22,35.17,35.315,34.815,35.015,4996026.0,174935850.39000002
2021-07-23,35.335,35.505,35.145,35.5,4257730.0,151149415.0
2021-07-26,35.415,35.56,35.22,35.37,4806814.0,170017011.17999998
2021-07-27,35.19,35.32,34.89,35.195,5699092.0,200579542.94
2021-07-28,35.325,35.85,35.205,35.385,9282170.0,328449585.45
2021-07-29,35.71,36.15,35.67,35.98,7078980.0,254701700.4
2021-07-30,35.825,36.305,35.7825,36.245,4950098.0,179416302.01
2021-08-02,36.425,36.545,36.1725,36.34,6475214.0,235309276.76
2021-08-03,36.48,36.995,36.435,36.915,7037592.0,259792708.68
2021-08-04,36.9,37.03,36.595,36.775,4358670.0,160290089.25
2021-08-05,36.89,36.98,36.6221,36.84,3799484.0,139972990.56
2021-08-06,36.87,36.925,36.705,36.815,3058510.0,112599045.65
2021-08-09,36.675,36.86,36.56,36.715,2960162.0,108682347.83
2021-08-10,36.75,36.89,36.585,36.815,2683126.0,98779283.69
2021-08-11,36.74,36.885,36.655,36.86,2626680.0,96819424.8
2021-08-12,36.845,36.99,36.715,36.955,3641222.0,134561359.01
2021-08-13,36.915,37.0575,36.83,36.995,2347376.0,86841175.11999999
2021-08-16,36.945,37.26,36.785,37.25,3122032.0,116295692.0
2021-08-17,37.12,37.12,36.685,37.055,4175094.0,154708108.17
2021-08-18,36.965,37.32,36.875,36.955,4703760.0,173827450.79999998
2021-08-19,36.675,37.1316,36.52,37.06,4245492.0,157337933.52
2021-08-20,37.07,37.28,36.995,37.235,7365076.0,274238604.86
2021-08-23,37.4,37.7,37.245,37.63,3933268.0,148008874.84
2021-08-24,37.695,37.91,37.6313,37.67,4966292.0,187080219.64
2021-08-25,37.645,37.95,37.62,37.89,2985560.0,113122868.4
2021-08-26,37.945,38.015,37.7,37.81,3120000.0,117967200.0
2021-08-27,37.965,38.5,37.95,38.375,4451052.0,170809120.5
2021-08-30,38.46,38.625,38.275,38.465,2536442.0,97564241.53000002
2021-08-31,38.525,38.525,38.06,38.315,4260774.0,163251555.81
2021-09-01,38.335,38.375,38.065,38.17,3967712.0,151447567.04000002
2021-09-02,38.335,38.44,38.14,38.42,3318742.0,127506067.64
2021-09-03,38.325,38.5425,38.28,38.52,2656046.0,102310891.92
2021-09-07,38.415,38.48,37.97,37.99,3819952.0,145119976.48000002
2021-09-08,37.925,37.9875,37.49,37.78,3842188.0,145157862.64000002
2021-09-09,37.755,38.02,37.6,37.61,4249702.0,159831292.22
2021-09-10,37.835,38.19,37.66,37.68,3766930.0,141937922.4
2021-09-13,37.945,38.06,37.5775,37.96,6268926.0,237968430.96
2021-09-14,38.1,38.1,37.63,37.865,4105938.0,155471342.37
2021-09-15,37.78,38.24,37.78,38.205,4104060.0,156795612.29999998
2021-09-16,38.125,38.405,37.905,38.235,4077134.0,155889218.49
2021-09-17,38.06,38.21,37.705,37.86,9628350.0,364529331.0
2021-09-20,37.245,37.37,36.79,37.1,5801854.0,215248783.4
2021-09-21,37.35,37.35,36.675,36.935,4202328.0,155212984.68
2021-09-22,37.285,38.155,37.235,37.78,5234074.0,197743315.72
2021-09-23,37.985,38.61,37.92,38.52,3913358.0,150742550.16000003
2021-09-24,38.305,38.84,38.305,38.745,3076932.0,119215730.34
2021-09-27,38.58,38.845,38.425,38.635,4097482.0,158306217.07
2021-09-28,38.245,38.665,37.785,37.82,8309746.0,314274593.72
2021-09-29,37.95,38.085,37.21,37.27,8753542.0,326244510.34000003
2021-09-30,37.37,37.62,36.6,36.615,6930596.0,253763772.54
2021-10-01,36.825,37.505,36.515,37.305,5490482.0,204822431.01
2021-10-04,37.085,37.27,36.585,36.77,4299608.0,158096586.16000003
2021-10-05,36.97,37.5225,36.805,37.295,3910270.0,145833519.65
2021-10-06,36.865,37.29,36.585,37.265,3588092.0,133710248.38
2021-10-07,37.635,38.025,37.635,37.8,2453618.0,92746760.4
2021-10-08,37.885,38.01,37.69,37.87,2717272.0,102903090.64
2021-10-11,37.74,37.98,37.525,37.535,2750798.0,103251202.93
2021-10-12,37.595,37.72,36.925,37.0,3231612.0,119569644.0
2021-10-13,37.01,37.28,36.715,37.215,4795500.0,178464532.50000003
2021-10-14,37.57,38.225,37.46,38.215,3304894.0,126296524.21
2021-10-15,38.415,38.565,38.255,38.535,4100034.0,157994810.19
2021-10-18,38.31,38.88,38.095,38.74,3062262.0,118632029.88
2021-10-19,39.0,39.05,38.67,38.915,2590206.0,100797866.49
2021-10-20,38.975,39.29,38.89,39.175,2909768.0,113990161.4
2021-10-21,39.18,39.8625,39.18,39.745,4454556.0,177046328.22
2021-10-22,39.75,40.06,39.525,39.65,2806812.0,111290095.8
2021-10-25,39.71,39.8,39.3625,39.56,3161904.0,125084922.24
2021-10-26,39.61,39.685,39.36,39.38,3958060.0,155868402.8
2021-10-27,38.6,38.955,37.805,37.885,6119880.0,231851653.8
2021-10-28,38.145,38.41,37.67,38.315,6744816.0,258427625.04
2021-10-29,38.15,38.625,38.1,38.385,3707842.0,142325515.17
2021-11-01,38.46,38.83,38.2975,38.48,3899286.0,150044525.28
2021-11-02,38.46,39.35,38.46,38.92,4363036.0,169809361.12
2021-11-03,38.79,39.255,38.48,39.185,2685488.0,105230847.28
2021-11-04,39.36,39.565,39.075,39.56,2967230.0,117383618.8
2021-11-05,40.0,40.765,39.8825,40.72,4487248.0,182720738.56
2021-11-08,41.0,41.17,40.62,40.825,4430480.0,180874346.0
2021-11-09,40.88,41.1575,40.7,41.145,3381062.0,139113795.99
2021-11-10,40.875,41.28,40.8,41.145,4011872.0,165068473.44000003
2021-11-11,41.22,41.59,40.96,41.41,3870996.0,160297944.35999998
