timestamps,open,high,low,close,volume,amount
2021-12-31,25.23,25.26,25.14,25.14,366.5,9213.81
2022-01-03,25.14,25.5,24.36,24.36,921.666667,22451.800008119997
2022-01-04,25.14,25.14,24.18,24.18,900.5,21774.09
2022-01-05,25.08,25.08,22.5,24.0,2692.5,64620.0
2022-01-06,23.16,23.4,23.16,23.4,340.666667,7971.6000078
2022-01-07,23.16,23.16,21.0,21.66,3264.0,70698.24
2022-01-10,21.66,22.2,21.6,22.2,1602.0,35564.4
2022-01-11,22.8,24.54,19.92,24.54,6736.5,165313.71
2022-01-12,24.6,25.02,23.7,24.42,1445.833333,35307.24999186
2022-01-13,24.18,25.2,23.4,24.06,959.0,23073.539999999997
2022-01-14,24.48,24.48,23.4,24.3,1536.166667,37328.8500081
2022-01-18,24.9,25.08,23.4,23.4,2268.0,53071.2
2022-01-19,24.3,24.3,22.86,22.92,1732.833333,39716.539992360005
2022-01-20,23.34,23.4,22.5,22.5,1831.0,41197.5
2022-01-21,22.32,22.8,20.76,22.32,1294.5,28893.24
2022-01-24,21.0,22.38,16.5,20.04,3107.333333,62270.95999332
2022-01-25,20.04,20.04,16.2,16.2,3672.5,59494.5
2022-01-26,16.8,19.08,10.86,15.6,39147.5,610701.0
2022-01-27,13.8,15.6,11.4,11.4,21379.5,243726.3
2022-01-28,11.16,12.54,9.3,11.4,21174.0,241383.6
2022-01-31,11.4,11.4,8.1,9.0,28214.0,253926.0
2022-02-01,9.0,10.68,8.16,10.2,7966.0,81253.2
2022-02-02,10.68,12.0,10.5,11.7,5332.0,62384.399999999994
2022-02-03,11.28,11.4,9.72,9.72,4242.833333,41240.33999676
2022-02-04,10.32,10.8,9.18,9.66,15198.166667,146814.29000322
2022-02-07,10.44,11.82,9.84,11.22,10947.166667,122827.21000374
2022-02-08,11.67,12.6,10.86,10.86,11312.0,122848.32
2022-02-09,11.4,13.14,10.92,11.1,5639.0,62592.9
2022-02-10,11.4,12.48,11.28,12.42,5695.833333,70742.24999586
2022-02-11,12.42,12.42,10.8,11.64,2381.666667,27722.60000388
2022-02-14,11.64,14.88,11.64,12.3,11479.833333,141201.9499959
2022-02-15,14.34,14.34,11.4,13.74,4529.5,62235.33
2022-02-16,13.98,13.98,13.32,13.32,1391.0,18528.12
2022-02-17,13.8,15.24,13.2,13.2,5393.333333,71191.9999956
2022-02-18,13.26,13.5,11.4,11.4,3719.833333,42406.0999962
2022-02-22,9.3,12.54,9.3,12.0,1333.833333,16005.999996
2022-02-23,11.16,12.0,10.92,11.88,1873.833333,22261.13999604
2022-02-24,10.92,11.7,10.5,10.92,4649.166667,50768.90000364
2022-02-25,11.4,11.4,11.22,11.4,1196.0,13634.4
2022-02-28,11.52,11.64,11.1,11.28,750.666667,8467.520003759999
2022-03-01,11.46,11.94,11.34,11.34,1186.5,13454.91
2022-03-02,12.0,12.0,11.67,11.82,775.166667,9162.47000394
