timestamps,open,high,low,close,volume,amount
2023-09-14,56.1,66.28,55.54,63.59,130534505.0,8300689172.950001
2023-09-15,68.63,69.0,60.75,60.75,74753091.0,4541250278.25
2023-09-18,57.95,58.7407,55.02,58.0,34571903.0,2005170374.0
2023-09-19,56.25,56.78,53.88,55.17,18308644.0,1010087889.48
2023-09-20,55.17,55.4,51.52,52.91,16369470.0,866108657.6999999
2023-09-21,51.78,52.8,49.85,52.16,15010920.0,782969587.1999999
2023-09-22,52.9,52.9,50.3548,51.32,8430168.0,432636221.76
2023-09-25,51.12,54.5,50.02,54.44,12896541.0,702087692.04
2023-09-26,53.93,54.53,52.7,53.52,6283544.0,336295274.88
2023-09-27,54.4,54.4099,51.7894,52.99,6866740.0,363868552.6
2023-09-28,53.5,56.5,52.86,55.49,8765755.0,486411744.95
2023-09-29,56.21,56.79,53.08,53.52,7810025.0,417992538.0
2023-10-02,53.475,54.1899,51.91,52.26,8857088.0,462871418.88
2023-10-03,51.96,52.235,50.8,51.57,4687735.0,241746493.95
2023-10-04,51.97,53.81,51.31,53.46,6206459.0,331797298.14
2023-10-05,53.9,53.9,52.09,52.51,2984420.0,156711894.2
2023-10-06,52.72,54.21,51.55,54.08,4009236.0,216819482.88
2023-10-09,54.4,55.8,53.37,54.25,7197706.0,390475550.5
2023-10-10,55.24,55.86,54.2,55.71,5138144.0,286246002.24
2023-10-11,56.17,56.33,54.38,54.68,4454722.0,243584198.96
2023-10-12,54.75,54.75,51.41,51.85,7323145.0,379705068.25
2023-10-13,52.5,52.56,50.0,50.78,6462484.0,328164937.52
2023-10-16,51.04,52.35,51.04,52.09,3316789.0,172771539.01000002
2023-10-17,51.0,52.76,50.65,52.29,2549709.0,133324283.61
2023-10-18,52.28,52.7,51.275,51.9,2268871.0,117754404.9
2023-10-19,52.0,52.7,49.53,49.74,4553360.0,226484126.4
2023-10-20,49.74,49.74,46.5,47.87,8089129.0,387226605.23
2023-10-23,47.22,51.88,46.5,50.21,9979286.0,501059950.06
2023-10-24,52.0,52.8917,51.05,52.37,7211721.0,377677828.77
2023-10-25,52.7,52.79,49.31,49.44,4518810.0,223409966.4
2023-10-26,50.06,51.11,49.5,50.17,3555300.0,178369401.0
2023-10-27,51.26,51.33,48.81,49.09,2611336.0,128190484.24
2023-10-30,49.51,49.9,47.28,47.9,3677662.0,176160009.79999998
2023-10-31,47.9,49.66,47.12,49.29,3248684.0,160127634.35999998
2023-11-01,49.61,50.52,48.3,50.52,3066410.0,154915033.20000002
2023-11-02,51.4,53.56,51.3,52.82,4752687.0,251036927.34
2023-11-03,52.82,53.86,52.25,53.49,2545035.0,136133922.15
2023-11-06,53.98,54.46,52.52,53.1,2328270.0,123631137.0
2023-11-07,53.45,56.1,53.26,55.27,4534176.0,250603907.52
2023-11-08,55.27,55.56,53.39,54.4,6128231.0,333375766.4
2023-11-09,51.0,52.05,49.82,51.58,15348227.0,791661548.66
