timestamps,open,high,low,close,volume,amount
2021-05-28,669.03,675.98,666.94,675.47,615672.0,415867965.84
2021-06-01,684.74,688.09,668.5201,671.8,1292132.0,868054277.5999999
2021-06-02,670.52,678.73,668.77,674.09,597014.0,402441167.26
2021-06-03,667.35,670.41,660.11,665.89,612070.0,407571292.3
2021-06-04,674.805,684.02,673.09,683.3,531025.0,362849382.5
2021-06-07,680.18,684.41,676.48,681.98,594261.0,405274116.78
2021-06-08,690.67,692.12,676.55,680.73,563006.0,383255074.38
2021-06-09,685.0,688.06,680.81,682.59,440722.0,300832429.98
2021-06-10,689.36,704.78,686.56,699.94,800214.0,560101787.1600001
2021-06-11,698.2,698.94,691.35,697.03,445099.0,310247355.96999997
2021-06-14,699.51,709.629,695.54,709.33,636593.0,451554512.69
2021-06-15,707.601,710.97,696.87,701.78,510680.0,358385010.4
2021-06-16,706.05,709.9666,693.695,699.05,591197.0,413276262.85
2021-06-17,691.36,704.53,691.1,698.83,746709.0,521822650.47
2021-06-18,685.35,687.2,668.57,671.07,1610887.0,1081017939.0900002
2021-06-21,678.495,681.95,672.4,680.65,565625.0,384992656.25
2021-06-22,680.49,687.57,676.26,685.81,542248.0,371879100.88
2021-06-23,686.53,689.23,679.55,681.65,523547.0,356875812.55
2021-06-24,691.67,697.96,690.67,695.0,469425.0,326250375.0
2021-06-25,693.93,695.555,685.97,686.21,431430.0,296051580.3
2021-06-28,698.93,705.8,698.67,704.11,624071.0,439414631.81
2021-06-29,699.95,705.27,698.2,703.68,399978.0,281456519.03999996
2021-06-30,694.6,696.57,686.5932,690.84,767489.0,530212100.7600001
2021-07-01,687.24,691.68,674.53,679.31,997648.0,677712262.88
2021-07-02,688.49,689.87,683.7,687.54,449766.0,309232115.64
2021-07-06,689.44,693.55,676.7,685.87,788685.0,540935380.95
2021-07-07,694.04,695.72,684.371,690.18,443002.0,305751120.35999995
2021-07-08,670.98,675.6,664.83,673.685,841900.0,567175401.5
2021-07-09,683.97,693.0,678.93,691.36,583669.0,403525399.84
2021-07-12,700.0,708.51,699.17,707.81,618686.0,437912137.66
2021-07-13,706.25,710.6591,703.6,706.42,601343.0,424800722.06
2021-07-14,719.98,723.01,712.88,716.51,852113.0,610547485.63
2021-07-15,712.57,713.27,696.84,703.94,729392.0,513448204.48
2021-07-16,702.88,706.99,686.87,687.42,578599.0,397740524.58
2021-07-19,673.85,684.32,671.5925,684.0,855276.0,585008784.0
2021-07-20,676.86,688.66,672.93,684.05,805554.0,551039213.6999999
2021-07-21,705.935,721.09,700.69,721.0,1281696.0,924102816.0
2021-07-22,733.0,740.055,724.2,729.92,946261.0,690694829.12
2021-07-23,747.79,756.78,743.09,748.14,1070166.0,800633991.24
2021-07-26,758.2,758.9999,748.38,754.09,691917.0,521767690.53
2021-07-27,751.17,752.1451,733.06,745.6,881425.0,657190480.0
2021-07-28,750.0,761.04,745.4,759.86,716831.0,544691203.66
2021-07-29,761.63,767.89,759.855,765.71,634041.0,485491534.11
2021-07-30,760.77,768.7,756.79,766.74,488177.0,374304832.98
2021-08-02,770.81,775.84,768.41,769.65,499943.0,384781129.95
2021-08-03,770.53,780.45,767.51,779.53,533707.0,416040617.71
2021-08-04,792.01,798.57,787.8,795.48,629844.0,501028305.12
2021-08-05,805.51,805.64,790.3201,794.75,723814.0,575251176.5
2021-08-06,784.5,787.19,779.9,783.28,556983.0,436273644.24
2021-08-09,790.22,792.25,785.6,788.68,477126.0,376299733.67999995
2021-08-10,795.59,797.04,783.83,789.29,589603.0,465367751.87
2021-08-11,791.14,793.34,781.42,789.22,421649.0,332773823.78000003
2021-08-12,788.7,788.7,778.525,781.07,765088.0,597587284.1600001
2021-08-13,779.14,789.59,776.54,788.96,454778.0,358801650.88
2021-08-16,787.825,790.97,779.74,787.35,426734.0,335989014.90000004
2021-08-17,781.76,783.39,770.4,776.56,483626.0,375564606.56
2021-08-18,776.22,785.38,772.03,772.45,452683.0,349674983.35
2021-08-19,761.87,784.01,761.21,781.51,514117.0,401787576.67
2021-08-20,785.08,790.88,778.01,788.18,507760.0,400206276.7999999
2021-08-23,795.03,812.5,794.57,811.62,724275.0,587836075.5
2021-08-24,806.1,807.7117,801.58,805.61,453813.0,365596290.93
2021-08-25,808.42,813.37,805.0,807.87,471118.0,380602098.66
2021-08-26,808.27,815.83,804.16,810.94,450126.0,365025178.44
2021-08-27,814.2456,834.77,813.77,832.92,659049.0,548935093.0799999
2021-08-30,839.94,843.01,836.76,839.59,491038.0,412270594.42
2021-08-31,843.78,844.16,827.21,833.04,579288.0,482570075.52
2021-09-01,838.72,850.7199,836.69,842.17,582148.0,490267581.16
2021-09-02,852.16,862.05,848.865,861.28,747204.0,643551861.12
2021-09-03,848.52,862.98,848.52,858.105,698291.0,599206998.5550001
2021-09-07,865.29,868.88,857.76,861.77,786600.0,677868282.0
2021-09-08,857.61,859.8999,849.92,857.99,715114.0,613560660.86
2021-09-09,855.48,862.76,852.1,853.5,642040.0,547981140.0
2021-09-10,870.94,875.36,857.4,858.87,1137707.0,977142411.09
2021-09-13,869.22,872.21,861.036,871.24,646059.0,562872443.16
2021-09-14,883.82,895.93,879.68,888.07,989999.0,879188411.9300001
2021-09-15,886.99,890.01,879.44,889.33,809841.0,720215896.5300001
2021-09-16,877.14,889.7849,875.44,887.31,811597.0,720138134.0699999
2021-09-17,875.1,875.31,852.4059,859.85,1670538.0,1436412099.3
2021-09-20,838.88,845.49,829.695,840.74,1122585.0,943802112.9
2021-09-21,860.0,862.37,844.49,854.73,905714.0,774140927.22
2021-09-22,851.83,871.65,849.46,864.74,669379.0,578838796.46
2021-09-23,877.39,888.72,877.26,879.78,744483.0,654981253.74
2021-09-24,867.36,873.36,865.12,868.82,510720.0,443723750.4
2021-09-27,843.28,847.875,833.0461,835.31,1063868.0,888659579.0799999
2021-09-28,794.84,799.34,773.07,780.17,2390081.0,1864669493.77
2021-09-29,785.0,786.2288,749.115,750.42,2215973.0,1662910458.6599998
2021-09-30,754.25,762.32,742.29,745.11,1106036.0,824118483.96
2021-10-01,745.0,745.0,728.37,741.81,1180398.0,875631040.3799999
2021-10-04,728.9,730.155,709.03,712.94,1663470.0,1185954301.8000002
2021-10-05,725.04,742.63,722.62,732.87,1201466.0,880518387.42
2021-10-06,725.38,734.7,719.01,732.5,973045.0,712755462.5
2021-10-07,745.405,753.67,742.23,746.82,1267539.0,946623475.98
2021-10-08,749.36,749.74,729.33,730.27,1055627.0,770892729.29
2021-10-11,722.78,735.83,721.36,721.89,702502.0,507129168.78
2021-10-12,734.0,734.0,722.4,725.05,868419.0,629647195.9499999
2021-10-13,743.15,749.455,740.0,744.42,1170587.0,871408374.54
2021-10-14,769.6,778.639,765.68,778.29,1372973.0,1068571156.17
2021-10-15,780.96,789.64,775.84,789.4,876381.0,691815161.4
2021-10-18,774.085,788.3275,772.99,788.22,1014629.0,799750870.38
2021-10-19,788.18,801.62,786.3,800.96,956612.0,766207947.52
2021-10-20,782.24,785.14,758.24,767.7,1894907.0,1454720103.9
2021-10-21,764.526,787.56,763.87,787.56,1083087.0,852995997.7199999
2021-10-22,798.19,808.8,796.27,800.97,1294777.0,1037077533.69
2021-10-25,799.69,803.19,787.01,788.44,786029.0,619736704.76
2021-10-26,796.4,797.99,784.1922,791.23,741388.0,586608427.24
2021-10-27,798.06,818.95,797.2,801.0,949825.0,760809825.0
2021-10-28,814.12,821.92,810.72,813.19,687512.0,559077883.2800001
2021-10-29,807.23,814.46,804.75,812.88,583761.0,474527641.68
2021-11-01,806.91,808.0,796.48,807.45,573771.0,463291393.9500001
2021-11-02,812.32,817.69,811.29,812.02,504072.0,409316545.44
2021-11-03,818.4,831.582,810.48,830.02,566909.0,470545808.18
2021-11-04,831.64,853.15,829.6,850.49,1058483.0,900229206.67
2021-11-05,852.23,854.64,841.635,847.0,735310.0,622807570.0
2021-11-08,855.51,856.95,848.0,849.93,728399.0,619088162.0699999
2021-11-09,852.01,855.46,842.0,850.05,676848.0,575354642.4
2021-11-10,829.609,835.44,815.11,817.85,737728.0,603350844.8000001
2021-11-11,833.27,839.04,829.2,833.39,416170.0,346831916.3
2021-11-12,840.0,855.0,835.1,851.63,531257.0,452434398.91
2021-11-15,855.0,861.6,852.99,856.72,638041.0,546622485.52
2021-11-16,851.52,862.61,847.235,860.55,686479.0,590749503.4499999
2021-11-17,859.2,868.0,857.6,859.46,549409.0,472195059.1400001
2021-11-18,877.42,881.12,870.56,879.12,866036.0,761349568.32
2021-11-19,866.85,867.55,854.47,857.17,778512.0,667317131.04
2021-11-22,855.0,859.66,824.72,825.75,881599.0,727980374.25
2021-11-23,811.66,819.36,793.12,807.48,1193562.0,963777443.76
2021-11-24,782.0,803.48,777.44,802.39,1246741.0,1000372510.99
2021-11-26,786.96,795.92,776.01,782.02,786306.0,614907018.12
2021-11-29,795.01,815.73,789.99,815.01,1410657.0,1149699561.57
2021-11-30,807.07,821.35,787.145,791.51,1144524.0,905902191.24
2021-12-01,812.56,832.68,802.44,804.0,1201698.0,966165192.0
2021-12-02,784.44,796.45,778.32,789.38,957060.0,755484022.8
2021-12-03,785.97,790.74,759.84,771.52,1115592.0,860701539.84
2021-12-06,758.88,761.4,741.4,756.39,1223247.0,925251798.33
2021-12-07,788.0,809.4,783.7206,806.01,983181.0,792453717.81
2021-12-08,803.21,804.9999,796.19,803.92,551528.0,443384389.76
2021-12-09,786.16,790.01,772.36,772.61,709068.0,547833027.48
2021-12-10,777.28,783.65,772.48,781.84,602664.0,471186821.76
2021-12-13,780.57,781.8396,764.34,764.47,615109.0,470232377.23
2021-12-14,754.42,760.3112,743.25,754.39,842445.0,635532083.55
2021-12-15,764.57,792.6,760.66,792.22,910711.0,721483468.4200001
2021-12-16,799.0,799.84,753.6184,755.0,1006869.0,760186095.0
2021-12-17,751.16,758.0,743.96,749.87,1658507.0,1243664644.09
2021-12-20,747.6,756.715,744.4501,752.88,647130.0,487211234.4
2021-12-21,775.7275,784.45,765.02,783.04,838082.0,656251729.28
2021-12-22,777.8,792.12,775.0,792.12,534970.0,423760436.4
2021-12-23,794.64,805.72,794.08,801.41,496784.0,398127665.44
2021-12-27,794.4,813.59,794.36,811.43,527705.0,428195668.15
2021-12-28,817.3,817.3,803.09,804.77,548626.0,441517746.02
2021-12-29,798.11,805.235,794.4,801.98,404983.0,324788266.34000003
2021-12-30,803.69,808.29,799.92,800.22,412064.0,329741854.08
2021-12-31,801.51,805.2792,795.88,796.14,236528.0,188309401.92
2022-01-03,795.74,799.36,784.96,797.49,720765.0,574802879.85
2022-01-04,793.63,793.63,763.2901,779.19,874092.0,681083745.48
2022-01-05,765.91,766.54,745.04,745.67,1193232.0,889757305.4399999
2022-01-06,739.53,763.76,729.805,763.12,2041214.0,1557691227.68
2022-01-07,758.39,763.36,743.6,756.1,1363367.0,1030841788.7
2022-01-10,716.5184,727.66,702.3,727.17,1973435.0,1435022728.9499998
2022-01-11,706.99,731.44,700.71,729.16,2120708.0,1546335445.28
2022-01-12,739.31,749.45,735.0,742.17,959784.0,712322891.28
2022-01-13,772.41,777.92,728.64,730.08,1628708.0,1189087136.64
2022-01-14,735.6,746.5999,728.17,744.53,1313588.0,978005673.64
2022-01-18,741.03,741.07,714.24,715.23,1180036.0,843997148.28
2022-01-19,736.94,738.88,698.71,698.82,1593207.0,1113364915.74
2022-01-20,724.89,729.98,706.21,706.46,1536534.0,1085499809.64
2022-01-21,707.29,721.2,694.71,694.73,1689588.0,1173807471.24
2022-01-24,666.05,688.64,648.6327,687.42,2834486.0,1948482366.12
2022-01-25,652.64,668.1562,643.82,648.57,2095298.0,1358947423.86
2022-01-26,661.63,679.38,644.655,653.26,1376682.0,899331283.3199999
2022-01-27,664.8,665.0,631.4,634.66,1465639.0,930182447.74
2022-01-28,633.6,644.98,620.67,644.97,1339743.0,864094042.71
2022-01-31,650.7,677.55,648.0318,677.2,1357612.0,919374846.4
2022-02-01,682.55,683.71,666.27,681.48,944978.0,643983607.44
2022-02-02,687.95,691.24,674.09,686.75,713603.0,490066860.25
2022-02-03,659.09,664.67,644.47,645.93,1211974.0,782850365.8199999
2022-02-04,648.05,661.21,643.3,652.81,863271.0,563551941.51
2022-02-07,654.15,661.409,648.55,650.03,520316.0,338221009.47999996
2022-02-08,636.85,655.36,635.6,653.47,745527.0,487179528.69
2022-02-09,670.79,682.23,663.88,680.37,841989.0,572864055.93
2022-02-10,654.59,677.62,653.0,656.88,961205.0,631396340.4
2022-02-11,657.54,660.32,625.25,628.24,1116281.0,701292375.44
2022-02-14,626.15,634.95,620.0,627.91,890185.0,558956063.35
2022-02-15,647.48,658.35,642.31,656.41,821707.0,539376691.87
2022-02-16,651.0,666.0,644.675,663.86,610028.0,404973188.08
2022-02-17,659.31,662.22,650.0,650.43,1020713.0,663902356.5899999
2022-02-18,652.12,657.77,640.99,647.83,899509.0,582728915.47
2022-02-22,638.5,653.0,629.86,640.27,933970.0,597992971.9
2022-02-23,651.08,654.45,631.01,631.73,997023.0,629849339.79
2022-02-24,600.29,658.86,599.68,656.84,2047756.0,1345048051.04
2022-02-25,656.91,667.14,650.0,667.12,1295521.0,864267969.52
2022-02-28,647.65,672.57,647.65,666.51,1973984.0,1315680075.84
2022-03-01,660.21,665.0958,627.58,634.21,1097339.0,695943367.19
2022-03-02,642.59,658.4153,638.1,655.37,1035669.0,678746392.53
2022-03-03,652.02,653.7,627.19,630.79,1020212.0,643539527.48
2022-03-04,603.703,609.42,581.625,594.32,2025752.0,1203944928.64
2022-03-07,617.39,620.61,573.75,574.34,1607234.0,923098775.56
2022-03-08,574.08,593.48,558.77,573.04,1441787.0,826201622.4799999
2022-03-09,609.15,627.0,595.0,621.34,1593366.0,990022030.44
2022-03-10,599.54,608.55,596.1776,600.07,735546.0,441379088.22
2022-03-11,614.0,615.0,584.88,585.85,818991.0,479805877.35
2022-03-14,599.55,601.5,577.31,577.55,1621681.0,936601861.55
2022-03-15,591.92,598.19,583.86,596.7,1542638.0,920492094.6
2022-03-16,621.44,651.0,617.15,650.63,1815184.0,1181013165.92
2022-03-17,643.13,656.4,639.47,654.1,854884.0,559179624.4
2022-03-18,649.24,683.4,647.4,679.86,1689844.0,1148857341.84
2022-03-21,678.22,683.39,669.0,682.91,1293040.0,883029946.4
2022-03-22,688.0,698.1,685.3,688.74,1111198.0,765326510.52
2022-03-23,668.8,679.374,663.605,665.36,999050.0,664727908.0
2022-03-24,666.2,690.55,663.2,690.54,1176673.0,812539773.42
2022-03-25,690.46,690.75,672.3,687.36,775354.0,532947325.44
2022-03-28,680.11,695.0,676.0,694.83,655858.0,455709814.1400001
2022-03-29,710.0,714.62,697.67,709.14,1045191.0,741186745.74
2022-03-30,700.0,702.75,680.115,684.56,1031932.0,706419369.92
2022-03-31,684.49,689.1,667.5,667.93,780922.0,521601231.46
2022-04-01,675.29,677.185,661.825,667.73,739406.0,493723568.38
2022-04-04,672.49,681.54,669.99,680.83,731410.0,497965870.3
2022-04-05,674.02,675.15,645.7852,646.46,1251498.0,809043397.08
2022-04-06,626.09,639.31,617.4,628.51,1110652.0,698055888.52
2022-04-07,624.53,632.1,612.78,625.3,713506.0,446155301.7999999
2022-04-08,621.42,622.41,610.0,610.93,840958.0,513766470.93999994
2022-04-11,607.04,610.63,597.13,597.74,859587.0,513809533.38
2022-04-12,613.07,622.5,592.0,594.0,1066801.0,633679794.0
2022-04-13,601.41,617.21,596.42,612.76,934257.0,572475319.3199999
2022-04-14,614.52,616.51,596.0,597.87,814154.0,486758251.98
2022-04-18,597.05,613.86,595.77,605.58,576951.0,349389986.58000004
2022-04-19,597.53,619.115,596.0,617.15,1230779.0,759575259.85
2022-04-20,650.76,652.55,628.99,633.91,1857880.0,1177728710.8
2022-04-21,645.06,648.81,617.74,619.98,940668.0,583195346.64
2022-04-22,615.08,620.865,607.47,607.61,1093400.0,664360774.0
2022-04-25,592.73,600.39,583.67,599.82,2074708.0,1244451352.5600002
2022-04-26,585.15,587.48,559.9,560.43,1803116.0,1010520299.88
2022-04-27,552.09,567.375,544.0,556.88,1904378.0,1060510020.64
2022-04-28,574.95,595.455,564.6,590.54,1516807.0,895735205.78
2022-04-29,576.45,588.9,562.46,563.77,1225253.0,690760883.81
2022-05-02,558.74,571.52,553.54,571.09,1146662.0,654847201.58
2022-05-03,566.63,575.44,563.02,570.68,825313.0,470989622.84
2022-05-04,579.08,594.25,564.66,592.64,1112770.0,659472012.8
2022-05-05,582.32,584.57,558.09,564.17,1231836.0,694964916.12
2022-05-06,555.15,561.68,545.05,551.0,1214677.0,669287027.0
2022-05-09,530.21,535.8,510.36,512.66,1714683.0,879049386.78
2022-05-10,529.2,530.41,512.33,523.37,1232934.0,645280667.58
2022-05-11,531.28,544.185,520.47,521.3,1302772.0,679135043.5999999
2022-05-12,514.7,529.05,509.55,522.36,1134832.0,592790843.52
2022-05-13,540.56,551.295,538.21,548.32,946832.0,519166922.24000007
2022-05-16,533.25,540.98,528.0,534.95,757365.0,405152406.75000006
2022-05-17,556.95,563.38,548.85,561.63,895821.0,503119948.23
2022-05-18,547.18,552.83,526.87,528.3,1037850.0,548296155.0
2022-05-19,523.77,537.05,522.32,526.0,905460.0,476271960.0
2022-05-20,541.44,542.39,514.17,532.84,1205709.0,642449983.5600001
2022-05-23,549.24,557.82,545.72,554.61,975222.0,540867873.42
2022-05-24,555.57,557.55,542.63,546.43,1085532.0,593167250.76
2022-05-25,541.69,551.855,538.03,548.08,832605.0,456334148.4
2022-05-26,542.4,562.48,541.35,560.07,933779.0,522981604.53
2022-05-27,572.63,583.86,572.1,583.38,844027.0,492388471.26
2022-05-31,584.59,584.81,572.85,576.29,822372.0,473924759.88
2022-06-01,577.44,579.75,557.0,563.66,542293.0,305668872.38
2022-06-02,564.42,581.3199,562.82,580.54,669300.0,388555422.0
2022-06-03,567.16,569.85,560.89,563.65,530983.0,299288567.95
2022-06-06,579.61,583.46,569.43,571.69,432703.0,247371978.07
