timestamps,open,high,low,close,volume,amount
2021-05-28,7.35,7.39,7.11,7.22,1303041.0,9407956.02
2021-06-01,7.28,7.35,6.96,7.08,1608290.0,11386693.2
2021-06-02,7.08,7.5999,6.96,7.4,1639370.0,12131338.0
2021-06-03,7.45,8.22,7.2,8.09,2194200.0,17751078.0
2021-06-04,8.19,8.26,7.81,8.23,1512963.0,12451685.49
2021-06-07,8.15,8.15,7.71,8.02,2104147.0,16875258.939999998
2021-06-08,8.05,13.14,7.83,12.14,20956650.0,254413731.0
2021-06-09,12.4873,12.4873,10.105,10.62,7342398.0,77976266.75999999
2021-06-10,10.56,11.3,9.51,9.76,2932306.0,28619306.56
2021-06-11,9.91,10.2,9.62,10.16,1472547.0,14961077.52
2021-06-14,10.1663,10.25,9.55,9.8,2729873.0,26752755.4
2021-06-15,9.72,10.7,9.52,10.37,2437965.0,25281697.049999997
2021-06-16,10.55,12.32,10.15,11.03,13423824.0,148064778.72
2021-06-17,11.15,12.3,10.8,10.99,5841972.0,64203272.28
2021-06-18,10.65,11.0959,10.37,10.52,5470748.0,57552268.96
2021-06-21,10.5,10.52,9.53,9.68,2640067.0,25555848.56
2021-06-22,9.7,10.05,9.11,9.71,2387440.0,23182042.4
2021-06-23,9.78,9.7881,9.32,9.57,1182806.0,11319453.42
2021-06-24,9.64,10.1499,9.56,9.69,1715637.0,16624522.53
2021-06-25,10.09,10.8589,9.95,10.5,3495380.0,36701490.0
2021-06-28,10.82,10.9,10.0633,10.3,1741375.0,17936162.5
2021-06-29,10.25,10.29,9.8289,10.21,1188401.0,12133574.21
2021-06-30,13.0,15.48,12.51,12.94,44067058.0,570227730.52
2021-07-01,13.18,13.62,12.11,12.95,5527766.0,71584569.7
2021-07-02,13.15,14.29,12.94,13.13,4946610.0,64948989.3
2021-07-06,13.21,14.23,12.64,13.53,4425556.0,59877772.68
2021-07-07,13.32,13.4865,12.1134,12.56,3059609.0,38428689.04
2021-07-08,11.85,12.69,11.55,12.46,1629803.0,20307345.380000003
2021-07-09,12.59,12.85,12.05,12.76,1625977.0,20747466.52
2021-07-12,14.04,14.24,12.81,13.3,4519166.0,60104907.8
2021-07-13,13.02,13.2,12.25,12.47,2175529.0,27128846.630000003
2021-07-14,12.37,12.829,11.74,11.8,1721091.0,20308873.8
2021-07-15,11.8,11.8499,10.5801,10.65,3355501.0,35736085.65
2021-07-16,10.87,11.41,10.728,11.01,1540698.0,16963084.98
2021-07-19,10.5,11.09,10.13,10.75,1835514.0,19731775.5
2021-07-20,10.73,11.51,10.6501,11.4,902834.0,10292307.6
2021-07-21,11.45,11.98,11.39,11.61,881051.0,10229002.11
2021-07-22,11.59,12.06,11.19,11.72,1251538.0,14668025.36
2021-07-23,11.81,12.34,11.55,12.2,945842.0,11539272.4
2021-07-26,12.2,12.2399,11.57,11.74,727136.0,8536576.64
2021-07-27,11.74,11.74,10.88,11.1,835614.0,9275315.4
2021-07-28,11.04,11.26,10.635,10.87,1316249.0,14307626.63
2021-07-29,11.05,11.13,10.51,10.69,949828.0,10153661.32
2021-07-30,10.83,11.13,10.57,10.78,896936.0,9668970.08
2021-08-02,10.72,11.33,10.72,11.28,703915.0,7940161.199999999
2021-08-03,11.19,11.2,10.68,10.74,830805.0,8922845.7
2021-08-04,10.76,11.08,10.61,11.02,520264.0,5733309.279999999
2021-08-05,10.98,11.46,10.85,11.0,616348.0,6779828.0
2021-08-06,11.0,11.165,10.53,10.63,758521.0,8063078.23
2021-08-09,10.82,10.996,10.43,10.5,819848.0,8608404.0
2021-08-10,10.46,10.59,10.1601,10.43,995203.0,10379967.29
2021-08-11,10.49,10.5999,9.73,10.0,2180430.0,21804300.0
2021-08-12,9.98,10.0456,9.53,9.69,1452508.0,14074802.52
2021-08-13,9.6,10.1499,9.43,9.54,1103795.0,10530204.3
2021-08-16,9.5,9.6,9.04,9.08,1175418.0,10672795.44
2021-08-17,9.1,9.135,8.25,8.27,2585279.0,21380257.33
2021-08-18,8.2,9.0,8.02,8.54,1326125.0,11325107.499999998
2021-08-19,8.62,8.7497,8.03,8.13,1728809.0,14055217.170000002
2021-08-20,8.18,8.63,8.04,8.42,1001735.0,8434608.7
2021-08-23,8.79,9.63,8.51,9.26,1760122.0,16298729.72
2021-08-24,9.5574,9.5574,8.96,9.44,941206.0,8884984.639999999
2021-08-25,9.39,9.518,9.21,9.44,703752.0,6643418.88
2021-08-26,9.84,11.22,9.61,11.08,3846192.0,42615807.36
2021-08-27,11.13,11.17,10.16,10.99,2193879.0,24110730.21
2021-08-30,11.18,12.36,11.1,12.36,4018616.0,49670093.76
2021-08-31,12.275,12.66,11.58,12.35,2088909.0,25798026.15
2021-09-01,12.22,12.74,11.7,12.26,1548717.0,18987270.42
2021-09-02,12.27,12.99,12.25,12.38,1566563.0,19394049.94
2021-09-03,12.52,12.9108,12.06,12.36,1077401.0,13316676.36
2021-09-07,12.4459,12.58,11.7,11.73,1074623.0,12605327.79
2021-09-08,11.9,11.95,11.51,11.87,982932.0,11667402.84
2021-09-09,11.6,11.95,11.03,11.87,1239660.0,14714764.2
2021-09-10,11.89,12.27,11.59,11.67,1157803.0,13511561.01
2021-09-13,11.65,12.29,11.36,11.98,1039529.0,12453557.42
2021-09-14,11.89,12.43,11.33,11.33,1116265.0,12647282.45
2021-09-15,11.22,11.3141,10.83,11.13,1030820.0,11473026.6
2021-09-16,11.13,11.729,10.88,11.68,956348.0,11170144.64
2021-09-17,11.97,13.21,11.835,12.95,5811696.0,75261463.2
2021-09-20,12.15,12.55,10.9102,11.55,4331596.0,50029933.8
2021-09-21,11.71,11.96,11.12,11.38,1207737.0,13744047.06
2021-09-22,11.41,11.74,11.11,11.28,1146242.0,12929609.76
2021-09-23,11.26,12.03,11.11,11.93,1029068.0,12276781.24
2021-09-24,11.85,12.11,11.61,11.68,515352.0,6019311.359999999
2021-09-27,11.7,12.45,11.65,12.12,1139370.0,13809164.4
2021-09-28,11.9,12.15,11.31,11.37,968694.0,11014050.78
2021-09-29,11.46,11.84,10.96,11.06,1067800.0,11809868.0
2021-09-30,11.13,11.29,10.71,10.82,1519785.0,16444073.7
2021-10-01,10.9125,11.1,10.37,10.54,1199795.0,12645839.3
2021-10-04,10.28,10.7,10.02,10.41,1116908.0,11627012.28
2021-10-05,10.37,10.74,10.2689,10.43,657017.0,6852687.31
2021-10-06,10.15,10.42,10.03,10.2,829919.0,8465173.799999999
2021-10-07,10.4,10.73,10.31,10.38,596370.0,6190320.600000001
2021-10-08,10.3,10.46,9.98,10.06,1083520.0,10900211.2
2021-10-11,10.0,10.35,10.0,10.08,560570.0,5650545.6
2021-10-12,10.3,10.82,10.22,10.78,867336.0,9349882.08
2021-10-13,10.98,11.2216,10.62,10.87,810488.0,8810004.559999999
2021-10-14,11.03,11.03,10.5,10.64,569647.0,6061044.08
2021-10-15,10.64,10.779,10.2,10.21,661169.0,6750535.49
2021-10-18,10.24,10.46,10.14,10.35,545144.0,5642240.399999999
2021-10-19,10.44,10.66,10.31,10.34,557659.0,5766194.06
2021-10-20,10.45,10.58,10.27,10.5,1053569.0,11062474.5
2021-10-21,10.43,10.75,10.39,10.44,544316.0,5682659.04
2021-10-22,10.48,10.48,10.06,10.23,658613.0,6737610.99
2021-10-25,10.23,10.975,10.22,10.79,912651.0,9847504.29
2021-10-26,10.79,11.39,10.63,11.06,1229419.0,13597374.14
2021-10-27,11.13,11.5099,10.78,10.79,992311.0,10707035.69
2021-10-28,10.87,11.24,10.67,11.19,608902.0,6813613.38
2021-10-29,11.1,11.3,10.9512,11.19,565960.0,6333092.399999999
2021-11-01,11.28,11.95,11.24,11.73,844503.0,9906020.19
2021-11-02,11.77,11.89,11.5011,11.85,591211.0,7005850.35
2021-11-03,11.93,12.54,11.85,12.06,1123576.0,13550326.56
2021-11-04,12.09,12.5699,12.08,12.47,730860.0,9113824.2
2021-11-05,12.65,12.75,12.08,12.19,724922.0,8836799.18
2021-11-08,12.25,12.49,11.655,11.8,1057141.0,12474263.8
2021-11-09,11.78,12.82,11.68,12.48,1905865.0,23785195.2
2021-11-10,12.4,12.51,11.88,11.93,670999.0,8005018.069999999
2021-11-11,12.12,12.76,11.96,12.49,775372.0,9684396.28
2021-11-12,12.6,12.93,12.37,12.85,795974.0,10228265.9
2021-11-15,13.14,13.15,12.2284,12.52,1033356.0,12937617.12
2021-11-16,11.82,12.63,11.3576,12.47,1702552.0,21230823.44
2021-11-17,12.25,12.434,11.65,12.09,1091899.0,13201058.91
2021-11-18,12.075,12.15,11.33,11.86,1391180.0,16499394.8
