timestamps,open,high,low,close,volume,amount
2021-05-28,10.48,10.5715,10.12,10.18,409757.0,4171326.26
2021-06-01,10.27,10.505,10.18,10.38,245390.0,2547148.2
2021-06-02,10.4,11.0,10.3,10.52,812289.0,8545280.28
2021-06-03,10.4,10.4199,10.08,10.12,248625.0,2516085.0
2021-06-04,10.25,10.58,10.14,10.58,200044.0,2116465.52
2021-06-07,10.58,10.7028,10.3,10.46,386877.0,4046733.42
2021-06-08,10.6,10.7,10.28,10.65,206910.0,2203591.5
2021-06-09,10.64,10.79,10.23,10.25,327045.0,3352211.25
2021-06-10,10.31,10.42,10.13,10.18,238929.0,2432297.2199999997
2021-06-11,10.28,10.36,10.11,10.2,259624.0,2648164.8
2021-06-14,10.27,12.35,10.23,12.3,2791544.0,34335991.2
2021-06-15,12.0,12.189,11.6,11.68,701299.0,8191172.319999999
2021-06-16,11.7,11.86,11.4107,11.75,456348.0,5362089.0
2021-06-17,11.61,12.1907,11.5,11.64,444949.0,5179206.36
2021-06-18,11.45,11.7,11.08,11.1,1703396.0,18907695.6
2021-06-21,11.11,11.15,10.68,10.77,358903.0,3865385.31
2021-06-22,10.7,10.8,10.56,10.72,242458.0,2599149.76
2021-06-23,10.68,10.92,10.649,10.77,410461.0,4420664.97
2021-06-24,10.82,11.2962,10.81,11.27,238236.0,2684919.7199999997
2021-06-25,11.44,11.53,10.885,10.93,643317.0,7031454.81
2021-06-28,11.0,11.25,10.96,11.19,273919.0,3065153.61
2021-06-29,11.21,11.2499,11.0192,11.17,172153.0,1922949.01
2021-06-30,11.1,11.13,10.88,10.98,400159.0,4393745.82
2021-07-01,11.0,11.0,10.68,10.78,249057.0,2684834.46
2021-07-02,10.84,10.87,10.65,10.69,192768.0,2060689.92
2021-07-06,10.72,10.73,10.35,10.53,294097.0,3096841.4099999997
2021-07-07,10.56,10.68,10.11,10.17,291184.0,2961341.28
2021-07-08,9.88,10.2,9.76,10.08,298066.0,3004505.28
2021-07-09,10.21,10.47,10.04,10.4,189811.0,1974034.4
2021-07-12,10.45,10.54,10.26,10.5,193116.0,2027718.0
2021-07-13,10.4,10.49,10.19,10.22,163141.0,1667301.02
2021-07-14,10.36,10.42,9.82,9.87,291688.0,2878960.5599999996
2021-07-15,9.78,9.9199,9.45,9.6,251134.0,2410886.4
2021-07-16,9.76,9.845,9.33,9.37,216242.0,2026187.54
2021-07-19,9.28,9.33,8.93,9.19,234886.0,2158602.34
2021-07-20,9.19,9.66,8.99,9.5,273803.0,2601128.5
2021-07-21,9.62,10.22,9.61,10.17,291956.0,2969192.52
2021-07-22,10.15,10.31,9.79,9.84,234675.0,2309202.0
2021-07-23,9.82,9.85,9.59,9.82,209393.0,2056239.26
2021-07-26,9.82,10.07,9.79,9.82,273402.0,2684807.64
2021-07-27,9.43,9.69,9.03,9.29,342939.0,3185903.3099999996
2021-07-28,9.96,10.469,9.8,10.03,481887.0,4833326.609999999
2021-07-29,10.1,10.37,9.96,10.15,353883.0,3591912.45
2021-07-30,10.0,10.4695,10.0,10.2,308899.0,3150769.8
2021-08-02,10.3,10.52,10.04,10.05,277766.0,2791548.3000000003
2021-08-03,10.07,10.13,9.73,9.85,217567.0,2143034.9499999997
2021-08-04,9.75,9.91,9.5224,9.58,293645.0,2813119.1
2021-08-05,9.62,9.77,9.46,9.62,244416.0,2351281.92
2021-08-06,9.58,9.87,9.58,9.78,232328.0,2272167.84
2021-08-09,9.77,9.91,9.55,9.8,163894.0,1606161.2000000002
2021-08-10,9.81,10.41,9.54,10.35,562719.0,5824141.649999999
2021-08-11,10.38,10.44,10.02,10.25,444468.0,4555797.0
2021-08-12,10.17,10.17,9.68,9.76,199737.0,1949433.12
2021-08-13,9.66,9.78,9.54,9.59,165712.0,1589178.08
2021-08-16,9.48,9.5,9.12,9.18,401450.0,3685311.0
2021-08-17,9.03,9.03,8.57,8.69,404346.0,3513766.74
2021-08-18,8.7,9.03,8.66,8.75,288926.0,2528102.5
2021-08-19,8.6,8.7,8.47,8.5,168250.0,1430125.0
2021-08-20,8.44,8.675,8.44,8.61,210784.0,1814850.24
2021-08-23,8.76,9.12,8.76,9.1,222602.0,2025678.2
2021-08-24,9.34,9.34,9.06,9.27,139245.0,1290801.15
2021-08-25,9.26,9.49,9.13,9.17,386083.0,3540381.11
2021-08-26,9.14,9.28,8.99,9.13,200293.0,1828675.09
2021-08-27,9.13,9.43,9.13,9.33,373087.0,3480901.71
2021-08-30,9.38,9.42,9.2015,9.36,147545.0,1381021.2
2021-08-31,9.36,9.39,9.12,9.31,147642.0,1374547.02
2021-09-01,9.36,9.41,9.19,9.3,159028.0,1478960.4
2021-09-02,9.39,9.91,9.3,9.72,240851.0,2341071.72
2021-09-03,9.72,9.99,9.63,9.81,188797.0,1852098.57
2021-09-07,9.87,9.95,9.56,9.66,169317.0,1635602.22
2021-09-08,9.6,9.649,9.21,9.24,236969.0,2189593.56
2021-09-09,9.17,9.365,9.1,9.17,213909.0,1961545.53
2021-09-10,9.27,9.38,9.19,9.23,210487.0,1942795.01
2021-09-13,9.06,9.06,6.53,7.68,5074816.0,38974586.879999995
2021-09-14,7.825,8.2373,7.455,7.77,1402431.0,10896888.87
2021-09-15,7.68,7.76,7.26,7.66,1009710.0,7734378.600000001
2021-09-16,7.52,7.61,7.31,7.52,559658.0,4208628.16
2021-09-17,7.53,7.94,7.33,7.92,2954135.0,23396749.2
2021-09-20,7.68,7.7,7.36,7.5,689552.0,5171640.0
2021-09-21,7.64,8.08,7.55,7.85,1605820.0,12605687.0
2021-09-22,7.97,8.209,7.9095,8.16,396564.0,3235962.24
2021-09-23,8.23,8.78,8.18,8.7,737279.0,6414327.3
2021-09-24,8.56,8.7228,8.55,8.6,297568.0,2559084.8
2021-09-27,8.62,9.01,8.6,8.8,481729.0,4239215.2
2021-09-28,8.71,8.8,8.12,8.29,719721.0,5966487.09
2021-09-29,8.33,8.4,7.89,7.92,395707.0,3133999.44
2021-09-30,7.98,8.385,7.92,8.33,672826.0,5604640.58
2021-10-01,8.38,8.41,8.07,8.28,209045.0,1730892.6
2021-10-04,8.22,8.3,7.81,7.93,373042.0,2958223.06
2021-10-05,7.98,8.12,7.82,7.91,402910.0,3187018.1
2021-10-06,7.77,7.99,7.77,7.86,165071.0,1297458.06
2021-10-07,7.99,8.24,7.975,8.03,148823.0,1195048.69
2021-10-08,8.08,8.15,8.01,8.06,139254.0,1122387.24
2021-10-11,8.03,8.1834,7.98,8.0,199148.0,1593184.0
2021-10-12,8.04,8.12,7.93,8.05,118210.0,951590.5
2021-10-13,8.09,8.28,8.05,8.12,146681.0,1191049.72
2021-10-14,8.29,8.34,8.15,8.25,167787.0,1384242.75
2021-10-15,8.39,8.39,8.17,8.17,207298.0,1693624.66
2021-10-18,8.055,8.44,8.0015,8.38,252888.0,2119201.4400000004
2021-10-19,8.45,8.54,8.28,8.5,105792.0,899232.0
2021-10-20,8.43,8.66,8.38,8.57,129255.0,1107715.35
2021-10-21,8.49,8.75,8.44,8.66,215877.0,1869494.82
2021-10-22,8.6,8.7134,8.46,8.54,202246.0,1727180.84
2021-10-25,8.53,8.791,8.53,8.68,249215.0,2163186.1999999997
2021-10-26,8.8,8.8999,8.5,8.55,213179.0,1822680.45
2021-10-27,8.5,8.86,8.5,8.58,210002.0,1801817.16
2021-10-28,8.0135,8.08,7.03,7.88,1111837.0,8761275.56
2021-10-29,7.83,8.25,7.67,8.17,498108.0,4069542.36
2021-11-01,8.17,8.7,8.0801,8.51,275889.0,2347815.39
2021-11-02,8.43,8.63,8.32,8.55,186069.0,1590889.9500000002
2021-11-03,8.49,8.815,8.4002,8.75,174344.0,1525510.0
2021-11-04,8.922,9.3,8.87,9.17,532597.0,4883914.49
2021-11-05,9.27,9.6,9.07,9.22,310106.0,2859177.3200000003
2021-11-08,9.3,9.4486,9.25,9.32,183699.0,1712074.6800000002
2021-11-09,9.34,9.4,8.9,9.13,197774.0,1805676.62
2021-11-10,8.96,9.03,8.65,8.73,245406.0,2142394.38
2021-11-11,8.81,9.13,8.8,9.04,173225.0,1565953.9999999998
2021-11-12,9.08,9.1763,9.01,9.11,155296.0,1414746.5599999998
2021-11-15,9.235,9.33,9.0,9.17,232308.0,2130264.36
2021-11-16,9.08,9.14,8.96,8.99,205561.0,1847993.39
2021-11-17,9.02,9.05,8.72,8.79,179778.0,1580248.62
2021-11-18,8.89,9.16,8.6224,8.76,392547.0,3438711.7199999997
2021-11-19,8.69,8.9,8.69,8.81,131526.0,1158744.06
2021-11-22,8.9,9.15,8.67,8.67,265184.0,2299145.28
2021-11-23,8.62,8.88,8.49,8.69,160587.0,1395501.03
2021-11-24,8.55,8.75,8.4001,8.68,131473.0,1141185.64
2021-11-26,8.38,8.49,8.04,8.15,225309.0,1836268.35
2021-11-29,8.37,8.49,8.2116,8.27,129595.0,1071750.65
2021-11-30,8.16,8.4,7.913,8.22,222390.0,1828045.8
2021-12-01,8.43,8.715,7.99,8.03,292381.0,2347819.4299999997
2021-12-02,7.96,8.18,7.85,8.09,290393.0,2349279.37
2021-12-03,8.14,8.15,7.77,7.86,184015.0,1446357.9
2021-12-06,7.85,8.07,7.5911,7.95,187217.0,1488375.15
2021-12-07,8.16,8.665,8.15,8.49,208264.0,1768161.36
2021-12-08,8.47,8.63,8.29,8.55,77743.0,664702.65
2021-12-09,8.53,8.6717,8.44,8.54,277697.0,2371532.38
2021-12-10,8.65,8.79,8.14,8.29,156483.0,1297244.0699999998
2021-12-13,8.21,8.25,7.93,7.96,147306.0,1172555.76
2021-12-14,7.83,7.97,7.75,7.86,259222.0,2037484.92
2021-12-15,7.89,8.26,7.64,8.19,305060.0,2498441.4
2021-12-16,8.28,8.45,7.75,7.83,202043.0,1581996.69
