timestamps,open,high,low,close,volume,amount
2021-05-28,52.77,53.48,52.09,53.42,254074.0,13572633.08
2021-06-01,53.89,55.21,53.62,53.91,248381.0,13390219.71
2021-06-02,54.06,54.06,52.44,53.05,161134.0,8548158.7
2021-06-03,52.79,54.0,52.47,53.99,160742.0,8678460.58
2021-06-04,54.17,55.06,54.17,55.04,199725.0,10992864.0
2021-06-07,54.98,55.7,54.93,55.42,224097.0,12419455.74
2021-06-08,55.42,56.65,54.74,56.52,256245.0,14482967.4
2021-06-09,56.64,56.98,55.24,55.29,189023.0,10451081.67
2021-06-10,55.77,55.77,54.3395,54.45,163947.0,8926914.15
2021-06-11,54.6,54.79,54.12,54.69,91584.0,5008728.96
2021-06-14,54.57,55.0,54.35,54.99,182963.0,10061135.37
2021-06-15,55.33,55.55,54.84,55.44,198217.0,10989150.48
2021-06-16,55.32,55.75,54.735,55.43,156854.0,8694417.22
2021-06-17,55.07,55.18,52.66,52.92,143550.0,7596666.0
2021-06-18,52.16,52.34,51.04,51.05,416699.0,21272483.95
2021-06-21,51.74,52.49,51.5,52.16,128668.0,6711322.88
2021-06-22,52.16,52.16,51.05,51.74,108035.0,5589730.9
2021-06-23,51.78,52.34,51.34,51.74,120082.0,6213042.680000001
2021-06-24,52.18,52.89,51.58,52.84,115391.0,6097260.44
2021-06-25,53.06,53.5,52.09,52.09,466684.0,24309569.56
2021-06-28,51.84,51.84,50.84,51.25,140980.0,7225225.0
2021-06-29,51.5,51.5,50.64,50.8,128758.0,6540906.399999999
2021-06-30,50.41,51.8,50.33,51.25,187894.0,9629567.5
2021-07-01,51.64,51.88,51.09,51.65,101187.0,5226308.55
2021-07-02,51.76,51.76,50.87,51.04,144242.0,7362111.68
2021-07-06,51.03,51.03,49.015,49.91,143743.0,7174213.13
2021-07-07,49.7,50.51,49.24,49.75,135148.0,6723613.0
2021-07-08,48.58,49.69,47.8642,49.12,183197.0,8998636.639999999
2021-07-09,50.12,50.93,50.12,50.49,94632.0,4777969.680000001
2021-07-12,49.94,50.87,49.55,50.81,121600.0,6178496.0
2021-07-13,50.41,50.7,49.91,50.12,117091.0,5868600.92
2021-07-14,50.6,50.84,49.516,49.61,123741.0,6138791.01
2021-07-15,49.27,49.79,48.97,49.28,96164.0,4738961.92
2021-07-16,49.85,49.85,48.28,48.38,103835.0,5023537.3
2021-07-19,47.22,47.85,46.48,47.75,196027.0,9360289.25
2021-07-20,48.04,50.27,48.04,49.88,219830.0,10965120.4
2021-07-21,50.38,51.15,49.97,50.08,130663.0,6543603.04
2021-07-22,49.85,50.85,49.09,49.26,84031.0,4139367.06
2021-07-23,49.58,49.64,48.9607,49.56,50115.0,2483699.4
2021-07-26,49.82,50.4,49.4198,49.93,80362.0,4012474.66
2021-07-27,49.69,50.165,49.21,49.87,95130.0,4744133.1
2021-07-28,50.54,50.965,49.39,50.5,117099.0,5913499.5
2021-07-29,51.12,51.73,50.64,51.17,103746.0,5308682.82
2021-07-30,50.9,51.53,49.36,50.67,121032.0,6132691.44
2021-08-02,51.07,52.07,50.0,50.23,215951.0,10847218.73
2021-08-03,50.16,50.37,49.3,50.0,162348.0,8117400.0
2021-08-04,49.23,49.89,48.37,48.43,95276.0,4614216.68
2021-08-05,48.52,49.65,48.52,49.24,59508.0,2930173.92
2021-08-06,49.74,50.44,49.6501,49.87,86261.0,4301836.069999999
2021-08-09,49.69,49.69,48.62,48.67,51227.0,2493218.0900000003
2021-08-10,48.77,49.125,48.66,49.09,116374.0,5712799.66
2021-08-11,49.27,49.88,48.92,49.86,111046.0,5536753.56
2021-08-12,49.98,50.27,49.34,49.84,154532.0,7701874.880000001
2021-08-13,50.01,50.34,49.28,50.33,102319.0,5149715.27
2021-08-16,50.16,50.3225,49.28,49.6,179230.0,8889808.0
2021-08-17,48.96,48.96,47.504,47.98,161949.0,7770313.02
2021-08-18,47.73,48.23,47.16,47.35,181007.0,8570681.450000001
