timestamps,open,high,low,close,volume,amount
2021-05-28,247.475,248.98,245.37,247.02,11371339.0,2808948159.78
2021-06-01,253.0,255.64,251.52,254.73,13719003.0,3494641634.19
2021-06-02,255.6,258.3957,254.62,255.62,10908757.0,2788496464.34
2021-06-03,252.98,254.8,249.69,250.32,10503099.0,2629135741.68
2021-06-04,251.51,251.7999,248.49,249.92,8874825.0,2217996264.0
2021-06-07,251.5,253.1999,248.81,252.66,10667782.0,2695321800.12
2021-06-08,256.26,256.31,250.0,252.76,15206826.0,3843677339.76
2021-06-09,251.2,253.17,247.91,248.06,10765698.0,2670539045.88
2021-06-10,251.72,255.14,248.1,248.34,14602277.0,3626329470.18
2021-06-11,250.35,251.12,245.78,247.28,10008588.0,2474923640.64
2021-06-14,246.44,249.2,244.4,245.14,9408712.0,2306451659.68
2021-06-15,245.36,248.51,244.94,246.54,10701133.0,2638257329.8199997
2021-06-16,245.25,246.0601,241.55,242.27,10608032.0,2570007912.6400003
2021-06-17,241.96,243.5,237.33,239.22,10861264.0,2598231574.08
2021-06-18,237.79,239.31,235.8,237.35,12487054.0,2963802266.9
2021-06-21,238.66,245.62,237.25,245.28,15397255.0,3776638706.4
2021-06-22,244.5,244.63,241.08,243.78,10117711.0,2466495587.58
2021-06-23,244.8,246.87,243.17,243.57,9931118.0,2418922411.26
2021-06-24,245.2,250.74,243.7,250.57,13754952.0,3446578322.64
2021-06-25,250.75,252.3,248.25,248.38,9709562.0,2411661009.56
2021-06-28,244.73,245.08,238.88,239.96,18298539.0,4390917418.440001
2021-06-29,243.74,244.37,235.66,235.76,16921811.0,3989486161.36
2021-06-30,236.24,241.17,236.0,239.56,12205033.0,2923837705.48
2021-07-01,240.36,241.8,238.61,239.73,9605790.0,2302796036.7
2021-07-02,239.55,240.1073,233.47,236.68,15787049.0,3736478757.32
2021-07-06,236.85,237.1727,233.47,236.14,11172869.0,2638361285.66
2021-07-07,235.17,238.01,230.5201,231.78,11564126.0,2680333124.28
2021-07-08,227.48,237.47,226.16,236.77,18119322.0,4290111869.94
2021-07-09,237.77,240.38,236.22,239.59,12493972.0,2993430751.48
2021-07-12,237.99,240.77,236.4626,238.29,9147934.0,2179861192.86
2021-07-13,232.27,234.49,228.16,228.2,21139933.0,4824132710.599999
2021-07-14,229.02,230.515,224.3,224.45,12240071.0,2747283935.95
2021-07-15,222.88,226.666,220.8,222.76,11945159.0,2660903618.8399997
2021-07-16,223.11,224.0,217.0338,217.74,12514809.0,2724974511.6600003
2021-07-19,211.18,211.55,204.8,206.99,24319852.0,5033966165.4800005
2021-07-20,208.1,217.3699,206.62,217.15,17092573.0,3711652226.95
2021-07-21,219.5,224.09,218.9,222.54,11543623.0,2568917862.42
2021-07-22,221.52,222.25,218.31,220.87,9629666.0,2126904329.42
2021-07-23,222.97,224.63,220.94,221.52,8641025.0,1914159858.0
2021-07-26,220.0,226.1209,219.89,225.85,9036442.0,2040880425.7
2021-07-27,223.17,225.7,220.42,222.27,8796297.0,1955152934.19
2021-07-28,234.05,237.49,231.3301,231.57,19434368.0,4500416597.76
2021-07-29,233.69,234.8199,231.12,231.63,8667869.0,2007738496.47
