timestamps,open,high,low,close,volume,amount
2021-05-28,212.76,214.53,212.06,213.96,10617181.0,2271652046.76
2021-06-01,223.02,223.13,218.24,219.48,23624457.0,5185095822.36
2021-06-02,219.43,219.94,217.46,219.59,13243211.0,2908076703.49
2021-06-03,218.0,218.7,216.305,217.04,12604800.0,2735745792.0
2021-06-04,218.28,219.08,217.14,219.02,9182206.0,2011086758.12
2021-06-07,218.0,218.4,215.69,216.9,10076294.0,2185548168.6
2021-06-08,217.29,218.23,214.74,215.82,9621922.0,2076603206.04
2021-06-09,215.21,216.57,213.31,213.32,10349439.0,2207742327.48
2021-06-10,213.5,214.8,212.21,213.07,10886687.0,2319626399.09
2021-06-11,213.45,213.46,211.0,211.64,12465068.0,2638106991.52
2021-06-14,212.25,215.165,212.2435,213.94,10916837.0,2335548107.78
2021-06-15,214.17,214.49,209.64,210.06,12353695.0,2595017171.7
2021-06-16,209.75,211.62,208.2256,209.32,11066332.0,2316404614.24
2021-06-17,209.9,212.49,209.77,211.6,11342651.0,2400104951.6
2021-06-18,212.01,213.84,210.59,212.3,13770843.0,2923549968.9
2021-06-21,210.55,211.78,208.99,211.06,9148059.0,1930789332.54
2021-06-22,210.42,211.66,209.86,211.32,11218512.0,2370695955.84
2021-06-23,214.19,216.33,213.13,214.86,14002085.0,3008487983.1000004
2021-06-24,216.99,219.58,215.56,218.38,13648562.0,2980572969.56
2021-06-25,221.71,230.25,221.1,228.5,27640318.0,6315812663.0
2021-06-28,229.5,230.89,226.72,228.59,13827766.0,3160889029.94
2021-06-29,226.7,229.64,225.602,229.44,10378893.0,2381333209.92
2021-06-30,226.99,227.98,225.68,226.78,9532744.0,2161835684.32
2021-07-01,228.07,228.85,221.55,221.87,13460947.0,2986580310.89
2021-07-02,219.16,219.5,216.46,217.75,13195784.0,2873381966.0
2021-07-06,215.32,215.4,209.3733,211.6,24019901.0,5082611051.599999
2021-07-07,211.61,212.05,207.82,208.0,18593534.0,3867455072.0
2021-07-08,201.71,202.28,198.26,199.85,34346711.0,6864190193.349999
2021-07-09,202.05,207.268,201.5,205.94,17165664.0,3535096844.16
2021-07-12,203.9,206.455,203.02,205.48,11498477.0,2362707053.96
2021-07-13,209.23,212.81,208.19,209.51,17571002.0,3681300629.02
2021-07-14,215.5,216.35,211.03,211.5,19574296.0,4139963604.0
2021-07-15,215.11,216.6,213.1606,214.76,14514418.0,3117116409.68
2021-07-16,214.85,215.2,211.46,212.1,11216350.0,2378987835.0
2021-07-19,206.1,209.08,203.24,208.91,16104658.0,3364424102.7799997
2021-07-20,209.0,211.5,207.4668,210.59,10032854.0,2112818723.86
2021-07-21,209.15,211.85,208.42,211.08,7769207.0,1639924213.5600002
2021-07-22,212.64,216.39,212.6,214.04,10540809.0,2256154758.36
2021-07-23,206.29,206.89,203.56,206.53,25838364.0,5336397316.92
2021-07-26,198.37,198.575,190.88,191.76,56293546.0,10794850380.96
2021-07-27,183.59,186.9,179.6701,186.07,60219059.0,11204960308.13
2021-07-28,190.23,198.0,189.76,196.01,34898210.0,6840398142.099999
2021-07-29,201.045,201.14,194.91,197.54,23363233.0,4615173046.82
2021-07-30,190.58,196.045,190.49,195.19,17250595.0,3367143638.05
2021-08-02,196.27,202.07,196.25,200.09,17844369.0,3570479793.21
2021-08-03,195.01,197.44,192.0,197.38,20087916.0,3964952860.08
2021-08-04,197.49,203.275,196.91,200.71,22323031.0,4480455552.01
2021-08-05,199.27,200.29,197.64,199.28,9881409.0,1969167185.52
2021-08-06,199.25,199.32,195.68,196.39,11967719.0,2350340334.41
2021-08-09,194.58,195.5,192.82,195.25,14640158.0,2858490849.5
2021-08-10,197.27,198.45,195.0727,195.73,9283680.0,1817094686.4
2021-08-11,196.6,196.92,194.73,194.86,8980245.0,1749890540.7
2021-08-12,191.17,192.98,189.685,191.66,12885440.0,2469623430.4
2021-08-13,188.61,189.26,186.71,188.62,15376980.0,2900405967.6
2021-08-16,185.0,186.26,181.51,182.71,21028957.0,3842200733.47
2021-08-17,175.92,177.89,173.15,173.73,40491975.0,7034670816.75
2021-08-18,174.1,175.36,172.11,172.35,34322132.0,5915419450.2
2021-08-19,166.7,167.2644,159.51,160.55,66639453.0,10698964179.150002
2021-08-20,164.12,166.93,155.5,157.96,75948193.0,11996776566.28
2021-08-23,159.28,161.47,152.8,161.06,88499153.0,14253673582.18
2021-08-24,169.04,174.1515,168.1575,171.7,62390404.0,10712432366.8
2021-08-25,168.7,169.61,166.08,169.1,26032512.0,4402097779.2
2021-08-26,167.46,168.45,164.82,165.24,18791499.0,3105107294.76
2021-08-27,159.99,161.7699,158.55,159.47,31693950.0,5054234206.5
2021-08-30,160.17,163.29,158.23,162.29,23769393.0,3857534789.97
2021-08-31,167.7,169.0,166.14,166.99,24629105.0,4112814243.95
2021-09-01,169.56,174.79,169.33,173.28,29550195.0,5120457789.6
2021-09-02,178.01,178.18,171.67,172.0,29374892.0,5052481424.0
2021-09-03,169.525,172.06,168.88,170.3,16430499.0,2798113979.7000003
2021-09-07,174.15,176.84,173.37,175.16,25054638.0,4388570392.08
2021-09-08,174.25,174.37,169.26,170.71,18993031.0,3242300322.01
2021-09-09,167.3,169.04,165.58,167.32,17295795.0,2893932419.4
2021-09-10,171.2,171.64,167.61,168.1,15064274.0,2532304459.4
2021-09-13,164.49,166.8623,163.02,165.41,15745798.0,2604512447.18
2021-09-14,162.86,163.069,159.48,160.15,21091408.0,3377788991.2000003
2021-09-15,157.95,158.03,153.92,157.86,32016429.0,5054113481.940001
2021-09-16,154.92,157.6388,153.67,156.26,24358936.0,3806327339.36
2021-09-17,158.48,160.38,158.09,160.05,25543294.0,4088204204.7
2021-09-20,154.4,155.14,149.09,151.49,36177471.0,5480525081.79
2021-09-21,151.58,152.58,149.571,150.18,19474706.0,2924711347.08
2021-09-22,151.47,154.0,151.02,151.89,19832038.0,3012288251.8199997
2021-09-23,152.58,152.68,149.61,151.19,24177475.0,3655392445.25
2021-09-24,147.71,148.0,144.57,145.08,32030559.0,4646993499.72
2021-09-27,144.92,150.99,144.44,150.18,24287443.0,3647488189.74
2021-09-28,152.16,153.73,148.86,152.39,26295730.0,4007206294.7
2021-09-29,150.46,152.1,147.48,147.58,17360850.0,2562114243.0
2021-09-30,147.03,149.58,146.8644,148.05,14551780.0,2154391029.0
2021-10-01,147.09,148.45,143.34,144.2,19917753.0,2872139982.6
2021-10-04,141.7,141.9,138.43,139.63,25218515.0,3521261249.45
2021-10-05,139.38,143.83,139.19,143.14,14032088.0,2008553076.3199997
2021-10-06,140.56,144.892,139.96,144.1,14825904.0,2136412766.4
2021-10-07,151.05,158.29,150.75,156.0,45964862.0,7170518472.0
2021-10-08,159.86,162.78,157.91,161.52,34086833.0,5505705266.160001
2021-10-11,169.61,169.8,163.95,163.95,42163575.0,6912718121.249999
2021-10-12,163.825,165.73,162.24,163.0,24512652.0,3995562276.0
2021-10-13,164.38,168.265,163.6,167.4,18595001.0,3112803167.4
2021-10-14,168.26,168.99,164.46,166.78,17403731.0,2902594256.18
2021-10-15,166.99,169.8,165.435,168.0,20762753.0,3488142504.0
2021-10-18,166.58,169.25,166.58,166.82,18945873.0,3160550533.8599997
