timestamps,open,high,low,close,volume,amount
2021-05-28,24.34,24.81,23.93,24.17,2187735.0,52877554.95
2021-06-01,24.81,24.83,23.61,24.44,1939531.0,47402137.64
2021-06-02,24.48,24.6699,23.81,24.66,2313064.0,57040158.24
2021-06-03,24.71,25.4,24.3,24.73,3573413.0,88370503.49
2021-06-04,24.53,25.425,24.46,24.59,2232617.0,54900052.03
2021-06-07,24.27,25.99,23.85,25.63,2482140.0,63617248.2
2021-06-08,26.01,26.72,25.58,26.46,2211877.0,58526265.42
2021-06-09,26.72,26.98,25.31,25.36,2259760.0,57307513.6
2021-06-10,24.96,25.67,24.77,25.12,2444347.0,61401996.64
2021-06-11,25.36,25.91,25.2,25.54,1407069.0,35936542.26
2021-06-14,25.56,25.97,25.02,25.27,1754103.0,44326182.81
2021-06-15,25.21,25.56,24.17,24.29,2033273.0,49388201.17
2021-06-16,24.17,24.47,23.52,24.23,2776741.0,67280434.43
2021-06-17,24.0,25.29,24.0,24.89,2198117.0,54711132.13
2021-06-18,24.34,25.11,24.22,24.65,2432771.0,59967805.15
2021-06-21,24.71,25.55,24.115,25.44,2862158.0,72813299.52000001
2021-06-22,25.5,27.0,25.28,26.52,2854937.0,75712929.24
2021-06-23,26.38,28.04,26.13,27.85,3534575.0,98437913.75
2021-06-24,28.35,28.44,27.27,27.42,2597131.0,71213332.02000001
2021-06-25,27.9,28.14,27.24,27.38,7847071.0,214852803.98
2021-06-28,27.39,28.49,27.35,28.39,2067311.0,58690959.29
2021-06-29,28.65,28.99,27.03,27.15,2992883.0,81256773.45
2021-06-30,27.25,27.42,26.61,26.87,2244380.0,60306490.6
2021-07-01,27.01,27.21,26.0,26.62,1842671.0,49051902.02
2021-07-02,26.49,26.78,25.8357,26.35,1398476.0,36849842.6
2021-07-06,26.38,26.72,25.64,25.99,2177224.0,56586051.76
2021-07-07,26.02,26.1,23.51,23.52,4225667.0,99387687.84
2021-07-08,22.72,23.5,22.31,23.21,2312435.0,53671616.35
2021-07-09,23.45,23.53,22.82,23.11,1584168.0,36610122.48
2021-07-12,23.31,23.49,22.42,22.81,2086985.0,47604127.849999994
2021-07-13,22.45,22.7278,21.96,22.05,2220690.0,48966214.5
2021-07-14,22.44,22.54,20.95,21.09,3110274.0,65595678.66
2021-07-15,20.95,21.73,20.11,20.64,3405483.0,70289169.12
2021-07-16,20.76,20.86,20.03,20.24,2144413.0,43402919.12
2021-07-19,19.71,20.72,19.47,20.26,2907479.0,58905524.54000001
2021-07-20,20.24,21.17,19.75,20.88,2297195.0,47965431.599999994
2021-07-21,21.5,22.69,21.44,22.55,3134072.0,70673323.60000001
2021-07-22,22.42,22.64,21.68,21.81,1925754.0,42000694.739999995
2021-07-23,21.9,21.91,20.9001,21.49,2055204.0,44166333.95999999
2021-07-26,21.38,21.87,20.86,21.16,1628768.0,34464730.88
2021-07-27,21.06,21.11,20.01,20.77,2241391.0,46553691.07
2021-07-28,21.11,22.46,20.68,22.1,2352840.0,51997764.0
2021-07-29,22.44,22.46,21.5105,21.65,1567249.0,33930940.85
2021-07-30,21.33,22.16,21.28,21.8,1719924.0,37494343.2
2021-08-02,22.0,22.27,21.31,21.34,1493961.0,31881127.74
2021-08-03,21.38,21.48,20.82,21.43,1718122.0,36819354.46
2021-08-04,21.5,21.51,20.43,20.62,3212142.0,66234368.04000001
2021-08-05,19.96,21.43,19.57,21.34,4208969.0,89819398.46
2021-08-06,21.84,22.38,21.52,21.68,2756544.0,59761873.92
2021-08-09,21.55,23.6655,21.55,23.1,2324906.0,53705328.6
2021-08-10,23.77,24.2327,22.89,23.11,2757158.0,63717921.379999995
2021-08-11,23.13,23.245,21.48,21.97,2222547.0,48829357.59
2021-08-12,22.02,22.39,21.41,22.32,1860845.0,41534060.4
2021-08-13,22.24,22.25,21.09,21.24,1524010.0,32369972.4
2021-08-16,20.94,21.04,20.225,20.26,2312651.0,46854309.260000005
2021-08-17,20.08,20.71,19.75,20.31,1976078.0,40134144.18
2021-08-18,20.4,21.0,19.91,20.45,1864003.0,38118861.35
2021-08-19,20.01,20.3,19.362,19.56,2035208.0,39808668.48
2021-08-20,19.5,20.14,19.45,20.0,1593924.0,31878480.0
2021-08-23,20.09,21.0,20.0801,20.79,1771710.0,36833850.9
2021-08-24,21.0,21.28,20.58,21.22,2000363.0,42447702.86
2021-08-25,21.28,21.71,20.82,21.28,1429305.0,30415610.4
2021-08-26,21.11,21.88,20.95,21.03,1079747.0,22707079.41
2021-08-27,21.04,22.03,20.88,21.42,1603551.0,34348062.42
2021-08-30,21.52,21.69,20.96,21.47,1512940.0,32482821.799999997
2021-08-31,21.69,22.05,21.26,21.42,1800776.0,38572621.92
2021-09-01,21.5,22.03,21.41,21.9,1692398.0,37063516.2
2021-09-02,22.03,22.78,21.91,22.02,1632635.0,35950622.7
2021-09-03,21.95,22.36,21.71,21.89,1236632.0,27069874.48
2021-09-07,21.98,22.535,21.5,21.5,1622461.0,34882911.5
2021-09-08,21.5,21.51,20.4,20.52,1974049.0,40507485.48
2021-09-09,20.44,21.11,20.23,20.28,1751544.0,35521312.32
