timestamps,open,high,low,close,volume,amount
2021-05-28,91.48,91.49,91.48,91.49,952886.0,87179540.14
2021-06-01,91.48,91.49,91.48,91.48,1131842.0,103540906.16
2021-06-02,91.49,91.49,91.48,91.48,1761153.0,161110276.44
2021-06-03,91.48,91.49,91.48,91.48,523814.0,47918504.72
2021-06-04,91.48,91.49,91.48,91.49,971326.0,88866615.74
2021-06-07,91.48,91.49,91.47,91.47,994048.0,90925570.56
2021-06-08,91.47,91.48,91.47,91.47,836969.0,76557554.42999999
2021-06-09,91.48,91.48,91.47,91.47,1131036.0,103455862.92
2021-06-10,91.47,91.48,91.47,91.47,914517.0,83650869.99
2021-06-11,91.47,91.48,91.47,91.48,748693.0,68490435.64
2021-06-14,91.47,91.48,91.47,91.47,446429.0,40834860.63
2021-06-15,91.47,91.48,91.47,91.47,1018452.0,93157804.44
2021-06-16,91.47,91.48,91.47,91.48,580804.0,53131949.92
2021-06-17,91.48,91.48,91.47,91.47,1467622.0,134243384.34
2021-06-18,91.47,91.48,91.47,91.48,891238.0,81530452.24000001
2021-06-21,91.48,91.48,91.47,91.47,851709.0,77905822.23
2021-06-22,91.47,91.48,91.47,91.47,394902.0,36121685.94
2021-06-23,91.47,91.48,91.47,91.47,666261.0,60942893.67
2021-06-24,91.47,91.48,91.47,91.48,928732.0,84960403.36
2021-06-25,91.47,91.48,91.47,91.48,1282419.0,117315690.12
2021-06-28,91.48,91.48,91.47,91.47,612828.0,56055377.16
2021-06-29,91.47,91.48,91.47,91.47,892356.0,81623803.32
2021-06-30,91.48,91.48,91.47,91.47,565434.0,51720247.98
2021-07-01,91.47,91.48,91.47,91.48,596202.0,54540558.96
2021-07-02,91.47,91.47,91.46,91.47,646256.0,59113036.32
2021-07-06,91.46,91.47,91.46,91.46,659957.0,60359667.22
2021-07-07,91.46,91.47,91.46,91.46,827319.0,75666595.74
2021-07-08,91.46,91.47,91.46,91.47,938840.0,85875694.8
2021-07-09,91.47,91.47,91.46,91.47,637370.0,58300233.9
2021-07-12,91.46,91.47,91.46,91.47,723811.0,66206992.17
2021-07-13,91.46,91.47,91.46,91.47,1055492.0,96545853.24
2021-07-14,91.46,91.47,91.46,91.46,591104.0,54062371.84
2021-07-15,91.46,91.47,91.46,91.47,981971.0,89820887.37
2021-07-16,91.46,91.47,91.46,91.47,628415.0,57481120.05
2021-07-19,91.46,91.47,91.46,91.46,2769084.0,253260422.64
2021-07-20,91.46,91.47,91.46,91.46,1771126.0,161987183.95999998
2021-07-21,91.46,91.47,91.46,91.46,1134014.0,103716920.44
2021-07-22,91.46,91.47,91.46,91.47,698567.0,63897923.49
2021-07-23,91.46,91.47,91.46,91.46,1085871.0,99313761.66
2021-07-26,91.46,91.47,91.46,91.47,728408.0,66627479.76
