timestamps,open,high,low,close,volume,amount
2021-10-19,40.88,42.15,40.07,41.94,24417166.0,1024055942.04
2021-10-20,42.22,43.95,42.1,43.28,29871893.0,1292855529.04
2021-10-21,42.65,42.79,40.41,40.83,20499692.0,837002424.36
2021-10-22,41.26,41.3029,38.9,39.51,11914389.0,470737509.39
2021-10-25,40.91,41.309,40.53,40.58,7510415.0,304772640.7
2021-10-26,40.45,40.65,39.99,40.06,6142350.0,246062541.0
2021-10-27,38.07,38.345,37.5,38.06,6526984.0,248417011.04
2021-10-28,39.69,39.8825,37.34,39.57,6976595.0,276063864.15
2021-10-29,39.44,40.72,39.345,40.39,7049009.0,284709473.51
2021-11-01,39.88,40.05,38.62,39.53,6042058.0,238842552.74
2021-11-02,40.75,41.42,40.57,40.98,6106359.0,250238591.82
2021-11-03,40.17,40.76,39.11,40.4,5159969.0,208462747.6
2021-11-04,39.825,40.2,38.96,39.3,4282300.0,168294390.0
2021-11-05,39.61,39.85,39.02,39.26,3021953.0,118641874.78
2021-11-08,42.15,42.92,41.97,42.56,8171796.0,347791637.76
2021-11-09,43.69,43.85,42.55,43.32,7763013.0,336293723.16
2021-11-10,43.92,44.29,41.84,42.31,9954233.0,421163598.23
2021-11-11,41.57,42.135,41.45,41.62,3247204.0,135148630.48
2021-11-12,40.88,41.29,39.95,41.12,7672645.0,315499162.4
2021-11-15,41.79,41.86,40.73,40.89,6204297.0,253693704.33
2021-11-16,38.92,39.36,37.91,38.22,8119286.0,310319110.92
2021-11-17,38.64,38.89,38.0255,38.69,7245815.0,280340582.34999996
2021-11-18,37.81,38.0,36.26,37.11,11930404.0,442737292.44
2021-11-19,36.9997,37.39,36.91,37.01,6327928.0,234196615.28
2021-11-22,37.345,37.47,35.61,35.69,10940492.0,390466159.48
2021-11-23,36.48,37.05,36.21,37.01,6329618.0,234259162.18
2021-11-24,35.83,36.7,35.72,36.69,5460241.0,200336242.29
2021-11-26,34.8,34.88,34.3199,34.44,5211562.0,179486195.28
2021-11-29,36.5,37.5867,36.2101,37.07,6689975.0,247997373.25
