timestamps,open,high,low,close,volume,amount
2021-05-28,93.5936,94.7124,92.6192,94.462,5808650.0,548696696.3000001
2021-06-01,95.2,95.2116,92.642,93.1312,7903175.0,736032171.5600001
2021-06-02,93.588,94.26,92.4284,92.7168,7317925.0,678494588.6400001
2021-06-03,91.7368,93.082,90.48,91.8324,7083025.0,650451185.01
2021-06-04,92.1912,93.1384,92.1696,92.6276,4342250.0,402212196.1
2021-06-07,92.7932,93.6448,91.6624,91.9408,4971175.0,457053806.44
2021-06-08,92.0168,92.7806,91.6072,92.1496,5849175.0,538999136.58
2021-06-09,92.0,93.2136,91.7904,92.5624,6660300.0,616493352.72
2021-06-10,92.2932,93.15,91.3148,92.978,6734900.0,626197532.1999999
2021-06-11,92.556,93.1172,91.7368,92.1748,7294550.0,672373687.34
2021-06-14,92.4748,92.6268,91.634,92.2016,4755500.0,438464708.8
2021-06-15,92.0948,93.32,91.3528,92.0784,5302300.0,488227300.32
2021-06-16,92.4808,92.774,91.3872,91.9292,4200550.0,386153201.06
2021-06-17,91.8456,92.7596,91.498,91.76,6194375.0,568395850.0
2021-06-18,91.3236,91.9608,89.2208,89.7044,12074025.0,1083093168.21
2021-06-21,90.1556,91.0684,89.2492,90.5228,5076525.0,459541257.27
2021-06-22,90.7156,91.066,89.56,90.036,5359275.0,482527683.9
2021-06-23,90.0416,90.4412,89.3092,89.8512,4054400.0,364292705.28
2021-06-24,90.7076,90.7188,89.382,89.8492,5306775.0,476809488.33
2021-06-25,90.316,91.9752,89.8584,91.2664,8431300.0,769494398.32
2021-06-28,89.99,90.4,86.8642,88.182,15310600.0,1350119329.2
2021-06-29,87.6928,87.8748,86.636,86.8876,12942825.0,1124571001.47
2021-06-30,87.1416,88.8,87.0,87.5236,10370650.0,907676622.34
2021-07-01,87.7868,88.96,87.7868,88.4008,6129650.0,541865963.72
2021-07-02,88.8052,89.8636,88.612,89.5556,6081875.0,544665964.75
2021-07-06,89.3504,89.7268,88.7184,88.8928,7554850.0,671571770.0799999
2021-07-07,88.9968,89.098,86.1212,86.6708,6831550.0,592095903.74
2021-07-08,86.006,87.3836,85.0512,86.5568,7490025.0,648312595.92
2021-07-09,87.1752,88.2136,86.4178,87.7996,7406000.0,650243837.6
2021-07-12,87.2824,88.2472,86.66,88.16,7556825.0,666209692.0
2021-07-13,88.176,89.1496,87.4324,87.5376,9875500.0,864477568.8
2021-07-14,88.2408,88.724,87.0356,87.0648,5287500.0,460355130.0
2021-07-15,86.92,87.3324,85.82,86.7756,6796275.0,589750840.89
2021-07-16,87.3556,87.4592,85.588,85.7888,4696075.0,402870638.96
2021-07-19,84.0684,84.8668,82.3472,82.702,11419075.0,944380340.65
2021-07-20,82.702,85.658,82.143,85.2172,7849625.0,668923063.5500001
2021-07-21,85.7476,87.9418,85.7476,87.7612,6764125.0,593627726.95
2021-07-22,87.6616,88.185,86.8,87.7764,6219525.0,545927514.2099999
2021-07-23,87.722,88.5672,87.2984,88.1028,5384000.0,474345475.2
2021-07-26,88.1552,89.4436,87.9778,89.228,6280325.0,560380839.1
2021-07-27,89.1072,89.988,88.1248,89.8476,7788850.0,699809479.26
