timestamps,open,high,low,close,volume,amount
2021-05-28,879.24,880.0,874.535,877.04,441182.0,386934261.28
2021-06-01,887.9,889.99,876.01,876.91,411291.0,360665190.81
2021-06-02,878.48,887.945,876.81,887.42,550828.0,488815783.76
2021-06-03,880.0,888.4,873.4,881.01,437316.0,385279769.16
2021-06-04,883.91,887.0,877.84,886.85,652906.0,579029686.1
2021-06-07,888.66,890.0,879.47,884.96,406620.0,359842435.2
2021-06-08,884.3,886.53,878.09,884.52,311020.0,275103410.4
2021-06-09,885.5,886.46,869.84,870.94,468763.0,408264447.22
2021-06-10,879.74,880.53,867.34,867.44,429251.0,372349487.44
2021-06-11,874.68,880.93,873.0,880.66,449764.0,396089164.24
2021-06-14,881.0,881.695,873.515,876.78,372686.0,326763631.08
2021-06-15,878.65,884.89,872.0379,881.01,449028.0,395598158.28
2021-06-16,880.0,880.0,862.92,869.35,603749.0,524869193.15
2021-06-17,870.0,874.1621,861.24,868.82,574410.0,499058896.2000001
2021-06-18,850.92,856.87,839.01,840.78,1177675.0,990165586.5
2021-06-21,849.0,862.3,846.97,861.26,586642.0,505251288.92
2021-06-22,861.56,869.43,856.745,864.76,675983.0,584563059.08
2021-06-23,866.48,868.7,863.47,865.42,575314.0,497888241.88
2021-06-24,872.45,873.98,861.05,867.34,670744.0,581763100.96
2021-06-25,871.8,877.25,868.66,874.03,752428.0,657644644.84
2021-06-28,875.97,880.68,868.02,878.74,379961.0,333886929.14
2021-06-29,880.93,886.99,871.31,873.53,748899.0,654185743.47
2021-06-30,871.0,877.155,869.46,874.97,581298.0,508618311.06
2021-07-01,877.07,879.75,872.19,879.23,431922.0,379758780.06
2021-07-02,882.02,894.8899,880.8417,893.63,434488.0,388271511.44
2021-07-06,895.0,895.66,886.03,892.68,539259.0,481385724.11999995
2021-07-07,889.93,902.72,889.93,900.94,475552.0,428443818.88000005
2021-07-08,888.68,888.68,872.726,876.5,639046.0,560123819.0
2021-07-09,890.53,901.9,888.7147,901.31,774263.0,697850984.53
2021-07-12,901.31,920.31,899.57,915.92,870488.0,797297368.9599999
2021-07-13,918.0,918.0,905.07,908.07,596777.0,541915290.39
2021-07-14,885.03,893.99,869.99,880.32,1003865.0,883722436.8000001
2021-07-15,876.12,889.47,875.28,880.0,630069.0,554460720.0
2021-07-16,882.9,883.16,873.0,875.02,999787.0,874833620.74
2021-07-19,857.64,863.59,839.69,845.16,957152.0,808946584.3199999
2021-07-20,847.47,881.31,845.0,878.84,910475.0,800161849.0
2021-07-21,882.9,892.62,882.202,882.68,455254.0,401843600.72
2021-07-22,883.78,884.97,866.27,866.86,609936.0,528729120.96
2021-07-23,871.33,878.08,867.79,868.95,535476.0,465301870.2000001
2021-07-26,867.73,875.74,866.94,871.49,423268.0,368873829.32
2021-07-27,865.63,869.7818,857.82,861.88,483529.0,416743974.52
2021-07-28,861.62,864.165,854.12,860.71,398427.0,342930103.17
2021-07-29,866.14,872.3631,856.76,869.39,335221.0,291437785.19
2021-07-30,868.25,875.21,863.9879,867.17,503855.0,436927940.35
2021-08-02,873.3,881.565,871.45,873.26,386141.0,337201489.66
2021-08-03,877.79,881.73,867.67,880.21,391626.0,344713121.46000004
2021-08-04,878.89,888.55,876.095,882.01,390667.0,344572200.67
2021-08-05,885.7,893.11,885.7,889.28,349448.0,310757117.44
2021-08-06,890.0,900.0,887.59,896.09,472161.0,423098750.49
2021-08-09,897.99,905.585,889.97,901.97,347033.0,313013355.01
2021-08-10,901.96,916.92,901.06,912.56,382572.0,349119904.32
2021-08-11,917.6,922.34,914.35,917.09,349164.0,320214812.76
2021-08-12,914.53,920.0,913.7167,918.54,299149.0,274780322.46
2021-08-13,916.1,920.48,912.51,916.86,292666.0,268333748.76
2021-08-16,915.84,924.97,907.0115,924.89,320698.0,296610373.21999997
2021-08-17,917.76,921.44,901.1,909.62,381697.0,347199225.14
2021-08-18,904.42,913.125,901.67,901.91,384039.0,346368614.49
2021-08-19,892.61,908.79,888.5,903.78,427548.0,386409331.44
2021-08-20,905.89,922.595,903.595,917.17,384749.0,352880240.33
2021-08-23,922.95,933.925,922.56,927.86,341338.0,316713876.68
2021-08-24,929.0,933.68,924.79,929.19,288505.0,268075960.95
2021-08-25,933.55,945.86,930.29,939.52,329934.0,309979591.68
2021-08-26,942.41,942.6,934.17,935.88,272268.0,254810175.84
2021-08-27,938.8,955.125,938.8,954.94,454641.0,434154876.54
2021-08-30,959.31,959.885,947.58,948.08,284020.0,269273681.6
2021-08-31,950.14,953.235,940.05,943.29,595023.0,561279245.67
2021-09-01,945.0,947.49,937.01,943.82,323138.0,304984107.16
2021-09-02,949.37,954.85,946.1,950.67,349418.0,332181210.06
2021-09-03,944.7,949.34,934.123,937.28,418782.0,392515992.96
2021-09-07,933.29,935.5,918.58,924.83,367911.0,340255130.13
2021-09-08,926.31,929.88,918.6174,924.34,258515.0,238955755.1
2021-09-09,923.3,934.98,918.62,922.14,478374.0,441127800.36
2021-09-10,929.17,929.57,915.02,916.62,332254.0,304550661.48
2021-09-13,923.25,924.2,906.0,916.26,428518.0,392633902.68
2021-09-14,916.0,916.875,897.24,901.95,580694.0,523756953.3
2021-09-15,902.0,913.87,900.0,909.65,500931.0,455671884.15
2021-09-16,908.13,909.42,884.11,890.44,726617.0,647008841.48
2021-09-17,878.01,887.5604,868.805,876.63,1273707.0,1116569767.41
2021-09-20,853.08,857.63,841.26,857.27,767820.0,658229051.4
2021-09-21,861.74,863.5413,839.275,845.24,596701.0,504355553.24
2021-09-22,856.45,858.9789,847.81,851.05,544222.0,463160133.1
2021-09-23,861.0,881.325,860.885,876.17,526059.0,460917114.03
2021-09-24,870.0,876.6,866.961,874.62,322521.0,282083317.02
2021-09-27,873.0,875.67,868.02,875.47,416959.0,365035095.73
2021-09-28,870.61,873.7636,855.46,860.57,642572.0,552978186.0400001
2021-09-29,861.59,864.16,855.89,856.57,547214.0,468727095.98
2021-09-30,862.16,862.66,838.16,838.66,569864.0,477922142.24
2021-10-01,843.2,849.72,823.4901,841.89,477429.0,401942700.81
2021-10-04,837.12,844.035,818.73,825.56,595999.0,492032934.43999994
2021-10-05,829.14,843.84,822.91,838.78,445226.0,373446664.28
2021-10-06,828.92,837.81,820.96,837.55,472546.0,395780902.2999999
2021-10-07,845.52,855.06,841.46,842.35,434111.0,365673400.85
2021-10-08,839.96,846.66,836.575,844.4,357561.0,301924508.4
