timestamps,open,high,low,close,volume,amount
2022-03-03,45.0,45.0,45.0,45.0,10.05,452.25000000000006
2022-03-08,50.3,50.3,35.0,35.0,25.0,875.0
2022-03-09,40.0,45.0,35.0,45.0,22.5,1012.5
2022-03-10,50.0,58.0,50.0,58.0,20.0,1160.0
2022-03-11,58.0,58.0,58.0,58.0,35.0,2030.0
2022-03-14,58.0,69.6,58.0,69.6,104.6,7280.159999999999
2022-03-15,70.0,71.8,70.0,71.8,10.0,718.0
2022-03-16,71.998,72.0,71.998,72.0,10.0,720.0
2022-03-17,60.0,70.0,60.0,70.0,25.0,1750.0
2022-03-18,68.0,68.002,68.0,68.0,15.0,1020.0
2022-03-21,70.0,70.0,65.0,65.0,31.25,2031.25
2022-03-22,70.0,74.8,70.0,74.8,11.05,826.5400000000001
2022-03-23,62.0,64.0,45.3,64.0,75.0,4800.0
2022-03-24,66.0,66.0,66.0,66.0,7.5,495.0
2022-03-25,47.4,68.0,47.4,68.0,42.5,2890.0
2022-03-28,69.0,70.0,69.0,69.0,35.0,2415.0
2022-03-29,68.0,68.0,66.0,66.0,10.0,660.0
2022-03-30,55.0,60.4,55.0,60.4,40.0,2416.0
2022-03-31,54.0,55.0,47.0,55.0,45.0,2475.0
2022-04-01,57.998,58.0,55.0,55.0,34.05,1872.75
2022-04-04,55.0,55.0,55.0,55.0,12.5,687.5
2022-04-05,57.0,60.0,51.0,60.0,44.95,2697.0
2022-04-07,60.0,62.0,60.0,62.0,20.5,1271.0
2022-04-08,51.0,60.0,51.0,60.0,15.5,930.0
2022-04-11,60.0,60.0,60.0,60.0,7.55,453.0
2022-04-12,60.0,60.0,60.0,60.0,10.25,615.0
2022-04-14,54.0,54.0,54.0,54.0,10.0,540.0
2022-04-18,55.0,55.0,54.0,54.0,13.75,742.5
2022-04-19,26.8,50.0,26.8,26.8,22.5,603.0
2022-04-20,50.0,54.0,26.8,50.0,85.75,4287.5
2022-04-21,42.002,42.002,42.0,42.0,28.3,1188.6
2022-04-22,46.0,46.0,42.0,42.0,10.0,420.0
2022-04-25,49.8,49.8,42.0,42.0,20.0,840.0
2022-04-27,45.0,50.0,45.0,50.0,10.0,500.0
2022-04-28,44.0,44.0,44.0,44.0,10.0,440.0
2022-04-29,59.8,59.8,55.0,55.0,137.4,7557.0
2022-05-03,50.0,50.0,48.0,48.0,10.0,480.0
2022-05-06,49.2,49.2,49.2,49.2,10.0,492.0
2022-05-09,49.2,50.0,49.2,49.2,37.5,1845.0
2022-05-10,49.2,49.2,49.0,49.0,15.0,735.0
2022-05-12,49.0,49.0,49.0,49.0,15.0,735.0
2022-05-13,48.0,48.0,36.0,36.0,25.0,900.0
2022-05-16,48.0,48.0,48.0,48.0,9.0,432.0
2022-05-18,45.0,50.0,45.0,45.0,35.55,1599.7499999999998
2022-05-19,44.0,44.0,40.0,40.0,25.0,1000.0
2022-05-23,40.6,40.6,40.6,40.6,20.55,834.33
2022-05-24,43.0,43.0,43.0,43.0,19.0,817.0
2022-05-25,41.0,41.0,40.4,40.4,25.0,1010.0
2022-05-27,45.0,52.0,40.8,40.8,31.3,1277.04
2022-06-01,43.0,51.0,43.0,51.0,130.45,6652.95
2022-06-02,41.0,53.0,41.0,53.0,54.65,2896.45
2022-06-03,51.0,51.0,51.0,51.0,25.0,1275.0
2022-06-06,47.5,52.0,43.0,52.0,20.5,1066.0
2022-06-07,43.0,43.0,43.0,43.0,10.0,430.0
2022-06-08,52.0,52.0,46.0,46.0,73.95,3401.7000000000003
2022-06-09,43.0,43.0,43.0,43.0,10.0,430.0
2022-06-10,54.0,54.0,54.0,54.0,7.65,413.1
2022-06-13,50.0,50.0,44.0,44.0,52.7,2318.8
2022-06-14,46.8,46.8,46.8,46.8,10.0,468.0
2022-06-15,49.8,50.0,49.8,49.8,75.0,3735.0
2022-06-16,49.8,49.8,49.8,49.8,27.25,1357.05
2022-06-21,44.0,44.0,39.2,42.2,40.0,1688.0
2022-06-23,43.0,43.0,43.0,43.0,15.0,645.0
2022-06-24,43.0,43.0,40.2,40.2,17.5,703.5
2022-06-28,41.0,41.0,41.0,41.0,10.0,410.0
2022-06-29,40.6,40.6,40.6,40.6,25.0,1015.0
2022-07-05,41.2,41.2,41.2,41.2,35.0,1442.0
2022-07-06,40.6,40.6,40.6,40.6,20.0,812.0
2022-07-07,40.6,40.6,40.2,40.2,50.5,2030.1
2022-07-11,35.4,37.4,35.4,37.4,30.0,1122.0
2022-07-12,44.6,44.6,44.6,44.6,7.15,318.89000000000004
2022-07-15,44.4,44.4,44.4,44.4,5.0,222.0
2022-07-19,44.0,44.0,32.6,32.6,49.0,1597.4
2022-07-20,33.2,43.6,33.0,43.6,46.45,2025.2200000000005
2022-07-21,43.6,43.6,43.6,43.6,25.0,1090.0
2022-07-25,33.4,43.2,33.2,43.2,20.0,864.0
2022-07-27,33.2,33.2,33.0,33.0,45.0,1485.0
2022-07-28,33.2,40.8,23.8,23.8,105.0,2499.0
2022-07-29,37.9,38.5,35.0,38.5,15.0,577.5
2022-08-01,40.0,40.0,37.0,37.0,17.3,640.1
2022-08-02,34.0,38.3,25.2,38.3,19.95,764.0849999999999
2022-08-03,33.3,33.3,33.3,33.3,10.0,333.0
2022-08-04,33.2,33.2,30.0,30.0,11.0,330.0
2022-08-08,30.0,34.6,30.0,34.6,25.0,865.0
2022-08-09,30.2,30.2,30.2,30.2,10.0,302.0
2022-08-11,30.202,30.202,30.202,30.202,10.0,302.02000000000004
2022-08-15,30.4,30.8,30.4,30.6,25.0,765.0
2022-08-16,30.2,30.2,30.0,30.2,25.0,755.0
2022-08-17,25.6,29.8,25.6,29.8,11.2,333.76
2022-08-18,25.6,30.4,20.0,30.4,75.0,2280.0
2022-08-19,21.0,21.0,19.8,20.2,167.5,3383.5
2022-08-22,20.2,20.2,20.2,20.2,60.0,1212.0
2022-08-24,16.2,24.0,14.2,24.0,210.0,5040.0
2022-08-25,24.0,24.0,24.0,24.0,120.0,2880.0
2022-08-26,17.4,17.4,17.0,17.0,25.0,425.0
2022-08-29,17.0,17.0,17.0,17.0,21.15,359.54999999999995
2022-09-02,25.0,25.2,25.0,25.2,20.5,516.6
2022-09-07,17.6,17.6,17.6,17.6,12.5,220.00000000000003
2022-09-12,14.002,14.002,14.002,14.002,20.0,280.04
2022-09-13,17.0,17.0,17.0,17.0,10.0,170.0
2022-09-15,17.0,17.0,17.0,17.0,20.0,340.0
2022-09-16,17.0,17.0,17.0,17.0,12.95,220.15
2022-09-23,17.0,17.0,17.0,17.0,15.0,255.0
2022-09-29,17.0,17.0,17.0,17.0,5.0,85.0
2022-10-05,17.0,21.2,17.0,21.2,20.0,424.0
2022-10-10,17.4,17.4,17.4,17.4,10.0,174.0
2022-10-11,17.4,17.4,17.4,17.4,15.0,261.0
2022-10-14,18.75,18.75,18.75,18.75,5.1,95.625
2022-10-20,22.6,25.0,22.6,24.8,28.85,715.48
2022-10-25,17.0,17.0,17.0,17.0,116.15,1974.55
2022-10-26,24.8,26.0,24.8,26.0,25.0,650.0
2022-10-28,17.0,17.0,17.0,17.0,10.0,170.0
2022-10-31,18.0,18.0,18.0,18.0,20.0,360.0
2022-11-02,17.0,17.0,17.0,17.0,5.0,85.0
2022-11-03,17.0,17.0,17.0,17.0,7.8,132.6
2022-11-09,17.002,20.9,17.0,17.0,30.0,510.0
2022-11-11,17.0,17.0,17.0,17.0,10.0,170.0
2022-11-14,17.0,17.0,17.0,17.0,30.8,523.6
2022-11-16,10.2,20.0,10.2,20.0,15.0,300.0
2022-11-22,22.0,22.0,20.0,20.0,55.0,1100.0
2022-11-23,15.0,15.0,15.0,15.0,10.0,150.0
2022-11-28,12.0,12.0,12.0,12.0,10.5,126.0
2022-11-30,14.0,14.0,14.0,14.0,5.0,70.0
2022-12-02,14.0,14.0,12.1998,14.0,46.35,648.9
2022-12-09,15.0,15.0,15.0,15.0,10.0,150.0
2022-12-15,14.0,14.0,14.0,14.0,20.0,280.0
2022-12-19,14.1998,14.1998,14.1998,14.1998,30.0,425.994
2022-12-20,14.0,14.0,14.0,14.0,8.35,116.9
2022-12-23,14.1998,14.1998,14.1998,14.1998,10.0,141.998
2023-01-03,14.0,14.0,0.002,14.0,213.75,2992.5
2023-01-04,14.0,14.0,14.0,14.0,5.0,70.0
2023-01-17,14.0,20.0,14.0,14.0,61.4,859.6
2023-01-24,8.0,10.2,8.0,10.2,350.0,3569.9999999999995
2023-01-27,18.0,20.0,14.2,20.0,125.0,2500.0
2023-01-30,20.0,24.0,15.0,24.0,35.0,840.0
2023-01-31,11.84,20.0,11.84,20.0,55.0,1100.0
2023-02-03,21.0,21.0,21.0,21.0,5.0,105.0
2023-02-13,13.0,13.0,13.0,13.0,10.0,130.0
2023-02-15,21.0,24.0,17.1,17.1,110.0,1881.0
2023-02-16,22.0,22.8,19.9,19.9,45.5,905.45
2023-02-22,18.0,18.0,18.0,18.0,125.0,2250.0
2023-02-23,17.0,17.0,17.0,17.0,129.5,2201.5
2023-03-02,20.0,20.0,20.0,20.0,10.0,200.0
2023-03-03,17.0,20.0,16.0,20.0,100.0,2000.0
2023-03-06,23.0,23.0,23.0,23.0,5.0,115.0
2023-03-07,18.0,23.0,17.2,23.0,127.5,2932.5
2023-03-08,20.0,22.0,20.0,22.0,20.0,440.0
2023-03-09,18.4,22.0,18.4,22.0,145.0,3190.0
2023-03-10,18.0,18.0,18.0,18.0,110.0,1980.0
2023-03-13,21.8,21.8,18.2,20.0,28.95,579.0
2023-03-14,18.0,20.0,18.0,20.0,145.0,2900.0
2023-03-15,20.0,20.0,20.0,20.0,10.0,200.0
2023-03-16,21.6,21.6,21.6,21.6,10.0,216.0
2023-03-20,14.0,14.0,14.0,14.0,25.0,350.0
2023-03-21,15.0,18.0,15.0,18.0,67.7,1218.6
2023-03-22,11.104,19.9,11.104,19.8,100.0,1980.0
2023-03-23,20.0,20.0,19.0,19.0,65.5,1244.5
2023-03-24,20.2,20.2,18.0,19.8,135.05,2673.99
2023-03-30,16.2,18.0,16.2,18.0,184.1,3313.7999999999997
