timestamps,open,high,low,close,volume,amount
2021-05-28,65.66,66.21,65.6,65.72,6481125.0,425939535.0
2021-06-01,66.4,66.4,65.03,65.1,8995323.0,585595527.3
2021-06-02,65.24,65.42,64.535,64.69,7661379.0,495614607.51
2021-06-03,64.47,65.085,64.285,64.8,7910132.0,512576553.6
2021-06-04,64.98,65.23,64.86,64.94,8124632.0,527613602.08
2021-06-07,65.03,65.41,64.73,64.77,8103030.0,524833253.1
2021-06-08,64.81,64.89,63.22,63.7,14542767.0,926374257.9
2021-06-09,64.02,65.55,63.92,65.4,13801018.0,902586577.2
2021-06-10,65.55,67.7,65.42,67.39,15177437.0,1022807479.43
2021-06-11,67.89,67.94,66.78,67.34,9714021.0,654142174.14
2021-06-14,67.32,67.45,66.65,67.29,5553233.0,373677048.57000005
2021-06-15,67.5,67.5699,66.916,67.42,6358967.0,428721555.14
2021-06-16,67.42,67.86,66.8379,66.92,10896128.0,729168885.76
2021-06-17,67.03,67.17,66.23,66.77,8927535.0,596091511.9499999
2021-06-18,66.4,66.73,65.78,66.47,16246044.0,1079874544.68
2021-06-21,66.61,67.16,66.48,66.83,10295553.0,688051806.99
2021-06-22,66.75,66.79,65.71,65.94,9549017.0,629662180.98
2021-06-23,66.15,66.22,65.24,65.26,7594309.0,495604605.34
2021-06-24,65.46,66.21,65.41,65.85,6835753.0,450134335.0499999
2021-06-25,65.93,67.09,65.71,66.74,22682652.0,1513840194.4799998
2021-06-28,66.72,66.99,66.12,66.4,8882531.0,589800058.4000001
2021-06-29,66.4,66.61,66.09,66.27,5401893.0,357983449.10999995
2021-06-30,66.31,67.16,66.19,66.82,10232357.0,683726094.7399999
2021-07-01,66.42,66.7363,66.25,66.56,8536582.0,568194897.9200001
2021-07-02,66.76,66.98,66.335,66.95,6964308.0,466260420.6
2021-07-06,66.68,66.81,66.05,66.65,9700062.0,646509132.3000001
2021-07-07,66.77,67.19,66.22,67.14,8055097.0,540819212.58
2021-07-08,66.65,66.7993,66.065,66.69,11550295.0,770289173.55
2021-07-09,66.7,67.57,66.7,67.16,8942103.0,600551637.48
2021-07-12,67.06,67.86,67.0,67.5,8052095.0,543516412.5
2021-07-13,67.22,67.61,67.01,67.44,5661891.0,381837929.04
2021-07-14,67.53,67.99,67.2,67.88,7213295.0,489638464.6
2021-07-15,67.65,67.94,67.12,67.43,7579590.0,511091753.7000001
2021-07-16,67.44,67.575,66.82,67.3,6609059.0,444789670.7
2021-07-19,66.8,67.26,65.78,66.36,11275799.0,748262021.64
2021-07-20,66.5,67.67,66.44,66.72,8812938.0,587999223.36
2021-07-21,67.11,67.24,66.56,67.16,5882624.0,395077027.84
2021-07-22,67.14,68.0,66.93,67.96,11036822.0,750062423.1199999
2021-07-23,68.0,68.53,67.8,68.34,7255921.0,495869641.1400001
2021-07-26,68.22,68.338,67.49,67.69,8458700.0,572569403.0
2021-07-27,67.26,67.72,67.05,67.49,11332325.0,764818614.25
2021-07-28,67.6,68.99,67.01,68.73,11719046.0,805450031.58
2021-07-29,69.0,69.27,68.05,68.15,8963714.0,610877109.1
2021-07-30,68.15,68.515,67.49,67.87,10007965.0,679240584.5500001
