timestamps,open,high,low,close,volume,amount
2021-05-28,85.27,85.39,85.25,85.26,5258562.0,448344996.12
2021-06-01,85.07,85.1399,84.98,85.12,5397960.0,459474355.2000001
2021-06-02,85.105,85.23,85.0863,85.21,5479979.0,466949010.59
2021-06-03,85.125,85.13,85.03,85.05,4829025.0,410708576.25
2021-06-04,85.16,85.39,85.14,85.39,19321596.0,1649871082.44
2021-06-07,85.33,85.36,85.2938,85.33,10706506.0,913586156.98
2021-06-08,85.49,85.51,85.44,85.49,5099673.0,435971044.77
2021-06-09,85.69,85.74,85.6,85.66,4810313.0,412051411.58
2021-06-10,85.54,85.86,85.51,85.84,7400336.0,635244842.24
2021-06-11,85.82,85.85,85.74,85.82,4194571.0,359978083.21999997
2021-06-14,85.76,85.76,85.58,85.6,4438378.0,379925156.7999999
2021-06-15,85.56,85.63,85.52,85.6,6173593.0,528459560.7999999
2021-06-16,85.677,85.73,85.255,85.36,7302369.0,623330217.84
2021-06-17,85.5,85.865,85.48,85.65,6467468.0,553938634.2
2021-06-18,85.72,85.99,85.625,85.92,5843058.0,502035543.36
2021-06-21,85.72,85.7499,85.6,85.62,7907017.0,676998795.5400001
2021-06-22,85.52,85.75,85.505,85.74,4082891.0,350067074.34
2021-06-23,85.69,85.76,85.63,85.68,5739875.0,491792490.00000006
2021-06-24,85.73,85.7793,85.6901,85.72,4852141.0,415925526.52
2021-06-25,85.74,85.75,85.4501,85.56,6018664.0,514956891.84
2021-06-28,85.69,85.84,85.67,85.79,5664089.0,485922195.31000006
2021-06-29,85.6643,85.83,85.66,85.83,10672831.0,916049084.73
2021-06-30,85.895,85.98,85.87,85.89,4846589.0,416273529.21
2021-07-01,85.73,85.775,85.63,85.75,5768040.0,494609430.0
2021-07-02,85.76,85.9,85.74,85.9,4315654.0,370714678.6
2021-07-06,86.0,86.265,86.0,86.21,5711640.0,492400484.4
2021-07-07,86.2959,86.44,86.23,86.39,5933965.0,512635236.35
2021-07-08,86.4353,86.5674,86.38,86.47,6991379.0,604544542.13
2021-07-09,86.265,86.2672,86.2,86.2,10304893.0,888281776.6
2021-07-12,86.26,86.29,86.123,86.17,9073868.0,781895205.5600001
2021-07-13,86.16,86.23,85.865,85.9,8580650.0,737077835.0
2021-07-14,86.08,86.21,86.06,86.19,5036297.0,434078438.43
2021-07-15,86.34,86.41,86.18,86.4,3422955.0,295743312.0
2021-07-16,86.2,86.37,86.1924,86.32,5725147.0,494194689.04
2021-07-19,86.7131,86.89,86.681,86.81,6493290.0,563682504.9
2021-07-20,87.05,87.075,86.67,86.72,6762170.0,586415382.4
2021-07-21,86.49,86.535,86.36,86.44,6292951.0,543962684.4399999
2021-07-22,86.454,86.6999,86.449,86.63,4894957.0,424050124.91
2021-07-23,86.4136,86.56,86.4,86.53,8887561.0,769040653.33
2021-07-26,86.63,86.63,86.45,86.48,5427869.0,469402111.12
2021-07-27,86.68,86.7199,86.6,86.7,4344089.0,376632516.3
2021-07-28,86.59,86.78,86.5,86.78,6636720.0,575934561.6
2021-07-29,86.6,86.685,86.58,86.63,5201018.0,450564189.34
2021-07-30,86.7,86.78,86.67,86.76,7557156.0,655658854.5600001
2021-08-02,86.675,86.94,86.63,86.83,4660843.0,404700997.69
