timestamps,open,high,low,close,volume,amount
2021-05-28,289.68,290.46,288.23,289.44,4594015.0,1329691701.6
2021-06-01,291.52,292.07,288.81,289.84,3429902.0,994122795.68
2021-06-02,290.85,290.9,289.22,290.02,3579225.0,1038046834.5
2021-06-03,288.36,293.272,288.28,291.97,4163427.0,1215595781.19
2021-06-04,292.91,293.08,291.45,292.52,3328977.0,973792352.04
2021-06-07,292.56,292.58,288.84,289.46,4518654.0,1307969586.84
2021-06-08,289.18,289.9,285.7,289.19,5095049.0,1473437220.31
2021-06-09,288.88,289.09,287.05,288.58,3559519.0,1027205993.02
2021-06-10,289.88,290.81,284.68,284.91,4094401.0,1166535788.91
2021-06-11,285.45,287.36,285.02,286.82,3586189.0,1028590728.98
2021-06-14,286.66,286.85,281.5156,283.53,6167947.0,1748798012.9099998
2021-06-15,284.46,284.965,282.65,283.94,3852973.0,1094013153.62
2021-06-16,283.73,284.8,281.08,283.11,5697943.0,1613144642.73
2021-06-17,284.29,284.5,277.56,278.69,7200451.0,2006693689.19
2021-06-18,276.5,276.98,272.455,274.04,14033245.0,3845670459.8
2021-06-21,275.62,278.845,275.4279,277.1,5544933.0,1536500934.3000002
2021-06-22,277.57,277.71,275.93,276.92,5298956.0,1467386895.52
2021-06-23,276.89,277.0,274.55,274.66,4570948.0,1255456577.68
2021-06-24,275.0,276.5765,274.05,275.49,5542077.0,1526786792.73
2021-06-25,276.37,279.31,275.35,278.38,5668025.0,1577864799.5
2021-06-28,278.82,279.06,275.6,276.61,4089347.0,1131154273.67
2021-06-29,276.69,277.975,275.245,276.21,4549683.0,1256667941.4299998
2021-06-30,275.89,278.44,275.66,277.92,4389580.0,1219952073.6
2021-07-01,278.2,280.3,277.55,280.17,3698809.0,1036295317.53
2021-07-02,281.41,281.41,278.57,279.12,3741539.0,1044338365.68
2021-07-06,278.28,278.28,275.095,277.32,4510427.0,1250831615.64
2021-07-07,275.99,279.69,275.8,279.24,4460556.0,1245565657.44
2021-07-08,276.99,277.74,273.16,274.1,5451192.0,1494171727.2
2021-07-09,276.03,280.88,275.74,280.49,4959763.0,1391163923.87
2021-07-12,279.05,282.2241,278.2735,280.11,4351166.0,1218805108.26
2021-07-13,280.11,280.41,278.36,279.21,3202423.0,894148525.8299999
2021-07-14,279.07,280.7599,277.77,278.31,4190117.0,1166151462.27
2021-07-15,277.13,280.64,277.09,279.72,3193720.0,893347358.4000001
2021-07-16,280.93,280.93,277.22,277.9,3483479.0,968058814.1
2021-07-19,274.21,275.5,270.73,272.66,5340314.0,1456090015.2400002
2021-07-20,272.66,277.805,272.0,276.89,4808686.0,1331477066.54
2021-07-21,277.64,280.9199,277.63,279.88,3492204.0,977398055.52
2021-07-22,278.59,279.27,277.42,277.7,2623936.0,728667027.1999999
2021-07-23,279.05,279.92,277.74,278.49,3282873.0,914247301.77
2021-07-26,277.78,280.25,277.78,278.8,2492231.0,694834002.8000001
2021-07-27,278.07,281.09,276.91,280.78,3433361.0,964019101.58
2021-07-28,280.8,280.98,277.6,278.1,3848463.0,1070257560.3
2021-07-29,279.29,281.24,279.08,279.76,3545503.0,991889919.28
2021-07-30,280.01,281.08,277.6,278.29,3608251.0,1004140170.79
2021-08-02,279.31,281.98,277.73,278.14,3098942.0,861939727.88
2021-08-03,279.05,282.51,276.77,281.8,3631865.0,1023459557.0
2021-08-04,280.17,280.92,278.64,278.78,3026158.0,843632327.2399999
2021-08-05,280.16,282.0,278.33,280.21,3585736.0,1004759084.56
2021-08-06,281.82,285.83,281.5,285.63,4838296.0,1381962486.48
