timestamps,open,high,low,close,volume,amount
2021-05-28,42.36,42.86,42.08,42.55,5820137.0,247646829.35
2021-06-01,42.82,43.2,42.5,42.93,8256448.0,354449312.64
2021-06-02,43.0,43.06,41.55,41.61,11331244.0,471493062.84
2021-06-03,41.36,41.54,40.87,41.35,5712062.0,236193763.7
2021-06-04,41.78,42.12,41.4,42.03,5563458.0,233832139.74
2021-06-07,42.21,42.695,42.005,42.14,7507740.0,316376163.6
2021-06-08,42.37,42.39,41.43,42.02,4916071.0,206573303.42
2021-06-09,42.05,42.4,42.015,42.33,3915720.0,165752427.6
2021-06-10,42.49,42.91,42.39,42.84,4030844.0,172681356.96
2021-06-11,42.76,42.93,42.38,42.91,5400024.0,231715029.83999997
2021-06-14,42.94,42.94,42.37,42.54,5089788.0,216519581.52
2021-06-15,42.7,42.93,42.39,42.75,6479452.0,276996573.0
2021-06-16,42.81,43.03,42.53,42.78,4968310.0,212544301.8
2021-06-17,42.72,43.5,42.7,43.35,6610291.0,286556114.85
2021-06-18,43.11,43.36,42.81,43.02,9648906.0,415095936.12
2021-06-21,43.3,43.82,43.17,43.6,6757780.0,294639208.0
2021-06-22,43.53,43.92,43.285,43.83,5680427.0,248973115.41
2021-06-23,43.79,43.97,43.62,43.79,3844811.0,168364273.69
2021-06-24,43.99,44.2,43.71,43.71,6428955.0,281009623.05
2021-06-25,43.87,44.265,43.84,44.1,6961974.0,307023053.40000004
2021-06-28,44.0,44.22,43.04,43.33,6882333.0,298211488.89
2021-06-29,43.37,43.5,42.98,43.23,5425565.0,234547174.95
2021-06-30,43.3,43.3,42.44,42.76,8954356.0,382888262.56
2021-07-01,42.78,43.51,42.685,43.36,5836190.0,253057198.4
2021-07-02,43.4,44.0,43.21,43.92,5038762.0,221302427.04
2021-07-06,43.79,43.8,43.25,43.62,6739128.0,293960763.35999995
2021-07-07,43.72,43.99,43.535,43.93,5435207.0,238768643.51
2021-07-08,43.46,43.54,42.79,43.34,6093198.0,264079201.32
2021-07-09,43.665,43.83,43.39,43.59,4207699.0,183413599.41000003
2021-07-12,43.36,43.62,43.36,43.49,3900638.0,169638746.62
2021-07-13,43.39,43.52,43.0,43.06,4189086.0,180382043.16
2021-07-14,43.24,43.335,42.65,42.74,4240652.0,181245466.48
2021-07-15,42.42,42.55,41.86,42.16,6183537.0,260697919.92
2021-07-16,42.31,42.43,41.9838,42.1,5668323.0,238636398.3
2021-07-19,41.66,41.83,40.93,41.23,6334190.0,261158653.7
2021-07-20,41.32,43.0,41.31,42.79,8090503.0,346192623.37
2021-07-21,43.19,43.825,43.02,43.58,7664788.0,334031461.03999996
2021-07-22,43.63,43.92,43.18,43.55,4860798.0,211687752.9
2021-07-23,43.85,44.27,43.69,44.12,5254558.0,231831098.96
2021-07-26,43.87,44.08,43.68,43.97,5967824.0,262405221.28
2021-07-27,44.625,46.03,43.78,45.51,14263407.0,649127652.5699999
2021-07-28,45.41,45.8,44.83,45.43,8253634.0,374962592.62
2021-07-29,45.52,45.57,44.92,45.32,5214524.0,236322227.68
2021-07-30,45.19,45.93,45.0112,45.6,9108233.0,415335424.8
2021-08-02,45.77,46.285,45.34,45.88,10041149.0,460687916.12
2021-08-03,45.9,45.925,45.16,45.54,7721539.0,351638886.06
2021-08-04,45.38,45.6,44.24,44.26,8099896.0,358501396.96
2021-08-05,44.45,44.66,44.06,44.65,6471048.0,288932293.2
