timestamps,open,high,low,close,volume,amount
2021-05-28,92.59,93.0,91.8828,92.67,2059704.0,190872769.68
2021-06-01,93.85,94.15,92.1,92.42,2854024.0,263768898.08
2021-06-02,92.38,92.88,91.73,92.23,2449264.0,225895618.72
2021-06-03,91.93,92.65,91.39,92.32,2885618.0,266400253.76
2021-06-04,93.0,93.3,92.41,93.2,2340084.0,218095828.8
2021-06-07,93.91,95.07,93.8,94.4,4182313.0,394810347.2000001
2021-06-08,94.74,95.0,94.04,94.61,2741866.0,259407942.26
2021-06-09,94.52,95.17,94.2,94.2,2480945.0,233705019.0
2021-06-10,94.66,95.18,93.63,93.66,4072399.0,381420890.34
2021-06-11,94.01,95.43,93.77,95.41,3424978.0,326777150.97999996
2021-06-14,95.61,96.485,95.46,95.61,3290131.0,314569424.91
2021-06-15,96.04,97.68,95.56,97.32,3872370.0,376859048.4
2021-06-16,97.44,99.39,97.4,98.48,4629374.0,455900751.52
2021-06-17,98.46,99.64,96.29,97.13,5715320.0,555129031.6
2021-06-18,96.15,97.47,95.57,96.38,6315407.0,608678926.66
2021-06-21,96.99,98.51,96.76,98.31,4873356.0,479099628.36
2021-06-22,98.31,99.35,97.91,98.41,4585726.0,451281295.66
2021-06-23,98.8,100.01,98.73,99.58,4273505.0,425555627.9
2021-06-24,100.25,100.75,99.31,99.62,6490872.0,646620668.64
2021-06-25,99.75,100.69,97.12,98.55,38070353.0,3751833288.15
2021-06-28,98.65,100.19,98.17,99.25,3018324.0,299568657.0
2021-06-29,99.33,99.65,98.281,98.95,2730532.0,270186141.40000004
2021-06-30,98.53,98.96,96.77,97.14,4371098.0,424608459.72
2021-07-01,97.15,97.67,96.78,97.11,3268956.0,317448317.16
2021-07-02,97.69,97.99,96.99,97.65,2106279.0,205678144.35
2021-07-06,97.74,97.94,96.54,97.54,3247806.0,316790997.24
2021-07-07,97.55,99.05,97.42,98.88,2880682.0,284841836.15999997
2021-07-08,97.44,99.58,96.55,98.26,3389895.0,333091082.7
2021-07-09,98.5,99.74,98.17,99.73,2104302.0,209862038.46
2021-07-12,100.37,101.98,99.81,101.93,4038528.0,411647159.04
2021-07-13,102.14,102.2484,99.72,99.83,2472991.0,246878691.53
2021-07-14,100.25,100.7,98.515,98.65,2271264.0,224060193.6
2021-07-15,101.02,102.89,100.2,102.5,4715075.0,483295187.5
2021-07-16,101.94,103.24,101.71,102.2,3524739.0,360228325.8
2021-07-19,100.56,100.7512,99.29,99.73,3188919.0,318030891.87
2021-07-20,100.21,104.46,100.0,103.84,4312026.0,447760779.84
2021-07-21,104.26,106.14,104.12,105.79,3651557.0,386298215.03
2021-07-22,108.31,111.02,107.42,110.13,5670622.0,624505600.86
2021-07-23,111.9,113.14,110.37,111.3,4085785.0,454747870.5
2021-07-26,111.0,113.46,111.0,113.29,3515164.0,398232929.56
2021-07-27,112.91,114.48,112.31,114.21,3573785.0,408161984.85
2021-07-28,114.15,114.95,112.36,114.36,3304560.0,377909481.6
2021-07-29,114.65,117.15,114.5,116.7,2873772.0,335369192.40000004
2021-07-30,115.6,116.06,114.77,115.27,2967544.0,342068796.88
2021-08-02,116.1,116.9,115.12,115.19,2448270.0,282016221.3
2021-08-03,115.61,115.9225,113.95,115.16,2685576.0,309270932.15999997
2021-08-04,115.03,116.97,114.56,116.75,2232770.0,260675897.5
2021-08-05,117.23,117.65,115.02,115.7,3277829.0,379244815.3
2021-08-06,115.65,116.1,113.25,114.29,4692394.0,536293710.2600001
2021-08-09,114.6,114.85,113.4,114.24,2322050.0,265270992.0
2021-08-10,114.58,115.13,113.61,113.82,2658699.0,302613120.18
2021-08-11,115.0,115.02,113.31,114.46,3066588.0,351001662.47999996
2021-08-12,113.92,114.14,113.03,113.5,3029482.0,343846207.0
2021-08-13,113.58,115.05,113.5,114.8,2542065.0,291829062.0
2021-08-16,114.31,115.3,113.07,114.76,2254560.0,258733305.6
2021-08-17,114.11,114.63,112.16,112.81,1833364.0,206821792.84
2021-08-18,112.36,112.8362,111.39,111.43,1819229.0,202716687.47
2021-08-19,109.5,111.8083,108.37,110.37,2895369.0,319561876.53000003
2021-08-20,110.9,113.55,110.735,113.3,2005465.0,227219184.5
2021-08-23,113.58,116.4,113.58,115.77,2865343.0,331720759.11
2021-08-24,116.0,118.25,116.0,118.07,2563795.0,302707275.65
2021-08-25,118.3,120.21,118.21,119.52,2910523.0,347865708.96
2021-08-26,119.96,123.1185,119.5,121.88,3221319.0,392614359.72
2021-08-27,122.25,124.6847,122.23,124.22,3315362.0,411834267.64
2021-08-30,124.89,126.38,124.4,124.41,2963769.0,368722501.29
2021-08-31,124.49,125.83,122.78,125.73,3045043.0,382853256.39
2021-09-01,125.82,128.54,125.48,127.52,3847204.0,490595454.08
2021-09-02,128.2,129.45,127.67,128.32,3344287.0,429138907.84
2021-09-03,128.7,130.78,128.28,129.0,2768062.0,357079998.0
2021-09-07,128.7,128.99,126.04,127.07,3322417.0,422179528.19
2021-09-08,126.6,128.7,126.43,128.31,2362778.0,303168045.18
2021-09-09,128.44,130.89,127.78,129.41,2209118.0,285881960.38
2021-09-10,130.36,130.47,127.81,128.74,2144382.0,276067738.68
2021-09-13,129.76,130.3377,127.01,129.21,2685490.0,346992162.90000004
2021-09-14,130.0,132.33,129.45,130.6,3506491.0,457947724.6
2021-09-15,130.64,135.43,130.1954,134.6,4403106.0,592658067.6
2021-09-16,134.5,135.75,132.47,135.04,3725108.0,503038584.32
2021-09-17,135.39,136.885,133.59,133.63,17117912.0,2287466580.56
2021-09-20,128.56,128.84,121.42,123.96,10694472.0,1325686749.12
2021-09-21,125.57,129.72,125.52,127.57,5850761.0,746381580.77
2021-09-22,127.67,128.65,124.85,125.82,4473490.0,562854511.8
2021-09-23,127.64,129.44,126.13,127.09,3648190.0,463648467.1
2021-09-24,125.14,126.1211,123.66,125.1,3115869.0,389795211.9
2021-09-27,124.28,124.75,121.6212,123.34,3348980.0,413063193.2
2021-09-28,120.14,120.41,115.45,118.18,4755820.0,562042807.6
2021-09-29,119.86,120.2767,117.95,118.92,2434455.0,289505388.6
2021-09-30,119.28,119.49,115.8,116.34,4706411.0,547543855.74
2021-10-01,116.66,116.86,113.62,115.75,4267793.0,493997039.75
2021-10-04,112.9,114.6189,108.81,110.95,7681608.0,852274407.6
2021-10-05,112.5,115.3,111.57,114.81,3422701.0,392960301.81
2021-10-06,113.17,114.32,111.33,113.87,2714796.0,309133820.52000004
