timestamps,open,high,low,close,volume,amount
2021-05-28,78.66,78.97,77.91,78.71,14582834.0,1147814864.14
2021-06-01,79.49,80.09,79.34,79.76,15692720.0,1251651347.2
2021-06-02,80.1,80.29,79.3783,79.86,15521173.0,1239520875.78
2021-06-03,79.71,80.285,79.422,79.63,22397240.0,1783492221.1999998
2021-06-04,79.69,79.87,78.81,79.49,13930051.0,1107299753.99
2021-06-07,79.62,79.65,79.015,79.31,12780709.0,1013638030.79
2021-06-08,78.3,79.42,77.71,79.08,15722695.0,1243350720.6
2021-06-09,78.67,78.78,77.76,78.14,13935980.0,1088957477.2
2021-06-10,79.04,79.29,76.83,76.89,15438194.0,1187042736.66
2021-06-11,77.0,77.19,76.1,76.48,18231475.0,1394343208.0
2021-06-14,76.61,76.77,74.67,75.16,18444551.0,1386292453.1599998
2021-06-15,75.05,75.34,73.25,73.82,25364853.0,1872433448.46
2021-06-16,72.75,73.0,70.15,71.46,53683639.0,3836232842.94
2021-06-17,72.58,72.61,68.155,68.86,49024948.0,3375857919.28
2021-06-18,68.48,68.75,67.13,67.61,46621738.0,3152095706.18
2021-06-21,68.44,69.09,67.88,68.45,29481210.0,2017988824.5
2021-06-22,68.9,69.41,67.77,68.96,22014048.0,1518088750.08
2021-06-23,69.355,70.05,69.075,69.65,20031323.0,1395181646.95
2021-06-24,70.33,71.67,69.95,71.32,24392384.0,1739664826.88
2021-06-25,71.45,71.85,69.86,71.55,27420958.0,1961969544.9
2021-06-28,71.32,71.67,70.46,71.51,18080433.0,1292931763.8300002
2021-06-29,70.14,71.6,69.575,69.68,29181829.0,2033389844.7200005
2021-06-30,69.68,70.81,69.4212,70.75,18787519.0,1329216969.25
2021-07-01,71.08,71.21,70.45,71.01,12782665.0,907697041.65
2021-07-02,71.01,71.12,70.11,70.41,13381571.0,942196414.11
2021-07-06,70.11,70.19,67.86,68.21,24858071.0,1695569022.9099998
2021-07-07,67.71,68.37,67.2645,67.93,19690973.0,1337607795.89
2021-07-08,66.4,67.14,65.75,66.73,25194375.0,1681220643.75
2021-07-09,68.11,68.52,67.6414,68.45,19129340.0,1309403323.0
2021-07-12,67.67,69.59,67.3,69.44,19919221.0,1383190706.24
2021-07-13,69.08,69.48,68.015,68.37,19187130.0,1311824078.1
2021-07-14,69.99,70.78,67.45,68.17,36678684.0,2500385888.28
2021-07-15,67.54,69.035,67.44,68.45,19145484.0,1310508379.8
2021-07-16,68.71,68.76,66.415,66.9,19641098.0,1313989456.2
2021-07-19,65.46,66.07,64.36,65.08,33729671.0,2195126988.68
2021-07-20,65.18,66.78,64.78,66.29,20817852.0,1380015409.0800002
2021-07-21,67.01,68.25,66.93,67.89,23317814.0,1583046392.46
2021-07-22,67.75,67.79,66.41,66.93,16665203.0,1115402036.7900002
2021-07-23,67.5,67.76,66.52,66.71,13607738.0,907772201.98
2021-07-26,66.46,67.84,66.46,67.77,16644373.0,1127989158.21
2021-07-27,67.08,68.4,66.78,67.98,17309331.0,1176688321.38
2021-07-28,68.32,68.615,67.485,68.1,20098185.0,1368686398.5
2021-07-29,68.71,69.58,68.41,68.81,22261717.0,1531828746.77
2021-07-30,67.92,68.52,67.24,67.62,17778220.0,1202163236.4
2021-08-02,67.95,69.12,67.64,67.73,16613772.0,1125250777.5600002
2021-08-03,68.25,69.09,66.89,68.88,21041505.0,1449338864.4
2021-08-04,68.12,69.25,67.93,68.52,14392807.0,986195135.64
2021-08-05,68.83,69.77,68.77,69.69,14297613.0,996400649.97
2021-08-06,70.78,71.5,70.58,71.07,23889872.0,1697853203.0399995
2021-08-09,70.94,71.9955,70.46,71.52,15619827.0,1117130027.04
2021-08-10,71.62,73.34,71.38,72.98,17920057.0,1307805759.86
2021-08-11,73.3,74.34,72.93,74.3,18676149.0,1387637870.7
2021-08-12,74.33,74.64,73.6285,74.13,14200559.0,1052687438.67
2021-08-13,74.2,74.62,72.92,73.11,13362751.0,976950725.61
2021-08-16,72.41,72.49,70.99,72.1,15537154.0,1120228803.4
2021-08-17,71.34,72.36,70.6822,71.62,14622962.0,1047296538.44
2021-08-18,71.2,72.26,70.88,71.12,13970568.0,993586796.16
2021-08-19,70.54,70.74,69.433,69.84,21019755.0,1468019689.2
2021-08-20,69.71,70.295,69.205,70.25,14028831.0,985525377.75
2021-08-23,70.76,71.26,70.56,70.89,13079491.0,927205116.99
2021-08-24,71.14,72.19,71.03,72.04,12669318.0,912697668.72
2021-08-25,72.8,73.9,72.0441,73.18,17766591.0,1300159129.38
2021-08-26,73.47,73.9,72.275,72.44,14135643.0,1023985978.92
2021-08-27,72.58,73.37,72.3,72.99,13653776.0,996589110.24
2021-08-30,73.0,73.01,71.22,71.67,12672940.0,908269609.8
2021-08-31,71.75,72.4954,71.325,71.91,17285914.0,1243030075.74
2021-09-01,72.36,72.36,71.21,71.31,15114789.0,1077835603.5900002
2021-09-02,71.36,71.97,70.92,71.5,13452305.0,961839807.5
2021-09-03,71.62,71.73,70.65,71.17,13684986.0,973960453.62
2021-09-07,71.36,72.275,70.71,70.82,14849302.0,1051627567.64
2021-09-08,70.87,71.215,69.8809,70.04,14861761.0,1040917740.44
2021-09-09,69.97,71.095,69.91,70.46,14212931.0,1001443118.26
2021-09-10,70.93,70.99,69.515,69.57,15399330.0,1071331388.1
2021-09-13,70.12,70.66,69.76,70.52,16505002.0,1163932741.04
2021-09-14,70.84,71.38,68.52,68.78,26720856.0,1837860475.68
2021-09-15,68.82,70.87,68.6214,70.45,22559593.0,1589323326.85
2021-09-16,71.03,71.18,69.99,70.0,19245376.0,1347176320.0
2021-09-17,69.77,70.58,69.66,69.96,30662025.0,2145115269.0
2021-09-20,68.05,68.17,65.965,67.3,36955380.0,2487097074.0
2021-09-21,67.65,67.74,66.52,66.94,21169878.0,1417111633.32
2021-09-22,67.885,69.17,67.79,68.24,21160214.0,1443973003.36
2021-09-23,69.2103,71.3899,69.0,70.88,21439180.0,1519609078.4
2021-09-24,70.71,71.585,70.71,71.18,15788389.0,1123817529.0200002
2021-09-27,71.845,72.61,71.75,72.26,19857527.0,1434904901.0200002
2021-09-28,72.47,73.28,71.24,71.37,20834995.0,1486993593.15
2021-09-29,71.69,71.815,70.98,71.53,13683888.0,978808508.64
2021-09-30,71.63,71.7,69.95,70.18,22236567.0,1560562272.0600002
2021-10-01,70.44,71.68,70.09,71.18,23701927.0,1687103163.86
2021-10-04,71.08,72.98,70.845,71.29,18957221.0,1351460285.0900002
2021-10-05,71.76,72.93,71.325,72.53,15482158.0,1122920919.74
2021-10-06,71.92,72.61,71.015,72.42,15997217.0,1158518455.14
2021-10-07,73.01,73.35,72.045,72.19,15349929.0,1108111374.51
2021-10-08,71.85,72.805,71.51,72.35,12185015.0,881585835.2499999
2021-10-11,72.7,73.725,71.61,71.68,14935510.0,1070577356.8
2021-10-12,71.54,71.9374,70.435,70.64,17593423.0,1242799400.72
2021-10-13,70.55,70.58,68.74,70.26,23420398.0,1645517163.48
