timestamps,open,high,low,close,volume,amount
2021-05-28,241.91,242.26,238.79,241.08,2325226.0,560565484.08
2021-06-01,244.01,244.93,241.81,242.76,2518043.0,611280118.68
2021-06-02,243.07,245.1,240.7,243.46,2379539.0,579322564.94
2021-06-03,242.43,246.44,240.87,243.84,1964836.0,479105610.24
2021-06-04,245.12,246.69,242.32,244.02,1876607.0,457929640.1400001
2021-06-07,244.05,244.33,238.62,239.76,2362721.0,566485986.9599999
2021-06-08,239.4,241.21,236.06,240.16,2249075.0,540137852.0
2021-06-09,239.0,239.19,234.45,234.65,2940205.0,689919103.25
2021-06-10,236.14,236.65,225.58,225.73,6317144.0,1425968915.12
2021-06-11,226.3,227.92,220.03,220.7,8806405.0,1943573583.5
2021-06-14,220.07,221.97,215.6,219.01,7305080.0,1599885570.8
2021-06-15,219.89,220.78,216.26,219.46,5108311.0,1121069932.06
2021-06-16,219.01,219.39,216.7,217.16,4211251.0,914515267.16
2021-06-17,216.97,218.27,207.881,209.45,8036974.0,1683344204.3
2021-06-18,206.18,211.81,205.5,208.86,7832222.0,1635837886.92
2021-06-21,211.55,215.23,211.4,213.21,5707254.0,1216843625.3400002
2021-06-22,213.49,214.83,211.18,213.13,3827331.0,815719056.03
2021-06-23,213.6,216.77,212.58,213.79,3326425.0,711156400.75
2021-06-24,216.54,221.93,215.33,219.34,6879126.0,1508867496.84
2021-06-25,221.18,221.75,215.27,216.31,11401327.0,2466221043.37
2021-06-28,216.45,216.78,213.5615,216.27,3241959.0,701138472.9300001
2021-06-29,218.04,218.7,214.59,215.1,3494252.0,751613605.1999999
2021-06-30,214.62,217.95,214.055,217.63,3280112.0,713850774.56
2021-07-01,219.16,219.79,216.15,216.71,2466222.0,534454969.62
2021-07-02,217.66,218.37,215.58,217.76,2474719.0,538894809.4399999
2021-07-06,217.41,217.56,211.3405,213.52,4406050.0,940779796.0
2021-07-07,212.69,215.06,211.16,214.69,2753455.0,591139253.95
2021-07-08,210.0,213.9,209.93,212.11,3787109.0,803283689.99
2021-07-09,215.9,218.5925,214.4,217.42,3224590.0,701090357.8
2021-07-12,216.02,218.95,214.85,218.58,2549634.0,557298999.72
2021-07-13,218.96,219.05,214.7,215.19,2411202.0,518866558.38
2021-07-14,215.26,215.6372,211.22,211.64,3242404.0,686222382.56
2021-07-15,210.28,213.39,210.12,211.41,2798506.0,591632153.46
2021-07-16,212.46,212.6971,207.01,207.95,4444830.0,924302398.5
2021-07-19,202.27,203.75,199.23,203.08,5414391.0,1099554524.28
2021-07-20,203.04,208.63,202.305,207.96,3990876.0,829942572.96
2021-07-21,208.72,210.96,207.575,210.73,3443939.0,725741265.4699999
2021-07-22,211.0,211.38,208.54,209.16,1954429.0,408788369.64
2021-07-23,209.5,210.37,207.86,209.53,2338263.0,489936246.39
2021-07-26,209.84,212.07,209.5,211.03,2186804.0,461481248.12
2021-07-27,207.53,211.06,207.0002,209.9,2546221.0,534451787.9
