timestamps,open,high,low,close,volume,amount
2021-05-28,29.96,30.065,29.41,29.56,26097121.0,771430896.76
2021-06-01,30.19,30.75,29.91,30.15,37293966.0,1124413074.9
2021-06-02,30.31,31.5,29.93,31.31,36409882.0,1139993405.4199998
2021-06-03,31.14,31.3,30.35,30.67,24846683.0,762047767.61
2021-06-04,30.92,31.105,30.25,30.54,19621086.0,599227966.4399999
2021-06-07,30.75,31.455,30.65,30.89,24447958.0,755197422.62
2021-06-08,31.11,31.52,30.61,31.08,25453092.0,791082099.36
2021-06-09,31.3,31.35,30.43,30.45,18735094.0,570483612.3
2021-06-10,30.64,30.77,29.41,29.83,30726819.0,916581010.77
2021-06-11,29.5,30.04,29.29,29.93,20725262.0,620307091.66
2021-06-14,29.87,29.98,28.63,28.75,24830260.0,713869975.0
2021-06-15,28.82,29.39,28.41,28.61,19359565.0,553877154.65
2021-06-16,28.98,29.485,28.69,29.28,25704635.0,752631712.8000001
2021-06-17,29.2,29.72,28.41,28.42,26330829.0,748322160.1800001
2021-06-18,28.12,28.515,27.725,28.18,27351972.0,770778570.96
2021-06-21,28.3,28.7,27.91,28.67,21934049.0,628849184.83
2021-06-22,28.65,28.69,27.795,28.06,18611817.0,522247585.02
2021-06-23,28.11,28.49,28.0208,28.15,18095130.0,509377909.5
2021-06-24,28.13,28.535,27.39,27.46,31415807.0,862678060.22
2021-06-25,27.53,28.23,27.52,28.13,31925723.0,898070587.99
2021-06-28,27.42,27.53,26.0,26.15,64595348.0,1689168350.1999998
2021-06-29,26.16,26.49,25.76,25.78,33637755.0,867181323.9000001
2021-06-30,25.79,26.48,25.69,26.36,23156059.0,610393715.24
2021-07-01,26.585,26.85,26.12,26.36,19687993.0,518975495.48
2021-07-02,26.26,26.3,25.7,26.06,20694896.0,539308989.76
2021-07-06,26.08,26.2784,24.93,25.02,30974525.0,774982615.5
2021-07-07,24.86,25.29,23.87,24.08,36695078.0,883617478.2399999
2021-07-08,23.14,24.155,22.84,23.72,37888621.0,898718090.12
2021-07-09,24.07,24.34,23.62,24.26,23583499.0,572135685.74
2021-07-12,23.97,24.01,23.555,23.86,23361377.0,557402455.22
2021-07-13,23.56,23.56,22.82,22.85,27449077.0,627211409.45
2021-07-14,23.01,23.36,22.48,22.58,27046576.0,610711686.0799999
2021-07-15,22.3,22.455,21.37,21.95,42745032.0,938253452.4
2021-07-16,22.26,22.36,20.8,20.92,41897716.0,876500218.72
2021-07-19,19.72,20.295,19.19,19.72,86217286.0,1700204879.9199998
2021-07-20,19.92,21.38,19.62,21.19,68961624.0,1461296812.5600002
2021-07-21,21.74,23.36,21.67,23.19,77148925.0,1789083570.75
2021-07-22,22.76,22.88,22.19,22.71,41541939.0,943417434.69
2021-07-23,22.71,22.8,21.89,21.96,32917270.0,722863249.2
2021-07-26,21.75,23.2,21.71,23.16,37533054.0,869265530.64
2021-07-27,22.95,23.33,22.49,22.8,26862621.0,612467758.8000001
2021-07-28,23.19,23.39,22.2,22.82,27374627.0,624688988.14
2021-07-29,23.08,23.34,22.7,22.71,26426803.0,600152696.13
2021-07-30,22.22,22.68,21.49,21.65,36760760.0,795870454.0
2021-08-02,21.83,22.555,21.355,21.46,34093917.0,731655458.82
2021-08-03,21.57,21.6,20.52,21.43,33253980.0,712632791.4
2021-08-04,21.07,21.69,20.82,21.04,33239359.0,699356113.36
2021-08-05,21.16,22.65,21.14,22.55,32937964.0,742751088.2
2021-08-06,22.85,23.1,22.4101,23.08,30615662.0,706609478.9599999
2021-08-09,22.87,22.87,21.99,22.71,29949234.0,680147104.14
2021-08-10,22.82,23.85,22.7173,23.65,34886220.0,825059103.0
2021-08-11,23.59,24.01,23.07,23.99,29487311.0,707400590.89
2021-08-12,23.78,23.88,22.96,23.36,29179950.0,681643632.0
2021-08-13,23.3,23.3799,22.74,22.86,21235829.0,485451050.94
2021-08-16,22.43,22.93,21.94,22.79,25793529.0,587834525.91
2021-08-17,22.24,22.5,21.66,22.04,26331847.0,580353907.88
2021-08-18,22.02,22.98,21.675,22.48,31060698.0,698244491.04
2021-08-19,22.0,22.27,21.34,21.66,27943931.0,605265545.46
2021-08-20,21.51,22.02,21.33,21.96,22632792.0,497016112.32
2021-08-23,22.26,22.99,22.24,22.83,23969963.0,547234255.29
2021-08-24,23.24,24.07,23.2,23.84,32777299.0,781410808.16
2021-08-25,23.98,24.32,23.4101,24.11,30476001.0,734776384.11
2021-08-26,23.83,24.32,23.24,23.47,28762765.0,675062094.55
2021-08-27,23.57,24.57,23.54,24.35,36693794.0,893493883.9000001
2021-08-30,24.63,24.64,23.6,23.63,27629308.0,652880548.04
2021-08-31,23.53,24.19,23.5,24.14,28512636.0,688295033.04
2021-09-01,24.22,24.415,23.3111,23.51,31875038.0,749382143.38
2021-09-02,23.58,24.465,23.1234,24.02,36517493.0,877150181.86
2021-09-03,23.92,24.145,22.635,22.96,44206561.0,1014982640.56
2021-09-07,22.7,23.5958,22.56,23.56,33912745.0,798984272.1999999
2021-09-08,23.57,23.81,22.76,22.78,24700628.0,562680305.84
2021-09-09,22.77,23.72,22.62,23.28,27193058.0,633054390.24
2021-09-10,23.4,23.5,22.72,22.75,25471423.0,579474873.25
2021-09-13,23.03,23.48,22.24,23.31,36564918.0,852328238.5799999
2021-09-14,23.2,23.5,22.7,22.86,24715268.0,564991026.48
2021-09-15,22.75,23.18,22.36,23.17,21732146.0,503533822.82000005
2021-09-16,23.11,23.4268,22.915,23.09,19305667.0,445767851.03
2021-09-17,23.21,23.84,23.14,23.55,33307783.0,784398289.65
